Time Remaining,UTD,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
13:20,"TURNOVER  by WEBER,JALEN",,,,,,,"TURNOVER  by WEBER,JALEN",1
13:20,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
13:02,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
13:02,"STEAL  by BURWITZ,HANS",,,,,,,"STEAL  by BURWITZ,HANS",1
12:56,"FOUL  by FERRELL,XAVIER",,,,,,,"FOUL  by FERRELL,XAVIER",1
12:56,"TURNOVER  by FERRELL,XAVIER",,,,,,,"TURNOVER  by FERRELL,XAVIER",1
12:56,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",1
12:56,"SUB IN by SONAME,SIMEON",,,,,,,"SUB IN by SONAME,SIMEON",1
12:44,"FOUL  by SONAME,SIMEON",,,,,,,"FOUL  by SONAME,SIMEON",1
12:33,,,,,"TURNOVER  by YOUNG,DILLON",,,"TURNOVER  by YOUNG,DILLON",1
12:13,"MISS JUMPER by PRUITT,KELDEN(in the paint)",,,,,,,"MISS JUMPER by PRUITT,KELDEN(in the paint)",1
12:13,,,,,"BLOCK  by TURNER,JAMES",,,"BLOCK  by TURNER,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:11,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
12:11,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
12:11,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",1
12:11,"SUB IN by PRUITT,KOLTON",,,,,,,"SUB IN by PRUITT,KOLTON",1
12:08,"MISS JUMPER by WEBER,JALEN",,,,,,,"MISS JUMPER by WEBER,JALEN",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
12:05,"FOUL  by SONAME,SIMEON",,,,,,,"FOUL  by SONAME,SIMEON",1
12:05,"SUB OUT by SONAME,SIMEON",,,,,,,"SUB OUT by SONAME,SIMEON",1
12:05,"SUB IN by ISAAC,WILL",,,,,,,"SUB IN by ISAAC,WILL",1
11:49,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
11:49,"STEAL  by FERRELL,XAVIER",,,,,,,"STEAL  by FERRELL,XAVIER",1
11:46,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
11:46,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
11:46,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:46,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
11:46,"SUB IN by FORSTER,MICHAEL",,,,,,,"SUB IN by FORSTER,MICHAEL",1
11:42,"TURNOVER  by ISAAC,WILL",,,,,,,"TURNOVER  by ISAAC,WILL",1
11:42,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",1
11:38,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
11:38,"STEAL  by STEVENS,HUNTER",,,,,,,"STEAL  by STEVENS,HUNTER",1
11:32,"GOOD LAYUP by STEVENS,HUNTER(fastbreak)(in the paint)",11 (+8),,3,,UTD 11-3 (-8),,"GOOD LAYUP by STEVENS,HUNTER(fastbreak)(in the paint)",1
11:21,,,,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",1
--,"REBOUND DEF by ISAAC,WILL",,,,,,,"REBOUND DEF by ISAAC,WILL",1
11:03,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
11:03,"GOOD FT by ISAAC,WILL",12 (+9),,3,,UTD 12-3 (-9),,"GOOD FT by ISAAC,WILL",1
11:03,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
11:03,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
11:03,"SUB OUT by WEBER,JALEN",,,,,,,"SUB OUT by WEBER,JALEN",1
11:03,"SUB IN by GIBSON,JEREMIAH",,,,,,,"SUB IN by GIBSON,JEREMIAH",1
11:03,"GOOD FT by ISAAC,WILL",13 (+10),,3,,UTD 13-3 (-10),,"GOOD FT by ISAAC,WILL",1
10:39,"FOUL  by PRUITT,KOLTON",,,,,,,"FOUL  by PRUITT,KOLTON",1
10:29,"FOUL  by GIBSON,JEREMIAH",,,,,,,"FOUL  by GIBSON,JEREMIAH",1
10:29,,13 (+9),,4,"GOOD FT by MILLER,JOSHUA",Mill 13-4 (-9),,"GOOD FT by MILLER,JOSHUA",1
10:29,,13 (+8),,5,"GOOD FT by MILLER,JOSHUA",Mill 13-5 (-8),,"GOOD FT by MILLER,JOSHUA",1
10:12,"FOUL  by ISAAC,WILL",,,,,,,"FOUL  by ISAAC,WILL",1
10:12,"TURNOVER  by ISAAC,WILL",,,,,,,"TURNOVER  by ISAAC,WILL",1
10:00,,,,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"REBOUND DEF by PRUITT,KOLTON",,,,,,,"REBOUND DEF by PRUITT,KOLTON",1
09:40,"FOUL  by PRUITT,KOLTON",,,,,,,"FOUL  by PRUITT,KOLTON",1
09:40,"TURNOVER  by PRUITT,KOLTON",,,,,,,"TURNOVER  by PRUITT,KOLTON",1
09:40,"SUB OUT by ISAAC,WILL",,,,,,,"SUB OUT by ISAAC,WILL",1
09:40,"SUB OUT by PRUITT,KOLTON",,,,,,,"SUB OUT by PRUITT,KOLTON",1
09:40,"SUB IN by PRUITT,KELDEN",,,,,,,"SUB IN by PRUITT,KELDEN",1
09:40,"SUB IN by BURWITZ,HANS",,,,,,,"SUB IN by BURWITZ,HANS",1
09:24,,13 (+5),,8,"GOOD 3PTR by GRANT,SHE'CHEM",Mill 13-8 (-5),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",1
09:05,"MISS 3PTR by STEVENS,HUNTER",,,,,,,"MISS 3PTR by STEVENS,HUNTER",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
08:57,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",1
--,"REBOUND DEF by PRUITT,KELDEN",,,,,,,"REBOUND DEF by PRUITT,KELDEN",1
08:54,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
08:41,"GOOD JUMPER by BURWITZ,HANS(in the paint)",15 (+7),,8,,UTD 15-8 (-7),,"GOOD JUMPER by BURWITZ,HANS(in the paint)",1
--,"ASSIST  by PRUITT,KELDEN",,,,,,,"ASSIST  by PRUITT,KELDEN",1
08:18,,15 (+5),,10,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 15-10 (-5),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",1
08:07,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",1
08:07,"GOOD FT by FORSTER,MICHAEL",16 (+6),,10,,UTD 16-10 (-6),,"GOOD FT by FORSTER,MICHAEL",1
08:07,"SUB OUT by STEVENS,HUNTER",,,,,,,"SUB OUT by STEVENS,HUNTER",1
08:07,"SUB OUT by GIBSON,JEREMIAH",,,,,,,"SUB OUT by GIBSON,JEREMIAH",1
08:07,"SUB IN by WEBER,JALEN",,,,,,,"SUB IN by WEBER,JALEN",1
08:07,"SUB IN by FERRELL,XAVIER",,,,,,,"SUB IN by FERRELL,XAVIER",1
08:07,"GOOD FT by FORSTER,MICHAEL",17 (+7),,10,,UTD 17-10 (-7),,"GOOD FT by FORSTER,MICHAEL",1
07:53,,,,,"MISS LAYUP by MILLER,JOSHUA(in the paint)",,,"MISS LAYUP by MILLER,JOSHUA(in the paint)",1
07:53,"BLOCK  by PRUITT,KELDEN",,,,,,,"BLOCK  by PRUITT,KELDEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:43,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
07:40,"FOUL  by PRUITT,KELDEN",,,,,,,"FOUL  by PRUITT,KELDEN",1
07:40,,17 (+6),,11,"GOOD FT by VAN PELT,JUSTIN",Mill 17-11 (-6),,"GOOD FT by VAN PELT,JUSTIN",1
07:40,,17 (+5),,12,"GOOD FT by VAN PELT,JUSTIN",Mill 17-12 (-5),,"GOOD FT by VAN PELT,JUSTIN",1
07:25,"MISS LAYUP by PRUITT,KELDEN(in the paint)",,,,,,,"MISS LAYUP by PRUITT,KELDEN(in the paint)",1
07:25,,,,,"BLOCK  by VAN PELT,JUSTIN",,,"BLOCK  by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
07:16,,,,,"MISS JUMPER by VAN PELT,JUSTIN(in the paint)",,,"MISS JUMPER by VAN PELT,JUSTIN(in the paint)",1
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",1
06:52,"GOOD LAYUP by BURWITZ,HANS(in the paint)",19 (+7),,12,,UTD 19-12 (-7),,"GOOD LAYUP by BURWITZ,HANS(in the paint)",1
--,"ASSIST  by FORSTER,MICHAEL",,,,,,,"ASSIST  by FORSTER,MICHAEL",1
06:52,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
06:52,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
06:52,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
06:52,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
06:52,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
06:52,"GOOD FT by BURWITZ,HANS",20 (+8),,12,,UTD 20-12 (-8),,"GOOD FT by BURWITZ,HANS",1
06:42,"FOUL  by FERRELL,XAVIER",,,,,,,"FOUL  by FERRELL,XAVIER",1
06:42,,20 (+7),,13,"GOOD FT by GRANT,SHE'CHEM",Mill 20-13 (-7),,"GOOD FT by GRANT,SHE'CHEM",1
06:42,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
06:42,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
06:42,"SUB OUT by FERRELL,XAVIER",,,,,,,"SUB OUT by FERRELL,XAVIER",1
06:42,"SUB IN by STEVENS,HUNTER",,,,,,,"SUB IN by STEVENS,HUNTER",1
06:42,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",1
--,"REBOUND DEF by BURWITZ,HANS",,,,,,,"REBOUND DEF by BURWITZ,HANS",1
06:26,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",1
06:26,"GOOD FT by PRUITT,KELDEN",21 (+8),,13,,UTD 21-13 (-8),,"GOOD FT by PRUITT,KELDEN",1
06:26,"MISS FT by PRUITT,KELDEN",,,,,,,"MISS FT by PRUITT,KELDEN",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
06:01,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",1
06:01,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
06:01,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
06:01,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
05:43,"TURNOVER  by STEVENS,HUNTER",,,,,,,"TURNOVER  by STEVENS,HUNTER",1
05:43,,,,,"STEAL  by GRANT,SHE'CHEM",,,"STEAL  by GRANT,SHE'CHEM",1
05:30,,21 (+5),,16,"GOOD 3PTR by GRANT,SHE'CHEM",Mill 21-16 (-5),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
05:10,"MISS LAYUP by WEBER,JALEN(in the paint)",,,,,,,"MISS LAYUP by WEBER,JALEN(in the paint)",1
05:10,,,,,"BLOCK  by JENKINS,KALEB",,,"BLOCK  by JENKINS,KALEB",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
05:03,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
05:03,"MISS FT by BURWITZ,HANS",,,,,,,"MISS FT by BURWITZ,HANS",1
--,"REBOUND OFF by BURWITZ,HANS",,,,,,,"REBOUND OFF by BURWITZ,HANS",1
04:58,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",23 (+7),,16,,UTD 23-16 (-7),,"GOOD LAYUP by PRUITT,KELDEN(in the paint)",1
--,"ASSIST  by WEBER,JALEN",,,,,,,"ASSIST  by WEBER,JALEN",1
04:38,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
04:38,"BLOCK  by PRUITT,KELDEN",,,,,,,"BLOCK  by PRUITT,KELDEN",1
--,,,,,"REBOUND OFF by BURNETT,DREW",,,"REBOUND OFF by BURNETT,DREW",1
04:32,"FOUL  by PRUITT,KELDEN",,,,,,,"FOUL  by PRUITT,KELDEN",1
04:32,,23 (+6),,17,"GOOD FT by JENKINS,KALEB",Mill 23-17 (-6),,"GOOD FT by JENKINS,KALEB",1
04:32,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
04:32,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
04:32,"SUB OUT by PRUITT,KELDEN",,,,,,,"SUB OUT by PRUITT,KELDEN",1
04:32,"SUB IN by GIBSON,JEREMIAH",,,,,,,"SUB IN by GIBSON,JEREMIAH",1
04:32,,23 (+5),,18,"GOOD FT by JENKINS,KALEB",Mill 23-18 (-5),,"GOOD FT by JENKINS,KALEB",1
04:15,"MISS JUMPER by WEBER,JALEN(in the paint)",,,,,,,"MISS JUMPER by WEBER,JALEN(in the paint)",1
--,"REBOUND OFF by BURWITZ,HANS",,,,,,,"REBOUND OFF by BURWITZ,HANS",1
04:12,"GOOD LAYUP by BURWITZ,HANS(in the paint)",25 (+7),,18,,UTD 25-18 (-7),,"GOOD LAYUP by BURWITZ,HANS(in the paint)",1
04:00,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
04:00,"STEAL  by FORSTER,MICHAEL",,,,,,,"STEAL  by FORSTER,MICHAEL",1
03:56,"MISS LAYUP by STEVENS,HUNTER(in the paint)",,,,,,,"MISS LAYUP by STEVENS,HUNTER(in the paint)",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
03:54,"FOUL  by BURWITZ,HANS",,,,,,,"FOUL  by BURWITZ,HANS",1
03:54,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:54,,25 (+6),,19,"GOOD FT by TULLOS,ZACHARY(fastbreak)",Mill 25-19 (-6),,"GOOD FT by TULLOS,ZACHARY(fastbreak)",1
03:54,,,,,"MISS FT by TULLOS,ZACHARY(fastbreak)",,,"MISS FT by TULLOS,ZACHARY(fastbreak)",1
--,"REBOUND DEF by GIBSON,JEREMIAH",,,,,,,"REBOUND DEF by GIBSON,JEREMIAH",1
03:37,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
03:37,"GOOD FT by BURWITZ,HANS",26 (+7),,19,,UTD 26-19 (-7),,"GOOD FT by BURWITZ,HANS",1
03:37,"MISS FT by BURWITZ,HANS",,,,,,,"MISS FT by BURWITZ,HANS",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
03:24,,26 (+5),,21,"GOOD LAYUP by BURNETT,DREW(in the paint)",Mill 26-21 (-5),,"GOOD LAYUP by BURNETT,DREW(in the paint)",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
03:00,"MISS JUMPER by FORSTER,MICHAEL",,,,,,,"MISS JUMPER by FORSTER,MICHAEL",1
--,"REBOUND OFF by BURWITZ,HANS",,,,,,,"REBOUND OFF by BURWITZ,HANS",1
02:58,"GOOD LAYUP by BURWITZ,HANS(in the paint)",28 (+7),,21,,UTD 28-21 (-7),,"GOOD LAYUP by BURWITZ,HANS(in the paint)",1
02:58,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
02:58,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
02:58,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
02:58,"MISS FT by BURWITZ,HANS",,,,,,,"MISS FT by BURWITZ,HANS",1
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",1
02:43,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by FORSTER,MICHAEL",,,,,,,"REBOUND DEF by FORSTER,MICHAEL",1
02:34,"TURNOVER  by STEVENS,HUNTER",,,,,,,"TURNOVER  by STEVENS,HUNTER",1
02:34,,,,,"STEAL  by HUGHES,ANTHONY",,,"STEAL  by HUGHES,ANTHONY",1
02:29,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
02:26,,28 (+5),,23,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 28-23 (-5),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
02:10,"MISS JUMPER by BURWITZ,HANS(in the paint)",,,,,,,"MISS JUMPER by BURWITZ,HANS(in the paint)",1
02:10,,,,,"BLOCK  by VAN PELT,JUSTIN",,,"BLOCK  by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
02:04,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",1
02:04,,,,,"TURNOVER  by GRANT,SHE'CHEM",,,"TURNOVER  by GRANT,SHE'CHEM",1
02:04,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
02:04,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
02:04,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
02:04,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
02:04,"SUB OUT by BURWITZ,HANS",,,,,,,"SUB OUT by BURWITZ,HANS",1
02:04,"SUB IN by ISAAC,WILL",,,,,,,"SUB IN by ISAAC,WILL",1
01:53,"MISS JUMPER by WEBER,JALEN",,,,,,,"MISS JUMPER by WEBER,JALEN",1
--,"REBOUND OFF by GIBSON,JEREMIAH",,,,,,,"REBOUND OFF by GIBSON,JEREMIAH",1
01:48,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",1
01:48,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
01:40,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
01:40,"GOOD FT by FORSTER,MICHAEL",29 (+6),,23,,UTD 29-23 (-6),,"GOOD FT by FORSTER,MICHAEL",1
01:40,"MISS FT by FORSTER,MICHAEL",,,,,,,"MISS FT by FORSTER,MICHAEL",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
