Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:46,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by JAMES,TRAI",,,"REBOUND DEF by JAMES,TRAI",1
19:39,,,,,"MISS LAYUP by COOKS,BROSNAN(in the paint)",,,"MISS LAYUP by COOKS,BROSNAN(in the paint)",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
19:32,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by JAMES,TRAI",,,"REBOUND DEF by JAMES,TRAI",1
19:05,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,,,,,"REBOUND OFF by JONES,JUSTIN",,,"REBOUND OFF by JONES,JUSTIN",1
18:51,,,,,"MISS 3PTR by DUPREE,RYAN",,,"MISS 3PTR by DUPREE,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:50,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
18:42,,,,,"MISS LAYUP by JAMES,TRAI(in the paint)",,,"MISS LAYUP by JAMES,TRAI(in the paint)",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
18:30,"MISS LAYUP by MILLER,JOSHUA(in the paint)",,,,,,,"MISS LAYUP by MILLER,JOSHUA(in the paint)",1
18:30,,,,,"BLOCK  by COOKS,BROSNAN",,,"BLOCK  by COOKS,BROSNAN",1
--,,,,,"REBOUND DEF by JONES,JUSTIN",,,"REBOUND DEF by JONES,JUSTIN",1
18:23,,,,,"TURNOVER  by JONES,JUSTIN",,,"TURNOVER  by JONES,JUSTIN",1
18:14,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",1
18:14,,,,,"STEAL  by JAMES,TRAI",,,"STEAL  by JAMES,TRAI",1
18:04,,0,,3 (+3),"GOOD 3PTR by ROBERTS,JOSHUA",BU 0-3 (-3),,"GOOD 3PTR by ROBERTS,JOSHUA",1
--,,,,,"ASSIST  by COOKS,BROSNAN",,,"ASSIST  by COOKS,BROSNAN",1
17:45,"GOOD DUNK by SPIKES,KALVIN(in the paint)",2,,3 (+1),,Mill 2-3 (-1),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
17:42,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
