Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,HENDRIXM,Game Score,Team Indicator,Play,Period
19:51,"MISS JUMPER by SPIKES,KALVIN",,,,,,,"MISS JUMPER by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
19:37,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
19:21,"GOOD JUMPER by HUGHES,ANTHONY",2 (+2),,0,,MIL 2-0 (+2),,"GOOD JUMPER by HUGHES,ANTHONY",1
19:13,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",1
19:05,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
19:05,,2 (+1),,1,"GOOD FT by STANLEY,SETH",HENDRIXM 2-1 (+1),,"GOOD FT by STANLEY,SETH",1
19:05,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:05,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
18:55,"MISS JUMPER by SPIKES,KALVIN",,,,,,,"MISS JUMPER by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by FITCH,CARL",,,"REBOUND DEF by FITCH,CARL",1
18:39,,,,,"MISS JUMPER by COMAN,SEAN",,,"MISS JUMPER by COMAN,SEAN",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
18:34,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by II,ROD CUMMINGS",,,"REBOUND DEF by II,ROD CUMMINGS",1
18:01,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
17:55,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
17:55,"GOOD FT by JENKINS,KALEB",3 (+2),,1,,MIL 3-1 (+2),,"GOOD FT by JENKINS,KALEB",1
17:55,"GOOD FT by JENKINS,KALEB",4 (+3),,1,,MIL 4-1 (+3),,"GOOD FT by JENKINS,KALEB",1
17:23,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
17:06,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
17:04,,,,,"STEAL  by STANLEY,SETH",,,"STEAL  by STANLEY,SETH",1
16:45,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
16:25,,4 (+1),,3,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 4-3 (+1),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
16:05,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
16:04,,,,,"STEAL  by LINK,JACOB",,,"STEAL  by LINK,JACOB",1
16:00,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
15:37,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
15:15,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",6 (+3),,3,,MIL 6-3 (+3),,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",1
14:53,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
14:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:43,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
14:43,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:43,,,,,"MISS FT by LINK,JACOB",,,"MISS FT by LINK,JACOB",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
14:43,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
14:43,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
14:31,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",8 (+5),,3,,MIL 8-3 (+5),,"GOOD JUMPER by GILLIHAN,NEWLON(in the paint)",1
14:28,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",1
14:28,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
14:28,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
14:28,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
14:15,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:01,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
13:42,"GOOD 3PTR by JENKINS,KALEB",11 (+8),,3,,MIL 11-3 (+8),,"GOOD 3PTR by JENKINS,KALEB",1
13:10,,,,,"MISS JUMPER by II,ROD CUMMINGS",,,"MISS JUMPER by II,ROD CUMMINGS",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
13:07,,,,,"FOUL  by II,ROD CUMMINGS",,,"FOUL  by II,ROD CUMMINGS",1
12:55,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",13 (+10),,3,,MIL 13-3 (+10),,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",1
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",1
12:39,"FOUL  by HUGHES,ANTHONY",,,,,,,"FOUL  by HUGHES,ANTHONY",1
12:35,,,,,"MISS LAYUP by II,ROD CUMMINGS",,,"MISS LAYUP by II,ROD CUMMINGS",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
12:18,"MISS LAYUP by JENKINS,KALEB",,,,,,,"MISS LAYUP by JENKINS,KALEB",1
--,"REBOUND OFF by JENKINS,KALEB",,,,,,,"REBOUND OFF by JENKINS,KALEB",1
12:14,"MISS LAYUP by JENKINS,KALEB",,,,,,,"MISS LAYUP by JENKINS,KALEB",1
12:14,,,,,"BLOCK  by LINK,JACOB",,,"BLOCK  by LINK,JACOB",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
12:09,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
11:49,,,,,"FOUL  by CONRAD,ALEX",,,"FOUL  by CONRAD,ALEX",1
11:49,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:49,,,,,"SUB IN by CARTWRIGHT,BROOKS",,,"SUB IN by CARTWRIGHT,BROOKS",1
11:49,,,,,"SUB OUT by II,ROD CUMMINGS",,,"SUB OUT by II,ROD CUMMINGS",1
11:46,"MISS JUMPER by PELT,JUSTIN VAN",,,,,,,"MISS JUMPER by PELT,JUSTIN VAN",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
11:36,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",1
11:36,,13 (+9),,4,"GOOD FT by CONRAD,ALEX",HENDRIXM 13-4 (+9),,"GOOD FT by CONRAD,ALEX",1
11:36,,13 (+8),,5,"GOOD FT by CONRAD,ALEX",HENDRIXM 13-5 (+8),,"GOOD FT by CONRAD,ALEX",1
11:24,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
11:13,,,,,"MISS JUMPER by CARTWRIGHT,BROOKS",,,"MISS JUMPER by CARTWRIGHT,BROOKS",1
11:13,"BLOCK  by PELT,JUSTIN VAN",,,,,,,"BLOCK  by PELT,JUSTIN VAN",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
11:06,"MISS LAYUP by HUGHES,ANTHONY",,,,,,,"MISS LAYUP by HUGHES,ANTHONY",1
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",1
11:02,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",15 (+10),,5,,MIL 15-5 (+10),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",1
10:41,,15 (+7),,8,"GOOD 3PTR by STANLEY,SETH",HENDRIXM 15-8 (+7),,"GOOD 3PTR by STANLEY,SETH",1
10:10,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by CARTWRIGHT,BROOKS",,,"REBOUND DEF by CARTWRIGHT,BROOKS",1
09:54,,,,,"MISS 3PTR by COMAN,SEAN",,,"MISS 3PTR by COMAN,SEAN",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
09:39,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
09:32,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
09:25,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
09:21,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
09:21,,15 (+6),,9,"GOOD FT by COMAN,SEAN",HENDRIXM 15-9 (+6),,"GOOD FT by COMAN,SEAN",1
09:21,,15 (+5),,10,"GOOD FT by COMAN,SEAN",HENDRIXM 15-10 (+5),,"GOOD FT by COMAN,SEAN",1
09:21,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
09:21,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
09:21,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
09:21,"SUB IN by YOUNG,DILLON",,,,,,,"SUB IN by YOUNG,DILLON",1
09:21,"SUB OUT by PELT,JUSTIN VAN",,,,,,,"SUB OUT by PELT,JUSTIN VAN",1
09:21,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
09:21,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",1
09:21,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
09:21,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
09:21,,,,,"SUB OUT by LINK,JACOB",,,"SUB OUT by LINK,JACOB",1
09:09,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
08:51,,15 (+3),,12,"GOOD LAYUP by CONRAD,ALEX(in the paint)",HENDRIXM 15-12 (+3),,"GOOD LAYUP by CONRAD,ALEX(in the paint)",1
--,,,,,"ASSIST  by CARTWRIGHT,BROOKS",,,"ASSIST  by CARTWRIGHT,BROOKS",1
08:44,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",1
08:44,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
08:35,,15 (+1),,14,"GOOD LAYUP by STANLEY,SETH(in the paint)",HENDRIXM 15-14 (+1),,"GOOD LAYUP by STANLEY,SETH(in the paint)",1
08:08,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",17 (+3),,14,,MIL 17-14 (+3),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",1
07:50,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",1
07:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:50,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
07:50,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
07:50,"SUB OUT by HUGHES,ANTHONY",,,,,,,"SUB OUT by HUGHES,ANTHONY",1
