Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
18:02,,,,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",1
18:02,"BLOCK  by ARGUE,JOHN",,,,,,,"BLOCK  by ARGUE,JOHN",1
--,"REBOUND DEF by ARGUE,JOHN",,,,,,,"REBOUND DEF by ARGUE,JOHN",1
17:51,"GOOD JUMPER by WEST,NATE(in the paint)",5 (+1),,4,,LETU 5-4 (-1),,"GOOD JUMPER by WEST,NATE(in the paint)",1
17:45,,5,,7 (+2),"GOOD 3PTR by JENKINS,KALEB(fastbreak)",Mill 5-7 (+2),,"GOOD 3PTR by JENKINS,KALEB(fastbreak)",1
17:36,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
17:29,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
17:29,"STEAL  by EBERHARDT,ANDREW",,,,,,,"STEAL  by EBERHARDT,ANDREW",1
17:22,"GOOD JUMPER by WEST,NATE",7,,7,,LETU 7-7 (0),,"GOOD JUMPER by WEST,NATE",1
17:08,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
17:08,"STEAL  by FOSNIGHT,BRICK",,,,,,,"STEAL  by FOSNIGHT,BRICK",1
16:58,"GOOD 3PTR by WEST,NATE",10 (+3),,7,,LETU 10-7 (-3),,"GOOD 3PTR by WEST,NATE",1
16:39,,,,,"MISS JUMPER by JENKINS,KALEB(in the paint)",,,"MISS JUMPER by JENKINS,KALEB(in the paint)",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
16:38,,10 (+1),,9,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 10-9 (-1),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
16:38,"FOUL  by WEST,NATE",,,,,,,"FOUL  by WEST,NATE",1
16:38,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
16:38,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
16:38,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
16:38,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
16:38,,,,,"MISS FT by SPIKES,KALVIN",,,"MISS FT by SPIKES,KALVIN",1
--,"REBOUND DEF by FOSNIGHT,BRICK",,,,,,,"REBOUND DEF by FOSNIGHT,BRICK",1
16:30,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:29,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
16:29,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
16:12,,10,,12 (+2),"GOOD 3PTR by YOUNG,DILLON",Mill 10-12 (+2),,"GOOD 3PTR by YOUNG,DILLON",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
15:58,"MISS 3PTR by RICHARDSON,WARREN",,,,,,,"MISS 3PTR by RICHARDSON,WARREN",1
--,"REBOUND OFF by EBERHARDT,ANDREW",,,,,,,"REBOUND OFF by EBERHARDT,ANDREW",1
15:53,"TURNOVER  by RICHARDSON,WARREN",,,,,,,"TURNOVER  by RICHARDSON,WARREN",1
15:53,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:53,"SUB OUT by RICHARDSON,WARREN",,,,,,,"SUB OUT by RICHARDSON,WARREN",1
15:53,"SUB IN by MOORE,JUSTIN",,,,,,,"SUB IN by MOORE,JUSTIN",1
15:52,,,,,"MISS LAYUP by BLANZ,BUCK(in the paint)",,,"MISS LAYUP by BLANZ,BUCK(in the paint)",1
--,"REBOUND DEF by FOSNIGHT,BRICK",,,,,,,"REBOUND DEF by FOSNIGHT,BRICK",1
15:40,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
15:40,"GOOD FT by FOSNIGHT,BRICK",11,,12 (+1),,LETU 11-12 (+1),,"GOOD FT by FOSNIGHT,BRICK",1
15:40,"GOOD FT by FOSNIGHT,BRICK",12,,12,,LETU 12-12 (0),,"GOOD FT by FOSNIGHT,BRICK",1
15:22,"FOUL  by MOORE,JUSTIN",,,,,,,"FOUL  by MOORE,JUSTIN",1
15:22,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
15:22,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
15:07,,12,,14 (+2),"GOOD JUMPER by HUGHES,ANTHONY",Mill 12-14 (+2),,"GOOD JUMPER by HUGHES,ANTHONY",1
14:57,"MISS LAYUP by ARGUE,JOHN(in the paint)",,,,,,,"MISS LAYUP by ARGUE,JOHN(in the paint)",1
14:57,,,,,"BLOCK  by VAN PELT,JUSTIN",,,"BLOCK  by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
14:48,,12,,17 (+5),"GOOD 3PTR by HUGHES,ANTHONY",Mill 12-17 (+5),,"GOOD 3PTR by HUGHES,ANTHONY",1
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",1
14:37,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
14:28,,,,,"MISS 3PTR by YOUNG,DILLON",,,"MISS 3PTR by YOUNG,DILLON",1
--,"REBOUND DEF by MOORE,JUSTIN",,,,,,,"REBOUND DEF by MOORE,JUSTIN",1
14:23,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,"REBOUND OFF by MOORE,JUSTIN",,,,,,,"REBOUND OFF by MOORE,JUSTIN",1
14:17,"MISS JUMPER by FOSNIGHT,BRICK",,,,,,,"MISS JUMPER by FOSNIGHT,BRICK",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
14:05,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
14:05,"STEAL  by FOSNIGHT,BRICK",,,,,,,"STEAL  by FOSNIGHT,BRICK",1
14:01,"MISS LAYUP by FOSNIGHT,BRICK(in the paint)",,,,,,,"MISS LAYUP by FOSNIGHT,BRICK(in the paint)",1
--,"REBOUND OFF by MOORE,JUSTIN",,,,,,,"REBOUND OFF by MOORE,JUSTIN",1
13:57,"GOOD LAYUP by MOORE,JUSTIN(in the paint)",14,,17 (+3),,LETU 14-17 (+3),,"GOOD LAYUP by MOORE,JUSTIN(in the paint)",1
13:30,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by MOORE,JUSTIN",,,,,,,"REBOUND DEF by MOORE,JUSTIN",1
13:22,"GOOD 3PTR by ARGUE,JOHN",17,,17,,LETU 17-17 (0),,"GOOD 3PTR by ARGUE,JOHN",1
--,"ASSIST  by EBERHARDT,ANDREW",,,,,,,"ASSIST  by EBERHARDT,ANDREW",1
13:00,,,,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
12:58,,17,,19 (+2),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 17-19 (+2),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
12:49,"GOOD JUMPER by ARGUE,JOHN(in the paint)",19,,19,,LETU 19-19 (0),,"GOOD JUMPER by ARGUE,JOHN(in the paint)",1
12:25,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
12:25,"STEAL  by FOSNIGHT,BRICK",,,,,,,"STEAL  by FOSNIGHT,BRICK",1
12:25,,,,,"SUB OUT by HUGHES,ANTHONY",,,"SUB OUT by HUGHES,ANTHONY",1
12:25,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
12:25,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
12:25,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
12:25,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
12:25,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
12:25,"SUB OUT by EBERHARDT,ANDREW",,,,,,,"SUB OUT by EBERHARDT,ANDREW",1
12:25,"SUB OUT by ARGUE,JOHN",,,,,,,"SUB OUT by ARGUE,JOHN",1
12:25,"SUB OUT by FOSNIGHT,BRICK",,,,,,,"SUB OUT by FOSNIGHT,BRICK",1
12:25,"SUB IN by MATTHEWS,KYLE",,,,,,,"SUB IN by MATTHEWS,KYLE",1
12:25,"SUB IN by GERBER,ELIJAH",,,,,,,"SUB IN by GERBER,ELIJAH",1
12:25,"SUB IN by BEENE,GARRETT",,,,,,,"SUB IN by BEENE,GARRETT",1
12:20,"MISS JUMPER by WEST,NATE(in the paint)",,,,,,,"MISS JUMPER by WEST,NATE(in the paint)",1
--,"REBOUND OFF by GERBER,ELIJAH",,,,,,,"REBOUND OFF by GERBER,ELIJAH",1
12:17,"GOOD LAYUP by GERBER,ELIJAH(in the paint)",21 (+2),,19,,LETU 21-19 (-2),,"GOOD LAYUP by GERBER,ELIJAH(in the paint)",1
12:05,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
12:05,"STEAL  by MOORE,JUSTIN",,,,,,,"STEAL  by MOORE,JUSTIN",1
11:59,"GOOD JUMPER by MOORE,JUSTIN(in the paint)",23 (+4),,19,,LETU 23-19 (-4),,"GOOD JUMPER by MOORE,JUSTIN(in the paint)",1
11:34,,,,,"TURNOVER  by YOUNG,DILLON",,,"TURNOVER  by YOUNG,DILLON",1
11:34,"STEAL  by WEST,NATE",,,,,,,"STEAL  by WEST,NATE",1
11:29,"GOOD JUMPER by MATTHEWS,KYLE(fastbreak)(in the paint)",25 (+6),,19,,LETU 25-19 (-6),,"GOOD JUMPER by MATTHEWS,KYLE(fastbreak)(in the paint)",1
--,"ASSIST  by WEST,NATE",,,,,,,"ASSIST  by WEST,NATE",1
11:28,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:28,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:27,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
11:27,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
11:27,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
11:27,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
11:11,"FOUL  by MOORE,JUSTIN",,,,,,,"FOUL  by MOORE,JUSTIN",1
10:45,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND OFF by TULLOS,ZACHARY",,,"REBOUND OFF by TULLOS,ZACHARY",1
10:40,,,,,"MISS LAYUP by TULLOS,ZACHARY(in the paint)",,,"MISS LAYUP by TULLOS,ZACHARY(in the paint)",1
--,,,,,"REBOUND OFF by TULLOS,ZACHARY",,,"REBOUND OFF by TULLOS,ZACHARY",1
10:40,"FOUL  by GERBER,ELIJAH",,,,,,,"FOUL  by GERBER,ELIJAH",1
10:40,,,,,"MISS FT by TULLOS,ZACHARY",,,"MISS FT by TULLOS,ZACHARY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:40,,25 (+5),,20,"GOOD FT by TULLOS,ZACHARY",Mill 25-20 (-5),,"GOOD FT by TULLOS,ZACHARY",1
10:29,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",1
10:29,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
10:29,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
10:23,"MISS 3PTR by MOORE,JUSTIN",,,,,,,"MISS 3PTR by MOORE,JUSTIN",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
10:17,,25 (+2),,23,"GOOD 3PTR by BECKER,SAXTON(fastbreak)",Mill 25-23 (-2),,"GOOD 3PTR by BECKER,SAXTON(fastbreak)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
10:01,"TURNOVER  by WEST,NATE",,,,,,,"TURNOVER  by WEST,NATE",1
10:01,,,,,"STEAL  by JENKINS,KALEB",,,"STEAL  by JENKINS,KALEB",1
09:57,,25,,26 (+1),"GOOD 3PTR by GRANT,SHE'CHEM(fastbreak)",Mill 25-26 (+1),,"GOOD 3PTR by GRANT,SHE'CHEM(fastbreak)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
09:55,"FOUL  by GERBER,ELIJAH",,,,,,,"FOUL  by GERBER,ELIJAH",1
09:55,,25,,27 (+2),"GOOD FT by GRANT,SHE'CHEM(fastbreak)",Mill 25-27 (+2),,"GOOD FT by GRANT,SHE'CHEM(fastbreak)",1
09:41,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
09:25,,,,,"TURNOVER  by JENKINS,KALEB",,,"TURNOVER  by JENKINS,KALEB",1
09:25,"STEAL  by WEST,NATE",,,,,,,"STEAL  by WEST,NATE",1
09:21,"GOOD JUMPER by MOORE,JUSTIN(fastbreak)(in the paint)",27,,27,,LETU 27-27 (0),,"GOOD JUMPER by MOORE,JUSTIN(fastbreak)(in the paint)",1
--,"ASSIST  by WEST,NATE",,,,,,,"ASSIST  by WEST,NATE",1
09:05,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND DEF by MATTHEWS,KYLE",,,,,,,"REBOUND DEF by MATTHEWS,KYLE",1
08:57,"TURNOVER  by MATTHEWS,KYLE",,,,,,,"TURNOVER  by MATTHEWS,KYLE",1
08:57,,,,,"STEAL  by MCLAURIN,RYAN",,,"STEAL  by MCLAURIN,RYAN",1
08:39,,27,,29 (+2),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 27-29 (+2),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by BECKER,SAXTON",,,"ASSIST  by BECKER,SAXTON",1
08:25,"TURNOVER  by MOORE,JUSTIN",,,,,,,"TURNOVER  by MOORE,JUSTIN",1
08:25,,,,,"STEAL  by JENKINS,KALEB",,,"STEAL  by JENKINS,KALEB",1
08:21,,27,,32 (+5),"GOOD 3PTR by BECKER,SAXTON(fastbreak)",Mill 27-32 (+5),,"GOOD 3PTR by BECKER,SAXTON(fastbreak)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
08:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:18,"SUB OUT by MOORE,JUSTIN",,,,,,,"SUB OUT by MOORE,JUSTIN",1
08:18,"SUB OUT by GERBER,ELIJAH",,,,,,,"SUB OUT by GERBER,ELIJAH",1
08:18,"SUB OUT by BEENE,GARRETT",,,,,,,"SUB OUT by BEENE,GARRETT",1
08:18,"SUB IN by EBERHARDT,ANDREW",,,,,,,"SUB IN by EBERHARDT,ANDREW",1
08:18,"SUB IN by ARGUE,JOHN",,,,,,,"SUB IN by ARGUE,JOHN",1
08:18,"SUB IN by FOSNIGHT,BRICK",,,,,,,"SUB IN by FOSNIGHT,BRICK",1
08:01,"MISS JUMPER by FOSNIGHT,BRICK",,,,,,,"MISS JUMPER by FOSNIGHT,BRICK",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
07:48,"FOUL  by FOSNIGHT,BRICK",,,,,,,"FOUL  by FOSNIGHT,BRICK",1
07:42,"FOUL  by ARGUE,JOHN",,,,,,,"FOUL  by ARGUE,JOHN",1
07:42,,27,,33 (+6),"GOOD FT by JENKINS,KALEB",Mill 27-33 (+6),,"GOOD FT by JENKINS,KALEB",1
07:42,,27,,34 (+7),"GOOD FT by JENKINS,KALEB",Mill 27-34 (+7),,"GOOD FT by JENKINS,KALEB",1
07:34,"MISS JUMPER by FOSNIGHT,BRICK",,,,,,,"MISS JUMPER by FOSNIGHT,BRICK",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
07:27,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
07:22,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
07:22,"STEAL  by WEST,NATE",,,,,,,"STEAL  by WEST,NATE",1
07:09,"FOUL  by MATTHEWS,KYLE",,,,,,,"FOUL  by MATTHEWS,KYLE",1
07:09,"TURNOVER  by MATTHEWS,KYLE",,,,,,,"TURNOVER  by MATTHEWS,KYLE",1
07:00,,,,,"MISS JUMPER by JENKINS,KALEB",,,"MISS JUMPER by JENKINS,KALEB",1
--,"REBOUND DEF by FOSNIGHT,BRICK",,,,,,,"REBOUND DEF by FOSNIGHT,BRICK",1
06:53,"MISS 3PTR by FOSNIGHT,BRICK",,,,,,,"MISS 3PTR by FOSNIGHT,BRICK",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
06:36,,27,,37 (+10),"GOOD 3PTR by MCLAURIN,RYAN",Mill 27-37 (+10),,"GOOD 3PTR by MCLAURIN,RYAN",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
06:21,"GOOD JUMPER by EBERHARDT,ANDREW(in the paint)",29,,37 (+8),,LETU 29-37 (+8),,"GOOD JUMPER by EBERHARDT,ANDREW(in the paint)",1
05:59,,,,,"MISS LAYUP by BECKER,SAXTON(in the paint)",,,"MISS LAYUP by BECKER,SAXTON(in the paint)",1
--,"REBOUND DEF by EBERHARDT,ANDREW",,,,,,,"REBOUND DEF by EBERHARDT,ANDREW",1
05:53,"TURNOVER  by FOSNIGHT,BRICK",,,,,,,"TURNOVER  by FOSNIGHT,BRICK",1
05:53,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
05:53,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
05:53,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
05:53,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
05:53,"SUB OUT by MATTHEWS,KYLE",,,,,,,"SUB OUT by MATTHEWS,KYLE",1
05:53,"SUB OUT by FOSNIGHT,BRICK",,,,,,,"SUB OUT by FOSNIGHT,BRICK",1
05:53,"SUB IN by RICHARDSON,WARREN",,,,,,,"SUB IN by RICHARDSON,WARREN",1
05:53,"SUB IN by JOHNSON,RASHARD",,,,,,,"SUB IN by JOHNSON,RASHARD",1
05:41,,,,,"MISS JUMPER by JENKINS,KALEB",,,"MISS JUMPER by JENKINS,KALEB",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
05:38,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",1
05:38,"STEAL  by RICHARDSON,WARREN",,,,,,,"STEAL  by RICHARDSON,WARREN",1
05:33,"FOUL  by JOHNSON,RASHARD",,,,,,,"FOUL  by JOHNSON,RASHARD",1
05:33,"TURNOVER  by JOHNSON,RASHARD",,,,,,,"TURNOVER  by JOHNSON,RASHARD",1
05:15,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
05:15,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
04:57,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by ARGUE,JOHN",,,,,,,"REBOUND DEF by ARGUE,JOHN",1
04:54,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
04:40,"GOOD JUMPER by WEST,NATE",31,,37 (+6),,LETU 31-37 (+6),,"GOOD JUMPER by WEST,NATE",1
04:19,,31,,39 (+8),"GOOD DUNK by VAN PELT,JUSTIN(in the paint)",Mill 31-39 (+8),,"GOOD DUNK by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",1
04:04,"GOOD LAYUP by ARGUE,JOHN(in the paint)",33,,39 (+6),,LETU 33-39 (+6),,"GOOD LAYUP by ARGUE,JOHN(in the paint)",1
--,"ASSIST  by WEST,NATE",,,,,,,"ASSIST  by WEST,NATE",1
03:41,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
03:41,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:41,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
03:41,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
03:41,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
03:41,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
03:29,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,"REBOUND OFF by EBERHARDT,ANDREW",,,,,,,"REBOUND OFF by EBERHARDT,ANDREW",1
03:16,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
03:16,"GOOD FT by JOHNSON,RASHARD",34,,39 (+5),,LETU 34-39 (+5),,"GOOD FT by JOHNSON,RASHARD",1
03:16,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
03:16,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
03:16,"MISS FT by JOHNSON,RASHARD",,,,,,,"MISS FT by JOHNSON,RASHARD",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
03:05,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,,,,,"REBOUND OFF by YOUNG,DILLON",,,"REBOUND OFF by YOUNG,DILLON",1
02:58,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
02:58,"SUB OUT by JOHNSON,RASHARD",,,,,,,"SUB OUT by JOHNSON,RASHARD",1
02:58,"SUB IN by MOORE,JUSTIN",,,,,,,"SUB IN by MOORE,JUSTIN",1
02:41,"TURNOVER  by RICHARDSON,WARREN",,,,,,,"TURNOVER  by RICHARDSON,WARREN",1
02:26,,,,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",,,"MISS LAYUP by SPIKES,KALVIN(in the paint)",1
02:26,"BLOCK  by ARGUE,JOHN",,,,,,,"BLOCK  by ARGUE,JOHN",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
02:22,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
02:12,"GOOD JUMPER by WEST,NATE(in the paint)",36,,39 (+3),,LETU 36-39 (+3),,"GOOD JUMPER by WEST,NATE(in the paint)",1
01:58,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1
01:58,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
01:58,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
01:51,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",1
01:45,"MISS JUMPER by ARGUE,JOHN",,,,,,,"MISS JUMPER by ARGUE,JOHN",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
01:39,,,,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",,,"MISS LAYUP by HUGHES,ANTHONY(in the paint)",1
--,"REBOUND DEF by RICHARDSON,WARREN",,,,,,,"REBOUND DEF by RICHARDSON,WARREN",1
01:33,"TURNOVER  by RICHARDSON,WARREN",,,,,,,"TURNOVER  by RICHARDSON,WARREN",1
01:33,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
