Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",2
16:40,"MISS LAYUP by JENKINS,KALEB",,,,,,,"MISS LAYUP by JENKINS,KALEB",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:37,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",2
16:37,,,,,"STEAL  by FOSTER,LANE",,,"STEAL  by FOSTER,LANE",2
16:15,,,,,"TURNOVER  by DAY,JUSTIN",,,"TURNOVER  by DAY,JUSTIN",2
16:14,"STEAL  by MCLAURIN,RYAN",,,,,,,"STEAL  by MCLAURIN,RYAN",2
16:08,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",48 (+6),,42,,MC 48-42 (+6),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",2
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",2
15:41,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",2
15:41,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
15:41,,,,,"MISS FT by DAY,JUSTIN",,,"MISS FT by DAY,JUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:41,,48 (+5),,43,"GOOD FT by DAY,JUSTIN",OU 48-43 (+5),,"GOOD FT by DAY,JUSTIN",2
15:41,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",2
15:41,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",2
15:41,,,,,"SUB IN by CHAMBERS,DIMETRI",,,"SUB IN by CHAMBERS,DIMETRI",2
15:41,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
15:23,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",2
15:10,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",2
15:10,,48 (+4),,44,"GOOD FT by FOSTER,LANE",OU 48-44 (+4),,"GOOD FT by FOSTER,LANE",2
15:10,,48 (+3),,45,"GOOD FT by FOSTER,LANE",OU 48-45 (+3),,"GOOD FT by FOSTER,LANE",2
14:55,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
14:50,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",2
--,"REBOUND OFF by HUGHES,ANTHONY",,,,,,,"REBOUND OFF by HUGHES,ANTHONY",2
14:47,"GOOD 3PTR by JENKINS,KALEB",51 (+6),,45,,MC 51-45 (+6),,"GOOD 3PTR by JENKINS,KALEB",2
14:30,,,,,"MISS 3PTR by DAY,JUSTIN",,,"MISS 3PTR by DAY,JUSTIN",2
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",2
14:17,"GOOD JUMPER by PELT,JUSTIN VAN(in the paint)",53 (+8),,45,,MC 53-45 (+8),,"GOOD JUMPER by PELT,JUSTIN VAN(in the paint)",2
13:55,,53 (+6),,47,"GOOD LAYUP by DAY,JUSTIN(in the paint)",OU 53-47 (+6),,"GOOD LAYUP by DAY,JUSTIN(in the paint)",2
13:41,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",55 (+8),,47,,MC 55-47 (+8),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",2
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",2
13:24,,,,,"MISS 3PTR by DAY,JUSTIN",,,"MISS 3PTR by DAY,JUSTIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:22,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
13:22,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",2
13:22,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
13:22,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",2
13:09,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",2
13:07,,,,,"STEAL  by ETIWE,TOJU",,,"STEAL  by ETIWE,TOJU",2
12:54,,,,,"MISS 3PTR by JENEI,RYAN",,,"MISS 3PTR by JENEI,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:29,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by SONE,CARLOS",,,"REBOUND DEF by SONE,CARLOS",2
12:17,,,,,"TURNOVER  by FOSTER,LANE",,,"TURNOVER  by FOSTER,LANE",2
12:17,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
12:17,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
12:17,"SUB OUT by PELT,JUSTIN VAN",,,,,,,"SUB OUT by PELT,JUSTIN VAN",2
12:07,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",57 (+10),,47,,MC 57-47 (+10),,"GOOD JUMPER by HUGHES,ANTHONY(in the paint)",2
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",2
11:44,,57 (+8),,49,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",OU 57-49 (+8),,"GOOD JUMPER by CHAMBERS,DIMETRI(in the paint)",2
11:44,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",2
11:43,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",2
11:25,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",2
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",2
11:18,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",2
11:17,"STEAL  by JENKINS,KALEB",,,,,,,"STEAL  by JENKINS,KALEB",2
11:13,"TURNOVER  by JENKINS,KALEB",,,,,,,"TURNOVER  by JENKINS,KALEB",2
11:13,"FOUL  by JENKINS,KALEB",,,,,,,"FOUL  by JENKINS,KALEB",2
11:13,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
11:13,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",2
10:56,,57 (+6),,51,"GOOD LAYUP by CAMMON,JOSH(in the paint)",OU 57-51 (+6),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",2
10:42,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
10:29,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
10:29,,,,,"SUB OUT by DAY,JUSTIN",,,"SUB OUT by DAY,JUSTIN",2
10:24,,57 (+4),,53,"GOOD JUMPER by CAMMON,JOSH",OU 57-53 (+4),,"GOOD JUMPER by CAMMON,JOSH",2
--,,,,,"ASSIST  by SONE,CARLOS",,,"ASSIST  by SONE,CARLOS",2
09:57,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",2
09:57,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:57,"GOOD FT by MILLER,JOSHUA",58 (+5),,53,,MC 58-53 (+5),,"GOOD FT by MILLER,JOSHUA",2
09:57,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",2
09:57,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
09:57,,,,,"SUB IN by FOSTER,LANE",,,"SUB IN by FOSTER,LANE",2
09:57,,,,,"SUB IN by CAMMON,JOSH",,,"SUB IN by CAMMON,JOSH",2
09:57,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",2
09:57,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
09:46,,,,,"MISS 3PTR by CAMMON,JOSH",,,"MISS 3PTR by CAMMON,JOSH",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
09:35,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",2
--,,,,,"REBOUND DEF by EZIGBO,UBA",,,"REBOUND DEF by EZIGBO,UBA",2
08:48,,58 (+3),,55,"GOOD JUMPER by FOSTER,LANE(in the paint)",OU 58-55 (+3),,"GOOD JUMPER by FOSTER,LANE(in the paint)",2
08:48,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",2
08:48,,58 (+2),,56,"GOOD FT by FOSTER,LANE",OU 58-56 (+2),,"GOOD FT by FOSTER,LANE",2
08:43,"MISS LAYUP by GILLIHAN,NEWLON",,,,,,,"MISS LAYUP by GILLIHAN,NEWLON",2
--,"REBOUND OFF by HUGHES,ANTHONY",,,,,,,"REBOUND OFF by HUGHES,ANTHONY",2
08:43,"GOOD TIPIN by HUGHES,ANTHONY(in the paint)",60 (+4),,56,,MC 60-56 (+4),,"GOOD TIPIN by HUGHES,ANTHONY(in the paint)",2
08:20,,60 (+1),,59,"GOOD 3PTR by SONE,CARLOS",OU 60-59 (+1),,"GOOD 3PTR by SONE,CARLOS",2
--,,,,,"ASSIST  by JENEI,RYAN",,,"ASSIST  by JENEI,RYAN",2
08:05,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by JENEI,RYAN",,,"REBOUND DEF by JENEI,RYAN",2
07:50,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
07:25,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",62 (+3),,59,,MC 62-59 (+3),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",2
07:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
07:10,"FOUL  by HUGHES,ANTHONY",,,,,,,"FOUL  by HUGHES,ANTHONY",2
07:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:55,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",2
06:55,"BLOCK  by PELT,JUSTIN VAN",,,,,,,"BLOCK  by PELT,JUSTIN VAN",2
--,,,,,"REBOUND OFF by FOSTER,LANE",,,"REBOUND OFF by FOSTER,LANE",2
06:49,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
06:36,,,,,"FOUL  by SONE,CARLOS",,,"FOUL  by SONE,CARLOS",2
06:32,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",64 (+5),,59,,MC 64-59 (+5),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",2
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",2
06:17,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",2
06:17,"BLOCK  by PELT,JUSTIN VAN",,,,,,,"BLOCK  by PELT,JUSTIN VAN",2
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",2
06:06,,,,,"MISS 3PTR by FOSTER,LANE",,,"MISS 3PTR by FOSTER,LANE",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
05:47,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",2
05:47,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
05:35,,64 (+3),,61,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",OU 64-61 (+3),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",2
--,,,,,"ASSIST  by CAMMON,JOSH",,,"ASSIST  by CAMMON,JOSH",2
05:18,"MISS LAYUP by HUGHES,ANTHONY",,,,,,,"MISS LAYUP by HUGHES,ANTHONY",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
05:14,"GOOD TIPIN by PELT,JUSTIN VAN(in the paint)",66 (+5),,61,,MC 66-61 (+5),,"GOOD TIPIN by PELT,JUSTIN VAN(in the paint)",2
04:53,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",2
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",2
04:43,,66 (+3),,63,"GOOD LAYUP by SONE,CARLOS(in the paint)",OU 66-63 (+3),,"GOOD LAYUP by SONE,CARLOS(in the paint)",2
04:23,"TURNOVER  by PELT,JUSTIN VAN",,,,,,,"TURNOVER  by PELT,JUSTIN VAN",2
04:21,,,,,"STEAL  by JENEI,RYAN",,,"STEAL  by JENEI,RYAN",2
04:18,,66 (+1),,65,"GOOD LAYUP by JENEI,RYAN(fastbreak)(in the paint)",OU 66-65 (+1),,"GOOD LAYUP by JENEI,RYAN(fastbreak)(in the paint)",2
03:53,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:53,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
03:53,"SUB IN by JENKINS,KALEB",,,,,,,"SUB IN by JENKINS,KALEB",2
03:53,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
03:53,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
03:53,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
03:47,,,,,"MISS JUMPER by FOSTER,LANE",,,"MISS JUMPER by FOSTER,LANE",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
03:36,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",2
03:34,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",2
03:19,,,,,"MISS JUMPER by CHAMBERS,DIMETRI",,,"MISS JUMPER by CHAMBERS,DIMETRI",2
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",2
03:14,,,,,"FOUL  by CHAMBERS,DIMETRI",,,"FOUL  by CHAMBERS,DIMETRI",2
02:57,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",68 (+3),,65,,MC 68-65 (+3),,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",2
--,"ASSIST  by HUGHES,ANTHONY",,,,,,,"ASSIST  by HUGHES,ANTHONY",2
02:37,,,,,"TURNOVER  by CAMMON,JOSH",,,"TURNOVER  by CAMMON,JOSH",2
02:32,"STEAL  by MCLAURIN,RYAN",,,,,,,"STEAL  by MCLAURIN,RYAN",2
02:18,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",2
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",2
02:03,,68 (+1),,67,"GOOD JUMPER by CAMMON,JOSH(in the paint)",OU 68-67 (+1),,"GOOD JUMPER by CAMMON,JOSH(in the paint)",2
01:43,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
01:40,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
01:40,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
01:39,TIMEOUT FULL by TEAM,,,,,,,TIMEOUT FULL by TEAM,2
01:39,"MISS FT by PELT,JUSTIN VAN",,,,,,,"MISS FT by PELT,JUSTIN VAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:39,"GOOD FT by PELT,JUSTIN VAN",69 (+2),,67,,MC 69-67 (+2),,"GOOD FT by PELT,JUSTIN VAN",2
01:30,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",2
01:30,,,,,"MISS FT by CAMMON,JOSH",,,"MISS FT by CAMMON,JOSH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:30,,69 (+1),,68,"GOOD FT by CAMMON,JOSH",OU 69-68 (+1),,"GOOD FT by CAMMON,JOSH",2
01:30,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
01:30,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
01:19,"GOOD 3PTR by MCLAURIN,RYAN",72 (+4),,68,,MC 72-68 (+4),,"GOOD 3PTR by MCLAURIN,RYAN",2
--,"ASSIST  by JENKINS,KALEB",,,,,,,"ASSIST  by JENKINS,KALEB",2
01:14,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
01:14,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
01:14,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",2
01:02,,,,,"MISS LAYUP by CAMMON,JOSH",,,"MISS LAYUP by CAMMON,JOSH",2
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",2
00:59,,72 (+2),,70,"GOOD LAYUP by CAMMON,JOSH(in the paint)",OU 72-70 (+2),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",2
00:39,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",2
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",2
00:33,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",74 (+4),,70,,MC 74-70 (+4),,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",2
00:28,,74 (+1),,73,"GOOD 3PTR by CHAMBERS,DIMETRI",OU 74-73 (+1),,"GOOD 3PTR by CHAMBERS,DIMETRI",2
00:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:27,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
00:27,"SUB OUT by PELT,JUSTIN VAN",,,,,,,"SUB OUT by PELT,JUSTIN VAN",2
00:27,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
00:27,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
00:26,,,,,"FOUL  by FOSTER,LANE",,,"FOUL  by FOSTER,LANE",2
00:26,"GOOD FT by JENKINS,KALEB",75 (+2),,73,,MC 75-73 (+2),,"GOOD FT by JENKINS,KALEB",2
00:26,"MISS FT by JENKINS,KALEB",,,,,,,"MISS FT by JENKINS,KALEB",2
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",2
00:26,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
00:26,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
00:26,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",2
00:26,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",2
00:26,,,,,"SUB OUT by ETIWE,TOJU",,,"SUB OUT by ETIWE,TOJU",2
00:26,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",2
00:15,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",2
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",2
00:12,,75,,75,"GOOD LAYUP by CAMMON,JOSH(in the paint)",OU 75-75 (0),,"GOOD LAYUP by CAMMON,JOSH(in the paint)",2
00:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:06,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",2
00:06,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
00:01,"MISS JUMPER by GRANT,SHE'CHEM",,,,,,,"MISS JUMPER by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by DAY,JUSTIN",,,"REBOUND DEF by DAY,JUSTIN",2
00:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:01,,,,,"SUB IN by ETIWE,TOJU",,,"SUB IN by ETIWE,TOJU",2
00:01,,,,,"SUB OUT by JENEI,RYAN",,,"SUB OUT by JENEI,RYAN",2
05:00,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",3
05:00,"SUB IN by PELT,JUSTIN VAN",,,,,,,"SUB IN by PELT,JUSTIN VAN",3
05:00,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",3
05:00,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",3
05:00,,,,,"SUB IN by DAY,JUSTIN",,,"SUB IN by DAY,JUSTIN",3
05:00,,,,,"SUB OUT by FOSTER,LANE",,,"SUB OUT by FOSTER,LANE",3
04:48,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",3
04:48,,,,,"BLOCK  by CAMMON,JOSH",,,"BLOCK  by CAMMON,JOSH",3
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,3
04:45,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",3
04:45,,,,,"STEAL  by CHAMBERS,DIMETRI",,,"STEAL  by CHAMBERS,DIMETRI",3
04:38,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",,,"MISS 3PTR by CHAMBERS,DIMETRI",3
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",3
04:27,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",3
04:23,,,,,"STEAL  by JENEI,RYAN",,,"STEAL  by JENEI,RYAN",3
04:12,,,,,"MISS LAYUP by SONE,CARLOS",,,"MISS LAYUP by SONE,CARLOS",3
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",3
04:08,,75,,77 (+2),"GOOD TIPIN by CAMMON,JOSH(in the paint)",OU 75-77 (-2),,"GOOD TIPIN by CAMMON,JOSH(in the paint)",3
03:54,"GOOD 3PTR by MCLAURIN,RYAN",78 (+1),,77,,MC 78-77 (+1),,"GOOD 3PTR by MCLAURIN,RYAN",3
--,"ASSIST  by GRANT,SHE'CHEM",,,,,,,"ASSIST  by GRANT,SHE'CHEM",3
03:34,,,,,"MISS JUMPER by DAY,JUSTIN",,,"MISS JUMPER by DAY,JUSTIN",3
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",3
03:12,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",3
03:12,,,,,"BLOCK  by SONE,CARLOS",,,"BLOCK  by SONE,CARLOS",3
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",3
02:58,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",3
02:58,,78,,78,"GOOD FT by DAY,JUSTIN",OU 78-78 (0),,"GOOD FT by DAY,JUSTIN",3
02:58,,78,,79 (+1),"GOOD FT by DAY,JUSTIN",OU 78-79 (-1),,"GOOD FT by DAY,JUSTIN",3
02:45,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",80 (+1),,79,,MC 80-79 (+1),,"GOOD LAYUP by MCLAURIN,RYAN(in the paint)",3
02:29,,,,,"MISS JUMPER by DAY,JUSTIN",,,"MISS JUMPER by DAY,JUSTIN",3
--,,,,,"REBOUND OFF by CAMMON,JOSH",,,"REBOUND OFF by CAMMON,JOSH",3
02:22,,,,,"MISS JUMPER by CAMMON,JOSH",,,"MISS JUMPER by CAMMON,JOSH",3
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",3
02:07,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",82 (+3),,79,,MC 82-79 (+3),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",3
--,"ASSIST  by GRANT,SHE'CHEM",,,,,,,"ASSIST  by GRANT,SHE'CHEM",3
02:00,,82,,82,"GOOD 3PTR by CHAMBERS,DIMETRI",OU 82-82 (0),,"GOOD 3PTR by CHAMBERS,DIMETRI",3
--,,,,,"ASSIST  by DAY,JUSTIN",,,"ASSIST  by DAY,JUSTIN",3
01:36,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",3
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",3
01:17,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",3
--,,,,,"REBOUND DEF by CAMMON,JOSH",,,"REBOUND DEF by CAMMON,JOSH",3
00:58,,,,,"MISS 3PTR by DAY,JUSTIN",,,"MISS 3PTR by DAY,JUSTIN",3
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",3
00:41,"MISS LAYUP by MCLAURIN,RYAN",,,,,,,"MISS LAYUP by MCLAURIN,RYAN",3
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",3
00:37,"GOOD TIPIN by PELT,JUSTIN VAN(in the paint)",84 (+2),,82,,MC 84-82 (+2),,"GOOD TIPIN by PELT,JUSTIN VAN(in the paint)",3
00:28,,,,,"MISS LAYUP by CHAMBERS,DIMETRI",,,"MISS LAYUP by CHAMBERS,DIMETRI",3
