Time Remaining,MC,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
14:20,,,,,"SUB OUT by CAMMON,JOSH",,,"SUB OUT by CAMMON,JOSH",1
14:19,,,,,"MISS FT by CHAMBERS,DIMETRI",,,"MISS FT by CHAMBERS,DIMETRI",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
13:56,"MISS 3PTR by HUGHES,ANTHONY",,,,,,,"MISS 3PTR by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
13:50,,,,,"TURNOVER  by CHAMBERS,DIMETRI",,,"TURNOVER  by CHAMBERS,DIMETRI",1
13:23,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:21,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
13:05,,13,,17 (+4),"GOOD JUMPER by DAY,JUSTIN",OU 13-17 (-4),,"GOOD JUMPER by DAY,JUSTIN",1
12:50,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
12:50,"SUB IN by YOUNG,DILLON",,,,,,,"SUB IN by YOUNG,DILLON",1
12:50,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
12:50,,,,,"SUB IN by KRIVITZKIN,TYLER",,,"SUB IN by KRIVITZKIN,TYLER",1
12:50,,,,,"SUB OUT by CHAMBERS,DIMETRI",,,"SUB OUT by CHAMBERS,DIMETRI",1
12:31,,,,,"MISS LAYUP by SONE,CARLOS",,,"MISS LAYUP by SONE,CARLOS",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
12:24,"TURNOVER  by HUGHES,ANTHONY",,,,,,,"TURNOVER  by HUGHES,ANTHONY",1
12:24,"FOUL  by HUGHES,ANTHONY",,,,,,,"FOUL  by HUGHES,ANTHONY",1
