Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
15:08,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:45,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
14:45,"MISS FT by PLATT,DAEVON",,,,,,,"MISS FT by PLATT,DAEVON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:45,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
14:45,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
14:45,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
14:45,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
14:45,"MISS FT by PLATT,DAEVON",,,,,,,"MISS FT by PLATT,DAEVON",1
--,,,,,"REBOUND DEF by TULLOS,ZACHARY",,,"REBOUND DEF by TULLOS,ZACHARY",1
14:45,"FOUL  by OETJEN,NOAH",,,,,,,"FOUL  by OETJEN,NOAH",1
14:19,"FOUL  by JAUCH,JARED",,,,,,,"FOUL  by JAUCH,JARED",1
14:19,,3,,7 (+4),"GOOD FT by JENKINS,KALEB",Mill 3-7 (+4),,"GOOD FT by JENKINS,KALEB",1
14:19,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
14:19,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
14:19,,,,,"SUB IN by YOUNG,DILLON",,,"SUB IN by YOUNG,DILLON",1
14:19,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
14:19,"SUB OUT by PLATT,DAEVON",,,,,,,"SUB OUT by PLATT,DAEVON",1
14:19,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
14:19,"SUB IN by PALMER,BRADY",,,,,,,"SUB IN by PALMER,BRADY",1
14:19,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
14:19,,3,,8 (+5),"GOOD FT by JENKINS,KALEB",Mill 3-8 (+5),,"GOOD FT by JENKINS,KALEB",1
14:01,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",1
13:48,"MISS 3PTR by CRUMLY,WILL",,,,,,,"MISS 3PTR by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
13:31,,,,,"MISS JUMPER by TURNER,JAMES(in the paint)",,,"MISS JUMPER by TURNER,JAMES(in the paint)",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
13:14,"MISS LAYUP by ALLEN,ZACK(in the paint)",,,,,,,"MISS LAYUP by ALLEN,ZACK(in the paint)",1
13:14,,,,,"BLOCK  by TURNER,JAMES",,,"BLOCK  by TURNER,JAMES",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:14,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
13:14,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
13:03,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
13:03,,,,,"STEAL  by TURNER,JAMES",,,"STEAL  by TURNER,JAMES",1
12:56,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by CRUMLY,WILL",,,,,,,"REBOUND DEF by CRUMLY,WILL",1
12:36,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
12:36,"GOOD FT by CRUMLY,WILL",4,,8 (+4),,COV 4-8 (+4),,"GOOD FT by CRUMLY,WILL",1
12:36,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
12:36,"SUB IN by FITZGERALD,JACKSON",,,,,,,"SUB IN by FITZGERALD,JACKSON",1
12:36,"GOOD FT by CRUMLY,WILL",5,,8 (+3),,COV 5-8 (+3),,"GOOD FT by CRUMLY,WILL",1
12:24,,,,,"MISS JUMPER by TULLOS,ZACHARY(in the paint)",,,"MISS JUMPER by TULLOS,ZACHARY(in the paint)",1
--,"REBOUND DEF by FITZGERALD,JACKSON",,,,,,,"REBOUND DEF by FITZGERALD,JACKSON",1
12:04,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",1
12:04,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:04,,,,,"SUB OUT by TULLOS,ZACHARY",,,"SUB OUT by TULLOS,ZACHARY",1
12:04,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
12:04,"SUB OUT by OETJEN,NOAH",,,,,,,"SUB OUT by OETJEN,NOAH",1
12:04,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",1
12:04,"MISS FT by CRUMLY,WILL",,,,,,,"MISS FT by CRUMLY,WILL",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
11:44,"FOUL  by ALLEN,ZACK",,,,,,,"FOUL  by ALLEN,ZACK",1
11:44,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:44,,,,,"MISS FT by YOUNG,DILLON",,,"MISS FT by YOUNG,DILLON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:44,,5,,9 (+4),"GOOD FT by YOUNG,DILLON",Mill 5-9 (+4),,"GOOD FT by YOUNG,DILLON",1
11:25,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
11:25,,,,,"STEAL  by GRANT,SHE'CHEM",,,"STEAL  by GRANT,SHE'CHEM",1
11:19,,5,,11 (+6),"GOOD LAYUP by YOUNG,DILLON(fastbreak)(in the paint)",Mill 5-11 (+6),,"GOOD LAYUP by YOUNG,DILLON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
11:05,"TURNOVER  by ALLEN,ZACK",,,,,,,"TURNOVER  by ALLEN,ZACK",1
11:05,,,,,"STEAL  by YOUNG,DILLON",,,"STEAL  by YOUNG,DILLON",1
11:02,,5,,13 (+8),"GOOD JUMPER by YOUNG,DILLON(fastbreak)(in the paint)",Mill 5-13 (+8),,"GOOD JUMPER by YOUNG,DILLON(fastbreak)(in the paint)",1
10:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:34,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
10:34,"MISS FT by FITZGERALD,JACKSON",,,,,,,"MISS FT by FITZGERALD,JACKSON",1
10:34,"SUB OUT by PALMER,BRADY",,,,,,,"SUB OUT by PALMER,BRADY",1
10:34,"SUB IN by HOLLIS,MITCHELL",,,,,,,"SUB IN by HOLLIS,MITCHELL",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
10:16,,,,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"REBOUND DEF by FITZGERALD,JACKSON",,,,,,,"REBOUND DEF by FITZGERALD,JACKSON",1
10:11,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
10:11,"SUB OUT by ALLEN,ZACK",,,,,,,"SUB OUT by ALLEN,ZACK",1
10:11,"SUB OUT by FITZGERALD,JACKSON",,,,,,,"SUB OUT by FITZGERALD,JACKSON",1
10:11,"SUB IN by PLATT,DAEVON",,,,,,,"SUB IN by PLATT,DAEVON",1
10:11,"SUB IN by MITCHELL,JAMES",,,,,,,"SUB IN by MITCHELL,JAMES",1
10:11,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
09:55,"MISS 3PTR by MITCHELL,JAMES",,,,,,,"MISS 3PTR by MITCHELL,JAMES",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
09:33,,,,,"MISS LAYUP by TURNER,JAMES(in the paint)",,,"MISS LAYUP by TURNER,JAMES(in the paint)",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
09:30,,,,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
09:29,,5,,15 (+10),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 5-15 (+10),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
09:11,"MISS 3PTR by PLATT,DAEVON",,,,,,,"MISS 3PTR by PLATT,DAEVON",1
--,"REBOUND OFF by IGBANU,PROMISE",,,,,,,"REBOUND OFF by IGBANU,PROMISE",1
09:09,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
09:09,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
09:09,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
09:09,"GOOD FT by PLATT,DAEVON",6,,15 (+9),,COV 6-15 (+9),,"GOOD FT by PLATT,DAEVON",1
09:09,"MISS FT by PLATT,DAEVON",,,,,,,"MISS FT by PLATT,DAEVON",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
08:54,"SUB OUT by PLATT,DAEVON",,,,,,,"SUB OUT by PLATT,DAEVON",1
08:54,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
08:42,,,,,"TURNOVER  by YOUNG,DILLON",,,"TURNOVER  by YOUNG,DILLON",1
08:42,"STEAL  by MITCHELL,JAMES",,,,,,,"STEAL  by MITCHELL,JAMES",1
08:29,"MISS JUMPER by CRUMLY,WILL(in the paint)",,,,,,,"MISS JUMPER by CRUMLY,WILL(in the paint)",1
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",1
08:14,"FOUL  by IGBANU,PROMISE",,,,,,,"FOUL  by IGBANU,PROMISE",1
08:14,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
08:14,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
08:14,,6,,16 (+10),"GOOD FT by GILLIHAN,NEWLON",Mill 6-16 (+10),,"GOOD FT by GILLIHAN,NEWLON",1
08:14,,6,,17 (+11),"GOOD FT by GILLIHAN,NEWLON",Mill 6-17 (+11),,"GOOD FT by GILLIHAN,NEWLON",1
07:56,"FOUL  by BARNETTE,CHRIS",,,,,,,"FOUL  by BARNETTE,CHRIS",1
07:56,"TURNOVER  by BARNETTE,CHRIS",,,,,,,"TURNOVER  by BARNETTE,CHRIS",1
07:56,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:56,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
07:56,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
07:56,"SUB IN by OETJEN,NOAH",,,,,,,"SUB IN by OETJEN,NOAH",1
07:56,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
07:30,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by OETJEN,NOAH",,,,,,,"REBOUND DEF by OETJEN,NOAH",1
07:06,"GOOD JUMPER by OETJEN,NOAH(in the paint)",8,,17 (+9),,COV 8-17 (+9),,"GOOD JUMPER by OETJEN,NOAH(in the paint)",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
06:47,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
06:47,,,,,"SUB OUT by YOUNG,DILLON",,,"SUB OUT by YOUNG,DILLON",1
06:47,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
06:47,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
06:47,,,,,"SUB IN by JENKINS,KALEB",,,"SUB IN by JENKINS,KALEB",1
06:29,"GOOD JUMPER by BARNETTE,CHRIS(in the paint)",10,,17 (+7),,COV 10-17 (+7),,"GOOD JUMPER by BARNETTE,CHRIS(in the paint)",1
06:12,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:08,"SUB OUT by MITCHELL,JAMES",,,,,,,"SUB OUT by MITCHELL,JAMES",1
06:08,"SUB IN by PALMER,BRADY",,,,,,,"SUB IN by PALMER,BRADY",1
05:54,"MISS JUMPER by BARNETTE,CHRIS",,,,,,,"MISS JUMPER by BARNETTE,CHRIS",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
05:29,,,,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",,,"MISS LAYUP by GILLIHAN,NEWLON(in the paint)",1
05:29,"BLOCK  by ALLEN,ZACK",,,,,,,"BLOCK  by ALLEN,ZACK",1
--,"REBOUND DEF by BARNETTE,CHRIS",,,,,,,"REBOUND DEF by BARNETTE,CHRIS",1
05:21,"MISS LAYUP by ALLEN,ZACK(in the paint)",,,,,,,"MISS LAYUP by ALLEN,ZACK(in the paint)",1
05:21,,,,,"BLOCK  by SPIKES,KALVIN",,,"BLOCK  by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
05:10,,10,,19 (+9),"GOOD LAYUP by SPIKES,KALVIN(in the paint)",Mill 10-19 (+9),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by GILLIHAN,NEWLON",,,"ASSIST  by GILLIHAN,NEWLON",1
04:55,"GOOD 3PTR by ALLEN,ZACK",13,,19 (+6),,COV 13-19 (+6),,"GOOD 3PTR by ALLEN,ZACK",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
04:34,,,,,"MISS JUMPER by JENKINS,KALEB(in the paint)",,,"MISS JUMPER by JENKINS,KALEB(in the paint)",1
--,"REBOUND DEF by ALLEN,ZACK",,,,,,,"REBOUND DEF by ALLEN,ZACK",1
04:23,,,,,"FOUL  by JENKINS,KALEB",,,"FOUL  by JENKINS,KALEB",1
04:23,"GOOD FT by BARNETTE,CHRIS",14,,19 (+5),,COV 14-19 (+5),,"GOOD FT by BARNETTE,CHRIS",1
04:23,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
04:23,,,,,"SUB OUT by JENKINS,KALEB",,,"SUB OUT by JENKINS,KALEB",1
04:23,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
04:23,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
04:23,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
04:23,,,,,"SUB IN by HUGHES,ANTHONY",,,"SUB IN by HUGHES,ANTHONY",1
04:23,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
04:23,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
04:23,"GOOD FT by BARNETTE,CHRIS",15,,19 (+4),,COV 15-19 (+4),,"GOOD FT by BARNETTE,CHRIS",1
04:23,"SUB OUT by BARNETTE,CHRIS",,,,,,,"SUB OUT by BARNETTE,CHRIS",1
04:23,"SUB IN by JAUCH,JARED",,,,,,,"SUB IN by JAUCH,JARED",1
04:10,"FOUL  by ALLEN,ZACK",,,,,,,"FOUL  by ALLEN,ZACK",1
04:10,,,,,"MISS FT by TULLOS,ZACHARY",,,"MISS FT by TULLOS,ZACHARY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:10,"SUB OUT by CRUMLY,WILL",,,,,,,"SUB OUT by CRUMLY,WILL",1
04:10,"SUB OUT by ALLEN,ZACK",,,,,,,"SUB OUT by ALLEN,ZACK",1
04:10,"SUB IN by PLATT,DAEVON",,,,,,,"SUB IN by PLATT,DAEVON",1
04:10,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
04:10,,,,,"MISS FT by TULLOS,ZACHARY",,,"MISS FT by TULLOS,ZACHARY",1
--,"REBOUND DEF by IGBANU,PROMISE",,,,,,,"REBOUND DEF by IGBANU,PROMISE",1
04:10,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
04:10,"MISS FT by IGBANU,PROMISE(fastbreak)",,,,,,,"MISS FT by IGBANU,PROMISE(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:10,"GOOD FT by IGBANU,PROMISE(fastbreak)",16,,19 (+3),,COV 16-19 (+3),,"GOOD FT by IGBANU,PROMISE(fastbreak)",1
03:56,,,,,"MISS JUMPER by MCLAURIN,RYAN",,,"MISS JUMPER by MCLAURIN,RYAN",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
03:51,,16,,21 (+5),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",Mill 16-21 (+5),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
03:39,"TURNOVER  by PALMER,BRADY",,,,,,,"TURNOVER  by PALMER,BRADY",1
03:39,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:32,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
03:32,"SUB OUT by JAUCH,JARED",,,,,,,"SUB OUT by JAUCH,JARED",1
03:32,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
03:32,"SUB IN by BARNETTE,CHRIS",,,,,,,"SUB IN by BARNETTE,CHRIS",1
03:32,"SUB IN by CRUMLY,WILL",,,,,,,"SUB IN by CRUMLY,WILL",1
03:12,"MISS 3PTR by OETJEN,NOAH",,,,,,,"MISS 3PTR by OETJEN,NOAH",1
--,"REBOUND OFF by PLATT,DAEVON",,,,,,,"REBOUND OFF by PLATT,DAEVON",1
03:06,"MISS 3PTR by BARNETTE,CHRIS",,,,,,,"MISS 3PTR by BARNETTE,CHRIS",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
03:03,"FOUL  by OETJEN,NOAH",,,,,,,"FOUL  by OETJEN,NOAH",1
03:03,,16,,22 (+6),"GOOD FT by BECKER,SAXTON(fastbreak)",Mill 16-22 (+6),,"GOOD FT by BECKER,SAXTON(fastbreak)",1
03:03,"SUB OUT by PALMER,BRADY",,,,,,,"SUB OUT by PALMER,BRADY",1
03:03,"SUB IN by HOLLIS,MITCHELL",,,,,,,"SUB IN by HOLLIS,MITCHELL",1
03:03,,16,,23 (+7),"GOOD FT by BECKER,SAXTON(fastbreak)",Mill 16-23 (+7),,"GOOD FT by BECKER,SAXTON(fastbreak)",1
02:50,"GOOD LAYUP by CRUMLY,WILL(in the paint)",18,,23 (+5),,COV 18-23 (+5),,"GOOD LAYUP by CRUMLY,WILL(in the paint)",1
--,"ASSIST  by BARNETTE,CHRIS",,,,,,,"ASSIST  by BARNETTE,CHRIS",1
02:39,"FOUL  by HOLLIS,MITCHELL",,,,,,,"FOUL  by HOLLIS,MITCHELL",1
02:39,,,,,"MISS FT by MCLAURIN,RYAN",,,"MISS FT by MCLAURIN,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:39,"SUB OUT by OETJEN,NOAH",,,,,,,"SUB OUT by OETJEN,NOAH",1
02:39,"SUB IN by ALLEN,ZACK",,,,,,,"SUB IN by ALLEN,ZACK",1
02:39,,,,,"MISS FT by MCLAURIN,RYAN",,,"MISS FT by MCLAURIN,RYAN",1
--,"REBOUND DEF by PLATT,DAEVON",,,,,,,"REBOUND DEF by PLATT,DAEVON",1
02:39,,,,,"FOUL  by TULLOS,ZACHARY",,,"FOUL  by TULLOS,ZACHARY",1
