Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:40,"GOOD JUMPER by HARRIS,KEITH(in the paint)",2 (+2),,0,,MUW 2-0 (-2),,"GOOD JUMPER by HARRIS,KEITH(in the paint)",1
19:22,,,,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",,,"MISS JUMPER by HUGHES,ANTHONY(in the paint)",1
--,"REBOUND DEF by HARRIS,KEITH",,,,,,,"REBOUND DEF by HARRIS,KEITH",1
19:06,"MISS LAYUP by PINKSTON,TRE(in the paint)",,,,,,,"MISS LAYUP by PINKSTON,TRE(in the paint)",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
18:54,,,,,"MISS 3PTR by HUGHES,ANTHONY",,,"MISS 3PTR by HUGHES,ANTHONY",1
--,"REBOUND DEF by JONES,TAVONTA",,,,,,,"REBOUND DEF by JONES,TAVONTA",1
18:34,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
18:34,"MISS JUMPER by JONES,TAVONTA",,,,,,,"MISS JUMPER by JONES,TAVONTA",1
--,,,,,"REBOUND DEF by JENKINS,KALEB",,,"REBOUND DEF by JENKINS,KALEB",1
18:34,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by PINKSTON,TRE",,,,,,,"REBOUND DEF by PINKSTON,TRE",1
17:32,"GOOD JUMPER by PINKSTON,TRE",4 (+4),,0,,MUW 4-0 (-4),,"GOOD JUMPER by PINKSTON,TRE",1
17:24,"FOUL  by HARRIS,KEITH",,,,,,,"FOUL  by HARRIS,KEITH",1
17:05,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
16:55,"GOOD JUMPER by HARRIS,KEITH(in the paint)",6 (+6),,0,,MUW 6-0 (-6),,"GOOD JUMPER by HARRIS,KEITH(in the paint)",1
16:35,,,,,"FOUL  by HUGHES,ANTHONY",,,"FOUL  by HUGHES,ANTHONY",1
16:35,,,,,"TURNOVER  by HUGHES,ANTHONY",,,"TURNOVER  by HUGHES,ANTHONY",1
16:35,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
