Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,Berry,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
15:09,"MISS LAYUP by MCLAURIN,RYAN",,,,,,,"MISS LAYUP by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",1
14:58,,,,,"MISS 3PTR by JONES,DREW",,,"MISS 3PTR by JONES,DREW",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
14:46,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by JOHNSON,MICAH",,,"REBOUND DEF by JOHNSON,MICAH",1
14:19,,,,,"TURNOVER  by JONES,DREW",,,"TURNOVER  by JONES,DREW",1
14:19,"STEAL  by PELT,JUSTIN VAN",,,,,,,"STEAL  by PELT,JUSTIN VAN",1
14:11,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by JONES,DREW",,,"REBOUND DEF by JONES,DREW",1
13:45,,,,,"MISS JUMPER by JOHNSON,MICAH",,,"MISS JUMPER by JOHNSON,MICAH",1
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",1
13:38,,6,,6,"GOOD 3PTR by WEHUNT,DAWSON",Berry 6-6 (0),,"GOOD 3PTR by WEHUNT,DAWSON",1
--,,,,,"ASSIST  by HAYNES,CALEB",,,"ASSIST  by HAYNES,CALEB",1
13:12,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:02,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
13:02,"SUB IN by YOUNG,DILLON",,,,,,,"SUB IN by YOUNG,DILLON",1
13:02,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
13:02,,,,,"SUB IN by COSTAS,RILEY",,,"SUB IN by COSTAS,RILEY",1
13:02,,,,,"SUB IN by GRIDLEY,ISAAC",,,"SUB IN by GRIDLEY,ISAAC",1
13:02,,,,,"SUB IN by ESTES,DJ",,,"SUB IN by ESTES,DJ",1
13:02,,,,,"SUB IN by SOWADA,COLLIN",,,"SUB IN by SOWADA,COLLIN",1
13:02,,,,,"SUB OUT by BROOKS,AUSTIN",,,"SUB OUT by BROOKS,AUSTIN",1
13:02,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",1
13:02,,,,,"SUB OUT by WEHUNT,DAWSON",,,"SUB OUT by WEHUNT,DAWSON",1
13:02,,,,,"SUB OUT by JOHNSON,MICAH",,,"SUB OUT by JOHNSON,MICAH",1
12:56,,,,,"FOUL  by GRIDLEY,ISAAC",,,"FOUL  by GRIDLEY,ISAAC",1
12:56,,,,,"TURNOVER  by GRIDLEY,ISAAC",,,"TURNOVER  by GRIDLEY,ISAAC",1
12:44,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",1
12:42,,,,,"FOUL  by SOWADA,COLLIN",,,"FOUL  by SOWADA,COLLIN",1
--,,,,,"REBOUND DEF by COSTAS,RILEY",,,"REBOUND DEF by COSTAS,RILEY",1
12:29,,,,,"MISS JUMPER by JONES,DREW",,,"MISS JUMPER by JONES,DREW",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
12:09,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",1
--,"REBOUND OFF by HUGHES,ANTHONY",,,,,,,"REBOUND OFF by HUGHES,ANTHONY",1
11:56,"MISS LAYUP by HUGHES,ANTHONY",,,,,,,"MISS LAYUP by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by GRIDLEY,ISAAC",,,"REBOUND DEF by GRIDLEY,ISAAC",1
11:47,,,,,"MISS LAYUP by GRIDLEY,ISAAC",,,"MISS LAYUP by GRIDLEY,ISAAC",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
11:26,"TURNOVER  by BURNETT,DREW",,,,,,,"TURNOVER  by BURNETT,DREW",1
11:26,,,,,"STEAL  by SOWADA,COLLIN",,,"STEAL  by SOWADA,COLLIN",1
10:56,,,,,"MISS LAYUP by SOWADA,COLLIN",,,"MISS LAYUP by SOWADA,COLLIN",1
10:56,"BLOCK  by PELT,JUSTIN VAN",,,,,,,"BLOCK  by PELT,JUSTIN VAN",1
--,"REBOUND DEF by JENKINS,KALEB",,,,,,,"REBOUND DEF by JENKINS,KALEB",1
10:41,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by SOWADA,COLLIN",,,"REBOUND DEF by SOWADA,COLLIN",1
10:33,,6,,8 (+2),"GOOD JUMPER by ESTES,DJ",Berry 6-8 (-2),,"GOOD JUMPER by ESTES,DJ",1
10:07,"MISS 3PTR by JENKINS,KALEB",,,,,,,"MISS 3PTR by JENKINS,KALEB",1
--,,,,,"REBOUND DEF by GRIDLEY,ISAAC",,,"REBOUND DEF by GRIDLEY,ISAAC",1
09:40,,,,,"MISS JUMPER by JONES,DREW",,,"MISS JUMPER by JONES,DREW",1
--,"REBOUND DEF by PELT,JUSTIN VAN",,,,,,,"REBOUND DEF by PELT,JUSTIN VAN",1
09:32,"GOOD LAYUP by YOUNG,DILLON(in the paint)",8,,8,,Mill 8-8 (0),,"GOOD LAYUP by YOUNG,DILLON(in the paint)",1
09:11,,,,,"MISS JUMPER by GRIDLEY,ISAAC",,,"MISS JUMPER by GRIDLEY,ISAAC",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
09:01,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",10 (+2),,8,,Mill 10-8 (+2),,"GOOD LAYUP by HUGHES,ANTHONY(in the paint)",1
08:56,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:56,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
08:56,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
08:56,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
08:56,"SUB OUT by PELT,JUSTIN VAN",,,,,,,"SUB OUT by PELT,JUSTIN VAN",1
08:56,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
08:56,"SUB OUT by JENKINS,KALEB",,,,,,,"SUB OUT by JENKINS,KALEB",1
08:56,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",1
08:56,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",1
