Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
17:04,"SUB OUT by PHILLIPS,BRANDON",,,,,,,"SUB OUT by PHILLIPS,BRANDON",1
17:04,"SUB IN by COOKS,BROSNAN",,,,,,,"SUB IN by COOKS,BROSNAN",1
17:04,,3,,3,"GOOD FT by HUGHES,ANTHONY",Mill 3-3 (0),,"GOOD FT by HUGHES,ANTHONY",1
16:54,"GOOD JUMPER by PRUITT,KELVIN(in the paint)",5 (+2),,3,,BU 5-3 (-2),,"GOOD JUMPER by PRUITT,KELVIN(in the paint)",1
16:34,,5,,5,"GOOD LAYUP by JENKINS,KALEB(in the paint)",Mill 5-5 (0),,"GOOD LAYUP by JENKINS,KALEB(in the paint)",1
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",1
16:20,"TURNOVER  by COOKS,BROSNAN",,,,,,,"TURNOVER  by COOKS,BROSNAN",1
16:20,,,,,"STEAL  by SPIKES,KALVIN",,,"STEAL  by SPIKES,KALVIN",1
16:15,,,,,"MISS JUMPER by HUGHES,ANTHONY",,,"MISS JUMPER by HUGHES,ANTHONY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:10,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
16:10,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
15:57,"MISS JUMPER by COOKS,BROSNAN",,,,,,,"MISS JUMPER by COOKS,BROSNAN",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
15:51,,5,,8 (+3),"GOOD 3PTR by BECKER,SAXTON(fastbreak)",Mill 5-8 (+3),,"GOOD 3PTR by BECKER,SAXTON(fastbreak)",1
--,,,,,"ASSIST  by JENKINS,KALEB",,,"ASSIST  by JENKINS,KALEB",1
15:33,"MISS JUMPER by COOKS,BROSNAN(in the paint)",,,,,,,"MISS JUMPER by COOKS,BROSNAN(in the paint)",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
