Time Remaining,ETBU,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
19:51,,0,,3 (+3),"GOOD 3PTR by JENKINS,KALEB",Mill 0-3 (+3),,"GOOD 3PTR by JENKINS,KALEB",1
--,,,,,"ASSIST  by HUGHES,ANTHONY",,,"ASSIST  by HUGHES,ANTHONY",1
19:31,"GOOD JUMPER by BROWN,LANDIN(in the paint)",2,,3 (+1),,ETBU 2-3 (+1),,"GOOD JUMPER by BROWN,LANDIN(in the paint)",1
19:12,,,,,"TURNOVER  by GRANT,SHE'CHEM",,,"TURNOVER  by GRANT,SHE'CHEM",1
19:12,"STEAL  by BROWN,LANDIN",,,,,,,"STEAL  by BROWN,LANDIN",1
18:53,"MISS LAYUP by HAYNES,CHRIS(in the paint)",,,,,,,"MISS LAYUP by HAYNES,CHRIS(in the paint)",1
--,,,,,"REBOUND DEF by GILLIHAN,NEWLON",,,"REBOUND DEF by GILLIHAN,NEWLON",1
18:43,,,,,"MISS 3PTR by JENKINS,KALEB",,,"MISS 3PTR by JENKINS,KALEB",1
--,"REBOUND DEF by GRAY,JORDAN",,,,,,,"REBOUND DEF by GRAY,JORDAN",1
18:33,"MISS LAYUP by BROWN,LANDIN(in the paint)",,,,,,,"MISS LAYUP by BROWN,LANDIN(in the paint)",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
18:05,,2,,6 (+4),"GOOD 3PTR by GILLIHAN,NEWLON",Mill 2-6 (+4),,"GOOD 3PTR by GILLIHAN,NEWLON",1
--,,,,,"ASSIST  by SPIKES,KALVIN",,,"ASSIST  by SPIKES,KALVIN",1
17:53,"MISS LAYUP by GRAY,JORDAN(in the paint)",,,,,,,"MISS LAYUP by GRAY,JORDAN(in the paint)",1
17:53,,,,,"BLOCK  by SPIKES,KALVIN",,,"BLOCK  by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by HUGHES,ANTHONY",,,"REBOUND DEF by HUGHES,ANTHONY",1
17:46,,,,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",,,"MISS LAYUP by GRANT,SHE'CHEM(in the paint)",1
--,,,,,"REBOUND OFF by GRANT,SHE'CHEM",,,"REBOUND OFF by GRANT,SHE'CHEM",1
17:34,"FOUL  by CONNER,JADEN",,,,,,,"FOUL  by CONNER,JADEN",1
