Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
17:58,,,,,"MISS JUMPER by KILPATRICK,KORY",,,"MISS JUMPER by KILPATRICK,KORY",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
17:17,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
17:15,,,,,"MISS LAYUP by KILPATRICK,KORY",,,"MISS LAYUP by KILPATRICK,KORY",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
17:03,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by CHIEN,KEVIN",,,"REBOUND DEF by CHIEN,KEVIN",2
16:50,,42,,46 (+4),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 42-46 (-4),,"GOOD 3PTR by GALOW,ANDREW",2
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",2
16:22,"GOOD 3PTR by WILLIAMS,TRENT",45,,46 (+1),,SEW 45-46 (-1),,"GOOD 3PTR by WILLIAMS,TRENT",2
16:14,"GOOD JUMPER by AFFRONTI,LEWIS",47 (+1),,46,,SEW 47-46 (+1),,"GOOD JUMPER by AFFRONTI,LEWIS",2
16:14,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
16:10,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
16:10,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
16:10,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
16:10,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
16:10,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
16:10,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
16:10,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
16:10,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
16:10,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
16:10,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
16:02,,47,,48 (+1),"GOOD JUMPER by HARTWELL,THEO",RCMBB12 47-48 (-1),,"GOOD JUMPER by HARTWELL,THEO",2
15:36,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
15:22,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
15:07,,,,,"MISS JUMPER by GALOW,ANDREW",,,"MISS JUMPER by GALOW,ANDREW",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
14:57,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
14:49,,47,,50 (+3),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 47-50 (-3),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
--,,,,,"ASSIST  by HARTWELL,THEO",,,"ASSIST  by HARTWELL,THEO",2
14:19,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
14:07,,47,,52 (+5),"GOOD LAYUP by GALOW,ANDREW(in the paint)",RCMBB12 47-52 (-5),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",2
13:57,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
13:57,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",2
13:57,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
13:57,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
13:57,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
13:40,,,,,"FOUL  by MILLER,JOEY",,,"FOUL  by MILLER,JOEY",2
13:40,"MISS FT by MARTIN,SAM",,,,,,,"MISS FT by MARTIN,SAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:40,"GOOD FT by MARTIN,SAM",48,,52 (+4),,SEW 48-52 (-4),,"GOOD FT by MARTIN,SAM",2
13:40,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
13:40,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
13:16,,48,,54 (+6),"GOOD LAYUP by MILLER,JOEY(in the paint)",RCMBB12 48-54 (-6),,"GOOD LAYUP by MILLER,JOEY(in the paint)",2
--,,,,,"ASSIST  by DUNAVANT,JOHN",,,"ASSIST  by DUNAVANT,JOHN",2
12:44,"TURNOVER  by WILLIAMS,TRENT",,,,,,,"TURNOVER  by WILLIAMS,TRENT",2
12:30,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",2
12:30,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
12:30,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
12:11,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
12:09,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
12:03,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
11:52,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
11:52,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
11:52,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",2
11:52,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",2
11:37,,,,,"TURNOVER  by GALOW,ANDREW",,,"TURNOVER  by GALOW,ANDREW",2
11:33,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",2
11:24,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
11:24,,,,,"BLOCK  by HARTWELL,THEO",,,"BLOCK  by HARTWELL,THEO",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:56,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
10:43,,,,,"MISS JUMPER by MCGRAIL,PATRICK",,,"MISS JUMPER by MCGRAIL,PATRICK",2
10:43,"BLOCK  by BOULDIN,BRETT",,,,,,,"BLOCK  by BOULDIN,BRETT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:26,"GOOD JUMPER by BRYANT,VALENTINO",50,,54 (+4),,SEW 50-54 (-4),,"GOOD JUMPER by BRYANT,VALENTINO",2
10:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:06,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
09:45,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
09:40,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
09:40,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
09:40,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
09:40,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
09:20,,,,,"MISS JUMPER by CHIEN,KEVIN",,,"MISS JUMPER by CHIEN,KEVIN",2
09:20,"BLOCK  by AFFRONTI,LEWIS",,,,,,,"BLOCK  by AFFRONTI,LEWIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:07,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",2
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",2
08:58,,50,,57 (+7),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 50-57 (-7),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
08:34,"GOOD JUMPER by BRYANT,VALENTINO",52,,57 (+5),,SEW 52-57 (-5),,"GOOD JUMPER by BRYANT,VALENTINO",2
08:19,,52,,59 (+7),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 52-59 (-7),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,,,,,"ASSIST  by GALLAGHER,MICHAEL",,,"ASSIST  by GALLAGHER,MICHAEL",2
07:53,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",2
07:40,,52,,62 (+10),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 52-62 (-10),,"GOOD 3PTR by GALLAGHER,MICHAEL",2
07:35,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
07:35,,52,,63 (+11),"GOOD FT by GALLAGHER,MICHAEL",RCMBB12 52-63 (-11),,"GOOD FT by GALLAGHER,MICHAEL",2
07:35,"GOOD 3PTR by AFFRONTI,LEWIS",55,,63 (+8),,SEW 55-63 (-8),,"GOOD 3PTR by AFFRONTI,LEWIS",2
07:35,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",2
07:35,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
07:35,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
07:35,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
07:35,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
07:35,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
07:35,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
07:35,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
07:35,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
07:35,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
07:32,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,"REBOUND DEF by MARTIN,SAM",,,,,,,"REBOUND DEF by MARTIN,SAM",2
07:25,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:22,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
07:22,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
07:22,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
07:22,"GOOD LAYUP by BROWN,TYLER(in the paint)",57,,63 (+6),,SEW 57-63 (-6),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
07:22,,57,,65 (+8),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 57-65 (-8),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
07:18,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",2
06:59,,57,,66 (+9),"GOOD FT by KILPATRICK,KORY",RCMBB12 57-66 (-9),,"GOOD FT by KILPATRICK,KORY",2
06:34,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by MILLER,JOEY",,,"REBOUND DEF by MILLER,JOEY",2
06:25,,57,,68 (+11),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB12 57-68 (-11),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",2
06:25,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:25,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
06:25,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
06:25,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",2
06:25,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
06:25,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
06:25,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
05:14,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:14,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
05:14,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
05:14,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",2
05:14,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
05:14,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
05:14,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
05:14,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
05:14,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",2
05:12,,57,,70 (+13),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 57-70 (-13),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by KILPATRICK,KORY",,,"ASSIST  by KILPATRICK,KORY",2
04:56,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
04:25,,57,,73 (+16),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 57-73 (-16),,"GOOD 3PTR by GALOW,ANDREW",2
04:09,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
03:54,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
03:54,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
03:43,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
03:43,,,,,"MISS FT by HARTWELL,THEO",,,"MISS FT by HARTWELL,THEO",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
03:43,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
03:43,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
03:40,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
03:36,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",,,"REBOUND DEF by GALLAGHER,MICHAEL",2
03:04,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
03:04,,57,,74 (+17),"GOOD FT by KILPATRICK,KORY",RCMBB12 57-74 (-17),,"GOOD FT by KILPATRICK,KORY",2
03:04,,57,,75 (+18),"GOOD FT by KILPATRICK,KORY",RCMBB12 57-75 (-18),,"GOOD FT by KILPATRICK,KORY",2
03:04,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by KILPATRICK,KORY",,,"REBOUND DEF by KILPATRICK,KORY",2
03:04,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",2
03:04,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
03:04,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
03:04,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
03:04,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
03:04,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",2
02:45,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",2
02:45,,57,,76 (+19),"GOOD FT by MCGRAIL,PATRICK",RCMBB12 57-76 (-19),,"GOOD FT by MCGRAIL,PATRICK",2
02:45,,57,,77 (+20),"GOOD FT by MCGRAIL,PATRICK",RCMBB12 57-77 (-20),,"GOOD FT by MCGRAIL,PATRICK",2
02:45,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
02:45,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",2
02:45,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
02:45,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
02:45,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
02:45,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
02:21,"GOOD LAYUP by MARTIN,SAM(in the paint)",59,,77 (+18),,SEW 59-77 (-18),,"GOOD LAYUP by MARTIN,SAM(in the paint)",2
01:44,,,,,"MISS LAYUP by GALLAGHER,MICHAEL",,,"MISS LAYUP by GALLAGHER,MICHAEL",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
01:35,"GOOD 3PTR by BEVIACQUA,BRYAN",62,,77 (+15),,SEW 62-77 (-15),,"GOOD 3PTR by BEVIACQUA,BRYAN",2
01:30,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
01:30,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
01:16,,,,,"MISS LAYUP by MILLER,JOEY",,,"MISS LAYUP by MILLER,JOEY",2
--,"REBOUND DEF by MARTIN,SAM",,,,,,,"REBOUND DEF by MARTIN,SAM",2
00:48,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
