Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
13:52,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",1
13:52,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
13:52,"SUB IN by GRACE,WES",,,,,,,"SUB IN by GRACE,WES",1
13:52,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",1
13:52,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",1
13:52,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
13:52,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
13:52,,,,,"SUB IN by PIEDRAHITA,BLAKE",,,"SUB IN by PIEDRAHITA,BLAKE",1
13:52,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
13:52,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
13:52,,,,,"SUB IN by CATES,REID",,,"SUB IN by CATES,REID",1
13:52,,,,,"SUB IN by DAVIS,MAX",,,"SUB IN by DAVIS,MAX",1
13:52,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",1
13:52,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",1
13:52,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",1
13:52,,,,,"SUB OUT by DUNAVANT,JOHN",,,"SUB OUT by DUNAVANT,JOHN",1
13:52,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",1
13:44,"GOOD FT by MARTIN,SAM",13,,17 (+4),,SEW 13-17 (-4),,"GOOD FT by MARTIN,SAM",1
13:44,"GOOD FT by MARTIN,SAM",14,,17 (+3),,SEW 14-17 (-3),,"GOOD FT by MARTIN,SAM",1
13:44,,14,,20 (+6),"GOOD 3PTR by MILLER,JOEY",RCMBB12 14-20 (-6),,"GOOD 3PTR by MILLER,JOEY",1
13:44,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",1
13:44,"MISS 3PTR by BEVIACQUA,BRYAN",,,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",1
--,,,,,"REBOUND DEF by MCGRAIL,PATRICK",,,"REBOUND DEF by MCGRAIL,PATRICK",1
13:44,,14,,23 (+9),"GOOD 3PTR by GALLAGHER,MICHAEL",RCMBB12 14-23 (-9),,"GOOD 3PTR by GALLAGHER,MICHAEL",1
13:44,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",1
