Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
13:17,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
12:57,,,,,"TURNOVER  by MARTIN,SAM",,,"TURNOVER  by MARTIN,SAM",1
12:49,"TURNOVER  by MURPHY,NICK",,,,,,,"TURNOVER  by MURPHY,NICK",1
12:19,,,,,"MISS LAYUP by WILLIAMS,TRENT",,,"MISS LAYUP by WILLIAMS,TRENT",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
12:09,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
12:09,"GOOD FT by SCHAMP,GRIFFIN",16 (+6),,10,,BSC 16-10 (-6),,"GOOD FT by SCHAMP,GRIFFIN",1
12:09,"GOOD FT by SCHAMP,GRIFFIN",17 (+7),,10,,BSC 17-10 (-7),,"GOOD FT by SCHAMP,GRIFFIN",1
11:38,,17 (+5),,12,"GOOD JUMPER by BEVIACQUA,BRYAN",SEWANEE 17-12 (-5),,"GOOD JUMPER by BEVIACQUA,BRYAN",1
11:17,"GOOD 3PTR by JONUS,JASEN",20 (+8),,12,,BSC 20-12 (-8),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
10:54,,20 (+5),,15,"GOOD 3PTR by MARTIN,SAM",SEWANEE 20-15 (-5),,"GOOD 3PTR by MARTIN,SAM",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
10:39,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
10:39,"GOOD FT by KEGARISE,KEVIN",21 (+6),,15,,BSC 21-15 (-6),,"GOOD FT by KEGARISE,KEVIN",1
10:39,"GOOD FT by KEGARISE,KEVIN",22 (+7),,15,,BSC 22-15 (-7),,"GOOD FT by KEGARISE,KEVIN",1
10:39,"GOOD FT by KEGARISE,KEVIN",23 (+8),,15,,BSC 23-15 (-8),,"GOOD FT by KEGARISE,KEVIN",1
10:07,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
09:50,,,,,"FOUL  by KIRKPATRICK,TODD",,,"FOUL  by KIRKPATRICK,TODD",1
09:50,"GOOD FT by LEE,CALEB",24 (+9),,15,,BSC 24-15 (-9),,"GOOD FT by LEE,CALEB",1
09:50,"MISS FT by LEE,CALEB",,,,,,,"MISS FT by LEE,CALEB",1
--,,,,,"REBOUND DEF by KIRKPATRICK,TODD",,,"REBOUND DEF by KIRKPATRICK,TODD",1
09:35,"FOUL  by JONUS,JASEN",,,,,,,"FOUL  by JONUS,JASEN",1
09:22,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
09:13,"GOOD 3PTR by KEGARISE,KEVIN",27 (+12),,15,,BSC 27-15 (-12),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by JONUS,JASEN",,,,,,,"ASSIST  by JONUS,JASEN",1
08:55,,,,,"TURNOVER  by KIRKPATRICK,TODD",,,"TURNOVER  by KIRKPATRICK,TODD",1
08:55,,,,,"FOUL  by KIRKPATRICK,TODD",,,"FOUL  by KIRKPATRICK,TODD",1
08:42,"MISS JUMPER by KEGARISE,KEVIN",,,,,,,"MISS JUMPER by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",1
08:21,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",1
08:13,"GOOD LAYUP by HENRY,COLIN(in the paint)",29 (+14),,15,,BSC 29-15 (-14),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
07:52,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
07:48,"TURNOVER  by LEE,CALEB",,,,,,,"TURNOVER  by LEE,CALEB",1
07:38,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
07:23,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:12,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",31 (+16),,15,,BSC 31-15 (-16),,"GOOD JUMPER by SCHAMP,GRIFFIN(in the paint)",1
06:42,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by VEAL,ROBERT",,,"REBOUND OFF by VEAL,ROBERT",1
06:36,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
06:29,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
06:29,,,,,"BLOCK  by BRYANT,VALENTINO",,,"BLOCK  by BRYANT,VALENTINO",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:24,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
06:07,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",1
05:54,"GOOD 3PTR by MURPHY,NICK",34 (+19),,15,,BSC 34-15 (-19),,"GOOD 3PTR by MURPHY,NICK",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
05:48,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
05:47,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",36 (+21),,15,,BSC 36-15 (-21),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
05:14,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
05:12,"STEAL  by SCHAMP,GRIFFIN",,,,,,,"STEAL  by SCHAMP,GRIFFIN",1
05:07,"GOOD 3PTR by MURPHY,NICK",39 (+24),,15,,BSC 39-15 (-24),,"GOOD 3PTR by MURPHY,NICK",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
04:46,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",1
04:45,"STEAL  by HOLLAND,JASON",,,,,,,"STEAL  by HOLLAND,JASON",1
04:43,"GOOD LAYUP by HOLLAND,JASON(fastbreak)(in the paint)",41 (+26),,15,,BSC 41-15 (-26),,"GOOD LAYUP by HOLLAND,JASON(fastbreak)(in the paint)",1
04:23,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
04:19,,,,,"MISS LAYUP by NELSON,ANVIL",,,"MISS LAYUP by NELSON,ANVIL",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
04:08,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
04:08,"MISS FT by LEE,CALEB",,,,,,,"MISS FT by LEE,CALEB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:08,"GOOD FT by LEE,CALEB",42 (+27),,15,,BSC 42-15 (-27),,"GOOD FT by LEE,CALEB",1
03:38,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",1
--,,,,,"REBOUND OFF by BOULDIN,BRETT",,,"REBOUND OFF by BOULDIN,BRETT",1
03:33,"FOUL  by MURPHY,NICK",,,,,,,"FOUL  by MURPHY,NICK",1
03:33,,,,,"MISS FT by BOULDIN,BRETT",,,"MISS FT by BOULDIN,BRETT",1
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",1
03:16,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",44 (+29),,15,,BSC 44-15 (-29),,"GOOD LAYUP by SCHAMP,GRIFFIN(in the paint)",1
02:52,,,,,"MISS JUMPER by BEVIACQUA,BRYAN",,,"MISS JUMPER by BEVIACQUA,BRYAN",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
02:29,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
02:25,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
02:25,,44 (+28),,16,"GOOD FT by BEVIACQUA,BRYAN",SEWANEE 44-16 (-28),,"GOOD FT by BEVIACQUA,BRYAN",1
02:25,,44 (+27),,17,"GOOD FT by BEVIACQUA,BRYAN",SEWANEE 44-17 (-27),,"GOOD FT by BEVIACQUA,BRYAN",1
02:10,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
02:10,"GOOD FT by JONUS,JASEN",45 (+28),,17,,BSC 45-17 (-28),,"GOOD FT by JONUS,JASEN",1
02:10,"MISS FT by JONUS,JASEN",,,,,,,"MISS FT by JONUS,JASEN",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
01:51,,45 (+26),,19,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 45-19 (-26),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
01:51,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
01:51,,45 (+25),,20,"GOOD FT by NELSON,ANVIL",SEWANEE 45-20 (-25),,"GOOD FT by NELSON,ANVIL",1
01:44,"GOOD JUMPER by JONUS,JASEN(in the paint)",47 (+27),,20,,BSC 47-20 (-27),,"GOOD JUMPER by JONUS,JASEN(in the paint)",1
01:26,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
01:12,"GOOD LAYUP by HENRY,COLIN(in the paint)",49 (+29),,20,,BSC 49-20 (-29),,"GOOD LAYUP by HENRY,COLIN(in the paint)",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
01:12,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",1
01:12,"GOOD FT by HENRY,COLIN",50 (+30),,20,,BSC 50-20 (-30),,"GOOD FT by HENRY,COLIN",1
00:52,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",1
00:50,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
00:43,"GOOD JUMPER by FREEMAN,SCHYLAR",52 (+32),,20,,BSC 52-20 (-32),,"GOOD JUMPER by FREEMAN,SCHYLAR",1
00:21,,52 (+30),,22,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 52-22 (-30),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
00:02,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
00:00,,,,,"MISS 3PTR by NELSON,ANVIL",,,"MISS 3PTR by NELSON,ANVIL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:41,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
19:35,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
19:34,,,,,"STEAL  by BROWN,TYLER",,,"STEAL  by BROWN,TYLER",2
19:14,,52 (+28),,24,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEWANEE 52-24 (-28),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",2
18:37,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
18:30,"GOOD 3PTR by JONUS,JASEN",55 (+31),,24,,BSC 55-24 (-31),,"GOOD 3PTR by JONUS,JASEN",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
18:06,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
17:57,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
17:56,"GOOD DUNK by RICHARDS,ZAC(in the paint)",57 (+33),,24,,BSC 57-24 (-33),,"GOOD DUNK by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
17:32,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by JONUS,JASEN",,,,,,,"REBOUND DEF by JONUS,JASEN",2
17:24,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
17:24,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:24,"GOOD FT by RICHARDS,ZAC",58 (+34),,24,,BSC 58-24 (-34),,"GOOD FT by RICHARDS,ZAC",2
17:18,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
17:13,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
17:10,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND OFF by JONUS,JASEN",,,,,,,"REBOUND OFF by JONUS,JASEN",2
16:47,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
16:47,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
16:26,,58 (+32),,26,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 58-26 (-32),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
16:26,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
16:26,,58 (+31),,27,"GOOD FT by BROWN,TYLER",SEWANEE 58-27 (-31),,"GOOD FT by BROWN,TYLER",2
16:21,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
16:13,"FOUL  by LEE,CALEB",,,,,,,"FOUL  by LEE,CALEB",2
15:57,,58 (+29),,29,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 58-29 (-29),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
15:40,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",2
--,"REBOUND OFF by KEGARISE,KEVIN",,,,,,,"REBOUND OFF by KEGARISE,KEVIN",2
15:35,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",2
15:34,,,,,"STEAL  by WILLIAMS,TRENT",,,"STEAL  by WILLIAMS,TRENT",2
15:32,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
15:31,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
15:03,,58 (+27),,31,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEWANEE 58-31 (-27),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
14:54,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
14:45,"GOOD LAYUP by LEE,CALEB(in the paint)",60 (+29),,31,,BSC 60-31 (-29),,"GOOD LAYUP by LEE,CALEB(in the paint)",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
14:45,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
14:45,"GOOD FT by LEE,CALEB",61 (+30),,31,,BSC 61-31 (-30),,"GOOD FT by LEE,CALEB",2
14:43,,61 (+28),,33,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEWANEE 61-33 (-28),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
14:25,"GOOD 3PTR by THOMAS,LARRY",64 (+31),,33,,BSC 64-33 (-31),,"GOOD 3PTR by THOMAS,LARRY",2
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",2
14:03,,,,,"MISS 3PTR by VEAL,ROBERT",,,"MISS 3PTR by VEAL,ROBERT",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
13:57,,,,,"FOUL TECH by VEAL,ROBERT",,,"FOUL TECH by VEAL,ROBERT",2
13:57,"GOOD FT by SCHAMP,GRIFFIN",65 (+32),,33,,BSC 65-33 (-32),,"GOOD FT by SCHAMP,GRIFFIN",2
13:57,"GOOD FT by SCHAMP,GRIFFIN",66 (+33),,33,,BSC 66-33 (-33),,"GOOD FT by SCHAMP,GRIFFIN",2
13:31,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
13:31,"GOOD FT by LEE,CALEB",67 (+34),,33,,BSC 67-33 (-34),,"GOOD FT by LEE,CALEB",2
13:31,"GOOD FT by LEE,CALEB",68 (+35),,33,,BSC 68-33 (-35),,"GOOD FT by LEE,CALEB",2
13:11,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,"REBOUND DEF by MURPHY,NICK",,,,,,,"REBOUND DEF by MURPHY,NICK",2
12:46,"MISS JUMPER by LEE,CALEB",,,,,,,"MISS JUMPER by LEE,CALEB",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
12:28,,,,,"MISS JUMPER by MARTIN,SAM",,,"MISS JUMPER by MARTIN,SAM",2
--,"REBOUND DEF by LEE,CALEB",,,,,,,"REBOUND DEF by LEE,CALEB",2
12:15,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
12:15,"GOOD FT by HENRY,COLIN",69 (+36),,33,,BSC 69-33 (-36),,"GOOD FT by HENRY,COLIN",2
12:15,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",2
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",2
11:40,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
11:14,"MISS JUMPER by WHITE,BLAISE",,,,,,,"MISS JUMPER by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
