Time Remaining,RCMBB12,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
16:22,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",1
15:55,"FOUL  by KILPATRICK,KORY",,,,,,,"FOUL  by KILPATRICK,KORY",1
15:55,,7 (+4),,3,"GOOD FT by AFFRONTI,LEWIS",SEW 7-3 (-4),,"GOOD FT by AFFRONTI,LEWIS",1
15:55,,,,,"MISS FT by AFFRONTI,LEWIS",,,"MISS FT by AFFRONTI,LEWIS",1
--,"REBOUND DEF by MCGRAIL,PATRICK",,,,,,,"REBOUND DEF by MCGRAIL,PATRICK",1
15:36,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
15:10,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
15:10,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
15:10,"TURNOVER  by DUNAVANT,JOHN",,,,,,,"TURNOVER  by DUNAVANT,JOHN",1
15:10,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:08,"GOOD 3PTR by DUNAVANT,JOHN",10 (+7),,3,,RCMBB12 10-3 (-7),,"GOOD 3PTR by DUNAVANT,JOHN",1
15:02,"FOUL  by LIVSEY,GEOFF",,,,,,,"FOUL  by LIVSEY,GEOFF",1
14:55,,10 (+5),,5,"GOOD JUMPER by BOULDIN,BRETT(in the paint)",SEW 10-5 (-5),,"GOOD JUMPER by BOULDIN,BRETT(in the paint)",1
14:42,"MISS JUMPER by MILLER,DREW",,,,,,,"MISS JUMPER by MILLER,DREW",1
--,"REBOUND OFF by KILPATRICK,KORY",,,,,,,"REBOUND OFF by KILPATRICK,KORY",1
14:27,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
14:26,,,,,"STEAL  by BROWN,TYLER",,,"STEAL  by BROWN,TYLER",1
14:02,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
14:01,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
13:48,"GOOD 3PTR by GALOW,ANDREW",13 (+8),,5,,RCMBB12 13-5 (-8),,"GOOD 3PTR by GALOW,ANDREW",1
12:46,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",1
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",1
12:17,"TURNOVER  by GALLAGHER,MICHAEL",,,,,,,"TURNOVER  by GALLAGHER,MICHAEL",1
12:16,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",1
12:05,,13 (+5),,8,"GOOD 3PTR by BROWN,TYLER",SEW 13-8 (-5),,"GOOD 3PTR by BROWN,TYLER",1
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",1
11:41,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",15 (+7),,8,,RCMBB12 15-8 (-7),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
11:08,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
11:08,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
11:00,"GOOD 3PTR by DUNAVANT,JOHN",18 (+10),,8,,RCMBB12 18-8 (-10),,"GOOD 3PTR by DUNAVANT,JOHN",1
--,"ASSIST  by CHIEN,KEVIN",,,,,,,"ASSIST  by CHIEN,KEVIN",1
10:48,"FOUL  by CHIEN,KEVIN",,,,,,,"FOUL  by CHIEN,KEVIN",1
10:45,,,,,"MISS JUMPER by BOULDIN,BRETT",,,"MISS JUMPER by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",1
10:41,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
10:40,"STEAL  by GALLAGHER,MICHAEL",,,,,,,"STEAL  by GALLAGHER,MICHAEL",1
10:37,"MISS LAYUP by GALLAGHER,MICHAEL",,,,,,,"MISS LAYUP by GALLAGHER,MICHAEL",1
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",1
10:33,"MISS JUMPER by HARTWELL,THEO",,,,,,,"MISS JUMPER by HARTWELL,THEO",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
10:09,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by CHIEN,KEVIN",,,,,,,"REBOUND DEF by CHIEN,KEVIN",1
09:55,"MISS 3PTR by GALLAGHER,MICHAEL",,,,,,,"MISS 3PTR by GALLAGHER,MICHAEL",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
09:37,,18 (+8),,10,"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 18-10 (-8),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
--,"ASSIST  by DAVIS,MAX",,,,,,,"ASSIST  by DAVIS,MAX",1
09:37,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",1
09:37,,18 (+7),,11,"GOOD FT by NELSON,ANVIL",SEW 18-11 (-7),,"GOOD FT by NELSON,ANVIL",1
09:15,"GOOD LAYUP by HARTWELL,THEO(in the paint)",20 (+9),,11,,RCMBB12 20-11 (-9),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",1
08:47,,20 (+6),,14,"GOOD 3PTR by VEAL,ROBERT",SEW 20-14 (-6),,"GOOD 3PTR by VEAL,ROBERT",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
08:23,"GOOD JUMPER by GALOW,ANDREW",22 (+8),,14,,RCMBB12 22-14 (-8),,"GOOD JUMPER by GALOW,ANDREW",1
08:23,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
08:23,"GOOD FT by GALOW,ANDREW",23 (+9),,14,,RCMBB12 23-14 (-9),,"GOOD FT by GALOW,ANDREW",1
08:01,,23 (+7),,16,"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",SEW 23-16 (-7),,"GOOD JUMPER by BRYANT,VALENTINO(in the paint)",1
07:52,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",1
--,"REBOUND OFF by HARTWELL,THEO",,,,,,,"REBOUND OFF by HARTWELL,THEO",1
07:47,"GOOD JUMPER by HARTWELL,THEO(in the paint)",25 (+9),,16,,RCMBB12 25-16 (-9),,"GOOD JUMPER by HARTWELL,THEO(in the paint)",1
07:32,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:17,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
06:53,,25 (+6),,19,"GOOD 3PTR by BOULDIN,BRETT",SEW 25-19 (-6),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
06:39,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
06:25,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",1
06:06,"GOOD 3PTR by GALOW,ANDREW",28 (+9),,19,,RCMBB12 28-19 (-9),,"GOOD 3PTR by GALOW,ANDREW",1
05:51,,28 (+7),,21,"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 28-21 (-7),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
05:30,"MISS JUMPER by KILPATRICK,KORY",,,,,,,"MISS JUMPER by KILPATRICK,KORY",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
05:10,,28 (+4),,24,"GOOD 3PTR by BOULDIN,BRETT",SEW 28-24 (-4),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BROWN,TYLER",,,"ASSIST  by BROWN,TYLER",1
04:40,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",30 (+6),,24,,RCMBB12 30-24 (-6),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",1
04:07,,30 (+4),,26,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",SEW 30-26 (-4),,"GOOD LAYUP by BOULDIN,BRETT(in the paint)",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
03:57,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",1
03:39,"TURNOVER  by LIVSEY,GEOFF",,,,,,,"TURNOVER  by LIVSEY,GEOFF",1
03:38,,,,,"STEAL  by KIRKPATRICK,TODD",,,"STEAL  by KIRKPATRICK,TODD",1
03:13,,30 (+1),,29,"GOOD 3PTR by BROWN,TYLER",SEW 30-29 (-1),,"GOOD 3PTR by BROWN,TYLER",1
02:55,"MISS 3PTR by GALOW,ANDREW",,,,,,,"MISS 3PTR by GALOW,ANDREW",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
02:21,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",1
02:14,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
02:13,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",1
01:53,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",1
01:38,"TURNOVER  by DUNAVANT,JOHN",,,,,,,"TURNOVER  by DUNAVANT,JOHN",1
01:22,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
01:19,,30,,31 (+1),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEW 30-31 (+1),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
00:48,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",1
00:48,"GOOD FT by GALOW,ANDREW",31,,31,,RCMBB12 31-31 (0),,"GOOD FT by GALOW,ANDREW",1
00:48,"GOOD FT by GALOW,ANDREW",32 (+1),,31,,RCMBB12 32-31 (-1),,"GOOD FT by GALOW,ANDREW",1
00:36,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",1
00:09,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",1
00:08,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",1
00:04,,32,,33 (+1),"GOOD DUNK by BRYANT,VALENTINO(fastbreak)(in the paint)",SEW 32-33 (+1),,"GOOD DUNK by BRYANT,VALENTINO(fastbreak)(in the paint)",1
19:45,,32,,35 (+3),"GOOD JUMPER by AFFRONTI,LEWIS",SEW 32-35 (+3),,"GOOD JUMPER by AFFRONTI,LEWIS",2
--,,,,,"ASSIST  by BROWN,TYLER",,,"ASSIST  by BROWN,TYLER",2
19:42,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
19:29,"MISS JUMPER by DUNAVANT,JOHN",,,,,,,"MISS JUMPER by DUNAVANT,JOHN",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
19:07,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",2
19:06,"STEAL  by KILPATRICK,KORY",,,,,,,"STEAL  by KILPATRICK,KORY",2
18:43,"GOOD JUMPER by DUNAVANT,JOHN",34,,35 (+1),,RCMBB12 34-35 (+1),,"GOOD JUMPER by DUNAVANT,JOHN",2
18:19,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
17:54,"GOOD LAYUP by GALOW,ANDREW(in the paint)",36 (+1),,35,,RCMBB12 36-35 (-1),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
17:31,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
17:31,"STEAL  by HARTWELL,THEO",,,,,,,"STEAL  by HARTWELL,THEO",2
17:13,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
17:06,"MISS LAYUP by KILPATRICK,KORY",,,,,,,"MISS LAYUP by KILPATRICK,KORY",2
--,"REBOUND OFF by KILPATRICK,KORY",,,,,,,"REBOUND OFF by KILPATRICK,KORY",2
17:04,"MISS LAYUP by KILPATRICK,KORY",,,,,,,"MISS LAYUP by KILPATRICK,KORY",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
16:59,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
16:57,"STEAL  by KILPATRICK,KORY",,,,,,,"STEAL  by KILPATRICK,KORY",2
16:57,"TURNOVER  by HARTWELL,THEO",,,,,,,"TURNOVER  by HARTWELL,THEO",2
16:57,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
16:41,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
16:41,,36,,36,"GOOD FT by WILLIAMS,TRENT",SEW 36-36 (0),,"GOOD FT by WILLIAMS,TRENT",2
16:41,,36,,37 (+1),"GOOD FT by WILLIAMS,TRENT",SEW 36-37 (+1),,"GOOD FT by WILLIAMS,TRENT",2
16:17,"TURNOVER  by DUNAVANT,JOHN",,,,,,,"TURNOVER  by DUNAVANT,JOHN",2
16:15,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
16:13,,36,,39 (+3),"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",SEW 36-39 (+3),,"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",2
15:51,"TURNOVER  by GALOW,ANDREW",,,,,,,"TURNOVER  by GALOW,ANDREW",2
15:34,,36,,41 (+5),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEW 36-41 (+5),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
15:09,"MISS 3PTR by MILLER,DREW",,,,,,,"MISS 3PTR by MILLER,DREW",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
14:50,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
14:40,"GOOD LAYUP by GALOW,ANDREW(in the paint)",38,,41 (+3),,RCMBB12 38-41 (+3),,"GOOD LAYUP by GALOW,ANDREW(in the paint)",2
14:21,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",2
14:19,"STEAL  by HARTWELL,THEO",,,,,,,"STEAL  by HARTWELL,THEO",2
14:19,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",2
14:06,"MISS LAYUP by MILLER,DREW",,,,,,,"MISS LAYUP by MILLER,DREW",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
13:40,"FOUL  by MILLER,JOEY",,,,,,,"FOUL  by MILLER,JOEY",2
13:40,,38,,42 (+4),"GOOD FT by WILLIAMS,TRENT",SEW 38-42 (+4),,"GOOD FT by WILLIAMS,TRENT",2
13:40,,38,,43 (+5),"GOOD FT by WILLIAMS,TRENT",SEW 38-43 (+5),,"GOOD FT by WILLIAMS,TRENT",2
13:11,"MISS JUMPER by KILPATRICK,KORY",,,,,,,"MISS JUMPER by KILPATRICK,KORY",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
12:55,"FOUL  by KILPATRICK,KORY",,,,,,,"FOUL  by KILPATRICK,KORY",2
12:55,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",2
12:55,"GOOD FT by GALOW,ANDREW",39,,43 (+4),,RCMBB12 39-43 (+4),,"GOOD FT by GALOW,ANDREW",2
12:55,"GOOD FT by GALOW,ANDREW",40,,43 (+3),,RCMBB12 40-43 (+3),,"GOOD FT by GALOW,ANDREW",2
12:52,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
12:52,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",2
12:20,"MISS LAYUP by MILLER,JOEY",,,,,,,"MISS LAYUP by MILLER,JOEY",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
11:52,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",2
11:42,"MISS LAYUP by GALOW,ANDREW",,,,,,,"MISS LAYUP by GALOW,ANDREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:23,,,,,"MISS LAYUP by NELSON,ANVIL",,,"MISS LAYUP by NELSON,ANVIL",2
--,"REBOUND DEF by GALOW,ANDREW",,,,,,,"REBOUND DEF by GALOW,ANDREW",2
11:22,,,,,"FOUL  by WILLIAMS,TRENT",,,"FOUL  by WILLIAMS,TRENT",2
10:58,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
10:37,"MISS 3PTR by LIVSEY,GEOFF",,,,,,,"MISS 3PTR by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",2
10:10,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
10:01,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
10:00,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
10:00,"GOOD FT by LIVSEY,GEOFF",41,,43 (+2),,RCMBB12 41-43 (+2),,"GOOD FT by LIVSEY,GEOFF",2
10:00,"MISS FT by LIVSEY,GEOFF",,,,,,,"MISS FT by LIVSEY,GEOFF",2
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",2
09:52,"FOUL  by GALLAGHER,MICHAEL",,,,,,,"FOUL  by GALLAGHER,MICHAEL",2
09:28,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND DEF by GALLAGHER,MICHAEL",,,,,,,"REBOUND DEF by GALLAGHER,MICHAEL",2
09:04,"MISS 3PTR by KILPATRICK,KORY",,,,,,,"MISS 3PTR by KILPATRICK,KORY",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
08:43,"FOUL  by HARTWELL,THEO",,,,,,,"FOUL  by HARTWELL,THEO",2
08:43,,41,,44 (+3),"GOOD FT by NELSON,ANVIL",SEW 41-44 (+3),,"GOOD FT by NELSON,ANVIL",2
08:43,,,,,"MISS FT by NELSON,ANVIL",,,"MISS FT by NELSON,ANVIL",2
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",2
08:10,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",43,,44 (+1),,RCMBB12 43-44 (+1),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
06:36,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",2
06:36,"STEAL  by DUNAVANT,JOHN",,,,,,,"STEAL  by DUNAVANT,JOHN",2
06:34,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
06:34,"MISS FT by GALOW,ANDREW",,,,,,,"MISS FT by GALOW,ANDREW",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
06:34,"FOUL  by CHIEN,KEVIN",,,,,,,"FOUL  by CHIEN,KEVIN",2
06:34,,43,,45 (+2),"GOOD FT by VEAL,ROBERT",SEW 43-45 (+2),,"GOOD FT by VEAL,ROBERT",2
06:34,,43,,46 (+3),"GOOD FT by VEAL,ROBERT",SEW 43-46 (+3),,"GOOD FT by VEAL,ROBERT",2
06:33,"GOOD 3PTR by GALOW,ANDREW",46,,46,,RCMBB12 46-46 (0),,"GOOD 3PTR by GALOW,ANDREW",2
06:27,,46,,48 (+2),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEW 46-48 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
06:16,"MISS 3PTR by DUNAVANT,JOHN",,,,,,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
06:01,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
05:54,"GOOD JUMPER by GALOW,ANDREW(in the paint)",48,,48,,RCMBB12 48-48 (0),,"GOOD JUMPER by GALOW,ANDREW(in the paint)",2
05:34,,,,,"MISS LAYUP by VEAL,ROBERT",,,"MISS LAYUP by VEAL,ROBERT",2
--,"REBOUND DEF by KILPATRICK,KORY",,,,,,,"REBOUND DEF by KILPATRICK,KORY",2
05:12,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",50 (+2),,48,,RCMBB12 50-48 (-2),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
--,"ASSIST  by CHIEN,KEVIN",,,,,,,"ASSIST  by CHIEN,KEVIN",2
04:55,,,,,"MISS LAYUP by BRYANT,VALENTINO",,,"MISS LAYUP by BRYANT,VALENTINO",2
--,"REBOUND DEF by LIVSEY,GEOFF",,,,,,,"REBOUND DEF by LIVSEY,GEOFF",2
04:40,"MISS LAYUP by DUNAVANT,JOHN",,,,,,,"MISS LAYUP by DUNAVANT,JOHN",2
--,"REBOUND OFF by LIVSEY,GEOFF",,,,,,,"REBOUND OFF by LIVSEY,GEOFF",2
04:23,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
04:23,"GOOD FT by GALOW,ANDREW",51 (+3),,48,,RCMBB12 51-48 (-3),,"GOOD FT by GALOW,ANDREW",2
04:23,"GOOD FT by GALOW,ANDREW",52 (+4),,48,,RCMBB12 52-48 (-4),,"GOOD FT by GALOW,ANDREW",2
04:08,,,,,"MISS JUMPER by BROWN,TYLER",,,"MISS JUMPER by BROWN,TYLER",2
--,"REBOUND DEF by HARTWELL,THEO",,,,,,,"REBOUND DEF by HARTWELL,THEO",2
03:44,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
03:44,"MISS FT by CHIEN,KEVIN",,,,,,,"MISS FT by CHIEN,KEVIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
03:44,"MISS FT by CHIEN,KEVIN",,,,,,,"MISS FT by CHIEN,KEVIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:26,,52 (+1),,51,"GOOD 3PTR by BOULDIN,BRETT",SEW 52-51 (-1),,"GOOD 3PTR by BOULDIN,BRETT",2
