Time Remaining,TRINITY,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
19:28,"MISS JUMPER by BEALL,RYAN",,,,,,,"MISS JUMPER by BEALL,RYAN",1
--,"REBOUND OFF by WILT,JONATHAN",,,,,,,"REBOUND OFF by WILT,JONATHAN",1
19:23,"GOOD JUMPER by WILT,JONATHAN(in the paint)",2 (+2),,0,,TRINITY 2-0 (-2),,"GOOD JUMPER by WILT,JONATHAN(in the paint)",1
19:03,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
19:03,"BLOCK  by BEALL,RYAN",,,,,,,"BLOCK  by BEALL,RYAN",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
18:48,,2,,2,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",SEW 2-2 (0),,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",1
18:35,"GOOD 3PTR by KITZINGER,ROBERT",5 (+3),,2,,TRINITY 5-2 (-3),,"GOOD 3PTR by KITZINGER,ROBERT",1
--,"ASSIST  by YOUNG,WILLIAM",,,,,,,"ASSIST  by YOUNG,WILLIAM",1
18:14,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
17:59,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
17:54,,5 (+1),,4,"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEW 5-4 (-1),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
17:27,"GOOD JUMPER by LAMBERT,ZACH(in the paint)",7 (+3),,4,,TRINITY 7-4 (-3),,"GOOD JUMPER by LAMBERT,ZACH(in the paint)",1
17:05,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",1
16:23,"GOOD 3PTR by LAMBERT,ZACH",10 (+6),,4,,TRINITY 10-4 (-6),,"GOOD 3PTR by LAMBERT,ZACH",1
16:07,"FOUL  by YOUNG,WILLIAM",,,,,,,"FOUL  by YOUNG,WILLIAM",1
16:02,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",1
--,"REBOUND DEF by LAMBERT,ZACH",,,,,,,"REBOUND DEF by LAMBERT,ZACH",1
15:35,"MISS LAYUP by LAMBERT,ZACH",,,,,,,"MISS LAYUP by LAMBERT,ZACH",1
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",1
15:13,,10 (+3),,7,"GOOD 3PTR by AFFRONTI,LEWIS",SEW 10-7 (-3),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
14:51,"MISS JUMPER by KITZINGER,ROBERT",,,,,,,"MISS JUMPER by KITZINGER,ROBERT",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
14:38,,,,,"MISS LAYUP by BRYANT,VALENTINO",,,"MISS LAYUP by BRYANT,VALENTINO",1
--,"REBOUND DEF by LAMBERT,ZACH",,,,,,,"REBOUND DEF by LAMBERT,ZACH",1
14:21,"MISS 3PTR by LAMBERT,ZACH",,,,,,,"MISS 3PTR by LAMBERT,ZACH",1
