Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,OUM,Game Score,Team Indicator,Play,Period
08:17,,,,,"SUB IN by JOVAAG,BRANDEN",,,"SUB IN by JOVAAG,BRANDEN",1
08:17,,,,,"SUB OUT by DAVIS,ALEX",,,"SUB OUT by DAVIS,ALEX",1
08:06,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
08:06,,7,,14 (+7),"GOOD FT by STEIOFF,ANDREW",OUM 7-14 (-7),,"GOOD FT by STEIOFF,ANDREW",1
08:06,,7,,15 (+8),"GOOD FT by STEIOFF,ANDREW",OUM 7-15 (-8),,"GOOD FT by STEIOFF,ANDREW",1
08:06,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
08:06,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
07:45,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",1
--,,,,,"REBOUND DEF by MOLINET,CHRISTIAN",,,"REBOUND DEF by MOLINET,CHRISTIAN",1
07:29,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",1
07:29,,7,,16 (+9),"GOOD FT by MOLINET,CHRISTIAN",OUM 7-16 (-9),,"GOOD FT by MOLINET,CHRISTIAN",1
07:29,,,,,"MISS FT by MOLINET,CHRISTIAN",,,"MISS FT by MOLINET,CHRISTIAN",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
07:29,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",1
07:29,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
07:29,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
07:05,"MISS LAYUP by WILLIAMS,TRENT",,,,,,,"MISS LAYUP by WILLIAMS,TRENT",1
--,,,,,"REBOUND DEF by STEIOFF,ANDREW",,,"REBOUND DEF by STEIOFF,ANDREW",1
06:50,,,,,"MISS LAYUP by STEIOFF,ANDREW",,,"MISS LAYUP by STEIOFF,ANDREW",1
--,"REBOUND DEF by MARTIN,SAM",,,,,,,"REBOUND DEF by MARTIN,SAM",1
06:23,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",9,,16 (+7),,SEW 9-16 (-7),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
06:23,,,,,"FOUL  by COURSON,TYLER",,,"FOUL  by COURSON,TYLER",1
06:23,"GOOD FT by WILLIAMS,TRENT",10,,16 (+6),,SEW 10-16 (-6),,"GOOD FT by WILLIAMS,TRENT",1
06:23,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
06:23,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",1
06:23,,,,,"SUB IN by PITTS,ALEC",,,"SUB IN by PITTS,ALEC",1
06:23,,,,,"SUB OUT by COURSON,TYLER",,,"SUB OUT by COURSON,TYLER",1
06:14,,,,,"FOUL  by PITTS,ALEC",,,"FOUL  by PITTS,ALEC",1
06:14,,,,,"TURNOVER  by PITTS,ALEC",,,"TURNOVER  by PITTS,ALEC",1
05:58,"MISS JUMPER by MARTIN,SAM",,,,,,,"MISS JUMPER by MARTIN,SAM",1
05:58,,,,,"BLOCK  by STEIOFF,ANDREW",,,"BLOCK  by STEIOFF,ANDREW",1
--,,,,,"REBOUND DEF by STEIOFF,ANDREW",,,"REBOUND DEF by STEIOFF,ANDREW",1
05:46,,10,,18 (+8),"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",OUM 10-18 (-8),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",1
--,,,,,"ASSIST  by PITTS,ALEC",,,"ASSIST  by PITTS,ALEC",1
05:26,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",12,,18 (+6),,SEW 12-18 (-6),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
--,"ASSIST  by MARTIN,SAM",,,,,,,"ASSIST  by MARTIN,SAM",1
05:06,,12,,21 (+9),"GOOD 3PTR by JOVAAG,BRANDEN",OUM 12-21 (-9),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,,,,,"ASSIST  by PITTS,ALEC",,,"ASSIST  by PITTS,ALEC",1
04:41,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by JOVAAG,BRANDEN",,,"REBOUND DEF by JOVAAG,BRANDEN",1
04:34,,12,,23 (+11),"GOOD LAYUP by STEIOFF,ANDREW(fastbreak)(in the paint)",OUM 12-23 (-11),,"GOOD LAYUP by STEIOFF,ANDREW(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by PURDY,SAM",,,"ASSIST  by PURDY,SAM",1
04:32,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:18,,,,,"FOUL  by JOVAAG,BRANDEN",,,"FOUL  by JOVAAG,BRANDEN",1
04:17,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
04:17,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",1
04:05,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",1
03:45,"FOUL  by KIRKPATRICK,TODD",,,,,,,"FOUL  by KIRKPATRICK,TODD",1
03:45,,12,,24 (+12),"GOOD FT by STEIOFF,ANDREW",OUM 12-24 (-12),,"GOOD FT by STEIOFF,ANDREW",1
03:45,,,,,"MISS FT by STEIOFF,ANDREW",,,"MISS FT by STEIOFF,ANDREW",1
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",1
03:45,"SUB IN by KIRKPATRICK,TODD",,,,,,,"SUB IN by KIRKPATRICK,TODD",1
03:45,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",1
03:14,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",14,,24 (+10),,SEW 14-24 (-10),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
02:55,,,,,"MISS 3PTR by MOLINET,CHRISTIAN",,,"MISS 3PTR by MOLINET,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:51,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",1
02:51,,,,,"MISS FT by PURDY,SAM",,,"MISS FT by PURDY,SAM",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
02:51,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",1
02:51,,,,,"SUB OUT by MOLINET,CHRISTIAN",,,"SUB OUT by MOLINET,CHRISTIAN",1
02:35,"GOOD JUMPER by AFFRONTI,LEWIS",16,,24 (+8),,SEW 16-24 (-8),,"GOOD JUMPER by AFFRONTI,LEWIS",1
02:11,,,,,"MISS 3PTR by CERONE,TYLER",,,"MISS 3PTR by CERONE,TYLER",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:09,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
02:09,,16,,25 (+9),"GOOD FT by STEIOFF,ANDREW",OUM 16-25 (-9),,"GOOD FT by STEIOFF,ANDREW",1
02:09,,16,,26 (+10),"GOOD FT by STEIOFF,ANDREW",OUM 16-26 (-10),,"GOOD FT by STEIOFF,ANDREW",1
01:48,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND OFF by KIRKPATRICK,TODD",,,,,,,"REBOUND OFF by KIRKPATRICK,TODD",1
01:31,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by PURDY,SAM",,,"REBOUND DEF by PURDY,SAM",1
01:10,,,,,"TURNOVER  by PURDY,SAM",,,"TURNOVER  by PURDY,SAM",1
01:09,"STEAL  by KIRKPATRICK,TODD",,,,,,,"STEAL  by KIRKPATRICK,TODD",1
00:54,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",1
--,"REBOUND OFF by BOULDIN,BRETT",,,,,,,"REBOUND OFF by BOULDIN,BRETT",1
00:53,,,,,"FOUL  by PITTS,ALEC",,,"FOUL  by PITTS,ALEC",1
00:53,"GOOD FT by BOULDIN,BRETT",17,,26 (+9),,SEW 17-26 (-9),,"GOOD FT by BOULDIN,BRETT",1
00:53,"GOOD FT by BOULDIN,BRETT",18,,26 (+8),,SEW 18-26 (-8),,"GOOD FT by BOULDIN,BRETT",1
00:53,,,,,"SUB IN by MOLINET,CHRISTIAN",,,"SUB IN by MOLINET,CHRISTIAN",1
00:53,,,,,"SUB OUT by PITTS,ALEC",,,"SUB OUT by PITTS,ALEC",1
00:23,,18,,29 (+11),"GOOD 3PTR by JOVAAG,BRANDEN",OUM 18-29 (-11),,"GOOD 3PTR by JOVAAG,BRANDEN",1
--,,,,,"ASSIST  by MOLINET,CHRISTIAN",,,"ASSIST  by MOLINET,CHRISTIAN",1
00:03,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by STEIOFF,ANDREW",,,"REBOUND DEF by STEIOFF,ANDREW",1
19:52,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",,,"MISS JUMPER by MOLINET,CHRISTIAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:35,"GOOD LAYUP by BROWN,TYLER(in the paint)",20,,29 (+9),,SEW 20-29 (-9),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
19:06,,,,,"MISS 3PTR by JOVAAG,BRANDEN",,,"MISS 3PTR by JOVAAG,BRANDEN",2
--,,,,,"REBOUND OFF by STEIOFF,ANDREW",,,"REBOUND OFF by STEIOFF,ANDREW",2
18:55,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
18:43,,20,,30 (+10),"GOOD FT by STEIOFF,ANDREW",OUM 20-30 (-10),,"GOOD FT by STEIOFF,ANDREW",2
18:41,,,,,"MISS FT by STEIOFF,ANDREW",,,"MISS FT by STEIOFF,ANDREW",2
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",2
18:34,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
18:34,,,,,"STEAL  by PITTS,ALEC",,,"STEAL  by PITTS,ALEC",2
18:34,,20,,32 (+12),"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",OUM 20-32 (-12),,"GOOD LAYUP by DAVIS,ALEX(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by PURDY,SAM",,,"ASSIST  by PURDY,SAM",2
18:25,"GOOD 3PTR by BROWN,TYLER",23,,32 (+9),,SEW 23-32 (-9),,"GOOD 3PTR by BROWN,TYLER",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
17:55,,23,,35 (+12),"GOOD 3PTR by PITTS,ALEC",OUM 23-35 (-12),,"GOOD 3PTR by PITTS,ALEC",2
--,,,,,"ASSIST  by JOVAAG,BRANDEN",,,"ASSIST  by JOVAAG,BRANDEN",2
17:29,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",2
17:15,"MISS JUMPER by AFFRONTI,LEWIS",,,,,,,"MISS JUMPER by AFFRONTI,LEWIS",2
--,"REBOUND OFF by AFFRONTI,LEWIS",,,,,,,"REBOUND OFF by AFFRONTI,LEWIS",2
17:11,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",25,,35 (+10),,SEW 25-35 (-10),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",2
16:50,,25,,37 (+12),"GOOD JUMPER by PITTS,ALEC",OUM 25-37 (-12),,"GOOD JUMPER by PITTS,ALEC",2
16:17,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
16:17,,,,,"BLOCK  by PITTS,ALEC",,,"BLOCK  by PITTS,ALEC",2
--,,,,,"REBOUND DEF by JOVAAG,BRANDEN",,,"REBOUND DEF by JOVAAG,BRANDEN",2
16:13,,,,,"TURNOVER  by JOVAAG,BRANDEN",,,"TURNOVER  by JOVAAG,BRANDEN",2
16:11,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
16:10,,,,,"STEAL  by MOLINET,CHRISTIAN",,,"STEAL  by MOLINET,CHRISTIAN",2
16:08,,,,,"MISS LAYUP by PURDY,SAM",,,"MISS LAYUP by PURDY,SAM",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
15:53,"GOOD LAYUP by BROWN,TYLER(in the paint)",27,,37 (+10),,SEW 27-37 (-10),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
15:35,,,,,"MISS 3PTR by PITTS,ALEC",,,"MISS 3PTR by PITTS,ALEC",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
15:18,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",29,,37 (+8),,SEW 29-37 (-8),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",2
15:11,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:11,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
15:11,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
14:40,,29,,39 (+10),"GOOD JUMPER by MOLINET,CHRISTIAN",OUM 29-39 (-10),,"GOOD JUMPER by MOLINET,CHRISTIAN",2
14:15,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",2
14:14,,,,,"SUB IN by CERONE,TYLER",,,"SUB IN by CERONE,TYLER",2
14:14,,,,,"SUB OUT by JOVAAG,BRANDEN",,,"SUB OUT by JOVAAG,BRANDEN",2
14:06,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by PURDY,SAM",,,"REBOUND DEF by PURDY,SAM",2
13:55,,29,,41 (+12),"GOOD LAYUP by PITTS,ALEC(fastbreak)(in the paint)",OUM 29-41 (-12),,"GOOD LAYUP by PITTS,ALEC(fastbreak)(in the paint)",2
13:55,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
13:55,,29,,42 (+13),"GOOD FT by PITTS,ALEC",OUM 29-42 (-13),,"GOOD FT by PITTS,ALEC",2
13:55,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
13:55,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
13:15,"GOOD 3PTR by BOULDIN,BRETT",32,,42 (+10),,SEW 32-42 (-10),,"GOOD 3PTR by BOULDIN,BRETT",2
--,"ASSIST  by NELSON,ANVIL",,,,,,,"ASSIST  by NELSON,ANVIL",2
13:00,,,,,"MISS JUMPER by MOLINET,CHRISTIAN",,,"MISS JUMPER by MOLINET,CHRISTIAN",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
