Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,UDMB,Game Score,Team Indicator,Play,Period
12:51,,9 (+1),,8,"GOOD LAYUP by ASSINESI,DREW(in the paint)",UDMB 9-8 (+1),,"GOOD LAYUP by ASSINESI,DREW(in the paint)",1
12:31,"GOOD JUMPER by MARTIN,SAM(in the paint)",11 (+3),,8,,SEW 11-8 (+3),,"GOOD JUMPER by MARTIN,SAM(in the paint)",1
12:14,,11 (+1),,10,"GOOD LAYUP by STEPHENS,JOE(in the paint)",UDMB 11-10 (+1),,"GOOD LAYUP by STEPHENS,JOE(in the paint)",1
12:06,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
12:06,,11,,11,"GOOD FT by STEPHENS,JOE",UDMB 11-11 (0),,"GOOD FT by STEPHENS,JOE",1
11:54,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",13 (+2),,11,,SEW 13-11 (+2),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
--,"ASSIST  by NELSON,ANVIL",,,,,,,"ASSIST  by NELSON,ANVIL",1
11:32,,,,,"MISS 3PTR by SMITH,DECKER",,,"MISS 3PTR by SMITH,DECKER",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
11:20,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by BRUFFEY,TANNER",,,"REBOUND DEF by BRUFFEY,TANNER",1
11:10,,13,,13,"GOOD LAYUP by MALONE,KYM(in the paint)",UDMB 13-13 (0),,"GOOD LAYUP by MALONE,KYM(in the paint)",1
10:46,"GOOD LAYUP by MARTIN,SAM(in the paint)",15 (+2),,13,,SEW 15-13 (+2),,"GOOD LAYUP by MARTIN,SAM(in the paint)",1
10:30,,,,,"MISS 3PTR by ASSINESI,DREW",,,"MISS 3PTR by ASSINESI,DREW",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
09:57,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
09:25,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",1
09:23,"STEAL  by AFFRONTI,LEWIS",,,,,,,"STEAL  by AFFRONTI,LEWIS",1
08:47,"GOOD 3PTR by BROWN,TYLER",18 (+5),,13,,SEW 18-13 (+5),,"GOOD 3PTR by BROWN,TYLER",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
08:20,,,,,"TURNOVER  by SMITH,DECKER",,,"TURNOVER  by SMITH,DECKER",1
08:19,"STEAL  by MARTIN,SAM",,,,,,,"STEAL  by MARTIN,SAM",1
07:59,"TURNOVER  by WILLIAMS,TRENT",,,,,,,"TURNOVER  by WILLIAMS,TRENT",1
07:57,,,,,"STEAL  by MALONE,KYM",,,"STEAL  by MALONE,KYM",1
07:56,,18 (+3),,15,"GOOD LAYUP by MALONE,KYM(in the paint)",UDMB 18-15 (+3),,"GOOD LAYUP by MALONE,KYM(in the paint)",1
07:38,"MISS LAYUP by MARTIN,SAM",,,,,,,"MISS LAYUP by MARTIN,SAM",1
07:38,,,,,"BLOCK  by SMITH,DECKER",,,"BLOCK  by SMITH,DECKER",1
--,,,,,"REBOUND DEF by SMITH,DECKER",,,"REBOUND DEF by SMITH,DECKER",1
07:29,,18 (+1),,17,"GOOD LAYUP by WINEBARGER,ALEX(in the paint)",UDMB 18-17 (+1),,"GOOD LAYUP by WINEBARGER,ALEX(in the paint)",1
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",1
07:23,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:16,,,,,"FOUL  by GILE,CURTIS",,,"FOUL  by GILE,CURTIS",1
07:04,"GOOD 3PTR by BROWN,TYLER",21 (+4),,17,,SEW 21-17 (+4),,"GOOD 3PTR by BROWN,TYLER",1
--,"ASSIST  by WILLIAMS,TRENT",,,,,,,"ASSIST  by WILLIAMS,TRENT",1
06:53,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",1
06:53,,21 (+3),,18,"GOOD FT by WINEBARGER,ALEX",UDMB 21-18 (+3),,"GOOD FT by WINEBARGER,ALEX",1
06:53,,21 (+2),,19,"GOOD FT by WINEBARGER,ALEX",UDMB 21-19 (+2),,"GOOD FT by WINEBARGER,ALEX",1
06:39,"GOOD JUMPER by NELSON,ANVIL(in the paint)",23 (+4),,19,,SEW 23-19 (+4),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
06:27,,,,,"MISS JUMPER by SMITH,DECKER",,,"MISS JUMPER by SMITH,DECKER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:25,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
06:23,,23 (+2),,21,"GOOD JUMPER by WINEBARGER,ALEX",UDMB 23-21 (+2),,"GOOD JUMPER by WINEBARGER,ALEX",1
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",1
06:01,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",1
06:01,,,,,"BLOCK  by SMITH,DECKER",,,"BLOCK  by SMITH,DECKER",1
--,"REBOUND OFF by WILLIAMS,TRENT",,,,,,,"REBOUND OFF by WILLIAMS,TRENT",1
05:54,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",25 (+4),,21,,SEW 25-21 (+4),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
05:41,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",1
05:39,"STEAL  by BROWN,TYLER",,,,,,,"STEAL  by BROWN,TYLER",1
05:09,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",1
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",1
04:59,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",1
04:59,,25 (+3),,22,"GOOD FT by SMITH,DECKER",UDMB 25-22 (+3),,"GOOD FT by SMITH,DECKER",1
04:59,,25 (+2),,23,"GOOD FT by SMITH,DECKER",UDMB 25-23 (+2),,"GOOD FT by SMITH,DECKER",1
04:37,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
04:37,,,,,"BLOCK  by SMITH,DECKER",,,"BLOCK  by SMITH,DECKER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:14,,25,,25,"GOOD JUMPER by SMITH,DECKER",UDMB 25-25 (0),,"GOOD JUMPER by SMITH,DECKER",1
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",1
04:04,,,,,"FOUL  by HIGHTOWER,BRAETON",,,"FOUL  by HIGHTOWER,BRAETON",1
03:52,"GOOD 3PTR by AFFRONTI,LEWIS",28 (+3),,25,,SEW 28-25 (+3),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
03:34,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",1
03:23,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",30 (+5),,25,,SEW 30-25 (+5),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
03:05,,,,,"MISS LAYUP by MALONE,KYM",,,"MISS LAYUP by MALONE,KYM",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
02:50,"TURNOVER  by WILLIAMS,TRENT",,,,,,,"TURNOVER  by WILLIAMS,TRENT",1
02:47,,,,,"STEAL  by SMITH,DECKER",,,"STEAL  by SMITH,DECKER",1
02:46,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
02:46,,30 (+4),,26,"GOOD FT by HIGHTOWER,BRAETON",UDMB 30-26 (+4),,"GOOD FT by HIGHTOWER,BRAETON",1
02:46,,30 (+3),,27,"GOOD FT by HIGHTOWER,BRAETON",UDMB 30-27 (+3),,"GOOD FT by HIGHTOWER,BRAETON",1
02:26,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,"REBOUND OFF by MARTIN,SAM",,,,,,,"REBOUND OFF by MARTIN,SAM",1
02:22,"MISS LAYUP by MARTIN,SAM",,,,,,,"MISS LAYUP by MARTIN,SAM",1
--,,,,,"REBOUND DEF by SMITH,DECKER",,,"REBOUND DEF by SMITH,DECKER",1
02:11,,30 (+1),,29,"GOOD LAYUP by MALONE,KYM(in the paint)",UDMB 30-29 (+1),,"GOOD LAYUP by MALONE,KYM(in the paint)",1
02:11,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
02:11,,,,,"MISS FT by MALONE,KYM",,,"MISS FT by MALONE,KYM",1
--,"REBOUND DEF by MARTIN,SAM",,,,,,,"REBOUND DEF by MARTIN,SAM",1
01:51,"MISS LAYUP by MARTIN,SAM",,,,,,,"MISS LAYUP by MARTIN,SAM",1
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",1
01:40,,30,,31 (+1),"GOOD LAYUP by SMITH,DECKER(in the paint)",UDMB 30-31 (-1),,"GOOD LAYUP by SMITH,DECKER(in the paint)",1
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",1
01:28,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by ASSINESI,DREW",,,"REBOUND DEF by ASSINESI,DREW",1
01:14,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
01:14,,30,,32 (+2),"GOOD FT by BRUFFEY,TANNER",UDMB 30-32 (-2),,"GOOD FT by BRUFFEY,TANNER",1
01:14,,30,,33 (+3),"GOOD FT by BRUFFEY,TANNER",UDMB 30-33 (-3),,"GOOD FT by BRUFFEY,TANNER",1
00:59,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
00:32,,30,,35 (+5),"GOOD JUMPER by BRUFFEY,TANNER",UDMB 30-35 (-5),,"GOOD JUMPER by BRUFFEY,TANNER",1
00:02,"GOOD JUMPER by MARTIN,SAM(in the paint)",32,,35 (+3),,SEW 32-35 (-3),,"GOOD JUMPER by MARTIN,SAM(in the paint)",1
19:51,,,,,"MISS LAYUP by GILE,CURTIS",,,"MISS LAYUP by GILE,CURTIS",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
19:16,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
19:12,"GOOD LAYUP by NELSON,ANVIL(in the paint)",34,,35 (+1),,SEW 34-35 (-1),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
19:04,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
18:52,,,,,"MISS JUMPER by GILE,CURTIS",,,"MISS JUMPER by GILE,CURTIS",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
18:41,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",2
18:32,"GOOD JUMPER by NELSON,ANVIL",36 (+1),,35,,SEW 36-35 (+1),,"GOOD JUMPER by NELSON,ANVIL",2
18:27,,,,,"MISS LAYUP by STEPHENS,JOE",,,"MISS LAYUP by STEPHENS,JOE",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
18:06,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",2
17:59,,,,,"MISS LAYUP by STEPHENS,JOE",,,"MISS LAYUP by STEPHENS,JOE",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
17:52,"GOOD LAYUP by BROWN,TYLER(in the paint)",38 (+3),,35,,SEW 38-35 (+3),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
