Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,UDMB,Game Score,Team Indicator,Play,Period
07:11,"GOOD FT by BEVIACQUA,BRYAN",49,,55 (+6),,SEW 49-55 (-6),,"GOOD FT by BEVIACQUA,BRYAN",2
07:11,"GOOD FT by BEVIACQUA,BRYAN",50,,55 (+5),,SEW 50-55 (-5),,"GOOD FT by BEVIACQUA,BRYAN",2
06:55,,,,,"MISS 3PTR by MALONE,KYM",,,"MISS 3PTR by MALONE,KYM",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
06:35,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
06:35,"GOOD FT by VEAL,ROBERT",51,,55 (+4),,SEW 51-55 (-4),,"GOOD FT by VEAL,ROBERT",2
06:35,"MISS FT by VEAL,ROBERT",,,,,,,"MISS FT by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by BRUFFEY,TANNER",,,"REBOUND DEF by BRUFFEY,TANNER",2
06:26,,,,,"MISS LAYUP by SMITH,DECKER",,,"MISS LAYUP by SMITH,DECKER",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
06:14,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
06:00,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",2
05:57,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",53,,55 (+2),,SEW 53-55 (-2),,"GOOD LAYUP by BEVIACQUA,BRYAN(in the paint)",2
05:44,,,,,"MISS LAYUP by HIGHTOWER,BRAETON",,,"MISS LAYUP by HIGHTOWER,BRAETON",2
05:44,"BLOCK  by BEVIACQUA,BRYAN",,,,,,,"BLOCK  by BEVIACQUA,BRYAN",2
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",2
05:42,,,,,"FOUL  by SMITH,DECKER",,,"FOUL  by SMITH,DECKER",2
05:42,"GOOD FT by WILLIAMS,TRENT",54,,55 (+1),,SEW 54-55 (-1),,"GOOD FT by WILLIAMS,TRENT",2
05:42,"GOOD FT by WILLIAMS,TRENT",55,,55,,SEW 55-55 (0),,"GOOD FT by WILLIAMS,TRENT",2
05:24,,55,,57 (+2),"GOOD JUMPER by WINEBARGER,ALEX",UDMB 55-57 (-2),,"GOOD JUMPER by WINEBARGER,ALEX",2
--,,,,,"ASSIST  by SMITH,DECKER",,,"ASSIST  by SMITH,DECKER",2
05:07,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",2
--,,,,,"REBOUND DEF by BRUFFEY,TANNER",,,"REBOUND DEF by BRUFFEY,TANNER",2
04:35,,,,,"MISS JUMPER by SMITH,DECKER",,,"MISS JUMPER by SMITH,DECKER",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
04:23,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:17,,,,,"FOUL  by STEPHENS,JOE",,,"FOUL  by STEPHENS,JOE",2
04:17,"GOOD FT by BROWN,TYLER",56,,57 (+1),,SEW 56-57 (-1),,"GOOD FT by BROWN,TYLER",2
04:17,"GOOD FT by BROWN,TYLER",57,,57,,SEW 57-57 (0),,"GOOD FT by BROWN,TYLER",2
03:56,,,,,"TURNOVER  by GILE,CURTIS",,,"TURNOVER  by GILE,CURTIS",2
03:51,"TURNOVER  by BROWN,TYLER",,,,,,,"TURNOVER  by BROWN,TYLER",2
03:23,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
03:07,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:04,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:55,,57,,59 (+2),"GOOD LAYUP by STEPHENS,JOE(in the paint)",UDMB 57-59 (-2),,"GOOD LAYUP by STEPHENS,JOE(in the paint)",2
--,,,,,"ASSIST  by BRUFFEY,TANNER",,,"ASSIST  by BRUFFEY,TANNER",2
02:38,"GOOD JUMPER by AFFRONTI,LEWIS",59,,59,,SEW 59-59 (0),,"GOOD JUMPER by AFFRONTI,LEWIS",2
02:07,,,,,"FOUL  by STEPHENS,JOE",,,"FOUL  by STEPHENS,JOE",2
02:07,,,,,"TURNOVER  by STEPHENS,JOE",,,"TURNOVER  by STEPHENS,JOE",2
01:53,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
01:51,,,,,"FOUL  by GILE,CURTIS",,,"FOUL  by GILE,CURTIS",2
01:51,"GOOD FT by BROWN,TYLER",60 (+1),,59,,SEW 60-59 (+1),,"GOOD FT by BROWN,TYLER",2
01:51,"GOOD FT by BROWN,TYLER",61 (+2),,59,,SEW 61-59 (+2),,"GOOD FT by BROWN,TYLER",2
01:32,,,,,"MISS JUMPER by BRUFFEY,TANNER",,,"MISS JUMPER by BRUFFEY,TANNER",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
01:14,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
01:14,"MISS FT by WILLIAMS,TRENT",,,,,,,"MISS FT by WILLIAMS,TRENT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:14,"MISS FT by WILLIAMS,TRENT",,,,,,,"MISS FT by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by BRUFFEY,TANNER",,,"REBOUND DEF by BRUFFEY,TANNER",2
01:09,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:02,,61,,61,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",UDMB 61-61 (0),,"GOOD LAYUP by BRUFFEY,TANNER(in the paint)",2
--,,,,,"ASSIST  by ASSINESI,DREW",,,"ASSIST  by ASSINESI,DREW",2
00:36,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:27,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",2
--,,,,,"REBOUND DEF by STEPHENS,JOE",,,"REBOUND DEF by STEPHENS,JOE",2
00:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:00,,61,,64 (+3),"GOOD 3PTR by STEPHENS,JOE",UDMB 61-64 (-3),,"GOOD 3PTR by STEPHENS,JOE",2
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",2
