Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,TRINITY,Game Score,Team Indicator,Play,Period
14:19,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
14:19,,,,,"BLOCK  by WILT,JONATHAN",,,"BLOCK  by WILT,JONATHAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
14:17,,,,,"SUB IN by HOPSON,HEATH",,,"SUB IN by HOPSON,HEATH",2
14:17,,,,,"SUB OUT by LAMBERT,ZACH",,,"SUB OUT by LAMBERT,ZACH",2
14:09,"TURNOVER  by BEVIACQUA,BRYAN",,,,,,,"TURNOVER  by BEVIACQUA,BRYAN",2
14:07,,,,,"STEAL  by YOUNG,WILLIAM",,,"STEAL  by YOUNG,WILLIAM",2
14:04,"FOUL  by BEVIACQUA,BRYAN",,,,,,,"FOUL  by BEVIACQUA,BRYAN",2
13:36,,,,,"MISS JUMPER by HOPSON,HEATH",,,"MISS JUMPER by HOPSON,HEATH",2
--,"REBOUND DEF by AFFRONTI,LEWIS",,,,,,,"REBOUND DEF by AFFRONTI,LEWIS",2
13:11,,,,,"FOUL  by HOPSON,HEATH",,,"FOUL  by HOPSON,HEATH",2
13:11,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
13:11,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",2
13:11,,,,,"SUB IN by LAVANWAY,JOHN",,,"SUB IN by LAVANWAY,JOHN",2
13:11,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
13:07,,,,,"FOUL  by HOPSON,HEATH",,,"FOUL  by HOPSON,HEATH",2
13:07,"GOOD FT by AFFRONTI,LEWIS",33,,42 (+9),,SEWANEE 33-42 (-9),,"GOOD FT by AFFRONTI,LEWIS",2
13:07,"GOOD FT by AFFRONTI,LEWIS",34,,42 (+8),,SEWANEE 34-42 (-8),,"GOOD FT by AFFRONTI,LEWIS",2
13:07,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
13:07,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
13:07,,,,,"SUB IN by FELDMAN,MATT",,,"SUB IN by FELDMAN,MATT",2
13:07,,,,,"SUB IN by LAMBERT,ZACH",,,"SUB IN by LAMBERT,ZACH",2
13:07,,,,,"SUB OUT by YOUNG,WILLIAM",,,"SUB OUT by YOUNG,WILLIAM",2
13:07,,,,,"SUB OUT by HOPSON,HEATH",,,"SUB OUT by HOPSON,HEATH",2
12:58,,,,,"TURNOVER  by BEALL,RYAN",,,"TURNOVER  by BEALL,RYAN",2
12:58,"STEAL  by BOULDIN,BRETT",,,,,,,"STEAL  by BOULDIN,BRETT",2
12:58,,,,,"FOUL  by BEALL,RYAN",,,"FOUL  by BEALL,RYAN",2
12:44,,,,,"SUB IN by SELLING,MATT",,,"SUB IN by SELLING,MATT",2
12:44,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
12:43,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
12:40,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",2
12:06,,34,,44 (+10),"GOOD JUMPER by BEALL,RYAN",TRINITY 34-44 (-10),,"GOOD JUMPER by BEALL,RYAN",2
12:06,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",2
12:06,,34,,45 (+11),"GOOD FT by BEALL,RYAN",TRINITY 34-45 (-11),,"GOOD FT by BEALL,RYAN",2
11:46,"MISS LAYUP by BRYANT,VALENTINO",,,,,,,"MISS LAYUP by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
11:35,,,,,"TURNOVER  by LAMBERT,ZACH",,,"TURNOVER  by LAMBERT,ZACH",2
11:18,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
11:17,,,,,"STEAL  by BEALL,RYAN",,,"STEAL  by BEALL,RYAN",2
11:10,,,,,"MISS 3PTR by SELLING,MATT",,,"MISS 3PTR by SELLING,MATT",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
11:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
10:46,"MISS 3PTR by WILLIAMS,TRENT",,,,,,,"MISS 3PTR by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",2
10:37,,,,,"MISS LAYUP by SELLING,MATT",,,"MISS LAYUP by SELLING,MATT",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
10:09,"GOOD 3PTR by BOULDIN,BRETT",37,,45 (+8),,SEWANEE 37-45 (-8),,"GOOD 3PTR by BOULDIN,BRETT",2
--,"ASSIST  by BROWN,TYLER",,,,,,,"ASSIST  by BROWN,TYLER",2
09:51,,,,,"FOUL  by SHOTLAND,JOE",,,"FOUL  by SHOTLAND,JOE",2
09:51,,,,,"TURNOVER  by SHOTLAND,JOE",,,"TURNOVER  by SHOTLAND,JOE",2
09:51,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
09:51,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
09:51,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
09:51,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
09:46,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",2
09:46,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
09:46,,,,,"SUB OUT by BEALL,RYAN",,,"SUB OUT by BEALL,RYAN",2
09:46,,,,,"SUB OUT by LAVANWAY,JOHN",,,"SUB OUT by LAVANWAY,JOHN",2
09:33,,,,,"FOUL  by KITZINGER,ROBERT",,,"FOUL  by KITZINGER,ROBERT",2
09:33,"GOOD FT by WILLIAMS,TRENT",38,,45 (+7),,SEWANEE 38-45 (-7),,"GOOD FT by WILLIAMS,TRENT",2
09:33,"MISS FT by WILLIAMS,TRENT",,,,,,,"MISS FT by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by SELLING,MATT",,,"REBOUND DEF by SELLING,MATT",2
09:19,,,,,"MISS 3PTR by LAMBERT,ZACH",,,"MISS 3PTR by LAMBERT,ZACH",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
09:18,,,,,"FOUL  by WILT,JONATHAN",,,"FOUL  by WILT,JONATHAN",2
09:18,"GOOD FT by VEAL,ROBERT",39,,45 (+6),,SEWANEE 39-45 (-6),,"GOOD FT by VEAL,ROBERT",2
09:18,"GOOD FT by VEAL,ROBERT",40,,45 (+5),,SEWANEE 40-45 (-5),,"GOOD FT by VEAL,ROBERT",2
09:18,,,,,"SUB IN by YOUNG,WILLIAM",,,"SUB IN by YOUNG,WILLIAM",2
09:18,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",2
08:51,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
08:51,,40,,46 (+6),"GOOD FT by YOUNG,WILLIAM",TRINITY 40-46 (-6),,"GOOD FT by YOUNG,WILLIAM",2
08:51,,,,,"MISS FT by YOUNG,WILLIAM",,,"MISS FT by YOUNG,WILLIAM",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
08:51,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",2
08:51,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
08:51,,,,,"SUB IN by BEALL,RYAN",,,"SUB IN by BEALL,RYAN",2
08:51,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
08:25,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",42,,46 (+4),,SEWANEE 42-46 (-4),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",2
08:08,,,,,"MISS JUMPER by LAMBERT,ZACH",,,"MISS JUMPER by LAMBERT,ZACH",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
07:46,"MISS JUMPER by WILLIAMS,TRENT",,,,,,,"MISS JUMPER by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by WILT,JONATHAN",,,"REBOUND DEF by WILT,JONATHAN",2
07:30,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
07:30,,,,,"MISS FT by LAMBERT,ZACH",,,"MISS FT by LAMBERT,ZACH",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
07:30,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
07:30,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
07:13,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",2
07:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:13,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
07:13,,,,,"SUB OUT by SELLING,MATT",,,"SUB OUT by SELLING,MATT",2
07:00,,42,,48 (+6),"GOOD LAYUP by WILT,JONATHAN(in the paint)",TRINITY 42-48 (-6),,"GOOD LAYUP by WILT,JONATHAN(in the paint)",2
--,,,,,"ASSIST  by BEALL,RYAN",,,"ASSIST  by BEALL,RYAN",2
06:36,"GOOD 3PTR by WILLIAMS,TRENT",45,,48 (+3),,SEWANEE 45-48 (-3),,"GOOD 3PTR by WILLIAMS,TRENT",2
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",2
06:13,,45,,50 (+5),"GOOD JUMPER by KITZINGER,ROBERT(in the paint)",TRINITY 45-50 (-5),,"GOOD JUMPER by KITZINGER,ROBERT(in the paint)",2
05:58,"GOOD JUMPER by BROWN,TYLER",47,,50 (+3),,SEWANEE 47-50 (-3),,"GOOD JUMPER by BROWN,TYLER",2
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",2
05:57,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:38,,,,,"MISS JUMPER by WILT,JONATHAN",,,"MISS JUMPER by WILT,JONATHAN",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
05:30,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
05:12,,,,,"MISS LAYUP by HOPSON,HEATH",,,"MISS LAYUP by HOPSON,HEATH",2
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",2
04:50,"MISS LAYUP by WILLIAMS,TRENT",,,,,,,"MISS LAYUP by WILLIAMS,TRENT",2
--,,,,,"REBOUND DEF by HOPSON,HEATH",,,"REBOUND DEF by HOPSON,HEATH",2
04:50,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
04:50,,47,,51 (+4),"GOOD FT by HOPSON,HEATH",TRINITY 47-51 (-4),,"GOOD FT by HOPSON,HEATH",2
04:50,,47,,52 (+5),"GOOD FT by HOPSON,HEATH",TRINITY 47-52 (-5),,"GOOD FT by HOPSON,HEATH",2
04:50,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
04:50,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
04:50,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
04:50,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
04:50,,,,,"SUB IN by FELDMAN,MATT",,,"SUB IN by FELDMAN,MATT",2
04:50,,,,,"SUB IN by LAVANWAY,JOHN",,,"SUB IN by LAVANWAY,JOHN",2
04:50,,,,,"SUB IN by HOPSON,HEATH",,,"SUB IN by HOPSON,HEATH",2
04:50,,,,,"SUB OUT by YOUNG,WILLIAM",,,"SUB OUT by YOUNG,WILLIAM",2
04:50,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
04:50,,,,,"SUB OUT by LAMBERT,ZACH",,,"SUB OUT by LAMBERT,ZACH",2
04:38,"GOOD 3PTR by AFFRONTI,LEWIS",50,,52 (+2),,SEWANEE 50-52 (-2),,"GOOD 3PTR by AFFRONTI,LEWIS",2
--,"ASSIST  by WILLIAMS,TRENT",,,,,,,"ASSIST  by WILLIAMS,TRENT",2
04:23,,50,,54 (+4),"GOOD JUMPER by KITZINGER,ROBERT(in the paint)",TRINITY 50-54 (-4),,"GOOD JUMPER by KITZINGER,ROBERT(in the paint)",2
04:05,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
04:05,"TURNOVER  by NELSON,ANVIL",,,,,,,"TURNOVER  by NELSON,ANVIL",2
04:05,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
04:05,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
03:43,,,,,"TURNOVER  by LAVANWAY,JOHN",,,"TURNOVER  by LAVANWAY,JOHN",2
03:26,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND OFF by WILLIAMS,TRENT",,,,,,,"REBOUND OFF by WILLIAMS,TRENT",2
03:17,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",2
03:07,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
02:46,,,,,"MISS LAYUP by LAVANWAY,JOHN",,,"MISS LAYUP by LAVANWAY,JOHN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
02:44,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
02:44,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
02:44,,,,,"SUB IN by LAMBERT,ZACH",,,"SUB IN by LAMBERT,ZACH",2
02:44,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",2
02:44,,,,,"SUB IN by YOUNG,WILLIAM",,,"SUB IN by YOUNG,WILLIAM",2
02:44,,,,,"SUB OUT by LAVANWAY,JOHN",,,"SUB OUT by LAVANWAY,JOHN",2
02:44,,,,,"SUB OUT by HOPSON,HEATH",,,"SUB OUT by HOPSON,HEATH",2
02:44,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",2
02:41,,,,,"MISS JUMPER by BEALL,RYAN",,,"MISS JUMPER by BEALL,RYAN",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
02:35,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",2
02:33,,,,,"STEAL  by BEALL,RYAN",,,"STEAL  by BEALL,RYAN",2
02:12,,50,,56 (+6),"GOOD JUMPER by WILT,JONATHAN(in the paint)",TRINITY 50-56 (-6),,"GOOD JUMPER by WILT,JONATHAN(in the paint)",2
--,,,,,"ASSIST  by BEALL,RYAN",,,"ASSIST  by BEALL,RYAN",2
02:04,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:04,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
02:04,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",2
01:38,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",2
01:35,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",2
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",2
01:28,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND DEF by WILT,JONATHAN",,,"REBOUND DEF by WILT,JONATHAN",2
01:15,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
01:00,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
00:53,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",2
00:53,,,,,"MISS FT by BEALL,RYAN",,,"MISS FT by BEALL,RYAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:53,,,,,"MISS FT by BEALL,RYAN",,,"MISS FT by BEALL,RYAN",2
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",2
00:53,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
00:53,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
00:48,"GOOD 3PTR by BOULDIN,BRETT",53,,56 (+3),,SEWANEE 53-56 (-3),,"GOOD 3PTR by BOULDIN,BRETT",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
00:31,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
00:31,,53,,57 (+4),"GOOD FT by HOPSON,HEATH",TRINITY 53-57 (-4),,"GOOD FT by HOPSON,HEATH",2
00:31,,53,,58 (+5),"GOOD FT by HOPSON,HEATH",TRINITY 53-58 (-5),,"GOOD FT by HOPSON,HEATH",2
00:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:31,,,,,"SUB IN by SHOTLAND,JOE",,,"SUB IN by SHOTLAND,JOE",2
00:31,,,,,"SUB IN by HOPSON,HEATH",,,"SUB IN by HOPSON,HEATH",2
00:31,,,,,"SUB OUT by SHOTLAND,JOE",,,"SUB OUT by SHOTLAND,JOE",2
00:31,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
00:22,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,"REBOUND OFF by BOULDIN,BRETT",,,,,,,"REBOUND OFF by BOULDIN,BRETT",2
00:18,"MISS JUMPER by BOULDIN,BRETT",,,,,,,"MISS JUMPER by BOULDIN,BRETT",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:18,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",2
00:18,,53,,59 (+6),"GOOD FT by BEALL,RYAN",TRINITY 53-59 (-6),,"GOOD FT by BEALL,RYAN",2
00:18,,53,,60 (+7),"GOOD FT by BEALL,RYAN",TRINITY 53-60 (-7),,"GOOD FT by BEALL,RYAN",2
00:18,,,,,"SUB IN by SHOTLAND,JOE",,,"SUB IN by SHOTLAND,JOE",2
00:18,,,,,"SUB OUT by LAMBERT,ZACH",,,"SUB OUT by LAMBERT,ZACH",2
00:11,"MISS 3PTR by VEAL,ROBERT",,,,,,,"MISS 3PTR by VEAL,ROBERT",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
