Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
19:25,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
18:58,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,"REBOUND OFF by AFFRONTI,LEWIS",,,,,,,"REBOUND OFF by AFFRONTI,LEWIS",1
18:37,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by SEARS,CALLUM",,,"REBOUND DEF by SEARS,CALLUM",1
18:26,,0,,2 (+2),"GOOD LAYUP by DEVRIES,JON(in the paint)",CCM 0-2 (-2),,"GOOD LAYUP by DEVRIES,JON(in the paint)",1
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",1
17:52,"MISS LAYUP by NELSON,ANVIL",,,,,,,"MISS LAYUP by NELSON,ANVIL",1
17:52,,,,,"BLOCK  by DANEK,JOEY",,,"BLOCK  by DANEK,JOEY",1
--,"REBOUND OFF by NELSON,ANVIL",,,,,,,"REBOUND OFF by NELSON,ANVIL",1
17:44,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2,,2,,SEW 2-2 (0),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
17:36,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
17:34,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
17:13,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by LAKEY,ZAROME",,,"REBOUND DEF by LAKEY,ZAROME",1
16:54,,,,,"TURNOVER  by DEVRIES,JON",,,"TURNOVER  by DEVRIES,JON",1
16:53,"STEAL  by BRYANT,VALENTINO",,,,,,,"STEAL  by BRYANT,VALENTINO",1
16:50,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
16:48,,,,,"STEAL  by DEVRIES,JON",,,"STEAL  by DEVRIES,JON",1
16:45,,2,,4 (+2),"GOOD LAYUP by DEVRIES,JON(fastbreak)(in the paint)",CCM 2-4 (-2),,"GOOD LAYUP by DEVRIES,JON(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by COX,TJ",,,"ASSIST  by COX,TJ",1
16:32,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by SEARS,CALLUM",,,"REBOUND DEF by SEARS,CALLUM",1
16:25,,2,,7 (+5),"GOOD 3PTR by SEARS,CALLUM",CCM 2-7 (-5),,"GOOD 3PTR by SEARS,CALLUM",1
16:05,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by LAKEY,ZAROME",,,"REBOUND DEF by LAKEY,ZAROME",1
15:55,,2,,9 (+7),"GOOD JUMPER by SEARS,CALLUM",CCM 2-9 (-7),,"GOOD JUMPER by SEARS,CALLUM",1
15:49,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:31,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",4,,9 (+5),,SEW 4-9 (-5),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
15:14,,,,,"MISS 3PTR by DANEK,JOEY",,,"MISS 3PTR by DANEK,JOEY",1
--,,,,,"REBOUND OFF by DEVRIES,JON",,,"REBOUND OFF by DEVRIES,JON",1
15:11,,4,,11 (+7),"GOOD LAYUP by DEVRIES,JON(in the paint)",CCM 4-11 (-7),,"GOOD LAYUP by DEVRIES,JON(in the paint)",1
14:45,"GOOD LAYUP by BROWN,TYLER(in the paint)",6,,11 (+5),,SEW 6-11 (-5),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,"ASSIST  by NELSON,ANVIL",,,,,,,"ASSIST  by NELSON,ANVIL",1
14:37,,6,,14 (+8),"GOOD 3PTR by MUTCHERSON,ROSBIE",CCM 6-14 (-8),,"GOOD 3PTR by MUTCHERSON,ROSBIE",1
--,,,,,"ASSIST  by FRIERSON,NATE",,,"ASSIST  by FRIERSON,NATE",1
14:08,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND OFF by WILLIAMS,TRENT",,,,,,,"REBOUND OFF by WILLIAMS,TRENT",1
14:03,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by SEARS,CALLUM",,,"REBOUND DEF by SEARS,CALLUM",1
13:55,,,,,"MISS JUMPER by SEARS,CALLUM",,,"MISS JUMPER by SEARS,CALLUM",1
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",1
13:29,"MISS JUMPER by NELSON,ANVIL",,,,,,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND DEF by DEVRIES,JON",,,"REBOUND DEF by DEVRIES,JON",1
13:08,"FOUL  by BROWN,TYLER",,,,,,,"FOUL  by BROWN,TYLER",1
13:08,,,,,"MISS FT by DEVRIES,JON",,,"MISS FT by DEVRIES,JON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:08,,6,,15 (+9),"GOOD FT by DEVRIES,JON",CCM 6-15 (-9),,"GOOD FT by DEVRIES,JON",1
12:50,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by ENGBERS,BRYANT",,,"REBOUND DEF by ENGBERS,BRYANT",1
12:36,,6,,17 (+11),"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",CCM 6-17 (-11),,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",1
--,,,,,"ASSIST  by MCGRIFF,COLTON",,,"ASSIST  by MCGRIFF,COLTON",1
12:36,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
12:36,,,,,"MISS FT by ENGBERS,BRYANT",,,"MISS FT by ENGBERS,BRYANT",1
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",1
12:19,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by MUTCHERSON,ROSBIE",,,"REBOUND DEF by MUTCHERSON,ROSBIE",1
12:07,,6,,20 (+14),"GOOD 3PTR by FRIERSON,NATE",CCM 6-20 (-14),,"GOOD 3PTR by FRIERSON,NATE",1
--,,,,,"ASSIST  by LAKEY,ZAROME",,,"ASSIST  by LAKEY,ZAROME",1
12:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:36,"MISS LAYUP by MARTIN,SAM",,,,,,,"MISS LAYUP by MARTIN,SAM",1
--,,,,,"REBOUND DEF by ENGBERS,BRYANT",,,"REBOUND DEF by ENGBERS,BRYANT",1
11:29,,6,,22 (+16),"GOOD JUMPER by MUTCHERSON,ROSBIE",CCM 6-22 (-16),,"GOOD JUMPER by MUTCHERSON,ROSBIE",1
