Time Remaining,LAGRANGE,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
19:39,"GOOD LAYUP by POWER,AARON(in the paint)",2 (+2),,0,,LAGRANGE 2-0 (-2),,"GOOD LAYUP by POWER,AARON(in the paint)",1
19:17,,2,,3 (+1),"GOOD 3PTR by BRYANT,VALENTINO",SEW 2-3 (+1),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",1
19:02,"TURNOVER  by ROBINSON,DENZEL",,,,,,,"TURNOVER  by ROBINSON,DENZEL",1
19:01,,,,,"STEAL  by BROWN,TYLER",,,"STEAL  by BROWN,TYLER",1
18:56,,2,,6 (+4),"GOOD 3PTR by BROWN,TYLER",SEW 2-6 (+4),,"GOOD 3PTR by BROWN,TYLER",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
18:17,"MISS JUMPER by ANDERSON,KYRON",,,,,,,"MISS JUMPER by ANDERSON,KYRON",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
18:13,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",1
18:07,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
18:06,"STEAL  by POWER,AARON",,,,,,,"STEAL  by POWER,AARON",1
18:03,"GOOD JUMPER by POWER,AARON(fastbreak)(in the paint)",4,,6 (+2),,LAGRANGE 4-6 (+2),,"GOOD JUMPER by POWER,AARON(fastbreak)(in the paint)",1
17:44,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by AFFRONTI,LEWIS",,,"REBOUND OFF by AFFRONTI,LEWIS",1
17:39,,,,,"TURNOVER  by AFFRONTI,LEWIS",,,"TURNOVER  by AFFRONTI,LEWIS",1
17:38,"GOOD JUMPER by ROBINSON,DENZEL",6,,6,,LAGRANGE 6-6 (0),,"GOOD JUMPER by ROBINSON,DENZEL",1
17:38,,,,,"TURNOVER  by BRYANT,VALENTINO",,,"TURNOVER  by BRYANT,VALENTINO",1
17:38,"STEAL  by VAUGHN,MARCUS",,,,,,,"STEAL  by VAUGHN,MARCUS",1
17:36,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
17:30,"GOOD FT by VAUGHN,MARCUS",7 (+1),,6,,LAGRANGE 7-6 (-1),,"GOOD FT by VAUGHN,MARCUS",1
17:13,"MISS FT by VAUGHN,MARCUS",,,,,,,"MISS FT by VAUGHN,MARCUS",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
16:51,,,,,"MISS LAYUP by BROWN,TYLER",,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND DEF by ANDERKAVICH,JOEY",,,,,,,"REBOUND DEF by ANDERKAVICH,JOEY",1
16:37,"GOOD JUMPER by VAUGHN,MARCUS",9 (+3),,6,,LAGRANGE 9-6 (-3),,"GOOD JUMPER by VAUGHN,MARCUS",1
--,"ASSIST  by SHERMAN,XAVIER",,,,,,,"ASSIST  by SHERMAN,XAVIER",1
16:35,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
16:35,"MISS FT by VAUGHN,MARCUS",,,,,,,"MISS FT by VAUGHN,MARCUS",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
16:09,"MISS LAYUP by ANDERSON,KYRON",,,,,,,"MISS LAYUP by ANDERSON,KYRON",1
--,"REBOUND OFF by VAUGHN,MARCUS",,,,,,,"REBOUND OFF by VAUGHN,MARCUS",1
16:02,"GOOD JUMPER by POWER,AARON(in the paint)",11 (+5),,6,,LAGRANGE 11-6 (-5),,"GOOD JUMPER by POWER,AARON(in the paint)",1
15:42,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
15:27,,11 (+2),,9,"GOOD 3PTR by BRYANT,VALENTINO",SEW 11-9 (-2),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",1
15:09,"MISS JUMPER by ANDERKAVICH,JOEY",,,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
14:53,,11,,11,"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 11-11 (0),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
--,,,,,"ASSIST  by VEAL,ROBERT",,,"ASSIST  by VEAL,ROBERT",1
14:29,"MISS LAYUP by ANDERSON,KYRON",,,,,,,"MISS LAYUP by ANDERSON,KYRON",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
14:18,,11,,14 (+3),"GOOD 3PTR by BOULDIN,BRETT",SEW 11-14 (+3),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
13:40,"MISS JUMPER by ANDERKAVICH,JOEY",,,,,,,"MISS JUMPER by ANDERKAVICH,JOEY",1
--,"REBOUND OFF by ANDERSON,KYRON",,,,,,,"REBOUND OFF by ANDERSON,KYRON",1
13:38,"MISS JUMPER by ANDERSON,KYRON",,,,,,,"MISS JUMPER by ANDERSON,KYRON",1
13:38,,,,,"BLOCK  by AFFRONTI,LEWIS",,,"BLOCK  by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
13:19,,11,,17 (+6),"GOOD 3PTR by BEVIACQUA,BRYAN",SEW 11-17 (+6),,"GOOD 3PTR by BEVIACQUA,BRYAN",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
13:12,"GOOD JUMPER by ROBINSON,DENZEL(in the paint)",13,,17 (+4),,LAGRANGE 13-17 (+4),,"GOOD JUMPER by ROBINSON,DENZEL(in the paint)",1
13:04,,,,,"MISS LAYUP by VEAL,ROBERT",,,"MISS LAYUP by VEAL,ROBERT",1
13:04,"BLOCK  by VAUGHN,MARCUS",,,,,,,"BLOCK  by VAUGHN,MARCUS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:24,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by MARTIN,SAM",,,"REBOUND OFF by MARTIN,SAM",1
12:22,,,,,"MISS JUMPER by MARTIN,SAM",,,"MISS JUMPER by MARTIN,SAM",1
12:22,"BLOCK  by ROBINSON,DENZEL",,,,,,,"BLOCK  by ROBINSON,DENZEL",1
--,,,,,"REBOUND OFF by MARTIN,SAM",,,"REBOUND OFF by MARTIN,SAM",1
12:19,"FOUL  by CRAFT,BLAKE",,,,,,,"FOUL  by CRAFT,BLAKE",1
11:51,,13,,19 (+6),"GOOD JUMPER by BOULDIN,BRETT",SEW 13-19 (+6),,"GOOD JUMPER by BOULDIN,BRETT",1
11:34,"MISS JUMPER by ROBINSON,DENZEL",,,,,,,"MISS JUMPER by ROBINSON,DENZEL",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
11:10,,13,,22 (+9),"GOOD 3PTR by BEVIACQUA,BRYAN",SEW 13-22 (+9),,"GOOD 3PTR by BEVIACQUA,BRYAN",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
10:37,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
10:37,"MISS FT by VAUGHN,MARCUS",,,,,,,"MISS FT by VAUGHN,MARCUS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
10:37,"GOOD FT by VAUGHN,MARCUS",14,,22 (+8),,LAGRANGE 14-22 (+8),,"GOOD FT by VAUGHN,MARCUS",1
10:29,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",1
10:25,,,,,"MISS JUMPER by BRYANT,VALENTINO",,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",1
10:25,"FOUL  by ANDERKAVICH,JOEY",,,,,,,"FOUL  by ANDERKAVICH,JOEY",1
10:25,,14,,23 (+9),"GOOD FT by BRYANT,VALENTINO",SEW 14-23 (+9),,"GOOD FT by BRYANT,VALENTINO",1
