Time Remaining,JOHN,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
16:25,"FOUL  by LOUIS,CEBASTIANO",,,,,,,"FOUL  by LOUIS,CEBASTIANO",1
16:25,,2,,11 (+9),"GOOD FT by NELSON,ANVIL",SEW 2-11 (+9),,"GOOD FT by NELSON,ANVIL",1
16:07,"MISS JUMPER by GRIFFIN,TYLER",,,,,,,"MISS JUMPER by GRIFFIN,TYLER",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
15:55,"FOUL  by KING,NICK",,,,,,,"FOUL  by KING,NICK",1
15:37,,2,,13 (+11),"GOOD JUMPER by MARTIN,SAM(in the paint)",SEW 2-13 (+11),,"GOOD JUMPER by MARTIN,SAM(in the paint)",1
15:19,,,,,"FOUL  by BOULDIN,BRETT",,,"FOUL  by BOULDIN,BRETT",1
15:15,"MISS JUMPER by GRIFFIN,TYLER",,,,,,,"MISS JUMPER by GRIFFIN,TYLER",1
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",1
15:06,,,,,"TURNOVER  by BOULDIN,BRETT",,,"TURNOVER  by BOULDIN,BRETT",1
15:04,"STEAL  by BOWEN JR.,RICKY",,,,,,,"STEAL  by BOWEN JR.,RICKY",1
15:00,"MISS 3PTR by BOWEN JR.,RICKY",,,,,,,"MISS 3PTR by BOWEN JR.,RICKY",1
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",1
14:55,,2,,15 (+13),"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",SEW 2-15 (+13),,"GOOD LAYUP by BOULDIN,BRETT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WILLIAMS,TRENT",,,"ASSIST  by WILLIAMS,TRENT",1
14:40,"TURNOVER  by BELL,CHRIS",,,,,,,"TURNOVER  by BELL,CHRIS",1
14:20,,2,,18 (+16),"GOOD 3PTR by BOULDIN,BRETT",SEW 2-18 (+16),,"GOOD 3PTR by BOULDIN,BRETT",1
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",1
14:00,"GOOD 3PTR by GRIFFIN,TYLER",5,,18 (+13),,JOHN 5-18 (+13),,"GOOD 3PTR by GRIFFIN,TYLER",1
--,"ASSIST  by KING,NICK",,,,,,,"ASSIST  by KING,NICK",1
13:35,"FOUL  by BELL,CHRIS",,,,,,,"FOUL  by BELL,CHRIS",1
13:30,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",,,"MISS 3PTR by BEVIACQUA,BRYAN",1
--,"REBOUND DEF by BELL,CHRIS",,,,,,,"REBOUND DEF by BELL,CHRIS",1
13:16,"MISS 3PTR by KING,NICK",,,,,,,"MISS 3PTR by KING,NICK",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
13:05,,,,,"MISS 3PTR by VEAL,ROBERT",,,"MISS 3PTR by VEAL,ROBERT",1
--,"REBOUND DEF by FRIEDMAN,ERIC",,,,,,,"REBOUND DEF by FRIEDMAN,ERIC",1
12:36,"MISS 3PTR by GRIFFIN,TYLER",,,,,,,"MISS 3PTR by GRIFFIN,TYLER",1
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",1
12:22,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND OFF by VEAL,ROBERT",,,"REBOUND OFF by VEAL,ROBERT",1
12:20,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",1
12:17,,5,,20 (+15),"GOOD JUMPER by CALDWELL,MARCELLUS",SEW 5-20 (+15),,"GOOD JUMPER by CALDWELL,MARCELLUS",1
11:55,"MISS JUMPER by GRIFFIN,TYLER",,,,,,,"MISS JUMPER by GRIFFIN,TYLER",1
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",1
11:35,,5,,22 (+17),"GOOD JUMPER by MARTIN,SAM(in the paint)",SEW 5-22 (+17),,"GOOD JUMPER by MARTIN,SAM(in the paint)",1
11:16,"MISS 3PTR by DEPEW,CHASE",,,,,,,"MISS 3PTR by DEPEW,CHASE",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
11:07,,5,,25 (+20),"GOOD 3PTR by AFFRONTI,LEWIS",SEW 5-25 (+20),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
10:43,"TURNOVER  by QUINONES,ANDREW",,,,,,,"TURNOVER  by QUINONES,ANDREW",1
10:42,,,,,"STEAL  by AFFRONTI,LEWIS",,,"STEAL  by AFFRONTI,LEWIS",1
10:26,,5,,27 (+22),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 5-27 (+22),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
10:03,"FOUL  by GRIFFIN,TYLER",,,,,,,"FOUL  by GRIFFIN,TYLER",1
09:54,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
09:45,,,,,"TURNOVER  by NELSON,ANVIL",,,"TURNOVER  by NELSON,ANVIL",1
09:34,"TURNOVER  by BELL,CHRIS",,,,,,,"TURNOVER  by BELL,CHRIS",1
09:34,"FOUL  by BELL,CHRIS",,,,,,,"FOUL  by BELL,CHRIS",1
09:21,,5,,29 (+24),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 5-29 (+24),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",1
09:08,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
09:07,"TURNOVER  by DEPEW,CHASE",,,,,,,"TURNOVER  by DEPEW,CHASE",1
08:54,,5,,32 (+27),"GOOD 3PTR by BRYANT,VALENTINO",SEW 5-32 (+27),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",1
08:44,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
08:29,"MISS 3PTR by DEPEW,CHASE",,,,,,,"MISS 3PTR by DEPEW,CHASE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
08:20,"MISS JUMPER by BOWEN JR.,RICKY",,,,,,,"MISS JUMPER by BOWEN JR.,RICKY",1
--,,,,,"REBOUND DEF by NELSON,ANVIL",,,"REBOUND DEF by NELSON,ANVIL",1
08:14,,5,,34 (+29),"GOOD JUMPER by BRYANT,VALENTINO(fastbreak)(in the paint)",SEW 5-34 (+29),,"GOOD JUMPER by BRYANT,VALENTINO(fastbreak)(in the paint)",1
08:03,"GOOD 3PTR by FRIEDMAN,ERIC",8,,34 (+26),,JOHN 8-34 (+26),,"GOOD 3PTR by FRIEDMAN,ERIC",1
07:43,,8,,36 (+28),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 8-36 (+28),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
--,,,,,"ASSIST  by AFFRONTI,LEWIS",,,"ASSIST  by AFFRONTI,LEWIS",1
07:32,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
07:22,"TURNOVER  by KING,NICK",,,,,,,"TURNOVER  by KING,NICK",1
07:20,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",1
06:54,,8,,38 (+30),"GOOD JUMPER by VEAL,ROBERT(in the paint)",SEW 8-38 (+30),,"GOOD JUMPER by VEAL,ROBERT(in the paint)",1
--,,,,,"ASSIST  by MARTIN,SAM",,,"ASSIST  by MARTIN,SAM",1
06:46,"TURNOVER  by LOUIS,CEBASTIANO",,,,,,,"TURNOVER  by LOUIS,CEBASTIANO",1
06:31,,,,,"MISS LAYUP by MARTIN,SAM",,,"MISS LAYUP by MARTIN,SAM",1
--,"REBOUND DEF by KING,NICK",,,,,,,"REBOUND DEF by KING,NICK",1
06:18,"MISS 3PTR by BOWEN JR.,RICKY",,,,,,,"MISS 3PTR by BOWEN JR.,RICKY",1
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",1
05:50,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",,,"MISS 3PTR by BEVIACQUA,BRYAN",1
--,"REBOUND DEF by LOUIS,CEBASTIANO",,,,,,,"REBOUND DEF by LOUIS,CEBASTIANO",1
05:14,"MISS JUMPER by BOWEN JR.,RICKY",,,,,,,"MISS JUMPER by BOWEN JR.,RICKY",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
05:04,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,"REBOUND DEF by LOUIS,CEBASTIANO",,,,,,,"REBOUND DEF by LOUIS,CEBASTIANO",1
04:58,"TURNOVER  by LOUIS,CEBASTIANO",,,,,,,"TURNOVER  by LOUIS,CEBASTIANO",1
04:57,,,,,"STEAL  by VEAL,ROBERT",,,"STEAL  by VEAL,ROBERT",1
04:56,,,,,"TURNOVER  by VEAL,ROBERT",,,"TURNOVER  by VEAL,ROBERT",1
04:45,"GOOD 3PTR by FRIEDMAN,ERIC",11,,38 (+27),,JOHN 11-38 (+27),,"GOOD 3PTR by FRIEDMAN,ERIC",1
04:30,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",1
04:29,"STEAL  by BOWEN JR.,RICKY",,,,,,,"STEAL  by BOWEN JR.,RICKY",1
04:26,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
04:26,"GOOD FT by BOWEN JR.,RICKY",12,,38 (+26),,JOHN 12-38 (+26),,"GOOD FT by BOWEN JR.,RICKY",1
04:26,"GOOD FT by BOWEN JR.,RICKY",13,,38 (+25),,JOHN 13-38 (+25),,"GOOD FT by BOWEN JR.,RICKY",1
04:11,,13,,41 (+28),"GOOD 3PTR by BRYANT,VALENTINO",SEW 13-41 (+28),,"GOOD 3PTR by BRYANT,VALENTINO",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
03:38,"MISS 3PTR by FRIEDMAN,ERIC",,,,,,,"MISS 3PTR by FRIEDMAN,ERIC",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
03:19,,,,,"TURNOVER  by VEAL,ROBERT",,,"TURNOVER  by VEAL,ROBERT",1
03:18,"STEAL  by BOWEN JR.,RICKY",,,,,,,"STEAL  by BOWEN JR.,RICKY",1
03:15,"GOOD JUMPER by BOWEN JR.,RICKY(fastbreak)(in the paint)",15,,41 (+26),,JOHN 15-41 (+26),,"GOOD JUMPER by BOWEN JR.,RICKY(fastbreak)(in the paint)",1
02:48,,15,,43 (+28),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEW 15-43 (+28),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
02:28,"MISS JUMPER by FRIEDMAN,ERIC",,,,,,,"MISS JUMPER by FRIEDMAN,ERIC",1
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",1
02:15,,15,,45 (+30),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEW 15-45 (+30),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
01:51,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",1
01:51,"MISS FT by LOUIS,CEBASTIANO",,,,,,,"MISS FT by LOUIS,CEBASTIANO",1
--,,,,,"REBOUND DEF by KIRKPATRICK,TODD",,,"REBOUND DEF by KIRKPATRICK,TODD",1
01:30,,15,,47 (+32),"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",SEW 15-47 (+32),,"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
01:07,"MISS JUMPER by LOUIS,CEBASTIANO",,,,,,,"MISS JUMPER by LOUIS,CEBASTIANO",1
01:07,,,,,"BLOCK  by KIRKPATRICK,TODD",,,"BLOCK  by KIRKPATRICK,TODD",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
00:55,"FOUL  by FRIEDMAN,ERIC",,,,,,,"FOUL  by FRIEDMAN,ERIC",1
00:45,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
00:26,"TURNOVER  by KING,NICK",,,,,,,"TURNOVER  by KING,NICK",1
00:24,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",1
00:06,,15,,49 (+34),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEW 15-49 (+34),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",1
00:06,"FOUL  by KING,NICK",,,,,,,"FOUL  by KING,NICK",1
00:06,,,,,"MISS FT by VEAL,ROBERT",,,"MISS FT by VEAL,ROBERT",1
--,"REBOUND DEF by KING,NICK",,,,,,,"REBOUND DEF by KING,NICK",1
00:04,"TURNOVER  by KING,NICK",,,,,,,"TURNOVER  by KING,NICK",1
00:03,,,,,"STEAL  by CALDWELL,MARCELLUS",,,"STEAL  by CALDWELL,MARCELLUS",1
00:01,,15,,51 (+36),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEW 15-51 (+36),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
19:49,,15,,54 (+39),"GOOD 3PTR by WILLIAMS,TRENT",SEW 15-54 (+39),,"GOOD 3PTR by WILLIAMS,TRENT",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
19:38,"MISS JUMPER by FRIEDMAN,ERIC",,,,,,,"MISS JUMPER by FRIEDMAN,ERIC",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
19:34,"FOUL  by LOUIS,CEBASTIANO",,,,,,,"FOUL  by LOUIS,CEBASTIANO",2
19:31,,15,,56 (+41),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 15-56 (+41),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
19:14,"MISS 3PTR by FRIEDMAN,ERIC",,,,,,,"MISS 3PTR by FRIEDMAN,ERIC",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
19:05,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
19:04,"STEAL  by FRIEDMAN,ERIC",,,,,,,"STEAL  by FRIEDMAN,ERIC",2
19:01,"MISS LAYUP by BOWEN JR.,RICKY",,,,,,,"MISS LAYUP by BOWEN JR.,RICKY",2
--,"REBOUND OFF by BOWEN JR.,RICKY",,,,,,,"REBOUND OFF by BOWEN JR.,RICKY",2
18:54,"MISS 3PTR by KING,NICK",,,,,,,"MISS 3PTR by KING,NICK",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
18:45,,15,,58 (+43),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEW 15-58 (+43),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
18:08,"GOOD LAYUP by LOUIS,CEBASTIANO(in the paint)",17,,58 (+41),,JOHN 17-58 (+41),,"GOOD LAYUP by LOUIS,CEBASTIANO(in the paint)",2
17:49,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by FRIEDMAN,ERIC",,,,,,,"REBOUND DEF by FRIEDMAN,ERIC",2
17:43,"TURNOVER  by FRIEDMAN,ERIC",,,,,,,"TURNOVER  by FRIEDMAN,ERIC",2
17:42,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by KING,NICK",,,,,,,"REBOUND DEF by KING,NICK",2
17:27,"TURNOVER  by LOUIS,CEBASTIANO",,,,,,,"TURNOVER  by LOUIS,CEBASTIANO",2
17:26,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
17:21,,,,,"MISS JUMPER by AFFRONTI,LEWIS",,,"MISS JUMPER by AFFRONTI,LEWIS",2
--,"REBOUND DEF by BOWEN JR.,RICKY",,,,,,,"REBOUND DEF by BOWEN JR.,RICKY",2
17:17,"TURNOVER  by BOWEN JR.,RICKY",,,,,,,"TURNOVER  by BOWEN JR.,RICKY",2
16:56,,17,,60 (+43),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEW 17-60 (+43),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",2
16:41,"TURNOVER  by LOUIS,CEBASTIANO",,,,,,,"TURNOVER  by LOUIS,CEBASTIANO",2
16:38,,,,,"STEAL  by MARTIN,SAM",,,"STEAL  by MARTIN,SAM",2
16:35,,17,,62 (+45),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 17-62 (+45),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",2
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",2
16:17,"TURNOVER  by KING,NICK",,,,,,,"TURNOVER  by KING,NICK",2
15:46,,,,,"MISS 3PTR by VEAL,ROBERT",,,"MISS 3PTR by VEAL,ROBERT",2
--,"REBOUND DEF by FRIEDMAN,ERIC",,,,,,,"REBOUND DEF by FRIEDMAN,ERIC",2
15:39,"GOOD LAYUP by KING,NICK(fastbreak)(in the paint)",19,,62 (+43),,JOHN 19-62 (+43),,"GOOD LAYUP by KING,NICK(fastbreak)(in the paint)",2
15:16,,19,,64 (+45),"GOOD JUMPER by VEAL,ROBERT(in the paint)",SEW 19-64 (+45),,"GOOD JUMPER by VEAL,ROBERT(in the paint)",2
15:07,"MISS 3PTR by KING,NICK",,,,,,,"MISS 3PTR by KING,NICK",2
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",2
14:47,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
14:44,"FOUL  by QUINONES,ANDREW",,,,,,,"FOUL  by QUINONES,ANDREW",2
14:33,,19,,67 (+48),"GOOD 3PTR by BOULDIN,BRETT",SEW 19-67 (+48),,"GOOD 3PTR by BOULDIN,BRETT",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
14:12,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",2
14:07,"TURNOVER  by BELL,CHRIS",,,,,,,"TURNOVER  by BELL,CHRIS",2
14:06,,,,,"STEAL  by BEVIACQUA,BRYAN",,,"STEAL  by BEVIACQUA,BRYAN",2
14:04,,19,,69 (+50),"GOOD LAYUP by BEVIACQUA,BRYAN(fastbreak)(in the paint)",SEW 19-69 (+50),,"GOOD LAYUP by BEVIACQUA,BRYAN(fastbreak)(in the paint)",2
13:46,"MISS JUMPER by DEPEW,CHASE",,,,,,,"MISS JUMPER by DEPEW,CHASE",2
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",2
13:37,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",2
--,"REBOUND DEF by FRIEDMAN,ERIC",,,,,,,"REBOUND DEF by FRIEDMAN,ERIC",2
13:30,"MISS JUMPER by FRIEDMAN,ERIC",,,,,,,"MISS JUMPER by FRIEDMAN,ERIC",2
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",2
13:23,,19,,71 (+52),"GOOD LAYUP by VEAL,ROBERT(in the paint)",SEW 19-71 (+52),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
13:03,"MISS JUMPER by KING,NICK",,,,,,,"MISS JUMPER by KING,NICK",2
--,,,,,"REBOUND DEF by BOULDIN,BRETT",,,"REBOUND DEF by BOULDIN,BRETT",2
12:54,,,,,"MISS LAYUP by MARTIN,SAM",,,"MISS LAYUP by MARTIN,SAM",2
--,,,,,"REBOUND OFF by MARTIN,SAM",,,"REBOUND OFF by MARTIN,SAM",2
12:51,,,,,"MISS LAYUP by MARTIN,SAM",,,"MISS LAYUP by MARTIN,SAM",2
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",2
12:33,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,"REBOUND DEF by QUINONES,ANDREW",,,,,,,"REBOUND DEF by QUINONES,ANDREW",2
12:07,"TURNOVER  by DEPEW,CHASE",,,,,,,"TURNOVER  by DEPEW,CHASE",2
12:06,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",2
11:56,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",2
--,"REBOUND DEF by KING,NICK",,,,,,,"REBOUND DEF by KING,NICK",2
11:47,"GOOD 3PTR by FRIEDMAN,ERIC",22,,71 (+49),,JOHN 22-71 (+49),,"GOOD 3PTR by FRIEDMAN,ERIC",2
11:29,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",2
--,"REBOUND DEF by BELL,CHRIS",,,,,,,"REBOUND DEF by BELL,CHRIS",2
11:03,"MISS 3PTR by FRIEDMAN,ERIC",,,,,,,"MISS 3PTR by FRIEDMAN,ERIC",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
10:39,,22,,73 (+51),"GOOD JUMPER by VEAL,ROBERT",SEW 22-73 (+51),,"GOOD JUMPER by VEAL,ROBERT",2
10:17,"MISS 3PTR by BOWEN JR.,RICKY",,,,,,,"MISS 3PTR by BOWEN JR.,RICKY",2
--,,,,,"REBOUND DEF by KIRKPATRICK,TODD",,,"REBOUND DEF by KIRKPATRICK,TODD",2
10:06,,22,,76 (+54),"GOOD 3PTR by GRACE,WES",SEW 22-76 (+54),,"GOOD 3PTR by GRACE,WES",2
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",2
09:56,"MISS 3PTR by QUINONES,ANDREW",,,,,,,"MISS 3PTR by QUINONES,ANDREW",2
--,,,,,"REBOUND DEF by GRACE,WES",,,"REBOUND DEF by GRACE,WES",2
09:50,,,,,"MISS JUMPER by GRACE,WES",,,"MISS JUMPER by GRACE,WES",2
--,"REBOUND DEF by GIBSON,CAMBREN",,,,,,,"REBOUND DEF by GIBSON,CAMBREN",2
09:31,"GOOD LAYUP by DEPEW,CHASE(in the paint)",24,,76 (+52),,JOHN 24-76 (+52),,"GOOD LAYUP by DEPEW,CHASE(in the paint)",2
--,"ASSIST  by GIBSON,CAMBREN",,,,,,,"ASSIST  by GIBSON,CAMBREN",2
09:16,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",2
--,"REBOUND DEF by BOWEN JR.,RICKY",,,,,,,"REBOUND DEF by BOWEN JR.,RICKY",2
08:56,"MISS 3PTR by BOWEN JR.,RICKY",,,,,,,"MISS 3PTR by BOWEN JR.,RICKY",2
--,,,,,"REBOUND DEF by GRACE,WES",,,"REBOUND DEF by GRACE,WES",2
08:38,,24,,79 (+55),"GOOD 3PTR by GRACE,WES",SEW 24-79 (+55),,"GOOD 3PTR by GRACE,WES",2
08:23,,,,,"FOUL  by BROWN,TYLER",,,"FOUL  by BROWN,TYLER",2
08:13,"GOOD LAYUP by BELL,CHRIS(in the paint)",26,,79 (+53),,JOHN 26-79 (+53),,"GOOD LAYUP by BELL,CHRIS(in the paint)",2
