Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
14:16,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
13:50,,11 (+1),,10,"GOOD JUMPER by TRAMUTOLO,JAKE",CCM 11-10 (+1),,"GOOD JUMPER by TRAMUTOLO,JAKE",1
13:37,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
13:24,,,,,"MISS LAYUP by MILNE,RYAN",,,"MISS LAYUP by MILNE,RYAN",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
12:54,"TURNOVER  by BEVIACQUA,BRYAN",,,,,,,"TURNOVER  by BEVIACQUA,BRYAN",1
12:47,"FOUL  by BOULDIN,BRETT",,,,,,,"FOUL  by BOULDIN,BRETT",1
12:35,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",1
--,"REBOUND DEF by BEVIACQUA,BRYAN",,,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",1
12:18,"MISS 3PTR by BOULDIN,BRETT",,,,,,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by MILNE,RYAN",,,"REBOUND DEF by MILNE,RYAN",1
12:10,,11,,13 (+2),"GOOD 3PTR by TRAMUTOLO,JAKE",CCM 11-13 (-2),,"GOOD 3PTR by TRAMUTOLO,JAKE",1
--,,,,,"ASSIST  by MILNE,RYAN",,,"ASSIST  by MILNE,RYAN",1
11:51,"MISS LAYUP by BOULDIN,BRETT",,,,,,,"MISS LAYUP by BOULDIN,BRETT",1
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",1
11:39,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",1
11:39,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",1
11:39,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
11:39,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",1
11:39,"SUB OUT by BOULDIN,BRETT",,,,,,,"SUB OUT by BOULDIN,BRETT",1
11:39,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
11:39,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",1
11:39,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",1
11:30,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",1
--,,,,,"REBOUND OFF by REWOLDT,IAN",,,"REBOUND OFF by REWOLDT,IAN",1
11:27,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
10:54,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",1
10:42,,11,,16 (+5),"GOOD 3PTR by WATERS,JEREMIAH",CCM 11-16 (-5),,"GOOD 3PTR by WATERS,JEREMIAH",1
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",1
10:20,"MISS JUMPER by BROWN,TYLER",,,,,,,"MISS JUMPER by BROWN,TYLER",1
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",1
10:05,"FOUL  by WILLIAMS,TRENT",,,,,,,"FOUL  by WILLIAMS,TRENT",1
10:05,,,,,"MISS FT by TRAMUTOLO,JAKE",,,"MISS FT by TRAMUTOLO,JAKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:05,,11,,17 (+6),"GOOD FT by TRAMUTOLO,JAKE",CCM 11-17 (-6),,"GOOD FT by TRAMUTOLO,JAKE",1
10:05,,11,,18 (+7),"GOOD FT by TRAMUTOLO,JAKE",CCM 11-18 (-7),,"GOOD FT by TRAMUTOLO,JAKE",1
10:05,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",1
10:05,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",1
10:05,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",1
10:05,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
10:05,,,,,"SUB IN by KELL,RYAN",,,"SUB IN by KELL,RYAN",1
10:05,,,,,"SUB IN by LESNANSKY,CHRIS",,,"SUB IN by LESNANSKY,CHRIS",1
10:05,,,,,"SUB OUT by TRAMUTOLO,JAKE",,,"SUB OUT by TRAMUTOLO,JAKE",1
10:05,,,,,"SUB OUT by REWOLDT,IAN",,,"SUB OUT by REWOLDT,IAN",1
09:34,"GOOD LAYUP by MARTIN,SAM(in the paint)",13,,18 (+5),,SEWM 13-18 (-5),,"GOOD LAYUP by MARTIN,SAM(in the paint)",1
09:16,,,,,"TURNOVER  by MILNE,RYAN",,,"TURNOVER  by MILNE,RYAN",1
09:14,"STEAL  by AFFRONTI,LEWIS",,,,,,,"STEAL  by AFFRONTI,LEWIS",1
08:59,"GOOD LAYUP by NELSON,ANVIL(in the paint)",15,,18 (+3),,SEWM 15-18 (-3),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
08:36,,15,,21 (+6),"GOOD 3PTR by WATERS,JEREMIAH",CCM 15-21 (-6),,"GOOD 3PTR by WATERS,JEREMIAH",1
--,,,,,"ASSIST  by KELL,RYAN",,,"ASSIST  by KELL,RYAN",1
08:16,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",1
08:16,,,,,"SUB IN by REWOLDT,IAN",,,"SUB IN by REWOLDT,IAN",1
08:16,,,,,"SUB IN by TRAMUTOLO,JAKE",,,"SUB IN by TRAMUTOLO,JAKE",1
08:16,,,,,"SUB OUT by WATERS,JEREMIAH",,,"SUB OUT by WATERS,JEREMIAH",1
08:16,,,,,"SUB OUT by KELL,RYAN",,,"SUB OUT by KELL,RYAN",1
08:04,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",1
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",1
07:43,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",17,,21 (+4),,SEWM 17-21 (-4),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",1
07:27,"FOUL  by MARTIN,SAM",,,,,,,"FOUL  by MARTIN,SAM",1
07:27,,,,,"SUB IN by WATERS,JEREMIAH",,,"SUB IN by WATERS,JEREMIAH",1
07:27,,,,,"SUB OUT by WEBB,DANIEL",,,"SUB OUT by WEBB,DANIEL",1
07:23,,,,,"MISS LAYUP by LESNANSKY,CHRIS",,,"MISS LAYUP by LESNANSKY,CHRIS",1
--,"REBOUND DEF by BRYANT,VALENTINO",,,,,,,"REBOUND DEF by BRYANT,VALENTINO",1
07:12,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",1
06:59,,17,,24 (+7),"GOOD 3PTR by MILNE,RYAN",CCM 17-24 (-7),,"GOOD 3PTR by MILNE,RYAN",1
--,,,,,"ASSIST  by LESNANSKY,CHRIS",,,"ASSIST  by LESNANSKY,CHRIS",1
06:55,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:55,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",1
06:55,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",1
06:30,"GOOD 3PTR by AFFRONTI,LEWIS",20,,24 (+4),,SEWM 20-24 (-4),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,"ASSIST  by BEVIACQUA,BRYAN",,,,,,,"ASSIST  by BEVIACQUA,BRYAN",1
05:56,,,,,"TURNOVER  by REWOLDT,IAN",,,"TURNOVER  by REWOLDT,IAN",1
05:41,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",22,,24 (+2),,SEWM 22-24 (-2),,"GOOD JUMPER by WILLIAMS,TRENT(in the paint)",1
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
05:11,,22,,27 (+5),"GOOD 3PTR by MILNE,RYAN",CCM 22-27 (-5),,"GOOD 3PTR by MILNE,RYAN",1
--,,,,,"ASSIST  by REWOLDT,IAN",,,"ASSIST  by REWOLDT,IAN",1
04:40,"GOOD JUMPER by NELSON,ANVIL",24,,27 (+3),,SEWM 24-27 (-3),,"GOOD JUMPER by NELSON,ANVIL",1
04:22,,24,,30 (+6),"GOOD 3PTR by WATERS,JEREMIAH",CCM 24-30 (-6),,"GOOD 3PTR by WATERS,JEREMIAH",1
--,,,,,"ASSIST  by MILNE,RYAN",,,"ASSIST  by MILNE,RYAN",1
03:48,"GOOD 3PTR by WILLIAMS,TRENT",27,,30 (+3),,SEWM 27-30 (-3),,"GOOD 3PTR by WILLIAMS,TRENT",1
--,"ASSIST  by BEVIACQUA,BRYAN",,,,,,,"ASSIST  by BEVIACQUA,BRYAN",1
03:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:45,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",1
03:45,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",1
03:45,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
03:45,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",1
03:45,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",1
03:45,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",1
03:45,,,,,"SUB IN by MAYO-SMITH,CHRIS",,,"SUB IN by MAYO-SMITH,CHRIS",1
03:45,,,,,"SUB OUT by TRAMUTOLO,JAKE",,,"SUB OUT by TRAMUTOLO,JAKE",1
03:35,,,,,"MISS JUMPER by REWOLDT,IAN",,,"MISS JUMPER by REWOLDT,IAN",1
--,,,,,"REBOUND OFF by LESNANSKY,CHRIS",,,"REBOUND OFF by LESNANSKY,CHRIS",1
03:31,,27,,32 (+5),"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 27-32 (-5),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",1
02:59,,,,,"FOUL  by MILNE,RYAN",,,"FOUL  by MILNE,RYAN",1
02:59,"GOOD FT by BRYANT,VALENTINO",28,,32 (+4),,SEWM 28-32 (-4),,"GOOD FT by BRYANT,VALENTINO",1
02:59,"MISS FT by BRYANT,VALENTINO",,,,,,,"MISS FT by BRYANT,VALENTINO",1
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",1
02:59,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
02:59,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",1
02:59,,,,,"SUB IN by TRAMUTOLO,JAKE",,,"SUB IN by TRAMUTOLO,JAKE",1
02:59,,,,,"SUB OUT by MAYO-SMITH,CHRIS",,,"SUB OUT by MAYO-SMITH,CHRIS",1
02:48,,,,,"MISS JUMPER by MILNE,RYAN",,,"MISS JUMPER by MILNE,RYAN",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
02:34,,,,,"FOUL  by LESNANSKY,CHRIS",,,"FOUL  by LESNANSKY,CHRIS",1
02:34,"MISS FT by WILLIAMS,TRENT",,,,,,,"MISS FT by WILLIAMS,TRENT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:34,"MISS FT by WILLIAMS,TRENT",,,,,,,"MISS FT by WILLIAMS,TRENT",1
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",1
02:26,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:15,,,,,"MISS LAYUP by REWOLDT,IAN",,,"MISS LAYUP by REWOLDT,IAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
02:13,,,,,"FOUL  by REWOLDT,IAN",,,"FOUL  by REWOLDT,IAN",1
02:03,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",1
--,"REBOUND OFF by BRYANT,VALENTINO",,,,,,,"REBOUND OFF by BRYANT,VALENTINO",1
02:00,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",1
01:38,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
01:36,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",1
01:36,,,,,"SUB OUT by LESNANSKY,CHRIS",,,"SUB OUT by LESNANSKY,CHRIS",1
01:19,"GOOD LAYUP by VEAL,ROBERT(in the paint)",30,,32 (+2),,SEWM 30-32 (-2),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",1
01:00,"FOUL  by BRYANT,VALENTINO",,,,,,,"FOUL  by BRYANT,VALENTINO",1
01:00,,30,,33 (+3),"GOOD FT by MILNE,RYAN",CCM 30-33 (-3),,"GOOD FT by MILNE,RYAN",1
01:00,,,,,"MISS FT by MILNE,RYAN",,,"MISS FT by MILNE,RYAN",1
--,"REBOUND DEF by WILLIAMS,TRENT",,,,,,,"REBOUND DEF by WILLIAMS,TRENT",1
00:47,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",32,,33 (+1),,SEWM 32-33 (-1),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
--,"ASSIST  by BROWN,TYLER",,,,,,,"ASSIST  by BROWN,TYLER",1
00:27,,,,,"TURNOVER  by MILNE,RYAN",,,"TURNOVER  by MILNE,RYAN",1
00:25,"STEAL  by BOULDIN,BRETT",,,,,,,"STEAL  by BOULDIN,BRETT",1
00:04,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",34 (+1),,33,,SEWM 34-33 (+1),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",1
19:32,"TURNOVER  by BRYANT,VALENTINO",,,,,,,"TURNOVER  by BRYANT,VALENTINO",2
19:32,,,,,"STEAL  by REWOLDT,IAN",,,"STEAL  by REWOLDT,IAN",2
19:13,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
18:59,"TURNOVER  by WILLIAMS,TRENT",,,,,,,"TURNOVER  by WILLIAMS,TRENT",2
18:54,,,,,"STEAL  by MILNE,RYAN",,,"STEAL  by MILNE,RYAN",2
18:50,"FOUL  by AFFRONTI,LEWIS",,,,,,,"FOUL  by AFFRONTI,LEWIS",2
18:44,,,,,"MISS 3PTR by TRAMUTOLO,JAKE",,,"MISS 3PTR by TRAMUTOLO,JAKE",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
18:10,"MISS 3PTR by BRYANT,VALENTINO",,,,,,,"MISS 3PTR by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by WATERS,JEREMIAH",,,"REBOUND DEF by WATERS,JEREMIAH",2
17:42,,,,,"MISS JUMPER by LESNANSKY,CHRIS",,,"MISS JUMPER by LESNANSKY,CHRIS",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
17:29,"MISS 3PTR by AFFRONTI,LEWIS",,,,,,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
17:26,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",2
17:26,"SUB IN by BOULDIN,BRETT",,,,,,,"SUB IN by BOULDIN,BRETT",2
17:26,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
17:26,"SUB OUT by BRYANT,VALENTINO",,,,,,,"SUB OUT by BRYANT,VALENTINO",2
17:26,"SUB OUT by NELSON,ANVIL",,,,,,,"SUB OUT by NELSON,ANVIL",2
17:26,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
17:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
16:54,,,,,"TURNOVER  by WATERS,JEREMIAH",,,"TURNOVER  by WATERS,JEREMIAH",2
16:43,"TURNOVER  by BOULDIN,BRETT",,,,,,,"TURNOVER  by BOULDIN,BRETT",2
16:40,,,,,"STEAL  by MILNE,RYAN",,,"STEAL  by MILNE,RYAN",2
16:35,,,,,"MISS 3PTR by WATERS,JEREMIAH",,,"MISS 3PTR by WATERS,JEREMIAH",2
--,"REBOUND DEF by BOULDIN,BRETT",,,,,,,"REBOUND DEF by BOULDIN,BRETT",2
16:11,"GOOD 3PTR by BROWN,TYLER",37 (+4),,33,,SEWM 37-33 (+4),,"GOOD 3PTR by BROWN,TYLER",2
--,"ASSIST  by BOULDIN,BRETT",,,,,,,"ASSIST  by BOULDIN,BRETT",2
15:48,,37 (+2),,35,"GOOD JUMPER by TRAMUTOLO,JAKE",CCM 37-35 (+2),,"GOOD JUMPER by TRAMUTOLO,JAKE",2
15:15,,,,,"FOUL  by WATERS,JEREMIAH",,,"FOUL  by WATERS,JEREMIAH",2
15:15,"GOOD FT by BEVIACQUA,BRYAN",38 (+3),,35,,SEWM 38-35 (+3),,"GOOD FT by BEVIACQUA,BRYAN",2
15:15,"GOOD FT by BEVIACQUA,BRYAN",39 (+4),,35,,SEWM 39-35 (+4),,"GOOD FT by BEVIACQUA,BRYAN",2
15:15,"SUB IN by AFFRONTI,LEWIS",,,,,,,"SUB IN by AFFRONTI,LEWIS",2
15:15,"SUB OUT by WILLIAMS,TRENT",,,,,,,"SUB OUT by WILLIAMS,TRENT",2
14:59,,39 (+2),,37,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",CCM 39-37 (+2),,"GOOD LAYUP by LESNANSKY,CHRIS(in the paint)",2
--,,,,,"ASSIST  by TRAMUTOLO,JAKE",,,"ASSIST  by TRAMUTOLO,JAKE",2
14:36,"GOOD LAYUP by VEAL,ROBERT(in the paint)",41 (+4),,37,,SEWM 41-37 (+4),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",2
14:18,,,,,"MISS JUMPER by MILNE,RYAN",,,"MISS JUMPER by MILNE,RYAN",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
13:56,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",2
13:56,"SUB IN by BRYANT,VALENTINO",,,,,,,"SUB IN by BRYANT,VALENTINO",2
13:56,"SUB OUT by BEVIACQUA,BRYAN",,,,,,,"SUB OUT by BEVIACQUA,BRYAN",2
13:39,,,,,"MISS LAYUP by MILNE,RYAN",,,"MISS LAYUP by MILNE,RYAN",2
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",2
13:29,"MISS JUMPER by BRYANT,VALENTINO",,,,,,,"MISS JUMPER by BRYANT,VALENTINO",2
--,,,,,"REBOUND DEF by REWOLDT,IAN",,,"REBOUND DEF by REWOLDT,IAN",2
13:09,,,,,"MISS LAYUP by MILNE,RYAN",,,"MISS LAYUP by MILNE,RYAN",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
12:51,"TURNOVER  by AFFRONTI,LEWIS",,,,,,,"TURNOVER  by AFFRONTI,LEWIS",2
12:50,,,,,"STEAL  by REWOLDT,IAN",,,"STEAL  by REWOLDT,IAN",2
12:35,,,,,"MISS JUMPER by LESNANSKY,CHRIS",,,"MISS JUMPER by LESNANSKY,CHRIS",2
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",2
12:06,"MISS 3PTR by BROWN,TYLER",,,,,,,"MISS 3PTR by BROWN,TYLER",2
--,,,,,"REBOUND DEF by LESNANSKY,CHRIS",,,"REBOUND DEF by LESNANSKY,CHRIS",2
11:51,,41 (+1),,40,"GOOD 3PTR by TRAMUTOLO,JAKE",CCM 41-40 (+1),,"GOOD 3PTR by TRAMUTOLO,JAKE",2
--,,,,,"ASSIST  by MILNE,RYAN",,,"ASSIST  by MILNE,RYAN",2
11:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:49,"SUB IN by BEVIACQUA,BRYAN",,,,,,,"SUB IN by BEVIACQUA,BRYAN",2
11:49,"SUB IN by NELSON,ANVIL",,,,,,,"SUB IN by NELSON,ANVIL",2
11:49,"SUB IN by WILLIAMS,TRENT",,,,,,,"SUB IN by WILLIAMS,TRENT",2
11:49,"SUB OUT by AFFRONTI,LEWIS",,,,,,,"SUB OUT by AFFRONTI,LEWIS",2
11:49,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",2
11:49,"SUB OUT by BROWN,TYLER",,,,,,,"SUB OUT by BROWN,TYLER",2
11:49,,,,,"SUB IN by WEBB,DANIEL",,,"SUB IN by WEBB,DANIEL",2
11:49,,,,,"SUB OUT by TRAMUTOLO,JAKE",,,"SUB OUT by TRAMUTOLO,JAKE",2
11:33,"GOOD 3PTR by BOULDIN,BRETT",44 (+4),,40,,SEWM 44-40 (+4),,"GOOD 3PTR by BOULDIN,BRETT",2
--,"ASSIST  by BRYANT,VALENTINO",,,,,,,"ASSIST  by BRYANT,VALENTINO",2
11:13,,,,,"MISS JUMPER by WEBB,DANIEL",,,"MISS JUMPER by WEBB,DANIEL",2
--,"REBOUND DEF by NELSON,ANVIL",,,,,,,"REBOUND DEF by NELSON,ANVIL",2
10:46,"GOOD 3PTR by BRYANT,VALENTINO",47 (+7),,40,,SEWM 47-40 (+7),,"GOOD 3PTR by BRYANT,VALENTINO",2
--,"ASSIST  by NELSON,ANVIL",,,,,,,"ASSIST  by NELSON,ANVIL",2
10:33,"FOUL  by NELSON,ANVIL",,,,,,,"FOUL  by NELSON,ANVIL",2
