Time Remaining,BOYCE,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
14:13,,,,,"STEAL  by WILLIAMS,TRENT",,,"STEAL  by WILLIAMS,TRENT",1
14:10,,4,,17 (+13),"GOOD JUMPER by WILLIAMS,TRENT",SEW 4-17 (+13),,"GOOD JUMPER by WILLIAMS,TRENT",1
13:41,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",1
13:41,"GOOD FT by BARNETT,KEVIN",5,,17 (+12),,BOYCE 5-17 (+12),,"GOOD FT by BARNETT,KEVIN",1
13:41,"GOOD FT by BARNETT,KEVIN",6,,17 (+11),,BOYCE 6-17 (+11),,"GOOD FT by BARNETT,KEVIN",1
13:28,,6,,19 (+13),"GOOD LAYUP by MARTIN,SAM(in the paint)",SEW 6-19 (+13),,"GOOD LAYUP by MARTIN,SAM(in the paint)",1
--,,,,,"ASSIST  by KIRKPATRICK,TODD",,,"ASSIST  by KIRKPATRICK,TODD",1
13:09,"MISS JUMPER by BARNETT,KEVIN",,,,,,,"MISS JUMPER by BARNETT,KEVIN",1
13:09,,,,,"BLOCK  by KIRKPATRICK,TODD",,,"BLOCK  by KIRKPATRICK,TODD",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:45,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",1
12:45,"GOOD FT by BARNETT,KEVIN",7,,19 (+12),,BOYCE 7-19 (+12),,"GOOD FT by BARNETT,KEVIN",1
12:45,"GOOD FT by BARNETT,KEVIN",8,,19 (+11),,BOYCE 8-19 (+11),,"GOOD FT by BARNETT,KEVIN",1
12:31,,,,,"MISS JUMPER by KIRKPATRICK,TODD",,,"MISS JUMPER by KIRKPATRICK,TODD",1
--,"REBOUND DEF by POWELL,MATT",,,,,,,"REBOUND DEF by POWELL,MATT",1
12:23,"MISS LAYUP by POWELL,MATT",,,,,,,"MISS LAYUP by POWELL,MATT",1
12:23,,,,,"BLOCK  by BRYANT,VALENTINO",,,"BLOCK  by BRYANT,VALENTINO",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:21,"TURNOVER  by BARNETT,KEVIN",,,,,,,"TURNOVER  by BARNETT,KEVIN",1
12:08,,8,,21 (+13),"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",SEW 8-21 (+13),,"GOOD LAYUP by WILLIAMS,TRENT(in the paint)",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
11:54,"GOOD JUMPER by ETHRIDGE,TREY",10,,21 (+11),,BOYCE 10-21 (+11),,"GOOD JUMPER by ETHRIDGE,TREY",1
11:39,,,,,"MISS 3PTR by VEAL,ROBERT",,,"MISS 3PTR by VEAL,ROBERT",1
--,"REBOUND DEF by BARNETT,KEVIN",,,,,,,"REBOUND DEF by BARNETT,KEVIN",1
11:31,"MISS JUMPER by POWELL,MATT",,,,,,,"MISS JUMPER by POWELL,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:22,,10,,23 (+13),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEW 10-23 (+13),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",1
11:07,"MISS JUMPER by POWELL,MATT",,,,,,,"MISS JUMPER by POWELL,MATT",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
10:45,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by ETHRIDGE,TREY",,,,,,,"REBOUND DEF by ETHRIDGE,TREY",1
10:22,"GOOD JUMPER by BARNETT,KEVIN",12,,23 (+11),,BOYCE 12-23 (+11),,"GOOD JUMPER by BARNETT,KEVIN",1
--,"ASSIST  by POWELL,MATT",,,,,,,"ASSIST  by POWELL,MATT",1
09:59,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",1
--,"REBOUND DEF by ETHRIDGE,TREY",,,,,,,"REBOUND DEF by ETHRIDGE,TREY",1
09:38,"GOOD 3PTR by POWELL,MATT",15,,23 (+8),,BOYCE 15-23 (+8),,"GOOD 3PTR by POWELL,MATT",1
--,"ASSIST  by DOENGES,JORDAN",,,,,,,"ASSIST  by DOENGES,JORDAN",1
09:37,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",1
09:14,"MISS 3PTR by BLAND,EMMANUEL",,,,,,,"MISS 3PTR by BLAND,EMMANUEL",1
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",1
08:57,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by VEAL,ROBERT",,,"REBOUND OFF by VEAL,ROBERT",1
08:51,,,,,"MISS LAYUP by VEAL,ROBERT",,,"MISS LAYUP by VEAL,ROBERT",1
--,"REBOUND DEF by WILMOTT,BROCK",,,,,,,"REBOUND DEF by WILMOTT,BROCK",1
08:42,"MISS 3PTR by BLAND,EMMANUEL",,,,,,,"MISS 3PTR by BLAND,EMMANUEL",1
--,"REBOUND OFF by WILMOTT,BROCK",,,,,,,"REBOUND OFF by WILMOTT,BROCK",1
08:35,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",1
08:32,"MISS JUMPER by BLAND,EMMANUEL",,,,,,,"MISS JUMPER by BLAND,EMMANUEL",1
--,"REBOUND OFF by POWELL,MATT",,,,,,,"REBOUND OFF by POWELL,MATT",1
08:28,"MISS JUMPER by POWELL,MATT",,,,,,,"MISS JUMPER by POWELL,MATT",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
08:15,,15,,25 (+10),"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",SEW 15-25 (+10),,"GOOD LAYUP by AFFRONTI,LEWIS(in the paint)",1
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",1
07:57,"TURNOVER  by ETHRIDGE,TREY",,,,,,,"TURNOVER  by ETHRIDGE,TREY",1
07:46,"FOUL  by ETHRIDGE,TREY",,,,,,,"FOUL  by ETHRIDGE,TREY",1
07:44,,15,,28 (+13),"GOOD 3PTR by AFFRONTI,LEWIS",SEW 15-28 (+13),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",1
07:29,"TURNOVER  by BARNETT,KEVIN",,,,,,,"TURNOVER  by BARNETT,KEVIN",1
07:18,,15,,31 (+16),"GOOD 3PTR by AFFRONTI,LEWIS",SEW 15-31 (+16),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
07:02,"MISS 3PTR by HENDRICK,BEAU",,,,,,,"MISS 3PTR by HENDRICK,BEAU",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
06:51,"FOUL  by HENDRICK,BEAU",,,,,,,"FOUL  by HENDRICK,BEAU",1
06:51,,,,,"MISS FT by AFFRONTI,LEWIS",,,"MISS FT by AFFRONTI,LEWIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:51,,15,,32 (+17),"GOOD FT by AFFRONTI,LEWIS",SEW 15-32 (+17),,"GOOD FT by AFFRONTI,LEWIS",1
06:51,,15,,33 (+18),"GOOD FT by AFFRONTI,LEWIS",SEW 15-33 (+18),,"GOOD FT by AFFRONTI,LEWIS",1
06:41,"TURNOVER  by BLAND,EMMANUEL",,,,,,,"TURNOVER  by BLAND,EMMANUEL",1
06:29,"FOUL  by ETHRIDGE,TREY",,,,,,,"FOUL  by ETHRIDGE,TREY",1
06:23,,,,,"MISS JUMPER by MARTIN,SAM",,,"MISS JUMPER by MARTIN,SAM",1
06:23,"BLOCK  by WILMOTT,BROCK",,,,,,,"BLOCK  by WILMOTT,BROCK",1
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",1
06:13,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",1
06:01,"MISS 3PTR by BLAND,EMMANUEL",,,,,,,"MISS 3PTR by BLAND,EMMANUEL",1
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",1
05:51,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",1
05:44,"GOOD JUMPER by POWELL,MATT(in the paint)",17,,33 (+16),,BOYCE 17-33 (+16),,"GOOD JUMPER by POWELL,MATT(in the paint)",1
05:44,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",1
05:44,"GOOD FT by POWELL,MATT",18,,33 (+15),,BOYCE 18-33 (+15),,"GOOD FT by POWELL,MATT",1
05:19,,18,,35 (+17),"GOOD JUMPER by MARTIN,SAM(in the paint)",SEW 18-35 (+17),,"GOOD JUMPER by MARTIN,SAM(in the paint)",1
05:19,"FOUL  by BARNETT,KEVIN",,,,,,,"FOUL  by BARNETT,KEVIN",1
05:19,,,,,"MISS FT by MARTIN,SAM",,,"MISS FT by MARTIN,SAM",1
--,"REBOUND DEF by WILMOTT,BROCK",,,,,,,"REBOUND DEF by WILMOTT,BROCK",1
05:10,"TURNOVER  by HENDRICK,BEAU",,,,,,,"TURNOVER  by HENDRICK,BEAU",1
04:38,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,"REBOUND DEF by HENDRICK,BEAU",,,,,,,"REBOUND DEF by HENDRICK,BEAU",1
04:25,"MISS JUMPER by POWELL,MATT",,,,,,,"MISS JUMPER by POWELL,MATT",1
--,"REBOUND OFF by POWELL,MATT",,,,,,,"REBOUND OFF by POWELL,MATT",1
04:16,"MISS JUMPER by WILMOTT,BROCK",,,,,,,"MISS JUMPER by WILMOTT,BROCK",1
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",1
04:01,,,,,"MISS JUMPER by WILLIAMS,TRENT",,,"MISS JUMPER by WILLIAMS,TRENT",1
--,,,,,"REBOUND OFF by NELSON,ANVIL",,,"REBOUND OFF by NELSON,ANVIL",1
03:57,,18,,37 (+19),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 18-37 (+19),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
03:55,"MISS JUMPER by BARNETT,KEVIN",,,,,,,"MISS JUMPER by BARNETT,KEVIN",1
--,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",,,"REBOUND DEF by BEVIACQUA,BRYAN",1
03:47,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",1
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",1
03:36,,18,,39 (+21),"GOOD DUNK by BROWN,TYLER(in the paint)",SEW 18-39 (+21),,"GOOD DUNK by BROWN,TYLER(in the paint)",1
03:33,"TURNOVER  by POWELL,MATT",,,,,,,"TURNOVER  by POWELL,MATT",1
03:19,,,,,"MISS 3PTR by BROWN,TYLER",,,"MISS 3PTR by BROWN,TYLER",1
--,"REBOUND DEF by POWELL,MATT",,,,,,,"REBOUND DEF by POWELL,MATT",1
03:06,"MISS JUMPER by WILMOTT,BROCK",,,,,,,"MISS JUMPER by WILMOTT,BROCK",1
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",1
02:54,,18,,42 (+24),"GOOD 3PTR by AFFRONTI,LEWIS",SEW 18-42 (+24),,"GOOD 3PTR by AFFRONTI,LEWIS",1
--,,,,,"ASSIST  by BRYANT,VALENTINO",,,"ASSIST  by BRYANT,VALENTINO",1
02:32,"GOOD LAYUP by HENDRICK,BEAU(in the paint)",20,,42 (+22),,BOYCE 20-42 (+22),,"GOOD LAYUP by HENDRICK,BEAU(in the paint)",1
--,"ASSIST  by BARNETT,KEVIN",,,,,,,"ASSIST  by BARNETT,KEVIN",1
02:21,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",1
--,"REBOUND DEF by DOENGES,JORDAN",,,,,,,"REBOUND DEF by DOENGES,JORDAN",1
01:59,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",1
01:59,"GOOD FT by POWELL,MATT",21,,42 (+21),,BOYCE 21-42 (+21),,"GOOD FT by POWELL,MATT",1
01:59,"GOOD FT by POWELL,MATT",22,,42 (+20),,BOYCE 22-42 (+20),,"GOOD FT by POWELL,MATT",1
01:36,,22,,44 (+22),"GOOD LAYUP by NELSON,ANVIL(in the paint)",SEW 22-44 (+22),,"GOOD LAYUP by NELSON,ANVIL(in the paint)",1
01:09,"MISS 3PTR by ETHRIDGE,TREY",,,,,,,"MISS 3PTR by ETHRIDGE,TREY",1
--,"REBOUND OFF by DOENGES,JORDAN",,,,,,,"REBOUND OFF by DOENGES,JORDAN",1
01:04,"MISS JUMPER by DOENGES,JORDAN",,,,,,,"MISS JUMPER by DOENGES,JORDAN",1
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",1
00:57,,,,,"MISS 3PTR by BOULDIN,BRETT",,,"MISS 3PTR by BOULDIN,BRETT",1
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",1
00:52,,22,,46 (+24),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 22-46 (+24),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
00:34,"TURNOVER  by BLAND,EMMANUEL",,,,,,,"TURNOVER  by BLAND,EMMANUEL",1
00:23,,22,,48 (+26),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 22-48 (+26),,"GOOD LAYUP by BROWN,TYLER(in the paint)",1
--,,,,,"ASSIST  by BEVIACQUA,BRYAN",,,"ASSIST  by BEVIACQUA,BRYAN",1
00:04,"GOOD 3PTR by BLAND,EMMANUEL",25,,48 (+23),,BOYCE 25-48 (+23),,"GOOD 3PTR by BLAND,EMMANUEL",1
19:44,"TURNOVER  by BARNETT,KEVIN",,,,,,,"TURNOVER  by BARNETT,KEVIN",2
19:42,,,,,"STEAL  by NELSON,ANVIL",,,"STEAL  by NELSON,ANVIL",2
19:39,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by POWELL,MATT",,,,,,,"REBOUND DEF by POWELL,MATT",2
19:22,"TURNOVER  by ETHRIDGE,TREY",,,,,,,"TURNOVER  by ETHRIDGE,TREY",2
19:20,,,,,"STEAL  by BOULDIN,BRETT",,,"STEAL  by BOULDIN,BRETT",2
19:18,,25,,50 (+25),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 25-50 (+25),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by BOULDIN,BRETT",,,"ASSIST  by BOULDIN,BRETT",2
19:04,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
19:04,"GOOD FT by POWELL,MATT",26,,50 (+24),,BOYCE 26-50 (+24),,"GOOD FT by POWELL,MATT",2
19:04,"MISS FT by POWELL,MATT",,,,,,,"MISS FT by POWELL,MATT",2
--,,,,,"REBOUND DEF by AFFRONTI,LEWIS",,,"REBOUND DEF by AFFRONTI,LEWIS",2
18:44,,,,,"MISS LAYUP by AFFRONTI,LEWIS",,,"MISS LAYUP by AFFRONTI,LEWIS",2
18:44,"BLOCK  by ETHRIDGE,TREY",,,,,,,"BLOCK  by ETHRIDGE,TREY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:39,,,,,"MISS LAYUP by NELSON,ANVIL",,,"MISS LAYUP by NELSON,ANVIL",2
--,"REBOUND DEF by ETHRIDGE,TREY",,,,,,,"REBOUND DEF by ETHRIDGE,TREY",2
18:19,"MISS JUMPER by ETHRIDGE,TREY",,,,,,,"MISS JUMPER by ETHRIDGE,TREY",2
18:19,,,,,"BLOCK  by BROWN,TYLER",,,"BLOCK  by BROWN,TYLER",2
--,"REBOUND OFF by ETHRIDGE,TREY",,,,,,,"REBOUND OFF by ETHRIDGE,TREY",2
18:13,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
18:13,"MISS FT by DOENGES,JORDAN",,,,,,,"MISS FT by DOENGES,JORDAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:13,"MISS FT by DOENGES,JORDAN",,,,,,,"MISS FT by DOENGES,JORDAN",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
17:54,,,,,"TURNOVER  by BROWN,TYLER",,,"TURNOVER  by BROWN,TYLER",2
17:46,"MISS JUMPER by BLAND,EMMANUEL",,,,,,,"MISS JUMPER by BLAND,EMMANUEL",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
17:31,,26,,52 (+26),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 26-52 (+26),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
--,,,,,"ASSIST  by NELSON,ANVIL",,,"ASSIST  by NELSON,ANVIL",2
17:18,"MISS 3PTR by POWELL,MATT",,,,,,,"MISS 3PTR by POWELL,MATT",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
17:12,,26,,54 (+28),"GOOD JUMPER by BROWN,TYLER(in the paint)",SEW 26-54 (+28),,"GOOD JUMPER by BROWN,TYLER(in the paint)",2
17:12,"FOUL  by POWELL,MATT",,,,,,,"FOUL  by POWELL,MATT",2
17:12,,26,,55 (+29),"GOOD FT by BROWN,TYLER",SEW 26-55 (+29),,"GOOD FT by BROWN,TYLER",2
16:53,"MISS 3PTR by BLAND,EMMANUEL",,,,,,,"MISS 3PTR by BLAND,EMMANUEL",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
16:40,"FOUL  by BARNETT,KEVIN",,,,,,,"FOUL  by BARNETT,KEVIN",2
16:40,,26,,56 (+30),"GOOD FT by BRYANT,VALENTINO",SEW 26-56 (+30),,"GOOD FT by BRYANT,VALENTINO",2
16:40,,26,,57 (+31),"GOOD FT by BRYANT,VALENTINO",SEW 26-57 (+31),,"GOOD FT by BRYANT,VALENTINO",2
16:33,,,,,"FOUL  by BRYANT,VALENTINO",,,"FOUL  by BRYANT,VALENTINO",2
16:32,"MISS LAYUP by WILMOTT,BROCK",,,,,,,"MISS LAYUP by WILMOTT,BROCK",2
--,,,,,"REBOUND DEF by BRYANT,VALENTINO",,,"REBOUND DEF by BRYANT,VALENTINO",2
16:23,,,,,"MISS LAYUP by NELSON,ANVIL",,,"MISS LAYUP by NELSON,ANVIL",2
--,,,,,"REBOUND OFF by BROWN,TYLER",,,"REBOUND OFF by BROWN,TYLER",2
16:16,,26,,59 (+33),"GOOD LAYUP by BROWN,TYLER(in the paint)",SEW 26-59 (+33),,"GOOD LAYUP by BROWN,TYLER(in the paint)",2
16:08,"TURNOVER  by POWELL,MATT",,,,,,,"TURNOVER  by POWELL,MATT",2
15:53,,26,,61 (+35),"GOOD JUMPER by NELSON,ANVIL(in the paint)",SEW 26-61 (+35),,"GOOD JUMPER by NELSON,ANVIL(in the paint)",2
15:34,"GOOD JUMPER by WILMOTT,BROCK",28,,61 (+33),,BOYCE 28-61 (+33),,"GOOD JUMPER by WILMOTT,BROCK",2
15:34,,,,,"FOUL  by NELSON,ANVIL",,,"FOUL  by NELSON,ANVIL",2
15:34,"GOOD FT by WILMOTT,BROCK",29,,61 (+32),,BOYCE 29-61 (+32),,"GOOD FT by WILMOTT,BROCK",2
15:15,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",2
--,"REBOUND DEF by ETHRIDGE,TREY",,,,,,,"REBOUND DEF by ETHRIDGE,TREY",2
15:04,"MISS JUMPER by POWELL,MATT",,,,,,,"MISS JUMPER by POWELL,MATT",2
--,,,,,"REBOUND DEF by MARTIN,SAM",,,"REBOUND DEF by MARTIN,SAM",2
14:56,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND OFF by KIRKPATRICK,TODD",,,"REBOUND OFF by KIRKPATRICK,TODD",2
14:54,"FOUL  by HENDRICK,BEAU",,,,,,,"FOUL  by HENDRICK,BEAU",2
14:54,,29,,63 (+34),"GOOD JUMPER by KIRKPATRICK,TODD",SEW 29-63 (+34),,"GOOD JUMPER by KIRKPATRICK,TODD",2
14:34,,,,,"FOUL  by BEVIACQUA,BRYAN",,,"FOUL  by BEVIACQUA,BRYAN",2
14:33,"TURNOVER  by POWELL,MATT",,,,,,,"TURNOVER  by POWELL,MATT",2
14:10,,,,,"MISS 3PTR by BEVIACQUA,BRYAN",,,"MISS 3PTR by BEVIACQUA,BRYAN",2
--,,,,,"REBOUND OFF by MARTIN,SAM",,,"REBOUND OFF by MARTIN,SAM",2
13:43,,,,,"TURNOVER  by BEVIACQUA,BRYAN",,,"TURNOVER  by BEVIACQUA,BRYAN",2
13:42,"STEAL  by HENDRICK,BEAU",,,,,,,"STEAL  by HENDRICK,BEAU",2
13:26,"TURNOVER  by MARSHALL,LUKE",,,,,,,"TURNOVER  by MARSHALL,LUKE",2
13:26,,,,,"STEAL  by MARTIN,SAM",,,"STEAL  by MARTIN,SAM",2
13:26,,,,,"TURNOVER  by MARTIN,SAM",,,"TURNOVER  by MARTIN,SAM",2
13:24,"TURNOVER  by HENDRICK,BEAU",,,,,,,"TURNOVER  by HENDRICK,BEAU",2
13:09,,29,,65 (+36),"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",SEW 29-65 (+36),,"GOOD JUMPER by KIRKPATRICK,TODD(in the paint)",2
12:53,,,,,"FOUL  by MARTIN,SAM",,,"FOUL  by MARTIN,SAM",2
