Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
06:15,"MISS LAYUP by STEIOFF,ANDREW",,,,,,,"MISS LAYUP by STEIOFF,ANDREW",2
--,"REBOUND OFF by DAVIS,ALEX",,,,,,,"REBOUND OFF by DAVIS,ALEX",2
06:09,"GOOD JUMPER by DAVIS,ALEX(in the paint)",49,,53 (+4),,OUM 49-53 (+4),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",2
05:45,,49,,55 (+6),"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",SEW 49-55 (+6),,"GOOD LAYUP by BRYANT,VALENTINO(in the paint)",2
05:18,"GOOD 3PTR by JOVAAG,BRANDEN",52,,55 (+3),,OUM 52-55 (+3),,"GOOD 3PTR by JOVAAG,BRANDEN",2
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",2
04:40,,,,,"MISS 3PTR by WILLIAMS,TRENT",,,"MISS 3PTR by WILLIAMS,TRENT",2
--,"REBOUND DEF by STEIOFF,ANDREW",,,,,,,"REBOUND DEF by STEIOFF,ANDREW",2
04:29,"MISS LAYUP by STEIOFF,ANDREW",,,,,,,"MISS LAYUP by STEIOFF,ANDREW",2
--,"REBOUND OFF by PURDY,SAM",,,,,,,"REBOUND OFF by PURDY,SAM",2
04:24,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",54,,55 (+1),,OUM 54-55 (+1),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",2
--,"ASSIST  by PURDY,SAM",,,,,,,"ASSIST  by PURDY,SAM",2
04:06,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",2
04:05,,,,,"FOUL  by AFFRONTI,LEWIS",,,"FOUL  by AFFRONTI,LEWIS",2
04:05,"MISS FT by PURDY,SAM",,,,,,,"MISS FT by PURDY,SAM",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
04:00,"MISS 3PTR by JOVAAG,BRANDEN",,,,,,,"MISS 3PTR by JOVAAG,BRANDEN",2
--,,,,,"REBOUND DEF by WILLIAMS,TRENT",,,"REBOUND DEF by WILLIAMS,TRENT",2
03:35,,,,,"MISS 3PTR by BRYANT,VALENTINO",,,"MISS 3PTR by BRYANT,VALENTINO",2
--,"REBOUND DEF by PURDY,SAM",,,,,,,"REBOUND DEF by PURDY,SAM",2
03:15,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",56 (+1),,55,,OUM 56-55 (-1),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",2
--,"ASSIST  by STEIOFF,ANDREW",,,,,,,"ASSIST  by STEIOFF,ANDREW",2
02:55,,,,,"TURNOVER  by WILLIAMS,TRENT",,,"TURNOVER  by WILLIAMS,TRENT",2
02:53,"STEAL  by PURDY,SAM",,,,,,,"STEAL  by PURDY,SAM",2
02:23,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",58 (+3),,55,,OUM 58-55 (-3),,"GOOD LAYUP by MOLINET,CHRISTIAN(in the paint)",2
--,"ASSIST  by STEIOFF,ANDREW",,,,,,,"ASSIST  by STEIOFF,ANDREW",2
02:04,,,,,"MISS 3PTR by AFFRONTI,LEWIS",,,"MISS 3PTR by AFFRONTI,LEWIS",2
--,,,,,"REBOUND OFF by BRYANT,VALENTINO",,,"REBOUND OFF by BRYANT,VALENTINO",2
02:00,"FOUL  by PITTS,ALEC",,,,,,,"FOUL  by PITTS,ALEC",2
02:00,,58 (+2),,56,"GOOD FT by BRYANT,VALENTINO",SEW 58-56 (-2),,"GOOD FT by BRYANT,VALENTINO",2
02:00,,58 (+1),,57,"GOOD FT by BRYANT,VALENTINO",SEW 58-57 (-1),,"GOOD FT by BRYANT,VALENTINO",2
01:38,"MISS LAYUP by MOLINET,CHRISTIAN",,,,,,,"MISS LAYUP by MOLINET,CHRISTIAN",2
--,,,,,"REBOUND DEF by BROWN,TYLER",,,"REBOUND DEF by BROWN,TYLER",2
01:25,"FOUL  by MOLINET,CHRISTIAN",,,,,,,"FOUL  by MOLINET,CHRISTIAN",2
01:25,,58,,58,"GOOD FT by NELSON,ANVIL",SEW 58-58 (0),,"GOOD FT by NELSON,ANVIL",2
01:25,,58,,59 (+1),"GOOD FT by NELSON,ANVIL",SEW 58-59 (+1),,"GOOD FT by NELSON,ANVIL",2
01:09,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",60 (+1),,59,,OUM 60-59 (-1),,"GOOD LAYUP by STEIOFF,ANDREW(in the paint)",2
--,"ASSIST  by MOLINET,CHRISTIAN",,,,,,,"ASSIST  by MOLINET,CHRISTIAN",2
00:44,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",2
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",2
00:20,"TURNOVER  by PITTS,ALEC",,,,,,,"TURNOVER  by PITTS,ALEC",2
00:18,,,,,"STEAL  by BRYANT,VALENTINO",,,"STEAL  by BRYANT,VALENTINO",2
00:18,,60,,61 (+1),"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",SEW 60-61 (+1),,"GOOD LAYUP by BRYANT,VALENTINO(fastbreak)(in the paint)",2
00:18,"FOUL  by CERONE,TYLER",,,,,,,"FOUL  by CERONE,TYLER",2
00:18,,,,,"MISS FT by BRYANT,VALENTINO",,,"MISS FT by BRYANT,VALENTINO",2
--,"REBOUND DEF by JOVAAG,BRANDEN",,,,,,,"REBOUND DEF by JOVAAG,BRANDEN",2
