Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,FRAN,Game Score,Team Indicator,Play,Period
19:47,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",1
19:45,,,,,"STEAL  by THOMAS,KLEINSCHNITZ",,,"STEAL  by THOMAS,KLEINSCHNITZ",1
19:44,,0,,2 (+2),"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",FRAN 0-2 (-2),,"GOOD LAYUP by THOMAS,KLEINSCHNITZ(in the paint)",1
19:29,"GOOD 3PTR by JONUS,JASEN",3 (+1),,2,,BSC 3-2 (+1),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
19:10,,,,,"MISS LAYUP by SHANE,CRUMP",,,"MISS LAYUP by SHANE,CRUMP",1
--,"REBOUND DEF by PRICE,PATRICK",,,,,,,"REBOUND DEF by PRICE,PATRICK",1
18:53,"GOOD 3PTR by JONUS,JASEN",6 (+4),,2,,BSC 6-2 (+4),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
18:28,,,,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",,,"MISS 3PTR by THOMAS,KLEINSCHNITZ",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
18:11,,,,,"FOUL  by SHANE,CRUMP",,,"FOUL  by SHANE,CRUMP",1
18:11,"GOOD FT by WHITE,BLAISE",7 (+5),,2,,BSC 7-2 (+5),,"GOOD FT by WHITE,BLAISE",1
18:11,"GOOD FT by WHITE,BLAISE",8 (+6),,2,,BSC 8-2 (+6),,"GOOD FT by WHITE,BLAISE",1
18:10,,,,,"TURNOVER  by SHANE,CRUMP",,,"TURNOVER  by SHANE,CRUMP",1
