Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
15:27,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",1
15:27,,,,,"SUB OUT by ROBINSON,DENZEL",,,"SUB OUT by ROBINSON,DENZEL",1
15:13,,,,,"MISS JUMPER by WHITFIELD,NIC",,,"MISS JUMPER by WHITFIELD,NIC",1
--,,,,,"REBOUND OFF by MADDOX,BRANDON",,,"REBOUND OFF by MADDOX,BRANDON",1
14:55,,,,,"MISS 3PTR by VAUGHN,MARCUS",,,"MISS 3PTR by VAUGHN,MARCUS",1
--,,,,,"REBOUND OFF by WHITFIELD,NIC",,,"REBOUND OFF by WHITFIELD,NIC",1
14:53,,,,,"TURNOVER  by WHITFIELD,NIC",,,"TURNOVER  by WHITFIELD,NIC",1
14:37,"GOOD 3PTR by AHUMADA,HART",13 (+13),,0,,BSC-M 13-0 (+13),,"GOOD 3PTR by AHUMADA,HART",1
--,"ASSIST  by SCHAMP,GRIFFIN",,,,,,,"ASSIST  by SCHAMP,GRIFFIN",1
14:31,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:27,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",1
14:27,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
14:14,,13 (+10),,3,"GOOD 3PTR by CRAFT,BLAKE",LCM 13-3 (+10),,"GOOD 3PTR by CRAFT,BLAKE",1
--,,,,,"ASSIST  by TUCK,STEPHEN",,,"ASSIST  by TUCK,STEPHEN",1
13:57,"MISS 3PTR by DOATY,ISIAH",,,,,,,"MISS 3PTR by DOATY,ISIAH",1
--,,,,,"REBOUND DEF by TUCK,STEPHEN",,,"REBOUND DEF by TUCK,STEPHEN",1
13:42,,,,,"MISS JUMPER by WHITFIELD,NIC",,,"MISS JUMPER by WHITFIELD,NIC",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
13:33,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND DEF by HOWARD,JEROD",,,"REBOUND DEF by HOWARD,JEROD",1
13:05,,,,,"MISS 3PTR by CRAFT,BLAKE",,,"MISS 3PTR by CRAFT,BLAKE",1
--,"REBOUND DEF by AHUMADA,HART",,,,,,,"REBOUND DEF by AHUMADA,HART",1
12:46,"FOUL  by AHUMADA,HART",,,,,,,"FOUL  by AHUMADA,HART",1
12:46,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
12:46,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",1
12:46,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
12:46,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
12:46,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",1
12:46,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
12:46,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
12:46,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
12:46,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",1
12:46,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
12:46,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
12:46,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",1
12:30,,13 (+8),,5,"GOOD JUMPER by CRAFT,BLAKE(in the paint)",LCM 13-5 (+8),,"GOOD JUMPER by CRAFT,BLAKE(in the paint)",1
12:01,"MISS JUMPER by MESSENGER,MARK",,,,,,,"MISS JUMPER by MESSENGER,MARK",1
--,,,,,"REBOUND DEF by TUCK,STEPHEN",,,"REBOUND DEF by TUCK,STEPHEN",1
11:51,,13 (+6),,7,"GOOD JUMPER by VAUGHN,MARCUS(in the paint)",LCM 13-7 (+6),,"GOOD JUMPER by VAUGHN,MARCUS(in the paint)",1
--,,,,,"ASSIST  by CRAFT,BLAKE",,,"ASSIST  by CRAFT,BLAKE",1
11:29,"MISS 3PTR by MURPHY,NICK",,,,,,,"MISS 3PTR by MURPHY,NICK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:13,"FOUL  by RODGERS,PHILLIP",,,,,,,"FOUL  by RODGERS,PHILLIP",1
11:13,"TURNOVER  by RODGERS,PHILLIP",,,,,,,"TURNOVER  by RODGERS,PHILLIP",1
11:13,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",1
11:13,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
11:13,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
11:13,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
11:13,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
11:13,"SUB OUT by RODGERS,PHILLIP",,,,,,,"SUB OUT by RODGERS,PHILLIP",1
11:13,"SUB OUT by MURPHY,NICK",,,,,,,"SUB OUT by MURPHY,NICK",1
11:13,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
10:58,,,,,"MISS JUMPER by TUCK,STEPHEN",,,"MISS JUMPER by TUCK,STEPHEN",1
--,,,,,"REBOUND OFF by TUCK,STEPHEN",,,"REBOUND OFF by TUCK,STEPHEN",1
10:55,,,,,"MISS JUMPER by TUCK,STEPHEN",,,"MISS JUMPER by TUCK,STEPHEN",1
--,,,,,"REBOUND OFF by VAUGHN,MARCUS",,,"REBOUND OFF by VAUGHN,MARCUS",1
10:49,,13 (+4),,9,"GOOD JUMPER by VAUGHN,MARCUS",LCM 13-9 (+4),,"GOOD JUMPER by VAUGHN,MARCUS",1
10:17,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",1
--,,,,,"REBOUND DEF by MADDOX,BRANDON",,,"REBOUND DEF by MADDOX,BRANDON",1
10:11,,,,,"MISS 3PTR by HOWARD,JEROD",,,"MISS 3PTR by HOWARD,JEROD",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
10:02,"GOOD 3PTR by JONUS,JASEN",16 (+7),,9,,BSC-M 16-9 (+7),,"GOOD 3PTR by JONUS,JASEN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
09:34,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
09:24,"GOOD LAYUP by WHITE,BLAISE(in the paint)",18 (+9),,9,,BSC-M 18-9 (+9),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
09:21,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
09:21,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",1
09:21,,,,,"SUB IN by WHITFIELD,NIC",,,"SUB IN by WHITFIELD,NIC",1
09:21,,,,,"SUB OUT by HOWARD,JEROD",,,"SUB OUT by HOWARD,JEROD",1
09:21,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",1
09:17,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",1
08:53,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",20 (+11),,9,,BSC-M 20-9 (+11),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",1
08:11,,,,,"MISS 3PTR by TUCK,STEPHEN",,,"MISS 3PTR by TUCK,STEPHEN",1
--,"REBOUND DEF by MESSENGER,MARK",,,,,,,"REBOUND DEF by MESSENGER,MARK",1
08:08,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",1
08:08,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",1
08:08,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",1
08:08,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",1
08:08,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",1
08:06,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",1
08:06,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",1
08:06,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",1
07:38,,20 (+8),,12,"GOOD 3PTR by HOWARD,JEROD",LCM 20-12 (+8),,"GOOD 3PTR by HOWARD,JEROD",1
--,,,,,"ASSIST  by MADDOX,BRANDON",,,"ASSIST  by MADDOX,BRANDON",1
07:16,"SUB IN by SHEMANSKI,RICKY",,,,,,,"SUB IN by SHEMANSKI,RICKY",1
07:16,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
07:16,"SUB IN by AHUMADA,HART",,,,,,,"SUB IN by AHUMADA,HART",1
07:16,"SUB IN by DOATY,ISIAH",,,,,,,"SUB IN by DOATY,ISIAH",1
07:16,"SUB OUT by PRICE,PATRICK",,,,,,,"SUB OUT by PRICE,PATRICK",1
07:16,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
07:16,"SUB OUT by JONUS,JASEN",,,,,,,"SUB OUT by JONUS,JASEN",1
07:16,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
06:59,"GOOD LAYUP by SHEMANSKI,RICKY(in the paint)",22 (+10),,12,,BSC-M 22-12 (+10),,"GOOD LAYUP by SHEMANSKI,RICKY(in the paint)",1
--,"ASSIST  by AHUMADA,HART",,,,,,,"ASSIST  by AHUMADA,HART",1
06:36,,,,,"MISS 3PTR by VAUGHN,MARCUS",,,"MISS 3PTR by VAUGHN,MARCUS",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
06:25,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
06:20,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
06:16,,,,,"SUB IN by ROBINSON,DENZEL",,,"SUB IN by ROBINSON,DENZEL",1
06:16,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",1
06:15,,,,,"TURNOVER  by HOWARD,JEROD",,,"TURNOVER  by HOWARD,JEROD",1
06:13,"STEAL  by KEGARISE,KEVIN",,,,,,,"STEAL  by KEGARISE,KEVIN",1
05:24,"MISS 3PTR by DOATY,ISIAH",,,,,,,"MISS 3PTR by DOATY,ISIAH",1
--,"REBOUND OFF by SCHAMP,GRIFFIN",,,,,,,"REBOUND OFF by SCHAMP,GRIFFIN",1
05:05,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
05:05,"TURNOVER  by SCHAMP,GRIFFIN",,,,,,,"TURNOVER  by SCHAMP,GRIFFIN",1
05:05,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",1
05:05,,,,,"SUB IN by CHASE,NATHAN",,,"SUB IN by CHASE,NATHAN",1
05:05,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",1
05:05,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",1
05:05,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",1
05:05,,,,,"SUB OUT by HOWARD,JEROD",,,"SUB OUT by HOWARD,JEROD",1
04:32,,,,,"MISS 3PTR by CRAFT,BLAKE",,,"MISS 3PTR by CRAFT,BLAKE",1
--,,,,,"REBOUND OFF by CHASE,NATHAN",,,"REBOUND OFF by CHASE,NATHAN",1
04:25,,22 (+8),,14,"GOOD LAYUP by WHITFIELD,NIC(in the paint)",LCM 22-14 (+8),,"GOOD LAYUP by WHITFIELD,NIC(in the paint)",1
--,,,,,"ASSIST  by CHASE,NATHAN",,,"ASSIST  by CHASE,NATHAN",1
04:06,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND OFF by DOATY,ISIAH",,,,,,,"REBOUND OFF by DOATY,ISIAH",1
03:58,"GOOD JUMPER by AHUMADA,HART",24 (+10),,14,,BSC-M 24-14 (+10),,"GOOD JUMPER by AHUMADA,HART",1
--,"ASSIST  by DOATY,ISIAH",,,,,,,"ASSIST  by DOATY,ISIAH",1
03:44,"FOUL  by DOATY,ISIAH",,,,,,,"FOUL  by DOATY,ISIAH",1
03:44,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",1
03:44,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",1
03:44,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:44,"SUB IN by JONUS,JASEN",,,,,,,"SUB IN by JONUS,JASEN",1
03:44,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
03:44,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",1
03:44,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
03:44,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
03:44,"SUB OUT by AHUMADA,HART",,,,,,,"SUB OUT by AHUMADA,HART",1
03:44,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
03:44,,,,,"SUB IN by WHITFIELD,NIC",,,"SUB IN by WHITFIELD,NIC",1
03:44,,,,,"SUB OUT by CHASE,NATHAN",,,"SUB OUT by CHASE,NATHAN",1
03:41,,,,,"MISS 3PTR by CRAFT,BLAKE",,,"MISS 3PTR by CRAFT,BLAKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:39,,,,,"FOUL  by MADDOX,BRANDON",,,"FOUL  by MADDOX,BRANDON",1
03:25,"MISS 3PTR by JONUS,JASEN",,,,,,,"MISS 3PTR by JONUS,JASEN",1
--,,,,,"REBOUND DEF by CRAFT,BLAKE",,,"REBOUND DEF by CRAFT,BLAKE",1
03:09,,24 (+8),,16,"GOOD LAYUP by WHITFIELD,NIC(in the paint)",LCM 24-16 (+8),,"GOOD LAYUP by WHITFIELD,NIC(in the paint)",1
--,,,,,"ASSIST  by ROBINSON,DENZEL",,,"ASSIST  by ROBINSON,DENZEL",1
02:53,"MISS LAYUP by MESSENGER,MARK",,,,,,,"MISS LAYUP by MESSENGER,MARK",1
02:53,,,,,"BLOCK  by WHITFIELD,NIC",,,"BLOCK  by WHITFIELD,NIC",1
--,,,,,"REBOUND DEF by CRAFT,BLAKE",,,"REBOUND DEF by CRAFT,BLAKE",1
02:36,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",1
02:35,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
02:28,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",1
--,"REBOUND OFF by WHITE,BLAISE",,,,,,,"REBOUND OFF by WHITE,BLAISE",1
02:09,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
02:00,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
01:58,,,,,"STEAL  by WHITFIELD,NIC",,,"STEAL  by WHITFIELD,NIC",1
01:40,,24 (+5),,19,"GOOD 3PTR by MADDOX,BRANDON",LCM 24-19 (+5),,"GOOD 3PTR by MADDOX,BRANDON",1
--,,,,,"ASSIST  by TUCK,STEPHEN",,,"ASSIST  by TUCK,STEPHEN",1
01:16,,,,,"FOUL  by ROBINSON,DENZEL",,,"FOUL  by ROBINSON,DENZEL",1
01:16,"GOOD FT by JONUS,JASEN",25 (+6),,19,,BSC-M 25-19 (+6),,"GOOD FT by JONUS,JASEN",1
01:16,"MISS FT by JONUS,JASEN",,,,,,,"MISS FT by JONUS,JASEN",1
--,"REBOUND OFF by MESSENGER,MARK",,,,,,,"REBOUND OFF by MESSENGER,MARK",1
01:13,"GOOD LAYUP by MESSENGER,MARK(in the paint)",27 (+8),,19,,BSC-M 27-19 (+8),,"GOOD LAYUP by MESSENGER,MARK(in the paint)",1
01:13,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",1
01:13,"GOOD FT by MESSENGER,MARK",28 (+9),,19,,BSC-M 28-19 (+9),,"GOOD FT by MESSENGER,MARK",1
01:13,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
01:13,"SUB OUT by MESSENGER,MARK",,,,,,,"SUB OUT by MESSENGER,MARK",1
00:58,,,,,"MISS JUMPER by ROBINSON,DENZEL",,,"MISS JUMPER by ROBINSON,DENZEL",1
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",1
00:24,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",1
00:22,,,,,"STEAL  by BRAYMAN,ALEX",,,"STEAL  by BRAYMAN,ALEX",1
00:19,,,,,"STEAL  by ROBINSON,DENZEL",,,"STEAL  by ROBINSON,DENZEL",1
00:18,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
00:18,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",1
00:18,,,,,"SUB OUT by TUCK,STEPHEN",,,"SUB OUT by TUCK,STEPHEN",1
00:18,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",1
00:16,,,,,"TURNOVER  by ROBINSON,DENZEL",,,"TURNOVER  by ROBINSON,DENZEL",1
00:14,"STEAL  by PRICE,PATRICK",,,,,,,"STEAL  by PRICE,PATRICK",1
00:11,"GOOD LAYUP by WHITE,BLAISE(in the paint)",30 (+11),,19,,BSC-M 30-19 (+11),,"GOOD LAYUP by WHITE,BLAISE(in the paint)",1
--,"ASSIST  by PRICE,PATRICK",,,,,,,"ASSIST  by PRICE,PATRICK",1
00:02,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",1
00:02,,30 (+10),,20,"GOOD FT by VAUGHN,MARCUS",LCM 30-20 (+10),,"GOOD FT by VAUGHN,MARCUS",1
00:02,,30 (+9),,21,"GOOD FT by VAUGHN,MARCUS",LCM 30-21 (+9),,"GOOD FT by VAUGHN,MARCUS",1
00:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:02,"TURNOVER  by PRICE,PATRICK",,,,,,,"TURNOVER  by PRICE,PATRICK",1
00:02,,,,,"STEAL  by VAUGHN,MARCUS",,,"STEAL  by VAUGHN,MARCUS",1
00:02,,,,,"TURNOVER  by VAUGHN,MARCUS",,,"TURNOVER  by VAUGHN,MARCUS",1
00:02,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",1
00:02,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",1
00:00,"GOOD JUMPER by WHITE,BLAISE",32 (+11),,21,,BSC-M 32-21 (+11),,"GOOD JUMPER by WHITE,BLAISE",1
19:34,,,,,"MISS 3PTR by MADDOX,BRANDON",,,"MISS 3PTR by MADDOX,BRANDON",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
19:19,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
19:15,,,,,"STEAL  by GAYLOR,BRITT",,,"STEAL  by GAYLOR,BRITT",2
19:13,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",2
--,,,,,"REBOUND OFF by WHITFIELD,NIC",,,"REBOUND OFF by WHITFIELD,NIC",2
19:11,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
19:11,,,,,"MISS FT by WHITFIELD,NIC",,,"MISS FT by WHITFIELD,NIC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
19:11,,32 (+10),,22,"GOOD FT by WHITFIELD,NIC",LCM 32-22 (+10),,"GOOD FT by WHITFIELD,NIC",2
19:02,"FOUL  by PRICE,PATRICK",,,,,,,"FOUL  by PRICE,PATRICK",2
19:02,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
19:02,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
18:43,,,,,"MISS LAYUP by WHITFIELD,NIC",,,"MISS LAYUP by WHITFIELD,NIC",2
--,,,,,"REBOUND OFF by VAUGHN,MARCUS",,,"REBOUND OFF by VAUGHN,MARCUS",2
