Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
15:20,,9 (+2),,7,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",HCM 9-7 (+2),,"GOOD LAYUP by HEATHSCOTT,NICK(in the paint)",1
15:05,"GOOD LAYUP by LEE,CALEB(in the paint)",11 (+4),,7,,BSC-M 11-7 (+4),,"GOOD LAYUP by LEE,CALEB(in the paint)",1
--,"ASSIST  by DOATY,ISIAH",,,,,,,"ASSIST  by DOATY,ISIAH",1
14:54,,,,,"MISS 3PTR by GOODMAN,CHRIS",,,"MISS 3PTR by GOODMAN,CHRIS",1
--,"REBOUND DEF by SHEMANSKI,RICKY",,,,,,,"REBOUND DEF by SHEMANSKI,RICKY",1
14:45,,,,,"FOUL  by PRIMM,COLTON",,,"FOUL  by PRIMM,COLTON",1
14:45,,,,,"SUB IN by RILEY,JAREN",,,"SUB IN by RILEY,JAREN",1
14:45,,,,,"SUB IN by GRAHAM,JOSH",,,"SUB IN by GRAHAM,JOSH",1
14:45,,,,,"SUB IN by GOODMAN,CHRIS",,,"SUB IN by GOODMAN,CHRIS",1
14:45,,,,,"SUB OUT by EWING,JAMES",,,"SUB OUT by EWING,JAMES",1
14:45,,,,,"SUB OUT by RIZOS,RYAN",,,"SUB OUT by RIZOS,RYAN",1
14:45,,,,,"SUB OUT by PRIMM,COLTON",,,"SUB OUT by PRIMM,COLTON",1
14:44,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
14:35,"FOUL  by SHEMANSKI,RICKY",,,,,,,"FOUL  by SHEMANSKI,RICKY",1
14:35,,11 (+3),,8,"GOOD FT by MARTIN,AMMON",HCM 11-8 (+3),,"GOOD FT by MARTIN,AMMON",1
14:35,,11 (+2),,9,"GOOD FT by MARTIN,AMMON",HCM 11-9 (+2),,"GOOD FT by MARTIN,AMMON",1
14:28,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",13 (+4),,9,,BSC-M 13-9 (+4),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
14:09,,,,,"TURNOVER  by HEATHSCOTT,NICK",,,"TURNOVER  by HEATHSCOTT,NICK",1
13:52,"GOOD JUMPER by HENRY,COLIN",15 (+6),,9,,BSC-M 15-9 (+6),,"GOOD JUMPER by HENRY,COLIN",1
13:38,,15 (+4),,11,"GOOD LAYUP by MARTIN,AMMON(in the paint)",HCM 15-11 (+4),,"GOOD LAYUP by MARTIN,AMMON(in the paint)",1
13:18,"GOOD 3PTR by KEGARISE,KEVIN",18 (+7),,11,,BSC-M 18-11 (+7),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by DOATY,ISIAH",,,,,,,"ASSIST  by DOATY,ISIAH",1
13:17,,,,,"FOUL  by GOODMAN,CHRIS",,,"FOUL  by GOODMAN,CHRIS",1
13:17,"GOOD FT by KEGARISE,KEVIN",19 (+8),,11,,BSC-M 19-11 (+8),,"GOOD FT by KEGARISE,KEVIN",1
13:17,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
13:17,"SUB IN by MURPHY,NICK",,,,,,,"SUB IN by MURPHY,NICK",1
13:17,"SUB IN by RODGERS,PHILLIP",,,,,,,"SUB IN by RODGERS,PHILLIP",1
13:17,"SUB IN by MESSENGER,MARK",,,,,,,"SUB IN by MESSENGER,MARK",1
13:17,"SUB OUT by LEE,CALEB",,,,,,,"SUB OUT by LEE,CALEB",1
13:17,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
13:17,"SUB OUT by SHEMANSKI,RICKY",,,,,,,"SUB OUT by SHEMANSKI,RICKY",1
13:17,"SUB OUT by DOATY,ISIAH",,,,,,,"SUB OUT by DOATY,ISIAH",1
12:52,,,,,"TURNOVER  by HEATHSCOTT,NICK",,,"TURNOVER  by HEATHSCOTT,NICK",1
12:52,,,,,"SUB IN by SHERIDAN,DAYTON",,,"SUB IN by SHERIDAN,DAYTON",1
12:52,,,,,"SUB OUT by HEATHSCOTT,NICK",,,"SUB OUT by HEATHSCOTT,NICK",1
12:33,"GOOD 3PTR by KEGARISE,KEVIN",22 (+11),,11,,BSC-M 22-11 (+11),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by MESSENGER,MARK",,,,,,,"ASSIST  by MESSENGER,MARK",1
12:25,"FOUL  by MESSENGER,MARK",,,,,,,"FOUL  by MESSENGER,MARK",1
12:05,,,,,"TURNOVER  by GRAHAM,JOSH",,,"TURNOVER  by GRAHAM,JOSH",1
11:49,"GOOD JUMPER by MESSENGER,MARK(in the paint)",24 (+13),,11,,BSC-M 24-11 (+13),,"GOOD JUMPER by MESSENGER,MARK(in the paint)",1
11:29,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
11:29,"SUB IN by PRICE,PATRICK",,,,,,,"SUB IN by PRICE,PATRICK",1
11:29,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",1
11:25,,,,,"TURNOVER  by RILEY,JAREN",,,"TURNOVER  by RILEY,JAREN",1
11:24,"STEAL  by MESSENGER,MARK",,,,,,,"STEAL  by MESSENGER,MARK",1
11:20,"GOOD DUNK by MESSENGER,MARK(fastbreak)(in the paint)",26 (+15),,11,,BSC-M 26-11 (+15),,"GOOD DUNK by MESSENGER,MARK(fastbreak)(in the paint)",1
11:11,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
