Time Remaining,COVENANT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
17:36,"GOOD LAYUP by SEARS,CALLUM(in the paint)",5 (+2),,3,,COVENANT 5-3 (-2),,"GOOD LAYUP by SEARS,CALLUM(in the paint)",1
17:23,,,,,"TURNOVER  by DOATY,ISIAH",,,"TURNOVER  by DOATY,ISIAH",1
17:21,"STEAL  by DEVRIES,JON",,,,,,,"STEAL  by DEVRIES,JON",1
17:08,"MISS LAYUP by BOWMAN,SAM",,,,,,,"MISS LAYUP by BOWMAN,SAM",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
16:58,,,,,"MISS 3PTR by AHUMADA,HART",,,"MISS 3PTR by AHUMADA,HART",1
16:58,"BLOCK  by DEVRIES,JON",,,,,,,"BLOCK  by DEVRIES,JON",1
--,,,,,"REBOUND OFF by AHUMADA,HART",,,"REBOUND OFF by AHUMADA,HART",1
16:52,,5,,5,"GOOD LAYUP by AHUMADA,HART(in the paint)",BSC 5-5 (0),,"GOOD LAYUP by AHUMADA,HART(in the paint)",1
16:47,"MISS JUMPER by SEARS,CALLUM",,,,,,,"MISS JUMPER by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by JONUS,JASEN",,,"REBOUND DEF by JONUS,JASEN",1
16:38,,5,,7 (+2),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 5-7 (+2),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by JONUS,JASEN",,,"ASSIST  by JONUS,JASEN",1
16:26,"GOOD LAYUP by BOWMAN,SAM(in the paint)",7,,7,,COVENANT 7-7 (0),,"GOOD LAYUP by BOWMAN,SAM(in the paint)",1
16:06,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",1
16:06,"SUB IN by JOHNSON,STEPHEN",,,,,,,"SUB IN by JOHNSON,STEPHEN",1
16:06,"SUB IN by WERKEMA,PAUL",,,,,,,"SUB IN by WERKEMA,PAUL",1
16:06,"SUB IN by FOSTER,CHASE",,,,,,,"SUB IN by FOSTER,CHASE",1
16:06,"SUB IN by CHAMBERS,KACEY",,,,,,,"SUB IN by CHAMBERS,KACEY",1
16:06,"SUB OUT by MCGAUGHEY,DOMINIQUE",,,,,,,"SUB OUT by MCGAUGHEY,DOMINIQUE",1
16:06,"SUB OUT by LAKEY,ZAROME",,,,,,,"SUB OUT by LAKEY,ZAROME",1
