Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,ELMIRA,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by DIBBLE,TYLER",,,"ASSIST  by DIBBLE,TYLER",1
12:49,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
12:49,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
12:49,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
12:49,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
12:49,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
12:49,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
12:43,,,,,"FOUL  by LEONARDI,GINO",,,"FOUL  by LEONARDI,GINO",1
12:43,"GOOD FT by REPISHTI,BRYAN",17 (+8),,9,,CENTRE_M 17-9 (+8),,"GOOD FT by REPISHTI,BRYAN",1
12:43,"GOOD FT by REPISHTI,BRYAN",18 (+9),,9,,CENTRE_M 18-9 (+9),,"GOOD FT by REPISHTI,BRYAN",1
12:43,,,,,"SUB IN by BADMOS,OLADAPO",,,"SUB IN by BADMOS,OLADAPO",1
12:43,,,,,"SUB OUT by LEONARDI,GINO",,,"SUB OUT by LEONARDI,GINO",1
12:18,,,,,"MISS 3PTR by BADMOS,OLADAPO",,,"MISS 3PTR by BADMOS,OLADAPO",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
12:05,,,,,"FOUL  by DIBBLE,TYLER",,,"FOUL  by DIBBLE,TYLER",1
11:53,"GOOD 3PTR by REPISHTI,BRYAN",21 (+12),,9,,CENTRE_M 21-9 (+12),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,"ASSIST  by BURNS,DREW",,,,,,,"ASSIST  by BURNS,DREW",1
11:23,"FOUL  by BURNS,DREW",,,,,,,"FOUL  by BURNS,DREW",1
11:23,,,,,"MISS FT by BADMOS,OLADAPO",,,"MISS FT by BADMOS,OLADAPO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:23,,21 (+11),,10,"GOOD FT by BADMOS,OLADAPO",ELMIRA 21-10 (+11),,"GOOD FT by BADMOS,OLADAPO",1
