Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,ELMIRA,Game Score,Team Indicator,Play,Period
11:42,"FOUL  by REPISHTI,BRYAN",,,,,,,"FOUL  by REPISHTI,BRYAN",2
11:42,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
11:42,"SUB IN by ARNETT,MICHAEL",,,,,,,"SUB IN by ARNETT,MICHAEL",2
11:42,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
11:42,,,,,"SUB IN by CHOCEK,RYAN",,,"SUB IN by CHOCEK,RYAN",2
11:42,,,,,"SUB IN by HARKINS,HAYDEN",,,"SUB IN by HARKINS,HAYDEN",2
11:42,,,,,"SUB OUT by HENDERSON,JUSTIN",,,"SUB OUT by HENDERSON,JUSTIN",2
11:42,,,,,"SUB OUT by MULLANE,JOHN",,,"SUB OUT by MULLANE,JOHN",2
11:29,"GOOD LAYUP by GEEGAN,MIKE(in the paint)",71 (+34),,37,,CENTRE_M 71-37 (+34),,"GOOD LAYUP by GEEGAN,MIKE(in the paint)",2
11:04,,,,,"TURNOVER  by CESARE,NICK",,,"TURNOVER  by CESARE,NICK",2
11:04,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:04,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",2
11:04,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",2
11:04,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
11:04,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
11:04,,,,,"SUB IN by BORELLI,DAVID",,,"SUB IN by BORELLI,DAVID",2
11:04,,,,,"SUB OUT by CHOCEK,RYAN",,,"SUB OUT by CHOCEK,RYAN",2
10:52,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",73 (+36),,37,,CENTRE_M 73-37 (+36),,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",2
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",2
10:29,,73 (+33),,40,"GOOD 3PTR by HARKINS,HAYDEN",ELMIRA 73-40 (+33),,"GOOD 3PTR by HARKINS,HAYDEN",2
--,,,,,"ASSIST  by BADMOS,OLADAPO",,,"ASSIST  by BADMOS,OLADAPO",2
10:09,"MISS 3PTR by REPISHTI,BRYAN",,,,,,,"MISS 3PTR by REPISHTI,BRYAN",2
--,,,,,"REBOUND DEF by HARKINS,HAYDEN",,,"REBOUND DEF by HARKINS,HAYDEN",2
09:57,,,,,"MISS JUMPER by BADMOS,OLADAPO",,,"MISS JUMPER by BADMOS,OLADAPO",2
--,"REBOUND DEF by ARNETT,MICHAEL",,,,,,,"REBOUND DEF by ARNETT,MICHAEL",2
09:39,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",75 (+35),,40,,CENTRE_M 75-40 (+35),,"GOOD LAYUP by ARNETT,MICHAEL(in the paint)",2
--,"ASSIST  by GRUBER,SAM",,,,,,,"ASSIST  by GRUBER,SAM",2
09:07,,75 (+32),,43,"GOOD 3PTR by HARKINS,HAYDEN",ELMIRA 75-43 (+32),,"GOOD 3PTR by HARKINS,HAYDEN",2
--,,,,,"ASSIST  by BADMOS,OLADAPO",,,"ASSIST  by BADMOS,OLADAPO",2
08:46,"TURNOVER  by ARNETT,MICHAEL",,,,,,,"TURNOVER  by ARNETT,MICHAEL",2
08:45,,,,,"STEAL  by BADMOS,OLADAPO",,,"STEAL  by BADMOS,OLADAPO",2
08:35,,75 (+29),,46,"GOOD 3PTR by CESARE,NICK",ELMIRA 75-46 (+29),,"GOOD 3PTR by CESARE,NICK",2
08:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:32,,,,,"SUB IN by CHOCEK,RYAN",,,"SUB IN by CHOCEK,RYAN",2
08:32,,,,,"SUB OUT by RUBACK,JUSTIN",,,"SUB OUT by RUBACK,JUSTIN",2
08:23,"MISS 3PTR by REPISHTI,BRYAN",,,,,,,"MISS 3PTR by REPISHTI,BRYAN",2
--,"REBOUND OFF by GRUBER,SAM",,,,,,,"REBOUND OFF by GRUBER,SAM",2
07:48,"MISS 3PTR by GEEGAN,MIKE",,,,,,,"MISS 3PTR by GEEGAN,MIKE",2
--,,,,,"REBOUND DEF by BORELLI,DAVID",,,"REBOUND DEF by BORELLI,DAVID",2
07:23,"FOUL  by BURNS,DREW",,,,,,,"FOUL  by BURNS,DREW",2
07:23,,,,,"MISS FT by BORELLI,DAVID",,,"MISS FT by BORELLI,DAVID",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:23,,75 (+28),,47,"GOOD FT by BORELLI,DAVID",ELMIRA 75-47 (+28),,"GOOD FT by BORELLI,DAVID",2
07:23,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",2
07:23,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",2
07:04,"MISS 3PTR by ARNETT,MICHAEL",,,,,,,"MISS 3PTR by ARNETT,MICHAEL",2
--,,,,,"REBOUND DEF by HARKINS,HAYDEN",,,"REBOUND DEF by HARKINS,HAYDEN",2
06:31,,,,,"MISS JUMPER by BADMOS,OLADAPO",,,"MISS JUMPER by BADMOS,OLADAPO",2
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",2
06:23,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",2
06:19,,,,,"MISS 3PTR by HARKINS,HAYDEN",,,"MISS 3PTR by HARKINS,HAYDEN",2
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",2
05:41,"GOOD JUMPER by GUMP,MATT(in the paint)",77 (+30),,47,,CENTRE_M 77-47 (+30),,"GOOD JUMPER by GUMP,MATT(in the paint)",2
05:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:40,"SUB IN by MILLER,GUNNAR",,,,,,,"SUB IN by MILLER,GUNNAR",2
05:40,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",2
05:40,"SUB IN by MAGUIRE,WILL",,,,,,,"SUB IN by MAGUIRE,WILL",2
05:40,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",2
05:40,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",2
05:40,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",2
05:40,,,,,"SUB IN by DIBBLE,TYLER",,,"SUB IN by DIBBLE,TYLER",2
05:40,,,,,"SUB IN by BROOKSBANK,RYAN",,,"SUB IN by BROOKSBANK,RYAN",2
05:40,,,,,"SUB IN by HENDERSON,JUSTIN",,,"SUB IN by HENDERSON,JUSTIN",2
05:40,,,,,"SUB IN by LEONARDI,GINO",,,"SUB IN by LEONARDI,GINO",2
05:40,,,,,"SUB OUT by BADMOS,OLADAPO",,,"SUB OUT by BADMOS,OLADAPO",2
05:40,,,,,"SUB OUT by BORELLI,DAVID",,,"SUB OUT by BORELLI,DAVID",2
05:40,,,,,"SUB OUT by HARKINS,HAYDEN",,,"SUB OUT by HARKINS,HAYDEN",2
05:40,,,,,"SUB OUT by CESARE,NICK",,,"SUB OUT by CESARE,NICK",2
05:29,,,,,"MISS 3PTR by BROOKSBANK,RYAN",,,"MISS 3PTR by BROOKSBANK,RYAN",2
--,"REBOUND DEF by MILLER,GUNNAR",,,,,,,"REBOUND DEF by MILLER,GUNNAR",2
05:19,"MISS JUMPER by ARNETT,MICHAEL",,,,,,,"MISS JUMPER by ARNETT,MICHAEL",2
--,,,,,"REBOUND DEF by DIBBLE,TYLER",,,"REBOUND DEF by DIBBLE,TYLER",2
04:57,"FOUL  by MILLER,GUNNAR",,,,,,,"FOUL  by MILLER,GUNNAR",2
04:55,,77 (+28),,49,"GOOD JUMPER by BROOKSBANK,RYAN",ELMIRA 77-49 (+28),,"GOOD JUMPER by BROOKSBANK,RYAN",2
--,,,,,"ASSIST  by LEONARDI,GINO",,,"ASSIST  by LEONARDI,GINO",2
04:31,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",2
--,,,,,"REBOUND DEF by LEONARDI,GINO",,,"REBOUND DEF by LEONARDI,GINO",2
04:12,,,,,"MISS 3PTR by HENDERSON,JUSTIN",,,"MISS 3PTR by HENDERSON,JUSTIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
03:54,"MISS 3PTR by ARNETT,MICHAEL",,,,,,,"MISS 3PTR by ARNETT,MICHAEL",2
--,,,,,"REBOUND DEF by BROOKSBANK,RYAN",,,"REBOUND DEF by BROOKSBANK,RYAN",2
03:33,,77 (+26),,51,"GOOD JUMPER by CHOCEK,RYAN",ELMIRA 77-51 (+26),,"GOOD JUMPER by CHOCEK,RYAN",2
--,,,,,"ASSIST  by DIBBLE,TYLER",,,"ASSIST  by DIBBLE,TYLER",2
03:15,"MISS JUMPER by ARNETT,MICHAEL",,,,,,,"MISS JUMPER by ARNETT,MICHAEL",2
--,,,,,"REBOUND DEF by CHOCEK,RYAN",,,"REBOUND DEF by CHOCEK,RYAN",2
03:04,,77 (+23),,54,"GOOD 3PTR by BROOKSBANK,RYAN",ELMIRA 77-54 (+23),,"GOOD 3PTR by BROOKSBANK,RYAN",2
--,,,,,"ASSIST  by LEONARDI,GINO",,,"ASSIST  by LEONARDI,GINO",2
02:35,"GOOD 3PTR by MILLER,GUNNAR",80 (+26),,54,,CENTRE_M 80-54 (+26),,"GOOD 3PTR by MILLER,GUNNAR",2
--,"ASSIST  by SCHMUCKER,ZACH",,,,,,,"ASSIST  by SCHMUCKER,ZACH",2
02:14,"FOUL  by ARNETT,MICHAEL",,,,,,,"FOUL  by ARNETT,MICHAEL",2
02:14,,80 (+25),,55,"GOOD FT by CHOCEK,RYAN",ELMIRA 80-55 (+25),,"GOOD FT by CHOCEK,RYAN",2
02:14,,,,,"MISS FT by CHOCEK,RYAN",,,"MISS FT by CHOCEK,RYAN",2
--,,,,,"REBOUND OFF by BAYS,CONNOR",,,"REBOUND OFF by BAYS,CONNOR",2
02:14,"SUB IN by JONES,BRETT",,,,,,,"SUB IN by JONES,BRETT",2
02:14,"SUB IN by MANN,KYLE",,,,,,,"SUB IN by MANN,KYLE",2
02:14,"SUB IN by TARTER,ZACH",,,,,,,"SUB IN by TARTER,ZACH",2
02:14,"SUB IN by SANDOVAL,MARK",,,,,,,"SUB IN by SANDOVAL,MARK",2
02:14,"SUB OUT by MILLER,GUNNAR",,,,,,,"SUB OUT by MILLER,GUNNAR",2
02:14,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",2
02:14,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",2
02:14,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",2
02:14,,,,,"SUB IN by BAYS,CONNOR",,,"SUB IN by BAYS,CONNOR",2
02:14,,,,,"SUB IN by DAVIS,MATT",,,"SUB IN by DAVIS,MATT",2
02:14,,,,,"SUB OUT by DIBBLE,TYLER",,,"SUB OUT by DIBBLE,TYLER",2
02:14,,,,,"SUB OUT by HENDERSON,JUSTIN",,,"SUB OUT by HENDERSON,JUSTIN",2
01:58,,,,,"MISS 3PTR by DAVIS,MATT",,,"MISS 3PTR by DAVIS,MATT",2
--,,,,,"REBOUND OFF by LEONARDI,GINO",,,"REBOUND OFF by LEONARDI,GINO",2
01:53,,,,,"MISS LAYUP by LEONARDI,GINO",,,"MISS LAYUP by LEONARDI,GINO",2
--,"REBOUND DEF by MANN,KYLE",,,,,,,"REBOUND DEF by MANN,KYLE",2
01:45,"GOOD 3PTR by MAGUIRE,WILL(fastbreak)",83 (+28),,55,,CENTRE_M 83-55 (+28),,"GOOD 3PTR by MAGUIRE,WILL(fastbreak)",2
--,"ASSIST  by MANN,KYLE",,,,,,,"ASSIST  by MANN,KYLE",2
01:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:36,,,,,"SUB IN by RUBACK,JUSTIN",,,"SUB IN by RUBACK,JUSTIN",2
01:36,,,,,"SUB IN by BISCHOFF,PAUL",,,"SUB IN by BISCHOFF,PAUL",2
01:36,,,,,"SUB OUT by BROOKSBANK,RYAN",,,"SUB OUT by BROOKSBANK,RYAN",2
01:36,,,,,"SUB OUT by LEONARDI,GINO",,,"SUB OUT by LEONARDI,GINO",2
01:19,,,,,"MISS JUMPER by BISCHOFF,PAUL",,,"MISS JUMPER by BISCHOFF,PAUL",2
--,"REBOUND DEF by SANDOVAL,MARK",,,,,,,"REBOUND DEF by SANDOVAL,MARK",2
01:09,"GOOD 3PTR by MANN,KYLE",86 (+31),,55,,CENTRE_M 86-55 (+31),,"GOOD 3PTR by MANN,KYLE",2
--,"ASSIST  by SANDOVAL,MARK",,,,,,,"ASSIST  by SANDOVAL,MARK",2
00:55,"FOUL  by SANDOVAL,MARK",,,,,,,"FOUL  by SANDOVAL,MARK",2
00:55,,86 (+30),,56,"GOOD FT by BAYS,CONNOR",ELMIRA 86-56 (+30),,"GOOD FT by BAYS,CONNOR",2
00:55,,86 (+29),,57,"GOOD FT by BAYS,CONNOR",ELMIRA 86-57 (+29),,"GOOD FT by BAYS,CONNOR",2
00:43,"MISS 3PTR by MAGUIRE,WILL",,,,,,,"MISS 3PTR by MAGUIRE,WILL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
00:20,,86 (+27),,59,"GOOD LAYUP by BAYS,CONNOR(in the paint)",ELMIRA 86-59 (+27),,"GOOD LAYUP by BAYS,CONNOR(in the paint)",2
00:20,"FOUL  by MANN,KYLE",,,,,,,"FOUL  by MANN,KYLE",2
00:20,,86 (+26),,60,"GOOD FT by BAYS,CONNOR",ELMIRA 86-60 (+26),,"GOOD FT by BAYS,CONNOR",2
