Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,MACM,Game Score,Team Indicator,Play,Period
19:49,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by WILLIAMS,JAMES",,,"REBOUND DEF by WILLIAMS,JAMES",1
19:33,,0,,2 (+2),"GOOD JUMPER by SUTTON,HUNTER(in the paint)",MACM 0-2 (-2),,"GOOD JUMPER by SUTTON,HUNTER(in the paint)",1
19:02,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
19:02,,,,,"STEAL  by GUTHRIE,DYLAN",,,"STEAL  by GUTHRIE,DYLAN",1
18:56,,,,,"MISS JUMPER by SUTTON,HUNTER",,,"MISS JUMPER by SUTTON,HUNTER",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
18:40,"GOOD 3PTR by KARSNER,JOSH",3 (+1),,2,,CCM 3-2 (+1),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
18:20,,,,,"MISS JUMPER by WHITLOCK,CLAYTON",,,"MISS JUMPER by WHITLOCK,CLAYTON",1
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",1
18:08,,,,,"FOUL  by WHITLOCK,CLAYTON",,,"FOUL  by WHITLOCK,CLAYTON",1
18:05,"GOOD LAYUP by WESLEY,TYLER(in the paint)",5 (+3),,2,,CCM 5-2 (+3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
17:47,,5 (+1),,4,"GOOD LAYUP by WHITLOCK,CLAYTON(in the paint)",MACM 5-4 (+1),,"GOOD LAYUP by WHITLOCK,CLAYTON(in the paint)",1
17:31,,,,,"FOUL  by GUTHRIE,DYLAN",,,"FOUL  by GUTHRIE,DYLAN",1
17:30,"GOOD 3PTR by KARSNER,JOSH",8 (+4),,4,,CCM 8-4 (+4),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
17:14,,8 (+2),,6,"GOOD JUMPER by WHITLOCK,CLAYTON",MACM 8-6 (+2),,"GOOD JUMPER by WHITLOCK,CLAYTON",1
--,,,,,"ASSIST  by GUTHRIE,DYLAN",,,"ASSIST  by GUTHRIE,DYLAN",1
16:53,"GOOD DUNK by WESLEY,TYLER(in the paint)",10 (+4),,6,,CCM 10-6 (+4),,"GOOD DUNK by WESLEY,TYLER(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
16:34,,10 (+2),,8,"GOOD LAYUP by SUTTON,HUNTER(in the paint)",MACM 10-8 (+2),,"GOOD LAYUP by SUTTON,HUNTER(in the paint)",1
--,,,,,"ASSIST  by WHITLOCK,CLAYTON",,,"ASSIST  by WHITLOCK,CLAYTON",1
16:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:58,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WHITLOCK,CLAYTON",,,"REBOUND DEF by WHITLOCK,CLAYTON",1
15:46,,,,,"MISS JUMPER by SUTTON,HUNTER",,,"MISS JUMPER by SUTTON,HUNTER",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
15:42,,,,,"FOUL  by WILLIAMS,JAMES",,,"FOUL  by WILLIAMS,JAMES",1
15:42,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
15:42,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
15:42,,,,,"SUB IN by JOHNSON,DEAVIS",,,"SUB IN by JOHNSON,DEAVIS",1
15:42,,,,,"SUB IN by HUBBLE,CASH",,,"SUB IN by HUBBLE,CASH",1
15:42,,,,,"SUB OUT by WILLIAMS,JAMES",,,"SUB OUT by WILLIAMS,JAMES",1
15:42,,,,,"SUB OUT by SUTTON,HUNTER",,,"SUB OUT by SUTTON,HUNTER",1
15:38,,,,,"FOUL  by JOHNSON,DEAVIS",,,"FOUL  by JOHNSON,DEAVIS",1
15:38,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
15:38,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
15:38,,,,,"SUB IN by LONG,BRENT",,,"SUB IN by LONG,BRENT",1
15:38,,,,,"SUB OUT by WHITLOCK,CLAYTON",,,"SUB OUT by WHITLOCK,CLAYTON",1
15:13,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by JOHNSON,DEAVIS",,,"REBOUND DEF by JOHNSON,DEAVIS",1
14:43,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
14:43,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
14:41,,,,,"MISS 3PTR by KELTNER,KOLLIN",,,"MISS 3PTR by KELTNER,KOLLIN",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
14:20,,,,,"FOUL  by JOHNSON,DEAVIS",,,"FOUL  by JOHNSON,DEAVIS",1
14:20,"GOOD FT by WESLEY,TYLER",11 (+3),,8,,CCM 11-8 (+3),,"GOOD FT by WESLEY,TYLER",1
14:20,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by JOHNSON,DEAVIS",,,"REBOUND DEF by JOHNSON,DEAVIS",1
14:08,,,,,"MISS JUMPER by LONG,BRENT",,,"MISS JUMPER by LONG,BRENT",1
--,"REBOUND DEF by GEEGAN,MIKE",,,,,,,"REBOUND DEF by GEEGAN,MIKE",1
13:42,"MISS JUMPER by GUMP,MATT",,,,,,,"MISS JUMPER by GUMP,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:41,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
13:41,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
13:41,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
13:28,,11 (+1),,10,"GOOD LAYUP by LONG,BRENT(in the paint)",MACM 11-10 (+1),,"GOOD LAYUP by LONG,BRENT(in the paint)",1
--,,,,,"ASSIST  by HUBBLE,CASH",,,"ASSIST  by HUBBLE,CASH",1
12:52,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by JOHNSON,DEAVIS",,,"REBOUND DEF by JOHNSON,DEAVIS",1
12:43,,,,,"MISS 3PTR by HUBBLE,CASH",,,"MISS 3PTR by HUBBLE,CASH",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
12:25,"MISS JUMPER by GEEGAN,MIKE",,,,,,,"MISS JUMPER by GEEGAN,MIKE",1
--,"REBOUND OFF by BURNS,DREW",,,,,,,"REBOUND OFF by BURNS,DREW",1
11:58,,,,,"FOUL  by LONG,BRENT",,,"FOUL  by LONG,BRENT",1
11:58,"GOOD FT by BURNS,DREW",12 (+2),,10,,CCM 12-10 (+2),,"GOOD FT by BURNS,DREW",1
11:58,"MISS FT by BURNS,DREW",,,,,,,"MISS FT by BURNS,DREW",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:58,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
11:58,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
11:58,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
11:58,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:58,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
11:58,,,,,"SUB IN by WHITLOCK,CLAYTON",,,"SUB IN by WHITLOCK,CLAYTON",1
11:58,,,,,"SUB IN by SUTTON,HUNTER",,,"SUB IN by SUTTON,HUNTER",1
11:58,,,,,"SUB OUT by JOHNSON,DEAVIS",,,"SUB OUT by JOHNSON,DEAVIS",1
11:58,,,,,"SUB OUT by GUTHRIE,DYLAN",,,"SUB OUT by GUTHRIE,DYLAN",1
11:28,,,,,"FOUL  by HUBBLE,CASH",,,"FOUL  by HUBBLE,CASH",1
11:28,,,,,"TURNOVER  by HUBBLE,CASH",,,"TURNOVER  by HUBBLE,CASH",1
11:27,,,,,"SUB IN by BOTT,ALEX",,,"SUB IN by BOTT,ALEX",1
11:27,,,,,"SUB OUT by HUBBLE,CASH",,,"SUB OUT by HUBBLE,CASH",1
