Time Remaining,ASBURYM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:48,"FOUL  by LAMB,KYLE",,,,,,,"FOUL  by LAMB,KYLE",1
19:48,,0,,1 (+1),"GOOD FT by WESLEY,TYLER",CENTRE_M 0-1 (+1),,"GOOD FT by WESLEY,TYLER",1
19:48,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by LAMB,KYLE",,,,,,,"REBOUND DEF by LAMB,KYLE",1
19:20,"MISS LAYUP by MORGAN,KRISTIAN",,,,,,,"MISS LAYUP by MORGAN,KRISTIAN",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
19:11,"FOUL  by SMITH,TYLER",,,,,,,"FOUL  by SMITH,TYLER",1
19:11,,0,,2 (+2),"GOOD FT by WESLEY,TYLER",CENTRE_M 0-2 (+2),,"GOOD FT by WESLEY,TYLER",1
19:11,,,,,"MISS FT by WESLEY,TYLER",,,"MISS FT by WESLEY,TYLER",1
--,"REBOUND DEF by PENNY,CJ",,,,,,,"REBOUND DEF by PENNY,CJ",1
19:04,"FOUL  by SMITH,TYLER",,,,,,,"FOUL  by SMITH,TYLER",1
19:04,"TURNOVER  by SMITH,TYLER",,,,,,,"TURNOVER  by SMITH,TYLER",1
18:48,,0,,5 (+5),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 0-5 (+5),,"GOOD 3PTR by KARSNER,JOSH",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
18:46,"FOUL  by GILBERT,JORDAN",,,,,,,"FOUL  by GILBERT,JORDAN",1
18:46,,0,,6 (+6),"GOOD FT by KARSNER,JOSH",CENTRE_M 0-6 (+6),,"GOOD FT by KARSNER,JOSH",1
18:22,"GOOD LAYUP by SMITH,TYLER(in the paint)",2,,6 (+4),,ASBURYM 2-6 (+4),,"GOOD LAYUP by SMITH,TYLER(in the paint)",1
--,"ASSIST  by LAMB,KYLE",,,,,,,"ASSIST  by LAMB,KYLE",1
17:51,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
17:35,"GOOD 3PTR by GILBERT,JORDAN",5,,6 (+1),,ASBURYM 5-6 (+1),,"GOOD 3PTR by GILBERT,JORDAN",1
--,"ASSIST  by LAMB,KYLE",,,,,,,"ASSIST  by LAMB,KYLE",1
17:25,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
17:23,"STEAL  by GILBERT,JORDAN",,,,,,,"STEAL  by GILBERT,JORDAN",1
17:18,"MISS JUMPER by MORGAN,KRISTIAN",,,,,,,"MISS JUMPER by MORGAN,KRISTIAN",1
17:18,,,,,"BLOCK  by KARSNER,JOSH",,,"BLOCK  by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
