Time Remaining,FC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:25,,,,,"MISS 3PTR by SCINTA,BLAKE",,,"MISS 3PTR by SCINTA,BLAKE",1
--,"REBOUND DEF by WASHINGTON,TRAE",,,,,,,"REBOUND DEF by WASHINGTON,TRAE",1
18:37,"MISS LAYUP by MACE,JIM",,,,,,,"MISS LAYUP by MACE,JIM",1
18:37,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
18:21,,0,,2 (+2),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 0-2 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
18:20,,,,,"MISS LAYUP by WESLEY,TYLER",,,"MISS LAYUP by WESLEY,TYLER",1
--,"REBOUND DEF by NIEHOFF,MATT",,,,,,,"REBOUND DEF by NIEHOFF,MATT",1
18:20,,,,,"FOUL  by WESLEY,TYLER",,,"FOUL  by WESLEY,TYLER",1
18:01,"MISS LAYUP by PRATHER,ROBBIE",,,,,,,"MISS LAYUP by PRATHER,ROBBIE",1
18:01,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:42,"MISS 3PTR by WASHINGTON,TRAE",,,,,,,"MISS 3PTR by WASHINGTON,TRAE",1
17:42,"MISS LAYUP by MACE,JIM",,,,,,,"MISS LAYUP by MACE,JIM",1
17:42,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:28,"FOUL  by WASHINGTON,TRAE",,,,,,,"FOUL  by WASHINGTON,TRAE",1
17:15,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,"REBOUND DEF by PRATHER,ROBBIE",,,,,,,"REBOUND DEF by PRATHER,ROBBIE",1
16:52,"MISS LAYUP by NIEHOFF,MATT",,,,,,,"MISS LAYUP by NIEHOFF,MATT",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
16:37,,0,,4 (+4),"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",CENTRE_M 0-4 (+4),,"GOOD LAYUP by STEGGEMAN,ANDREW(in the paint)",1
16:35,"FOUL  by PRATHER,ROBBIE",,,,,,,"FOUL  by PRATHER,ROBBIE",1
16:35,,0,,5 (+5),"GOOD FT by STEGGEMAN,ANDREW",CENTRE_M 0-5 (+5),,"GOOD FT by STEGGEMAN,ANDREW",1
16:27,"GOOD JUMPER by MANN,AARON",2,,5 (+3),,FC 2-5 (+3),,"GOOD JUMPER by MANN,AARON",1
--,"ASSIST  by MACE,JIM",,,,,,,"ASSIST  by MACE,JIM",1
16:10,,2,,7 (+5),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 2-7 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by STEGGEMAN,ANDREW",,,"ASSIST  by STEGGEMAN,ANDREW",1
15:51,"GOOD JUMPER by MANN,AARON",4,,7 (+3),,FC 4-7 (+3),,"GOOD JUMPER by MANN,AARON",1
15:28,,4,,9 (+5),"GOOD JUMPER by SCINTA,BLAKE",CENTRE_M 4-9 (+5),,"GOOD JUMPER by SCINTA,BLAKE",1
15:23,"FOUL  by MACE,JIM",,,,,,,"FOUL  by MACE,JIM",1
15:16,,4,,10 (+6),"GOOD FT by SCINTA,BLAKE",CENTRE_M 4-10 (+6),,"GOOD FT by SCINTA,BLAKE",1
14:59,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",1
14:59,"TURNOVER  by WHITSON,ETHAN",,,,,,,"TURNOVER  by WHITSON,ETHAN",1
14:59,,,,,"STEAL  by BURNS,DREW",,,"STEAL  by BURNS,DREW",1
14:59,"FOUL  by WASHINGTON,TRAE",,,,,,,"FOUL  by WASHINGTON,TRAE",1
14:59,,,,,"TURNOVER  by GUMP,MATT",,,"TURNOVER  by GUMP,MATT",1
14:59,"STEAL  by PRATHER,ROBBIE",,,,,,,"STEAL  by PRATHER,ROBBIE",1
14:59,"MISS JUMPER by MANN,AARON",,,,,,,"MISS JUMPER by MANN,AARON",1
--,"REBOUND OFF by NIEHOFF,MATT",,,,,,,"REBOUND OFF by NIEHOFF,MATT",1
14:59,"SUB IN by SCRUGGS,BRANDON",,,,,,,"SUB IN by SCRUGGS,BRANDON",1
14:59,"SUB IN by WHITSON,ETHAN",,,,,,,"SUB IN by WHITSON,ETHAN",1
14:59,"SUB OUT by WASHINGTON,TRAE",,,,,,,"SUB OUT by WASHINGTON,TRAE",1
14:59,"SUB OUT by MACE,JIM",,,,,,,"SUB OUT by MACE,JIM",1
14:59,,,,,"SUB IN by BURNS,DREW",,,"SUB IN by BURNS,DREW",1
14:59,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
14:59,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
14:59,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
14:56,"GOOD LAYUP by WHITSON,ETHAN(in the paint)",6,,10 (+4),,FC 6-10 (+4),,"GOOD LAYUP by WHITSON,ETHAN(in the paint)",1
14:12,,,,,"TURNOVER  by BURNS,DREW",,,"TURNOVER  by BURNS,DREW",1
14:12,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
14:12,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
14:12,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
14:12,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
14:02,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",8,,10 (+2),,FC 8-10 (+2),,"GOOD LAYUP by NIEHOFF,MATT(in the paint)",1
--,"ASSIST  by SCRUGGS,BRANDON",,,,,,,"ASSIST  by SCRUGGS,BRANDON",1
13:45,,8,,12 (+4),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 8-12 (+4),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
13:28,,,,,"FOUL  by GEEGAN,MIKE",,,"FOUL  by GEEGAN,MIKE",1
13:28,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
13:28,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
13:28,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
13:28,,,,,"SUB OUT by GEEGAN,MIKE",,,"SUB OUT by GEEGAN,MIKE",1
13:13,"MISS 3PTR by SCRUGGS,BRANDON",,,,,,,"MISS 3PTR by SCRUGGS,BRANDON",1
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",1
13:05,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by NIEHOFF,MATT",,,,,,,"REBOUND DEF by NIEHOFF,MATT",1
12:51,,,,,"FOUL  by BURNS,DREW",,,"FOUL  by BURNS,DREW",1
12:49,"MISS 3PTR by SCRUGGS,BRANDON",,,,,,,"MISS 3PTR by SCRUGGS,BRANDON",1
--,"REBOUND OFF by WHITSON,ETHAN",,,,,,,"REBOUND OFF by WHITSON,ETHAN",1
12:35,"TURNOVER  by NIEHOFF,MATT",,,,,,,"TURNOVER  by NIEHOFF,MATT",1
12:35,"SUB IN by MCCORY,BRETT",,,,,,,"SUB IN by MCCORY,BRETT",1
12:35,"SUB OUT by NIEHOFF,MATT",,,,,,,"SUB OUT by NIEHOFF,MATT",1
12:35,,,,,"SUB IN by WESLEY,TYLER",,,"SUB IN by WESLEY,TYLER",1
12:35,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
12:35,,,,,"SUB OUT by BURNS,DREW",,,"SUB OUT by BURNS,DREW",1
12:35,,,,,"SUB OUT by ARNETT,MICHAEL",,,"SUB OUT by ARNETT,MICHAEL",1
12:00,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
12:00,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
11:47,"MISS LAYUP by MANN,AARON",,,,,,,"MISS LAYUP by MANN,AARON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
11:44,"MISS 3PTR by MANN,AARON",,,,,,,"MISS 3PTR by MANN,AARON",1
--,"REBOUND OFF by SCRUGGS,BRANDON",,,,,,,"REBOUND OFF by SCRUGGS,BRANDON",1
11:36,"GOOD 3PTR by PRATHER,ROBBIE",11,,12 (+1),,FC 11-12 (+1),,"GOOD 3PTR by PRATHER,ROBBIE",1
