Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,TMC,Game Score,Team Indicator,Play,Period
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
15:14,,,,,"TURNOVER  by CLARK,JALEN",,,"TURNOVER  by CLARK,JALEN",1
15:12,"STEAL  by GEEGAN,MIKE",,,,,,,"STEAL  by GEEGAN,MIKE",1
15:10,"GOOD LAYUP by GEEGAN,MIKE(fastbreak)(in the paint)",8 (+4),,4,,CENTRE_M 8-4 (+4),,"GOOD LAYUP by GEEGAN,MIKE(fastbreak)(in the paint)",1
14:47,,8 (+1),,7,"GOOD 3PTR by MUMFORD,DREW",TMC 8-7 (+1),,"GOOD 3PTR by MUMFORD,DREW",1
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",1
14:27,"GOOD 3PTR by GEEGAN,MIKE",11 (+4),,7,,CENTRE_M 11-7 (+4),,"GOOD 3PTR by GEEGAN,MIKE",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
14:12,,11 (+2),,9,"GOOD LAYUP by CLARK,JALEN(in the paint)",TMC 11-9 (+2),,"GOOD LAYUP by CLARK,JALEN(in the paint)",1
--,,,,,"ASSIST  by MUMFORD,DREW",,,"ASSIST  by MUMFORD,DREW",1
13:44,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",1
13:42,,,,,"STEAL  by MCGOVNEY,NATE",,,"STEAL  by MCGOVNEY,NATE",1
13:30,,,,,"MISS 3PTR by PIPES,ELIOT",,,"MISS 3PTR by PIPES,ELIOT",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
13:04,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
13:04,,,,,"STEAL  by PIPES,ELIOT",,,"STEAL  by PIPES,ELIOT",1
13:04,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
13:04,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
13:04,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
13:04,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
13:04,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
13:04,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
13:04,"SUB OUT by ARNETT,MICHAEL",,,,,,,"SUB OUT by ARNETT,MICHAEL",1
13:04,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
13:04,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",1
13:04,,,,,"SUB IN by MANIACCI,LOUIS",,,"SUB IN by MANIACCI,LOUIS",1
13:04,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",1
13:04,,,,,"SUB OUT by CLARK,JALEN",,,"SUB OUT by CLARK,JALEN",1
13:04,,,,,"SUB OUT by MAYS,DREW",,,"SUB OUT by MAYS,DREW",1
13:04,,,,,"SUB OUT by MCGOVNEY,NATE",,,"SUB OUT by MCGOVNEY,NATE",1
12:48,,,,,"MISS LAYUP by MUMFORD,DREW",,,"MISS LAYUP by MUMFORD,DREW",1
--,,,,,"REBOUND OFF by MUMFORD,DREW",,,"REBOUND OFF by MUMFORD,DREW",1
12:43,,,,,"MISS 3PTR by MUMFORD,DREW",,,"MISS 3PTR by MUMFORD,DREW",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
12:39,,,,,"FOUL  by MANIACCI,LOUIS",,,"FOUL  by MANIACCI,LOUIS",1
12:25,"GOOD 3PTR by KARSNER,JOSH",14 (+5),,9,,CENTRE_M 14-9 (+5),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by BURNS,DREW",,,,,,,"ASSIST  by BURNS,DREW",1
12:10,,14 (+3),,11,"GOOD JUMPER by MUMFORD,DREW",TMC 14-11 (+3),,"GOOD JUMPER by MUMFORD,DREW",1
--,,,,,"ASSIST  by PIPES,ELIOT",,,"ASSIST  by PIPES,ELIOT",1
11:52,"GOOD 3PTR by KARSNER,JOSH",17 (+6),,11,,CENTRE_M 17-11 (+6),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
11:42,,,,,"TURNOVER  by PIPES,ELIOT",,,"TURNOVER  by PIPES,ELIOT",1
11:40,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",1
11:39,,,,,"FOUL  by PIPES,ELIOT",,,"FOUL  by PIPES,ELIOT",1
11:39,"MISS FT by KARSNER,JOSH",,,,,,,"MISS FT by KARSNER,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:39,"GOOD FT by KARSNER,JOSH",18 (+7),,11,,CENTRE_M 18-11 (+7),,"GOOD FT by KARSNER,JOSH",1
11:21,,18 (+4),,14,"GOOD 3PTR by WILLIAMS,DANIEL",TMC 18-14 (+4),,"GOOD 3PTR by WILLIAMS,DANIEL",1
--,,,,,"ASSIST  by MUMFORD,DREW",,,"ASSIST  by MUMFORD,DREW",1
11:02,"TURNOVER  by REPISHTI,BRYAN",,,,,,,"TURNOVER  by REPISHTI,BRYAN",1
11:02,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
11:02,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
11:02,,,,,"SUB IN by MAYS,DREW",,,"SUB IN by MAYS,DREW",1
11:02,,,,,"SUB IN by MCGOVNEY,NATE",,,"SUB IN by MCGOVNEY,NATE",1
11:02,,,,,"SUB OUT by PIPES,ELIOT",,,"SUB OUT by PIPES,ELIOT",1
11:02,,,,,"SUB OUT by MUMFORD,DREW",,,"SUB OUT by MUMFORD,DREW",1
10:46,,18 (+2),,16,"GOOD LAYUP by MCGOVNEY,NATE(in the paint)",TMC 18-16 (+2),,"GOOD LAYUP by MCGOVNEY,NATE(in the paint)",1
--,,,,,"ASSIST  by MANIACCI,LOUIS",,,"ASSIST  by MANIACCI,LOUIS",1
10:31,"MISS JUMPER by BURNS,DREW",,,,,,,"MISS JUMPER by BURNS,DREW",1
--,,,,,"REBOUND DEF by MAYS,DREW",,,"REBOUND DEF by MAYS,DREW",1
10:21,,18,,19 (+1),"GOOD 3PTR by PAULY,SAWYER",TMC 18-19 (-1),,"GOOD 3PTR by PAULY,SAWYER",1
--,,,,,"ASSIST  by WILLIAMS,DANIEL",,,"ASSIST  by WILLIAMS,DANIEL",1
10:19,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:19,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
10:19,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
10:19,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
10:19,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
10:01,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by MANIACCI,LOUIS",,,"REBOUND DEF by MANIACCI,LOUIS",1
09:45,,18,,22 (+4),"GOOD 3PTR by PAULY,SAWYER",TMC 18-22 (-4),,"GOOD 3PTR by PAULY,SAWYER",1
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",1
09:21,"GOOD 3PTR by KARSNER,JOSH",21,,22 (+1),,CENTRE_M 21-22 (-1),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
09:02,,21,,25 (+4),"GOOD 3PTR by WILLIAMS,DANIEL",TMC 21-25 (-4),,"GOOD 3PTR by WILLIAMS,DANIEL",1
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",1
08:42,"GOOD 3PTR by KARSNER,JOSH",24,,25 (+1),,CENTRE_M 24-25 (-1),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",1
08:30,,,,,"TURNOVER  by MAYS,DREW",,,"TURNOVER  by MAYS,DREW",1
08:28,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",1
08:26,,,,,"FOUL  by WILLIAMS,DANIEL",,,"FOUL  by WILLIAMS,DANIEL",1
08:26,"GOOD FT by SCINTA,BLAKE",25,,25,,CENTRE_M 25-25 (0),,"GOOD FT by SCINTA,BLAKE",1
08:26,"GOOD FT by SCINTA,BLAKE",26 (+1),,25,,CENTRE_M 26-25 (+1),,"GOOD FT by SCINTA,BLAKE",1
08:26,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
08:26,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
07:53,,,,,"MISS 3PTR by MAYS,DREW",,,"MISS 3PTR by MAYS,DREW",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
07:22,"MISS 3PTR by SCINTA,BLAKE",,,,,,,"MISS 3PTR by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by MANIACCI,LOUIS",,,"REBOUND DEF by MANIACCI,LOUIS",1
07:14,,,,,"MISS 3PTR by WILLIAMS,DANIEL",,,"MISS 3PTR by WILLIAMS,DANIEL",1
--,,,,,"REBOUND OFF by MCGOVNEY,NATE",,,"REBOUND OFF by MCGOVNEY,NATE",1
07:08,,,,,"MISS LAYUP by MCGOVNEY,NATE",,,"MISS LAYUP by MCGOVNEY,NATE",1
07:08,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:08,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
07:08,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
07:07,,26,,27 (+1),"GOOD JUMPER by MCGOVNEY,NATE",TMC 26-27 (-1),,"GOOD JUMPER by MCGOVNEY,NATE",1
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",1
06:35,"TURNOVER  by STEGGEMAN,ANDREW",,,,,,,"TURNOVER  by STEGGEMAN,ANDREW",1
06:35,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
06:35,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
06:16,,26,,29 (+3),"GOOD JUMPER by MCGOVNEY,NATE(in the paint)",TMC 26-29 (-3),,"GOOD JUMPER by MCGOVNEY,NATE(in the paint)",1
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",1
05:51,,,,,"FOUL  by WILLIAMS,DANIEL",,,"FOUL  by WILLIAMS,DANIEL",1
05:51,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:51,"GOOD FT by GUMP,MATT",27,,29 (+2),,CENTRE_M 27-29 (-2),,"GOOD FT by GUMP,MATT",1
05:51,,,,,"SUB IN by PIPES,ELIOT",,,"SUB IN by PIPES,ELIOT",1
05:51,,,,,"SUB OUT by WILLIAMS,DANIEL",,,"SUB OUT by WILLIAMS,DANIEL",1
05:40,,,,,"MISS LAYUP by MANIACCI,LOUIS",,,"MISS LAYUP by MANIACCI,LOUIS",1
05:40,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
05:19,,,,,"MISS 3PTR by MAYS,DREW",,,"MISS 3PTR by MAYS,DREW",1
--,,,,,"REBOUND OFF by PIPES,ELIOT",,,"REBOUND OFF by PIPES,ELIOT",1
05:16,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
05:16,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
05:16,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
05:16,,,,,"SUB IN by MUMFORD,DREW",,,"SUB IN by MUMFORD,DREW",1
05:16,,,,,"SUB IN by CLARK,JALEN",,,"SUB IN by CLARK,JALEN",1
05:16,,,,,"SUB OUT by MANIACCI,LOUIS",,,"SUB OUT by MANIACCI,LOUIS",1
05:16,,,,,"SUB OUT by PAULY,SAWYER",,,"SUB OUT by PAULY,SAWYER",1
05:02,,,,,"MISS JUMPER by CLARK,JALEN",,,"MISS JUMPER by CLARK,JALEN",1
--,,,,,"REBOUND OFF by MCGOVNEY,NATE",,,"REBOUND OFF by MCGOVNEY,NATE",1
04:57,,,,,"MISS LAYUP by CLARK,JALEN",,,"MISS LAYUP by CLARK,JALEN",1
04:57,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
04:28,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by MUMFORD,DREW",,,"REBOUND DEF by MUMFORD,DREW",1
04:10,,,,,"MISS 3PTR by MCGOVNEY,NATE",,,"MISS 3PTR by MCGOVNEY,NATE",1
--,"REBOUND DEF by BURNS,DREW",,,,,,,"REBOUND DEF by BURNS,DREW",1
03:45,"GOOD 3PTR by SCINTA,BLAKE",30 (+1),,29,,CENTRE_M 30-29 (+1),,"GOOD 3PTR by SCINTA,BLAKE",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
03:25,,30,,31 (+1),"GOOD JUMPER by CLARK,JALEN",TMC 30-31 (-1),,"GOOD JUMPER by CLARK,JALEN",1
--,,,,,"ASSIST  by MCGOVNEY,NATE",,,"ASSIST  by MCGOVNEY,NATE",1
03:02,"GOOD LAYUP by KARSNER,JOSH(in the paint)",32 (+1),,31,,CENTRE_M 32-31 (+1),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
02:51,,32,,34 (+2),"GOOD 3PTR by CLARK,JALEN",TMC 32-34 (-2),,"GOOD 3PTR by CLARK,JALEN",1
--,,,,,"ASSIST  by PIPES,ELIOT",,,"ASSIST  by PIPES,ELIOT",1
02:28,,,,,"FOUL  by PIPES,ELIOT",,,"FOUL  by PIPES,ELIOT",1
02:28,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
02:28,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
02:28,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
02:28,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
02:28,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
02:28,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
02:28,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",1
02:28,,,,,"SUB OUT by PIPES,ELIOT",,,"SUB OUT by PIPES,ELIOT",1
02:18,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
02:13,"MISS 3PTR by REPISHTI,BRYAN",,,,,,,"MISS 3PTR by REPISHTI,BRYAN",1
--,"REBOUND OFF by GUMP,MATT",,,,,,,"REBOUND OFF by GUMP,MATT",1
02:04,"GOOD LAYUP by KARSNER,JOSH(in the paint)",34,,34,,CENTRE_M 34-34 (0),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
01:54,,,,,"MISS 3PTR by CLARK,JALEN",,,"MISS 3PTR by CLARK,JALEN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
01:38,"GOOD LAYUP by GUMP,MATT(in the paint)",36 (+2),,34,,CENTRE_M 36-34 (+2),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
--,"ASSIST  by WESLEY,TYLER",,,,,,,"ASSIST  by WESLEY,TYLER",1
01:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
01:37,,,,,"SUB IN by MANIACCI,LOUIS",,,"SUB IN by MANIACCI,LOUIS",1
01:37,,,,,"SUB OUT by CLARK,JALEN",,,"SUB OUT by CLARK,JALEN",1
01:27,,36,,37 (+1),"GOOD 3PTR by MUMFORD,DREW",TMC 36-37 (-1),,"GOOD 3PTR by MUMFORD,DREW",1
--,,,,,"ASSIST  by MCGOVNEY,NATE",,,"ASSIST  by MCGOVNEY,NATE",1
00:59,"TURNOVER  by WESLEY,TYLER",,,,,,,"TURNOVER  by WESLEY,TYLER",1
00:57,,,,,"STEAL  by MUMFORD,DREW",,,"STEAL  by MUMFORD,DREW",1
00:54,,,,,"MISS LAYUP by MUMFORD,DREW",,,"MISS LAYUP by MUMFORD,DREW",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
00:43,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by MANIACCI,LOUIS",,,"REBOUND DEF by MANIACCI,LOUIS",1
00:19,,36,,39 (+3),"GOOD LAYUP by MUMFORD,DREW(in the paint)",TMC 36-39 (-3),,"GOOD LAYUP by MUMFORD,DREW(in the paint)",1
00:00,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by MAYS,DREW",,,"REBOUND DEF by MAYS,DREW",1
19:48,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",38,,39 (+1),,CENTRE_M 38-39 (-1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
19:25,,,,,"MISS 3PTR by MAYS,DREW",,,"MISS 3PTR by MAYS,DREW",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
19:08,"GOOD JUMPER by KARSNER,JOSH",40 (+1),,39,,CENTRE_M 40-39 (+1),,"GOOD JUMPER by KARSNER,JOSH",2
18:55,,40,,41 (+1),"GOOD JUMPER by MAYS,DREW(in the paint)",TMC 40-41 (-1),,"GOOD JUMPER by MAYS,DREW(in the paint)",2
18:16,"MISS JUMPER by WESLEY,TYLER",,,,,,,"MISS JUMPER by WESLEY,TYLER",2
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",2
18:14,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
17:49,,,,,"MISS JUMPER by MCGOVNEY,NATE",,,"MISS JUMPER by MCGOVNEY,NATE",2
--,,,,,"REBOUND OFF by MCGOVNEY,NATE",,,"REBOUND OFF by MCGOVNEY,NATE",2
17:43,,40,,43 (+3),"GOOD LAYUP by MCGOVNEY,NATE(in the paint)",TMC 40-43 (-3),,"GOOD LAYUP by MCGOVNEY,NATE(in the paint)",2
17:43,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
17:43,,40,,44 (+4),"GOOD FT by MCGOVNEY,NATE",TMC 40-44 (-4),,"GOOD FT by MCGOVNEY,NATE",2
17:29,"GOOD 3PTR by KARSNER,JOSH",43,,44 (+1),,CENTRE_M 43-44 (-1),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
17:09,,43,,47 (+4),"GOOD 3PTR by MCGOVNEY,NATE",TMC 43-47 (-4),,"GOOD 3PTR by MCGOVNEY,NATE",2
--,,,,,"ASSIST  by MUMFORD,DREW",,,"ASSIST  by MUMFORD,DREW",2
16:43,"GOOD 3PTR by KARSNER,JOSH",46,,47 (+1),,CENTRE_M 46-47 (-1),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
16:23,,,,,"MISS JUMPER by MUMFORD,DREW",,,"MISS JUMPER by MUMFORD,DREW",2
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",2
16:12,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:10,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",2
16:10,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",2
16:10,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",2
15:50,,46,,49 (+3),"GOOD LAYUP by MAYS,DREW(in the paint)",TMC 46-49 (-3),,"GOOD LAYUP by MAYS,DREW(in the paint)",2
15:29,"MISS LAYUP by GUMP,MATT",,,,,,,"MISS LAYUP by GUMP,MATT",2
--,,,,,"REBOUND DEF by CLARK,JALEN",,,"REBOUND DEF by CLARK,JALEN",2
15:21,"FOUL  by GUMP,MATT",,,,,,,"FOUL  by GUMP,MATT",2
15:21,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",2
15:21,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",2
15:20,,46,,51 (+5),"GOOD JUMPER by MUMFORD,DREW",TMC 46-51 (-5),,"GOOD JUMPER by MUMFORD,DREW",2
--,,,,,"ASSIST  by MAYS,DREW",,,"ASSIST  by MAYS,DREW",2
14:48,"GOOD 3PTR by STEGGEMAN,ANDREW",49,,51 (+2),,CENTRE_M 49-51 (-2),,"GOOD 3PTR by STEGGEMAN,ANDREW",2
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",2
14:28,,,,,"TURNOVER  by CLARK,JALEN",,,"TURNOVER  by CLARK,JALEN",2
14:28,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",2
14:28,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
14:28,,,,,"SUB IN by WILLIAMS,DANIEL",,,"SUB IN by WILLIAMS,DANIEL",2
14:28,,,,,"SUB IN by PAULY,SAWYER",,,"SUB IN by PAULY,SAWYER",2
14:28,,,,,"SUB OUT by PIPES,ELIOT",,,"SUB OUT by PIPES,ELIOT",2
14:28,,,,,"SUB OUT by MCGOVNEY,NATE",,,"SUB OUT by MCGOVNEY,NATE",2
14:14,"GOOD 3PTR by GEEGAN,MIKE",52 (+1),,51,,CENTRE_M 52-51 (+1),,"GOOD 3PTR by GEEGAN,MIKE",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
13:58,,52,,53 (+1),"GOOD JUMPER by MAYS,DREW",TMC 52-53 (-1),,"GOOD JUMPER by MAYS,DREW",2
13:38,,,,,"FOUL  by PAULY,SAWYER",,,"FOUL  by PAULY,SAWYER",2
