Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:43,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",1
19:41,,,,,"STEAL  by MCCLOUD,LEE",,,"STEAL  by MCCLOUD,LEE",1
19:29,,,,,"FOUL  by THIGPEN,LOGAN",,,"FOUL  by THIGPEN,LOGAN",1
19:16,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
18:52,,,,,"MISS JUMPER by THIGPEN,LOGAN",,,"MISS JUMPER by THIGPEN,LOGAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
18:51,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",,,"FOUL  by ELLINGSWORTH,COLEMAN",1
18:38,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:26,,,,,"TURNOVER  by THIGPEN,LOGAN",,,"TURNOVER  by THIGPEN,LOGAN",1
18:09,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
18:01,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
18:01,"BLOCK  by SCINTA,BLAKE",,,,,,,"BLOCK  by SCINTA,BLAKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
17:50,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2 (+2),,0,,CENTRE_M 2-0 (+2),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
17:24,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
17:15,"TURNOVER  by GEEGAN,MIKE",,,,,,,"TURNOVER  by GEEGAN,MIKE",1
17:14,,,,,"STEAL  by HARVILLE,TYLER",,,"STEAL  by HARVILLE,TYLER",1
16:49,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
16:34,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",4 (+4),,0,,CENTRE_M 4-0 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
16:23,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",,,"MISS 3PTR by CHAYKOWSKY,ZACK",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
16:14,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",6 (+6),,0,,CENTRE_M 6-0 (+6),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
16:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
16:14,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
16:14,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
16:14,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
16:14,,,,,"SUB OUT by CHAYKOWSKY,ZACK",,,"SUB OUT by CHAYKOWSKY,ZACK",1
16:00,,6 (+3),,3,"GOOD 3PTR by HARVILLE,TYLER",BCM 6-3 (+3),,"GOOD 3PTR by HARVILLE,TYLER",1
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1
15:33,"GOOD 3PTR by GRUBER,SAM",9 (+6),,3,,CENTRE_M 9-3 (+6),,"GOOD 3PTR by GRUBER,SAM",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
15:15,,9 (+4),,5,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",BCM 9-5 (+4),,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",1
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1
15:09,"GOOD 3PTR by GUMP,MATT",12 (+7),,5,,CENTRE_M 12-5 (+7),,"GOOD 3PTR by GUMP,MATT",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
14:44,,,,,"MISS LAYUP by THIGPEN,LOGAN",,,"MISS LAYUP by THIGPEN,LOGAN",1
14:44,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by THIGPEN,LOGAN",,,"REBOUND OFF by THIGPEN,LOGAN",1
14:37,,12 (+5),,7,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",BCM 12-7 (+5),,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",1
14:30,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by THIGPEN,LOGAN",,,"REBOUND DEF by THIGPEN,LOGAN",1
14:17,,12 (+3),,9,"GOOD JUMPER by MCCLOUD,LEE",BCM 12-9 (+3),,"GOOD JUMPER by MCCLOUD,LEE",1
13:51,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
13:51,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
13:51,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
13:51,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
13:51,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
13:51,,,,,"SUB IN by KORN,LUKAS",,,"SUB IN by KORN,LUKAS",1
13:51,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
13:16,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
13:16,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:01,"MISS 3PTR by STEGGEMAN,ANDREW",,,,,,,"MISS 3PTR by STEGGEMAN,ANDREW",1
--,"REBOUND OFF by SCHMUCKER,ZACH",,,,,,,"REBOUND OFF by SCHMUCKER,ZACH",1
12:58,,,,,"FOUL  by MCCLOUD,LEE",,,"FOUL  by MCCLOUD,LEE",1
12:58,"SUB IN by REPISHTI,BRYAN",,,,,,,"SUB IN by REPISHTI,BRYAN",1
12:58,"SUB OUT by STEGGEMAN,ANDREW",,,,,,,"SUB OUT by STEGGEMAN,ANDREW",1
12:57,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
12:29,,,,,"MISS LAYUP by MCCLOUD,LEE",,,"MISS LAYUP by MCCLOUD,LEE",1
--,,,,,"REBOUND OFF by THIGPEN,LOGAN",,,"REBOUND OFF by THIGPEN,LOGAN",1
12:22,,12 (+1),,11,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",BCM 12-11 (+1),,"GOOD LAYUP by THIGPEN,LOGAN(in the paint)",1
11:56,"GOOD JUMPER by WESLEY,TYLER",14 (+3),,11,,CENTRE_M 14-11 (+3),,"GOOD JUMPER by WESLEY,TYLER",1
--,"ASSIST  by REPISHTI,BRYAN",,,,,,,"ASSIST  by REPISHTI,BRYAN",1
11:40,,14,,14,"GOOD 3PTR by HARVILLE,TYLER",BCM 14-14 (0),,"GOOD 3PTR by HARVILLE,TYLER",1
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1
11:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:36,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
11:36,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
11:36,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
11:36,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
11:36,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:36,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
11:07,"GOOD 3PTR by KARSNER,JOSH",17 (+3),,14,,CENTRE_M 17-14 (+3),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by REPISHTI,BRYAN",,,,,,,"ASSIST  by REPISHTI,BRYAN",1
10:39,,17,,17,"GOOD 3PTR by THIGPEN,LOGAN",BCM 17-17 (0),,"GOOD 3PTR by THIGPEN,LOGAN",1
--,,,,,"ASSIST  by HARVILLE,TYLER",,,"ASSIST  by HARVILLE,TYLER",1
10:14,"GOOD 3PTR by REPISHTI,BRYAN",20 (+3),,17,,CENTRE_M 20-17 (+3),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
09:41,,,,,"MISS 3PTR by THIGPEN,LOGAN",,,"MISS 3PTR by THIGPEN,LOGAN",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
09:30,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",22 (+5),,17,,CENTRE_M 22-17 (+5),,"GOOD LAYUP by SCINTA,BLAKE(fastbreak)(in the paint)",1
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",1
08:59,,,,,"MISS 3PTR by HARVILLE,TYLER",,,"MISS 3PTR by HARVILLE,TYLER",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
08:50,"GOOD 3PTR by KARSNER,JOSH",25 (+8),,17,,CENTRE_M 25-17 (+8),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GRUBER,SAM",,,,,,,"ASSIST  by GRUBER,SAM",1
08:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:47,,,,,"FOUL  by MARDER,NICK",,,"FOUL  by MARDER,NICK",1
08:47,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
08:47,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
08:47,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
08:47,"SUB OUT by BURNS,DREW",,,,,,,"SUB OUT by BURNS,DREW",1
08:47,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
08:47,"SUB OUT by REPISHTI,BRYAN",,,,,,,"SUB OUT by REPISHTI,BRYAN",1
08:47,,,,,"SUB IN by MARDER,NICK",,,"SUB IN by MARDER,NICK",1
08:47,,,,,"SUB IN by CHAYKOWSKY,ZACK",,,"SUB IN by CHAYKOWSKY,ZACK",1
08:47,,,,,"SUB OUT by KORN,LUKAS",,,"SUB OUT by KORN,LUKAS",1
08:47,,,,,"SUB OUT by HARVILLE,TYLER",,,"SUB OUT by HARVILLE,TYLER",1
08:11,"MISS LAYUP by GEEGAN,MIKE",,,,,,,"MISS LAYUP by GEEGAN,MIKE",1
--,,,,,"REBOUND DEF by MARDER,NICK",,,"REBOUND DEF by MARDER,NICK",1
07:39,"FOUL  by SCINTA,BLAKE",,,,,,,"FOUL  by SCINTA,BLAKE",1
07:39,,25 (+7),,18,"GOOD FT by JACOBS,OWEN",BCM 25-18 (+7),,"GOOD FT by JACOBS,OWEN",1
07:39,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,"REBOUND DEF by GUMP,MATT",,,,,,,"REBOUND DEF by GUMP,MATT",1
07:24,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
07:06,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",27 (+9),,18,,CENTRE_M 27-18 (+9),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
06:58,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",,,"MISS 3PTR by CHAYKOWSKY,ZACK",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
06:37,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
