Time Remaining,TRANSY,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:43,"MISS LAYUP by SERGEANT,SAM",,,,,,,"MISS LAYUP by SERGEANT,SAM",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
19:27,,0,,2 (+2),"GOOD DUNK by WESLEY,TYLER(in the paint)",CENTRE_M 0-2 (+2),,"GOOD DUNK by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
--,"REBOUND OFF by JONES,ALEX",,,,,,,"REBOUND OFF by JONES,ALEX",1
18:18,"MISS 3PTR by JONES,ALEX",,,,,,,"MISS 3PTR by JONES,ALEX",1
18:16,"GOOD LAYUP by JONES,ALEX(in the paint)",2,,2,,TRANSY 2-2 (0),,"GOOD LAYUP by JONES,ALEX(in the paint)",1
18:15,,,,,"MISS LAYUP by SCINTA,BLAKE",,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND DEF by STANSBERRY,PARKER",,,,,,,"REBOUND DEF by STANSBERRY,PARKER",1
18:14,,,,,"FOUL  by SCINTA,BLAKE",,,"FOUL  by SCINTA,BLAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:13,"MISS FT by DENCE,ROBERT",,,,,,,"MISS FT by DENCE,ROBERT",1
18:13,"GOOD FT by DENCE,ROBERT",3 (+1),,2,,TRANSY 3-2 (-1),,"GOOD FT by DENCE,ROBERT",1
18:12,"FOUL  by PULLIAM,DILLON",,,,,,,"FOUL  by PULLIAM,DILLON",1
18:11,,,,,"MISS LAYUP by GUMP,MATT",,,"MISS LAYUP by GUMP,MATT",1
18:11,"BLOCK  by PULLIAM,DILLON",,,,,,,"BLOCK  by PULLIAM,DILLON",1
--,"REBOUND DEF by PULLIAM,DILLON",,,,,,,"REBOUND DEF by PULLIAM,DILLON",1
18:03,"MISS JUMPER by JONES,ALEX",,,,,,,"MISS JUMPER by JONES,ALEX",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
18:00,,3,,4 (+1),"GOOD LAYUP by SCINTA,BLAKE(in the paint)",CENTRE_M 3-4 (+1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,,,,,"ASSIST  by WESLEY,TYLER",,,"ASSIST  by WESLEY,TYLER",1
17:48,"TURNOVER  by JONES,ALEX",,,,,,,"TURNOVER  by JONES,ALEX",1
17:43,,3,,6 (+3),"GOOD DUNK by WESLEY,TYLER(in the paint)",CENTRE_M 3-6 (+3),,"GOOD DUNK by WESLEY,TYLER(in the paint)",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
17:33,"MISS 3PTR by WILLIAMS,JAKE",,,,,,,"MISS 3PTR by WILLIAMS,JAKE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
17:25,,,,,"TURNOVER  by WESLEY,TYLER",,,"TURNOVER  by WESLEY,TYLER",1
17:22,"GOOD 3PTR by STANSBERRY,PARKER",6,,6,,TRANSY 6-6 (0),,"GOOD 3PTR by STANSBERRY,PARKER",1
16:20,"FOUL  by SERGEANT,SAM",,,,,,,"FOUL  by SERGEANT,SAM",1
16:08,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by SERGEANT,SAM",,,,,,,"REBOUND DEF by SERGEANT,SAM",1
16:00,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
16:00,"SUB IN by BURGESS,TRISTAN",,,,,,,"SUB IN by BURGESS,TRISTAN",1
16:00,"SUB IN by BICKEL,TIM",,,,,,,"SUB IN by BICKEL,TIM",1
16:00,"SUB OUT by DENCE,ROBERT",,,,,,,"SUB OUT by DENCE,ROBERT",1
16:00,SUB OUT by 0,,,,,,,SUB OUT by 0,1
16:00,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
16:00,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
15:57,"MISS JUMPER by WILLIAMS,JAKE",,,,,,,"MISS JUMPER by WILLIAMS,JAKE",1
--,,,,,"REBOUND DEF by GUMP,MATT",,,"REBOUND DEF by GUMP,MATT",1
15:48,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
15:48,,,,,"SUB OUT by GUMP,MATT",,,"SUB OUT by GUMP,MATT",1
15:47,,6,,9 (+3),"GOOD 3PTR by REPISHTI,BRYAN",CENTRE_M 6-9 (+3),,"GOOD 3PTR by REPISHTI,BRYAN",1
--,,,,,"ASSIST  by SCINTA,BLAKE",,,"ASSIST  by SCINTA,BLAKE",1
15:23,"GOOD 3PTR by WILLIAMS,JAKE",9,,9,,TRANSY 9-9 (0),,"GOOD 3PTR by WILLIAMS,JAKE",1
15:02,"FOUL  by BICKEL,TIM",,,,,,,"FOUL  by BICKEL,TIM",1
15:01,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
15:01,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
14:59,"SUB IN by SIRKIN,TOMMY",,,,,,,"SUB IN by SIRKIN,TOMMY",1
14:59,"SUB OUT by SERGEANT,SAM",,,,,,,"SUB OUT by SERGEANT,SAM",1
14:33,,9,,11 (+2),"GOOD JUMPER by WESLEY,TYLER",CENTRE_M 9-11 (+2),,"GOOD JUMPER by WESLEY,TYLER",1
14:12,"TURNOVER  by BURGESS,TRISTAN",,,,,,,"TURNOVER  by BURGESS,TRISTAN",1
14:10,,,,,"STEAL  by GUMP,MATT",,,"STEAL  by GUMP,MATT",1
14:05,,,,,"MISS 3PTR by GEEGAN,MIKE",,,"MISS 3PTR by GEEGAN,MIKE",1
--,"REBOUND DEF by BICKEL,TIM",,,,,,,"REBOUND DEF by BICKEL,TIM",1
13:55,"MISS 3PTR by BURGESS,TRISTAN",,,,,,,"MISS 3PTR by BURGESS,TRISTAN",1
--,,,,,"REBOUND DEF by ARNETT,MICHAEL",,,"REBOUND DEF by ARNETT,MICHAEL",1
13:52,"SUB IN by DENCE,ROBERT",,,,,,,"SUB IN by DENCE,ROBERT",1
13:52,"SUB IN by SIRKIN,TOMMY",,,,,,,"SUB IN by SIRKIN,TOMMY",1
13:52,"SUB IN by JONES,ALEX",,,,,,,"SUB IN by JONES,ALEX",1
13:52,"SUB IN by WILLIAMS,JAKE",,,,,,,"SUB IN by WILLIAMS,JAKE",1
13:52,"SUB IN by CAGGINS,ZACH",,,,,,,"SUB IN by CAGGINS,ZACH",1
13:52,"SUB IN by POLLARD,ISAIAH",,,,,,,"SUB IN by POLLARD,ISAIAH",1
