Time Remaining,HDNM,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:25,"MISS LAYUP by WASHINGTON,DANTAVIUS",,,,,,,"MISS LAYUP by WASHINGTON,DANTAVIUS",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
16:15,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by DAVIS,JEROME",,,,,,,"REBOUND DEF by DAVIS,JEROME",1
16:05,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",8 (+4),,4,,HDNM 8-4 (-4),,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",1
--,"ASSIST  by DAVIS,JEROME",,,,,,,"ASSIST  by DAVIS,JEROME",1
15:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:42,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
15:38,,8 (+2),,6,"GOOD LAYUP by WESLEY,TYLER(in the paint)",CCM 8-6 (-2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
15:31,"MISS JUMPER by WASHINGTON,DANTAVIUS",,,,,,,"MISS JUMPER by WASHINGTON,DANTAVIUS",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
15:14,,8,,9 (+1),"GOOD 3PTR by STEGGEMAN,ANDREW",CCM 8-9 (+1),,"GOOD 3PTR by STEGGEMAN,ANDREW",1
15:01,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:01,,,,,"SUB OUT by SCINTA,BLAKE",,,"SUB OUT by SCINTA,BLAKE",1
14:58,"MISS JUMPER by LAYSON,ALEX",,,,,,,"MISS JUMPER by LAYSON,ALEX",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
14:31,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,"REBOUND DEF by LAYSON,ALEX",,,,,,,"REBOUND DEF by LAYSON,ALEX",1
14:23,"MISS JUMPER by DAVIS,JEROME",,,,,,,"MISS JUMPER by DAVIS,JEROME",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
14:10,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
14:10,"SUB IN by HUGHES,TAYLOR",,,,,,,"SUB IN by HUGHES,TAYLOR",1
14:10,"SUB IN by JONES,RJ",,,,,,,"SUB IN by JONES,RJ",1
14:10,"SUB OUT by WASHINGTON,DANTAVIUS",,,,,,,"SUB OUT by WASHINGTON,DANTAVIUS",1
14:10,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
14:10,"SUB OUT by LAYSON,ALEX",,,,,,,"SUB OUT by LAYSON,ALEX",1
14:10,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",1
14:10,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
13:59,,8,,12 (+4),"GOOD 3PTR by GEEGAN,MIKE",CCM 8-12 (+4),,"GOOD 3PTR by GEEGAN,MIKE",1
--,,,,,"ASSIST  by GUMP,MATT",,,"ASSIST  by GUMP,MATT",1
13:45,"GOOD LAYUP by POPOVICH,WYATT(in the paint)",10,,12 (+2),,HDNM 10-12 (+2),,"GOOD LAYUP by POPOVICH,WYATT(in the paint)",1
13:16,,,,,"TURNOVER  by SCHMUCKER,ZACH",,,"TURNOVER  by SCHMUCKER,ZACH",1
13:15,"STEAL  by DAVIS,JEROME",,,,,,,"STEAL  by DAVIS,JEROME",1
13:12,,,,,"FOUL  by GUMP,MATT",,,"FOUL  by GUMP,MATT",1
13:12,"GOOD FT by JONES,RJ",11,,12 (+1),,HDNM 11-12 (+1),,"GOOD FT by JONES,RJ",1
13:12,"MISS FT by JONES,RJ",,,,,,,"MISS FT by JONES,RJ",1
--,,,,,"REBOUND DEF by REPISHTI,BRYAN",,,"REBOUND DEF by REPISHTI,BRYAN",1
13:12,"SUB IN by LAYSON,ALEX",,,,,,,"SUB IN by LAYSON,ALEX",1
13:12,"SUB OUT by DAVIS,JEROME",,,,,,,"SUB OUT by DAVIS,JEROME",1
13:12,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
13:12,,,,,"SUB IN by SCINTA,BLAKE",,,"SUB IN by SCINTA,BLAKE",1
13:12,,,,,"SUB IN by ARNETT,MICHAEL",,,"SUB IN by ARNETT,MICHAEL",1
13:12,,,,,"SUB IN by REPISHTI,BRYAN",,,"SUB IN by REPISHTI,BRYAN",1
13:12,,,,,"SUB OUT by WESLEY,TYLER",,,"SUB OUT by WESLEY,TYLER",1
13:12,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
13:12,,,,,"SUB OUT by STEGGEMAN,ANDREW",,,"SUB OUT by STEGGEMAN,ANDREW",1
