Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,HANOVER,Game Score,Team Indicator,Play,Period
13:49,,,,,"TURNOVER  by JAMES,KYLE",,,"TURNOVER  by JAMES,KYLE",1
13:48,"STEAL  by GEEGAN,MIKE",,,,,,,"STEAL  by GEEGAN,MIKE",1
13:42,"GOOD JUMPER by ARNETT,MICHAEL",8,,9 (+1),,CENTRE 8-9 (-1),,"GOOD JUMPER by ARNETT,MICHAEL",1
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",1
13:30,,,,,"MISS 3PTR by MCDONALD,NIC",,,"MISS 3PTR by MCDONALD,NIC",1
--,,,,,"REBOUND OFF by MCKINNEY,WES",,,"REBOUND OFF by MCKINNEY,WES",1
13:17,,,,,"MISS JUMPER by MCDONALD,NIC",,,"MISS JUMPER by MCDONALD,NIC",1
13:17,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by MCKINNEY,WES",,,"REBOUND OFF by MCKINNEY,WES",1
13:17,,,,,"TURNOVER  by MCKINNEY,WES",,,"TURNOVER  by MCKINNEY,WES",1
13:17,"SUB IN by BURNS,DREW",,,,,,,"SUB IN by BURNS,DREW",1
13:17,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
13:17,,,,,"SUB IN by BUCK,LEVI",,,"SUB IN by BUCK,LEVI",1
13:17,,,,,"SUB IN by CHRISTIE,KEVIN",,,"SUB IN by CHRISTIE,KEVIN",1
13:17,,,,,"SUB IN by HORNBEAK,JAREN",,,"SUB IN by HORNBEAK,JAREN",1
13:17,,,,,"SUB OUT by MCKINNEY,WES",,,"SUB OUT by MCKINNEY,WES",1
13:17,,,,,"SUB OUT by MCDONALD,NIC",,,"SUB OUT by MCDONALD,NIC",1
13:17,,,,,"SUB OUT by JAMES,KYLE",,,"SUB OUT by JAMES,KYLE",1
12:53,"GOOD LAYUP by GUMP,MATT(in the paint)",10 (+1),,9,,CENTRE 10-9 (+1),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
12:19,,,,,"TURNOVER  by BUCK,LEVI",,,"TURNOVER  by BUCK,LEVI",1
12:18,"STEAL  by BURNS,DREW",,,,,,,"STEAL  by BURNS,DREW",1
