Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
08:56,"MISS 3PTR by GRUBER,SAM",,,,,,,"MISS 3PTR by GRUBER,SAM",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
08:43,,9,,14 (+5),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 9-14 (-5),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
08:26,"MISS LAYUP by SCINTA,BLAKE",,,,,,,"MISS LAYUP by SCINTA,BLAKE",1
--,"REBOUND OFF by SCINTA,BLAKE",,,,,,,"REBOUND OFF by SCINTA,BLAKE",1
08:23,"TURNOVER  by SCINTA,BLAKE",,,,,,,"TURNOVER  by SCINTA,BLAKE",1
07:54,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1
07:54,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND OFF by AVERY,ALEX",,,"REBOUND OFF by AVERY,ALEX",1
07:50,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
07:44,"TURNOVER  by GRUBER,SAM",,,,,,,"TURNOVER  by GRUBER,SAM",1
07:43,,,,,"STEAL  by WELCH,ROSS",,,"STEAL  by WELCH,ROSS",1
07:32,,9,,17 (+8),"GOOD 3PTR by DENEKA,HARRISON",BSC 9-17 (-8),,"GOOD 3PTR by DENEKA,HARRISON",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
07:10,"GOOD 3PTR by GRUBER,SAM",12,,17 (+5),,CENTRE_M 12-17 (-5),,"GOOD 3PTR by GRUBER,SAM",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
06:47,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND DEF by GEEGAN,MIKE",,,,,,,"REBOUND DEF by GEEGAN,MIKE",1
06:32,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
06:32,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
06:32,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
06:32,"SUB OUT by GRUBER,SAM",,,,,,,"SUB OUT by GRUBER,SAM",1
06:32,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
06:13,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
06:01,"GOOD 3PTR by KARSNER,JOSH",15,,17 (+2),,CENTRE_M 15-17 (-2),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
05:36,"FOUL  by WESLEY,TYLER",,,,,,,"FOUL  by WESLEY,TYLER",1
05:36,,,,,"MISS FT by THOMAS,LARRY",,,"MISS FT by THOMAS,LARRY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:36,,15,,18 (+3),"GOOD FT by THOMAS,LARRY",BSC 15-18 (-3),,"GOOD FT by THOMAS,LARRY",1
05:36,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
05:36,"SUB OUT by WESLEY,TYLER",,,,,,,"SUB OUT by WESLEY,TYLER",1
05:36,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",1
05:36,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
05:36,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
05:36,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
05:26,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
05:26,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",1
05:26,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
05:17,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
05:01,"MISS 3PTR by GUMP,MATT",,,,,,,"MISS 3PTR by GUMP,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:00,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
05:00,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
05:00,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
04:44,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
04:43,"STEAL  by GEEGAN,MIKE",,,,,,,"STEAL  by GEEGAN,MIKE",1
04:27,"MISS FT by SCINTA,BLAKE",,,,,,,"MISS FT by SCINTA,BLAKE",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
04:27,"SUB IN by GRUBER,SAM",,,,,,,"SUB IN by GRUBER,SAM",1
04:27,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
04:25,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",17,,18 (+1),,CENTRE_M 17-18 (-1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
04:20,,,,,"FOUL  by BARRON,MAC",,,"FOUL  by BARRON,MAC",1
04:07,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
03:52,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",19 (+1),,18,,CENTRE_M 19-18 (+1),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
03:52,,,,,"FOUL  by BARRON,MAC",,,"FOUL  by BARRON,MAC",1
03:52,"GOOD FT by SCINTA,BLAKE",20 (+2),,18,,CENTRE_M 20-18 (+2),,"GOOD FT by SCINTA,BLAKE",1
03:52,"SUB IN by WESLEY,TYLER",,,,,,,"SUB IN by WESLEY,TYLER",1
03:52,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
03:52,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
03:52,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
03:52,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",1
03:52,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",1
03:34,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
03:34,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:34,,20 (+1),,19,"GOOD FT by MCLEAN,JAMES",BSC 20-19 (+1),,"GOOD FT by MCLEAN,JAMES",1
03:34,"SUB IN by SCINTA,BLAKE",,,,,,,"SUB IN by SCINTA,BLAKE",1
03:34,"SUB OUT by GEEGAN,MIKE",,,,,,,"SUB OUT by GEEGAN,MIKE",1
03:19,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
03:05,,,,,"MISS JUMPER by THOM,IAN",,,"MISS JUMPER by THOM,IAN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
02:59,"GOOD 3PTR by KARSNER,JOSH",23 (+4),,19,,CENTRE_M 23-19 (+4),,"GOOD 3PTR by KARSNER,JOSH",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
02:43,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",1
02:43,,23 (+3),,20,"GOOD FT by MCLEAN,JAMES",BSC 23-20 (+3),,"GOOD FT by MCLEAN,JAMES",1
02:43,,23 (+2),,21,"GOOD FT by MCLEAN,JAMES",BSC 23-21 (+2),,"GOOD FT by MCLEAN,JAMES",1
02:43,"SUB IN by GEEGAN,MIKE",,,,,,,"SUB IN by GEEGAN,MIKE",1
02:43,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
02:43,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
02:43,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
02:43,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
02:43,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
02:36,"TURNOVER  by GUMP,MATT",,,,,,,"TURNOVER  by GUMP,MATT",1
02:18,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
02:11,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",25 (+4),,21,,CENTRE_M 25-21 (+4),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GUMP,MATT",,,,,,,"ASSIST  by GUMP,MATT",1
01:50,,25 (+1),,24,"GOOD 3PTR by DENEKA,HARRISON",BSC 25-24 (+1),,"GOOD 3PTR by DENEKA,HARRISON",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
01:13,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",27 (+3),,24,,CENTRE_M 27-24 (+3),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by GRUBER,SAM",,,,,,,"ASSIST  by GRUBER,SAM",1
00:52,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND DEF by GRUBER,SAM",,,,,,,"REBOUND DEF by GRUBER,SAM",1
00:52,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",1
00:52,"SUB OUT by GUMP,MATT",,,,,,,"SUB OUT by GUMP,MATT",1
00:32,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",29 (+5),,24,,CENTRE_M 29-24 (+5),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",1
00:00,,29 (+3),,26,"GOOD JUMPER by THOMAS,LARRY",BSC 29-26 (+3),,"GOOD JUMPER by THOMAS,LARRY",1
19:37,,29 (+1),,28,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 29-28 (+1),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
19:15,"GOOD LAYUP by WESLEY,TYLER(in the paint)",31 (+3),,28,,CENTRE_M 31-28 (+3),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
19:07,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
18:50,"MISS LAYUP by WESLEY,TYLER",,,,,,,"MISS LAYUP by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
18:42,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",2
18:24,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",2
18:24,"MISS FT by GUMP,MATT",,,,,,,"MISS FT by GUMP,MATT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:24,"GOOD FT by GUMP,MATT",32 (+4),,28,,CENTRE_M 32-28 (+4),,"GOOD FT by GUMP,MATT",2
18:03,,,,,"MISS LAYUP by THOM,IAN",,,"MISS LAYUP by THOM,IAN",2
--,,,,,"REBOUND OFF by THOM,IAN",,,"REBOUND OFF by THOM,IAN",2
17:48,,,,,"MISS 3PTR by AVERY,ALEX",,,"MISS 3PTR by AVERY,ALEX",2
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",2
17:38,,,,,"FOUL  by AVERY,ALEX",,,"FOUL  by AVERY,ALEX",2
17:38,"GOOD FT by WESLEY,TYLER",33 (+5),,28,,CENTRE_M 33-28 (+5),,"GOOD FT by WESLEY,TYLER",2
17:38,"MISS FT by WESLEY,TYLER",,,,,,,"MISS FT by WESLEY,TYLER",2
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",2
17:38,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",2
17:38,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",2
17:23,,33 (+3),,30,"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 33-30 (+3),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",2
16:54,"GOOD LAYUP by WESLEY,TYLER(in the paint)",35 (+5),,30,,CENTRE_M 35-30 (+5),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2
16:42,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",2
16:41,"STEAL  by SCINTA,BLAKE",,,,,,,"STEAL  by SCINTA,BLAKE",2
16:35,"GOOD 3PTR by SCINTA,BLAKE",38 (+8),,30,,CENTRE_M 38-30 (+8),,"GOOD 3PTR by SCINTA,BLAKE",2
--,"ASSIST  by GEEGAN,MIKE",,,,,,,"ASSIST  by GEEGAN,MIKE",2
16:32,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
16:19,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",2
16:19,"SUB IN by STEGGEMAN,ANDREW",,,,,,,"SUB IN by STEGGEMAN,ANDREW",2
16:19,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
15:50,"MISS JUMPER by STEGGEMAN,ANDREW",,,,,,,"MISS JUMPER by STEGGEMAN,ANDREW",2
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",2
15:45,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",2
15:39,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND OFF by AVERY,ALEX",,,"REBOUND OFF by AVERY,ALEX",2
15:36,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",2
15:36,"BLOCK  by WESLEY,TYLER",,,,,,,"BLOCK  by WESLEY,TYLER",2
--,"REBOUND DEF by STEGGEMAN,ANDREW",,,,,,,"REBOUND DEF by STEGGEMAN,ANDREW",2
15:31,"GOOD 3PTR by GEEGAN,MIKE",41 (+11),,30,,CENTRE_M 41-30 (+11),,"GOOD 3PTR by GEEGAN,MIKE",2
--,"ASSIST  by STEGGEMAN,ANDREW",,,,,,,"ASSIST  by STEGGEMAN,ANDREW",2
15:25,"FOUL  by STEGGEMAN,ANDREW",,,,,,,"FOUL  by STEGGEMAN,ANDREW",2
15:25,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",2
15:25,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",2
15:23,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",2
--,"REBOUND DEF by GEEGAN,MIKE",,,,,,,"REBOUND DEF by GEEGAN,MIKE",2
15:08,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",43 (+13),,30,,CENTRE_M 43-30 (+13),,"GOOD LAYUP by SCINTA,BLAKE(in the paint)",2
