Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:46,,,,,"TURNOVER  by KNOX,JOEY",,,"TURNOVER  by KNOX,JOEY",1
19:46,,,,,"FOUL  by KNOX,JOEY",,,"FOUL  by KNOX,JOEY",1
19:34,"GOOD JUMPER by WILEY,KOKI(in the paint)",2 (+2),,0,,RHODES 2-0 (-2),,"GOOD JUMPER by WILEY,KOKI(in the paint)",1
19:15,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",1
--,,,,,"REBOUND OFF by HOLLOWAY,JACK",,,"REBOUND OFF by HOLLOWAY,JACK",1
18:54,,,,,"MISS JUMPER by WARLICK,JORDAN",,,"MISS JUMPER by WARLICK,JORDAN",1
--,,,,,"REBOUND OFF by HOLLOWAY,JACK",,,"REBOUND OFF by HOLLOWAY,JACK",1
18:40,,2,,2,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by HOLLOWAY,JACK(in the paint)",1
--,,,,,"ASSIST  by GARWOOD,MACKIE",,,"ASSIST  by GARWOOD,MACKIE",1
18:24,"GOOD LAYUP by JAMES,MAC(in the paint)",4 (+2),,2,,RHODES 4-2 (-2),,"GOOD LAYUP by JAMES,MAC(in the paint)",1
18:11,,,,,"TURNOVER  by GARWOOD,MACKIE",,,"TURNOVER  by GARWOOD,MACKIE",1
18:11,"SUB IN by HIESTER,JACKSON",,,,,,,"SUB IN by HIESTER,JACKSON",1
18:11,"SUB OUT by II,ARNESS GEORGETOWN",,,,,,,"SUB OUT by II,ARNESS GEORGETOWN",1
17:59,"MISS 3PTR by SHEN,KEVIN",,,,,,,"MISS 3PTR by SHEN,KEVIN",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
17:51,,,,,"MISS 3PTR by GARWOOD,MACKIE",,,"MISS 3PTR by GARWOOD,MACKIE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
17:47,,,,,"FOUL  by HOLLOWAY,JACK",,,"FOUL  by HOLLOWAY,JACK",1
17:28,,,,,"FOUL  by KNOX,JOEY",,,"FOUL  by KNOX,JOEY",1
17:28,"GOOD FT by WILEY,KOKI",5 (+3),,2,,RHODES 5-2 (-3),,"GOOD FT by WILEY,KOKI",1
17:28,"GOOD FT by WILEY,KOKI",6 (+4),,2,,RHODES 6-2 (-4),,"GOOD FT by WILEY,KOKI",1
17:28,"SUB IN by CLAYTON,TJ",,,,,,,"SUB IN by CLAYTON,TJ",1
17:28,"SUB OUT by SHEN,KEVIN",,,,,,,"SUB OUT by SHEN,KEVIN",1
17:28,,,,,"SUB IN by BOULDIN,BLAKE",,,"SUB IN by BOULDIN,BLAKE",1
17:28,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
17:19,"FOUL  by ESSICK,JALEN",,,,,,,"FOUL  by ESSICK,JALEN",1
17:03,,6 (+2),,4,"GOOD DUNK by HOLLOWAY,JACK(in the paint)",SEWANEE 6-4 (-2),,"GOOD DUNK by HOLLOWAY,JACK(in the paint)",1
--,,,,,"ASSIST  by GARWOOD,MACKIE",,,"ASSIST  by GARWOOD,MACKIE",1
16:50,"MISS 3PTR by HIESTER,JACKSON",,,,,,,"MISS 3PTR by HIESTER,JACKSON",1
--,,,,,"REBOUND DEF by HOLLOWAY,JACK",,,"REBOUND DEF by HOLLOWAY,JACK",1
16:42,,,,,"MISS 3PTR by BOULDIN,BLAKE",,,"MISS 3PTR by BOULDIN,BLAKE",1
--,"REBOUND DEF by ESSICK,JALEN",,,,,,,"REBOUND DEF by ESSICK,JALEN",1
16:25,"MISS JUMPER by WILEY,KOKI",,,,,,,"MISS JUMPER by WILEY,KOKI",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
16:22,"FOUL  by WILEY,KOKI",,,,,,,"FOUL  by WILEY,KOKI",1
16:22,,,,,"SUB IN by KAHL,COLIN",,,"SUB IN by KAHL,COLIN",1
16:22,,,,,"SUB OUT by HOLLOWAY,JACK",,,"SUB OUT by HOLLOWAY,JACK",1
16:06,,6,,6,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",SEWANEE 6-6 (0),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",1
16:06,"FOUL  by JAMES,MAC",,,,,,,"FOUL  by JAMES,MAC",1
16:06,,6,,7 (+1),"GOOD FT by WARLICK,JORDAN",SEWANEE 6-7 (+1),,"GOOD FT by WARLICK,JORDAN",1
16:06,"SUB IN by WALKER,JEFFERSON",,,,,,,"SUB IN by WALKER,JEFFERSON",1
16:06,"SUB IN by SHEN,KEVIN",,,,,,,"SUB IN by SHEN,KEVIN",1
16:06,"SUB OUT by JAMES,MAC",,,,,,,"SUB OUT by JAMES,MAC",1
16:06,"SUB OUT by WILEY,KOKI",,,,,,,"SUB OUT by WILEY,KOKI",1
15:42,"MISS LAYUP by WALKER,JEFFERSON",,,,,,,"MISS LAYUP by WALKER,JEFFERSON",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
15:27,,,,,"FOUL  by WARLICK,JORDAN",,,"FOUL  by WARLICK,JORDAN",1
15:27,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",1
15:27,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:27,"SUB IN by II,ARNESS GEORGETOWN",,,,,,,"SUB IN by II,ARNESS GEORGETOWN",1
15:27,"SUB OUT by HIESTER,JACKSON",,,,,,,"SUB OUT by HIESTER,JACKSON",1
15:15,"MISS LAYUP by II,ARNESS GEORGETOWN",,,,,,,"MISS LAYUP by II,ARNESS GEORGETOWN",1
--,,,,,"REBOUND DEF by KAHL,COLIN",,,"REBOUND DEF by KAHL,COLIN",1
15:10,,,,,"TURNOVER  by KAHL,COLIN",,,"TURNOVER  by KAHL,COLIN",1
15:09,"STEAL  by CLAYTON,TJ",,,,,,,"STEAL  by CLAYTON,TJ",1
15:09,"MISS LAYUP by CLAYTON,TJ",,,,,,,"MISS LAYUP by CLAYTON,TJ",1
--,"REBOUND OFF by CLAYTON,TJ",,,,,,,"REBOUND OFF by CLAYTON,TJ",1
