Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:38,"FOUL  by WASHINGTON,DANTAVIUS",,,,,,,"FOUL  by WASHINGTON,DANTAVIUS",1
19:31,,0,,2 (+2),"GOOD LAYUP by THOMAS,LARRY(in the paint)",BSC 0-2 (+2),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",1
19:20,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
19:11,"MISS 3PTR by DAVIS,JEROME",,,,,,,"MISS 3PTR by DAVIS,JEROME",1
--,"REBOUND OFF by WASHINGTON,DANTAVIUS",,,,,,,"REBOUND OFF by WASHINGTON,DANTAVIUS",1
19:06,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",2,,2,,HCM 2-2 (0),,"GOOD LAYUP by WASHINGTON,DANTAVIUS(in the paint)",1
19:03,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by ASHLEY,ANDRE",,,,,,,"REBOUND DEF by ASHLEY,ANDRE",1
18:52,"MISS 3PTR by DONALDSON,BILL",,,,,,,"MISS 3PTR by DONALDSON,BILL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
18:52,,,,,"FOUL  by GALFSKY,ANDER",,,"FOUL  by GALFSKY,ANDER",1
18:49,"MISS JUMPER by ASHLEY,ANDRE",,,,,,,"MISS JUMPER by ASHLEY,ANDRE",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
18:46,"FOUL  by ASHLEY,ANDRE",,,,,,,"FOUL  by ASHLEY,ANDRE",1
18:36,"FOUL  by DAVIS,JEROME",,,,,,,"FOUL  by DAVIS,JEROME",1
18:29,,2,,4 (+2),"GOOD JUMPER by GALFSKY,ANDER(in the paint)",BSC 2-4 (+2),,"GOOD JUMPER by GALFSKY,ANDER(in the paint)",1
18:07,"FOUL  by WASHINGTON,DANTAVIUS",,,,,,,"FOUL  by WASHINGTON,DANTAVIUS",1
18:07,"TURNOVER  by WASHINGTON,DANTAVIUS",,,,,,,"TURNOVER  by WASHINGTON,DANTAVIUS",1
18:07,"SUB IN by JOHNSON,CHARLIE",,,,,,,"SUB IN by JOHNSON,CHARLIE",1
18:07,"SUB OUT by WASHINGTON,DANTAVIUS",,,,,,,"SUB OUT by WASHINGTON,DANTAVIUS",1
17:58,,2,,7 (+5),"GOOD 3PTR by THOMAS,LARRY",BSC 2-7 (+5),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by GALFSKY,ANDER",,,"ASSIST  by GALFSKY,ANDER",1
17:35,"GOOD JUMPER by LAYSON,ALEX",4,,7 (+3),,HCM 4-7 (+3),,"GOOD JUMPER by LAYSON,ALEX",1
--,"ASSIST  by DAVIS,JEROME",,,,,,,"ASSIST  by DAVIS,JEROME",1
17:26,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by GALFSKY,ANDER",,,"REBOUND OFF by GALFSKY,ANDER",1
17:21,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by JOHNSON,CHARLIE",,,,,,,"REBOUND DEF by JOHNSON,CHARLIE",1
17:13,"TURNOVER  by DAVIS,JEROME",,,,,,,"TURNOVER  by DAVIS,JEROME",1
17:13,"SUB IN by BERRY,RAHEEM",,,,,,,"SUB IN by BERRY,RAHEEM",1
17:13,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
16:59,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,,,,,"REBOUND OFF by WELCH,ROSS",,,"REBOUND OFF by WELCH,ROSS",1
16:53,,4,,10 (+6),"GOOD 3PTR by THOMAS,LARRY",BSC 4-10 (+6),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
16:40,"MISS 3PTR by LAYSON,ALEX",,,,,,,"MISS 3PTR by LAYSON,ALEX",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
16:37,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
16:37,"SUB OUT by DONALDSON,BILL",,,,,,,"SUB OUT by DONALDSON,BILL",1
16:30,"TURNOVER  by BERRY,RAHEEM",,,,,,,"TURNOVER  by BERRY,RAHEEM",1
16:10,"FOUL  by LAYSON,ALEX",,,,,,,"FOUL  by LAYSON,ALEX",1
16:10,,4,,11 (+7),"GOOD FT by GALFSKY,ANDER",BSC 4-11 (+7),,"GOOD FT by GALFSKY,ANDER",1
16:10,,4,,12 (+8),"GOOD FT by GALFSKY,ANDER",BSC 4-12 (+8),,"GOOD FT by GALFSKY,ANDER",1
16:10,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
16:10,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
16:10,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
16:10,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
16:10,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
16:10,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
16:10,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
16:10,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
16:02,"MISS 3PTR by LAYSON,ALEX",,,,,,,"MISS 3PTR by LAYSON,ALEX",1
--,"REBOUND OFF by JOHNSON,CHARLIE",,,,,,,"REBOUND OFF by JOHNSON,CHARLIE",1
15:59,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
15:59,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:52,"GOOD LAYUP by LAYSON,ALEX(in the paint)",6,,12 (+6),,HCM 6-12 (+6),,"GOOD LAYUP by LAYSON,ALEX(in the paint)",1
15:33,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",1
--,,,,,"REBOUND OFF by MCLEAN,JAMES",,,"REBOUND OFF by MCLEAN,JAMES",1
15:31,"SUB IN by CASTEEL,JONAH",,,,,,,"SUB IN by CASTEEL,JONAH",1
15:31,"SUB OUT by DAVIS,JEROME",,,,,,,"SUB OUT by DAVIS,JEROME",1
15:31,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
15:31,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
15:17,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by LAYSON,ALEX",,,,,,,"REBOUND DEF by LAYSON,ALEX",1
15:05,"MISS LAYUP by JOHNSON,CHARLIE",,,,,,,"MISS LAYUP by JOHNSON,CHARLIE",1
--,"REBOUND OFF by JOHNSON,CHARLIE",,,,,,,"REBOUND OFF by JOHNSON,CHARLIE",1
15:03,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
15:03,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",1
15:03,,,,,"SUB IN by MARTIN,SAM",,,"SUB IN by MARTIN,SAM",1
15:03,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
15:03,,,,,"SUB IN by HAYES,CONNER",,,"SUB IN by HAYES,CONNER",1
15:03,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
15:03,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
15:03,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
15:03,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
15:03,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
15:03,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
14:52,"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",8,,12 (+4),,HCM 8-12 (+4),,"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",1
--,"ASSIST  by POPOVICH,WYATT",,,,,,,"ASSIST  by POPOVICH,WYATT",1
14:29,,,,,"MISS LAYUP by REBIC,ANTE",,,"MISS LAYUP by REBIC,ANTE",1
--,"REBOUND DEF by JOHNSON,CHARLIE",,,,,,,"REBOUND DEF by JOHNSON,CHARLIE",1
14:20,"MISS 3PTR by BERRY,RAHEEM",,,,,,,"MISS 3PTR by BERRY,RAHEEM",1
--,"REBOUND OFF by POPOVICH,WYATT",,,,,,,"REBOUND OFF by POPOVICH,WYATT",1
14:05,"MISS JUMPER by ASHLEY,ANDRE",,,,,,,"MISS JUMPER by ASHLEY,ANDRE",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
13:57,,8,,15 (+7),"GOOD 3PTR by MARTIN,SAM",BSC 8-15 (+7),,"GOOD 3PTR by MARTIN,SAM",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
13:33,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",1
13:33,"GOOD FT by ASHLEY,ANDRE",9,,15 (+6),,HCM 9-15 (+6),,"GOOD FT by ASHLEY,ANDRE",1
13:33,"GOOD FT by ASHLEY,ANDRE",10,,15 (+5),,HCM 10-15 (+5),,"GOOD FT by ASHLEY,ANDRE",1
13:33,"SUB IN by DALLAS,MICHAEL",,,,,,,"SUB IN by DALLAS,MICHAEL",1
13:33,"SUB IN by DONALDSON,BILL",,,,,,,"SUB IN by DONALDSON,BILL",1
13:33,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
13:33,"SUB IN by DAVIS,JEROME",,,,,,,"SUB IN by DAVIS,JEROME",1
13:33,"SUB OUT by JOHNSON,CHARLIE",,,,,,,"SUB OUT by JOHNSON,CHARLIE",1
13:33,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
13:33,"SUB OUT by LAYSON,ALEX",,,,,,,"SUB OUT by LAYSON,ALEX",1
13:33,"SUB OUT by CASTEEL,JONAH",,,,,,,"SUB OUT by CASTEEL,JONAH",1
13:33,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
13:33,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
13:23,,,,,"MISS 3PTR by HAYES,CONNER",,,"MISS 3PTR by HAYES,CONNER",1
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",1
13:21,"FOUL  by ASHLEY,ANDRE",,,,,,,"FOUL  by ASHLEY,ANDRE",1
13:21,,,,,"MISS FT by DENEKA,HARRISON",,,"MISS FT by DENEKA,HARRISON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:21,,10,,16 (+6),"GOOD FT by DENEKA,HARRISON",BSC 10-16 (+6),,"GOOD FT by DENEKA,HARRISON",1
12:58,"MISS JUMPER by DONALDSON,BILL",,,,,,,"MISS JUMPER by DONALDSON,BILL",1
12:58,,,,,"BLOCK  by THOMAS,LARRY",,,"BLOCK  by THOMAS,LARRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:58,"SUB IN by BERRY,RAHEEM",,,,,,,"SUB IN by BERRY,RAHEEM",1
12:58,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
12:50,"TURNOVER  by BERRY,RAHEEM",,,,,,,"TURNOVER  by BERRY,RAHEEM",1
12:49,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
12:46,,,,,"MISS LAYUP by HAYES,CONNER",,,"MISS LAYUP by HAYES,CONNER",1
--,"REBOUND DEF by POPOVICH,WYATT",,,,,,,"REBOUND DEF by POPOVICH,WYATT",1
12:35,"GOOD 3PTR by BERRY,RAHEEM",13,,16 (+3),,HCM 13-16 (+3),,"GOOD 3PTR by BERRY,RAHEEM",1
--,"ASSIST  by DAVIS,JEROME",,,,,,,"ASSIST  by DAVIS,JEROME",1
12:22,,13,,18 (+5),"GOOD LAYUP by BARRON,MAC(in the paint)",BSC 13-18 (+5),,"GOOD LAYUP by BARRON,MAC(in the paint)",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
12:10,"MISS 3PTR by DAVIS,JEROME",,,,,,,"MISS 3PTR by DAVIS,JEROME",1
--,,,,,"REBOUND DEF by HAYES,CONNER",,,"REBOUND DEF by HAYES,CONNER",1
12:03,"FOUL  by DONALDSON,BILL",,,,,,,"FOUL  by DONALDSON,BILL",1
12:03,,13,,19 (+6),"GOOD FT by MARTIN,SAM",BSC 13-19 (+6),,"GOOD FT by MARTIN,SAM",1
12:03,,13,,20 (+7),"GOOD FT by MARTIN,SAM",BSC 13-20 (+7),,"GOOD FT by MARTIN,SAM",1
12:03,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
12:03,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
12:03,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
12:03,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
12:03,,,,,"SUB OUT by MARTIN,SAM",,,"SUB OUT by MARTIN,SAM",1
12:03,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",1
12:03,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
12:03,,,,,"SUB OUT by HAYES,CONNER",,,"SUB OUT by HAYES,CONNER",1
11:59,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
11:46,"GOOD JUMPER by DALLAS,MICHAEL",15,,20 (+5),,HCM 15-20 (+5),,"GOOD JUMPER by DALLAS,MICHAEL",1
--,"ASSIST  by DONALDSON,BILL",,,,,,,"ASSIST  by DONALDSON,BILL",1
11:21,,15,,22 (+7),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 15-22 (+7),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
11:05,"GOOD LAYUP by DONALDSON,BILL(in the paint)",17,,22 (+5),,HCM 17-22 (+5),,"GOOD LAYUP by DONALDSON,BILL(in the paint)",1
--,"ASSIST  by DAVIS,JEROME",,,,,,,"ASSIST  by DAVIS,JEROME",1
10:49,,17,,25 (+8),"GOOD 3PTR by THOMAS,LARRY",BSC 17-25 (+8),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",1
10:31,"MISS 3PTR by DAVIS,JEROME",,,,,,,"MISS 3PTR by DAVIS,JEROME",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
10:20,"FOUL  by DAVIS,JEROME",,,,,,,"FOUL  by DAVIS,JEROME",1
10:20,,17,,26 (+9),"GOOD FT by THOM,IAN",BSC 17-26 (+9),,"GOOD FT by THOM,IAN",1
10:20,,17,,27 (+10),"GOOD FT by THOM,IAN",BSC 17-27 (+10),,"GOOD FT by THOM,IAN",1
10:20,"SUB IN by JOHNSON,CHARLIE",,,,,,,"SUB IN by JOHNSON,CHARLIE",1
10:20,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
10:20,"SUB IN by LAYSON,ALEX",,,,,,,"SUB IN by LAYSON,ALEX",1
10:20,"SUB OUT by POPOVICH,WYATT",,,,,,,"SUB OUT by POPOVICH,WYATT",1
10:20,"SUB OUT by DALLAS,MICHAEL",,,,,,,"SUB OUT by DALLAS,MICHAEL",1
10:20,"SUB OUT by DONALDSON,BILL",,,,,,,"SUB OUT by DONALDSON,BILL",1
10:11,"TURNOVER  by JOHNSON,CHARLIE",,,,,,,"TURNOVER  by JOHNSON,CHARLIE",1
10:09,,,,,"STEAL  by GALFSKY,ANDER",,,"STEAL  by GALFSKY,ANDER",1
10:04,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
10:04,"SUB IN by WASHINGTON,DANTAVIUS",,,,,,,"SUB IN by WASHINGTON,DANTAVIUS",1
10:04,"SUB OUT by JOHNSON,CHARLIE",,,,,,,"SUB OUT by JOHNSON,CHARLIE",1
10:02,"TURNOVER  by BERRY,RAHEEM",,,,,,,"TURNOVER  by BERRY,RAHEEM",1
09:51,,17,,29 (+12),"GOOD JUMPER by THOMAS,LARRY",BSC 17-29 (+12),,"GOOD JUMPER by THOMAS,LARRY",1
09:38,"GOOD JUMPER by WASHINGTON,DANTAVIUS",19,,29 (+10),,HCM 19-29 (+10),,"GOOD JUMPER by WASHINGTON,DANTAVIUS",1
--,"ASSIST  by ASHLEY,ANDRE",,,,,,,"ASSIST  by ASHLEY,ANDRE",1
09:13,"FOUL  by BERRY,RAHEEM",,,,,,,"FOUL  by BERRY,RAHEEM",1
09:13,,19,,30 (+11),"GOOD FT by THOM,IAN",BSC 19-30 (+11),,"GOOD FT by THOM,IAN",1
09:13,,19,,31 (+12),"GOOD FT by THOM,IAN",BSC 19-31 (+12),,"GOOD FT by THOM,IAN",1
09:13,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",1
--,"REBOUND DEF by BERRY,RAHEEM",,,,,,,"REBOUND DEF by BERRY,RAHEEM",1
09:02,,,,,"FOUL  by GALFSKY,ANDER",,,"FOUL  by GALFSKY,ANDER",1
09:02,"GOOD FT by LAYSON,ALEX",20,,31 (+11),,HCM 20-31 (+11),,"GOOD FT by LAYSON,ALEX",1
09:02,"GOOD FT by LAYSON,ALEX",21,,31 (+10),,HCM 21-31 (+10),,"GOOD FT by LAYSON,ALEX",1
