Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
14:58,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
14:58,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
14:58,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
14:35,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",1
14:35,"BLOCK  by DAVIS,ALEX",,,,,,,"BLOCK  by DAVIS,ALEX",1
--,,,,,"REBOUND OFF by HARDIMAN,BEN",,,"REBOUND OFF by HARDIMAN,BEN",1
14:34,"FOUL  by SIGRIST,CONNOR",,,,,,,"FOUL  by SIGRIST,CONNOR",1
14:34,,5,,8 (+3),"GOOD FT by HARDIMAN,BEN",BSC 5-8 (+3),,"GOOD FT by HARDIMAN,BEN",1
14:34,,5,,9 (+4),"GOOD FT by HARDIMAN,BEN",BSC 5-9 (+4),,"GOOD FT by HARDIMAN,BEN",1
14:34,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
14:34,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
14:34,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
14:34,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
14:34,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
14:34,"SUB OUT by SIGRIST,CONNOR",,,,,,,"SUB OUT by SIGRIST,CONNOR",1
14:10,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
14:09,"GOOD JUMPER by WARDLAW,CHASE",7,,9 (+2),,OUM 7-9 (+2),,"GOOD JUMPER by WARDLAW,CHASE",1
--,"ASSIST  by BATES,ROMELLO",,,,,,,"ASSIST  by BATES,ROMELLO",1
13:48,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",1
--,"REBOUND DEF by WARDLAW,CHASE",,,,,,,"REBOUND DEF by WARDLAW,CHASE",1
13:15,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",1
--,"REBOUND OFF by WARDLAW,CHASE",,,,,,,"REBOUND OFF by WARDLAW,CHASE",1
13:12,"GOOD TIPIN by WARDLAW,CHASE(in the paint)",9,,9,,OUM 9-9 (0),,"GOOD TIPIN by WARDLAW,CHASE(in the paint)",1
13:06,"FOUL  by WARDLAW,CHASE",,,,,,,"FOUL  by WARDLAW,CHASE",1
12:37,,9,,11 (+2),"GOOD LAYUP by HARDIMAN,BEN(in the paint)",BSC 9-11 (+2),,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
12:37,"FOUL  by KINNEY,JORDAN",,,,,,,"FOUL  by KINNEY,JORDAN",1
12:37,,,,,"MISS FT by HARDIMAN,BEN",,,"MISS FT by HARDIMAN,BEN",1
--,"REBOUND DEF by BATES,ROMELLO",,,,,,,"REBOUND DEF by BATES,ROMELLO",1
12:27,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by CRAIN,JOHN",,,"REBOUND DEF by CRAIN,JOHN",1
12:10,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",1
--,,,,,"REBOUND OFF by HARDIMAN,BEN",,,"REBOUND OFF by HARDIMAN,BEN",1
12:05,,9,,13 (+4),"GOOD LAYUP by HARDIMAN,BEN(in the paint)",BSC 9-13 (+4),,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",1
11:53,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",1
--,"REBOUND OFF by KINNEY,JORDAN",,,,,,,"REBOUND OFF by KINNEY,JORDAN",1
11:31,"MISS 3PTR by PATRICK,DREW",,,,,,,"MISS 3PTR by PATRICK,DREW",1
--,,,,,"REBOUND DEF by HARDIMAN,BEN",,,"REBOUND DEF by HARDIMAN,BEN",1
11:23,"FOUL  by BATES,ROMELLO",,,,,,,"FOUL  by BATES,ROMELLO",1
11:23,,,,,"MISS FT by MCLEAN,JAMES",,,"MISS FT by MCLEAN,JAMES",1
--,"REBOUND DEF by SMITH,CONNOR",,,,,,,"REBOUND DEF by SMITH,CONNOR",1
11:23,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
11:23,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
11:23,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",1
11:23,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
11:23,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
11:23,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
11:23,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
11:23,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
11:23,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
11:23,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
11:06,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
11:06,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
11:06,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
11:03,"MISS JUMPER by BATES,ROMELLO",,,,,,,"MISS JUMPER by BATES,ROMELLO",1
11:03,,,,,"BLOCK  by THOMAS,LARRY",,,"BLOCK  by THOMAS,LARRY",1
--,"REBOUND OFF by SMITH,CONNOR",,,,,,,"REBOUND OFF by SMITH,CONNOR",1
10:59,"MISS JUMPER by SMITH,CONNOR",,,,,,,"MISS JUMPER by SMITH,CONNOR",1
10:59,,,,,"BLOCK  by DENEKA,HARRISON",,,"BLOCK  by DENEKA,HARRISON",1
--,"REBOUND OFF by BATES,ROMELLO",,,,,,,"REBOUND OFF by BATES,ROMELLO",1
10:52,"GOOD LAYUP by BATES,ROMELLO(in the paint)",11,,13 (+2),,OUM 11-13 (+2),,"GOOD LAYUP by BATES,ROMELLO(in the paint)",1
10:52,,,,,"FOUL  by AVERY,ALEX",,,"FOUL  by AVERY,ALEX",1
10:52,"MISS FT by BATES,ROMELLO",,,,,,,"MISS FT by BATES,ROMELLO",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
10:46,,,,,"MISS JUMPER by THOMAS,LARRY",,,"MISS JUMPER by THOMAS,LARRY",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
10:41,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
10:41,"GOOD FT by PATRICK,DREW",12,,13 (+1),,OUM 12-13 (+1),,"GOOD FT by PATRICK,DREW",1
10:41,"GOOD FT by PATRICK,DREW",13,,13,,OUM 13-13 (0),,"GOOD FT by PATRICK,DREW",1
10:25,"GOOD LAYUP by SMITH,CONNOR(in the paint)",15 (+2),,13,,OUM 15-13 (-2),,"GOOD LAYUP by SMITH,CONNOR(in the paint)",1
10:04,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND DEF by BATES,ROMELLO",,,,,,,"REBOUND DEF by BATES,ROMELLO",1
09:58,"MISS LAYUP by BATES,ROMELLO",,,,,,,"MISS LAYUP by BATES,ROMELLO",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
09:53,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
09:25,"GOOD JUMPER by KINNEY,JORDAN",17 (+4),,13,,OUM 17-13 (-4),,"GOOD JUMPER by KINNEY,JORDAN",1
09:04,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",1
09:04,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",1
09:04,,,,,"FOUL  by CRAIN,JOHN",,,"FOUL  by CRAIN,JOHN",1
09:04,"SUB IN by WARDLAW,CHASE",,,,,,,"SUB IN by WARDLAW,CHASE",1
09:04,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
09:04,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
09:04,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
08:54,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
08:54,"GOOD FT by BATES,ROMELLO",18 (+5),,13,,OUM 18-13 (-5),,"GOOD FT by BATES,ROMELLO",1
08:54,"GOOD FT by BATES,ROMELLO",19 (+6),,13,,OUM 19-13 (-6),,"GOOD FT by BATES,ROMELLO",1
08:42,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",1
08:40,"STEAL  by DAVIS,ALEX",,,,,,,"STEAL  by DAVIS,ALEX",1
08:37,,,,,"FOUL  by AVERY,ALEX",,,"FOUL  by AVERY,ALEX",1
08:37,"GOOD FT by PATRICK,DREW",20 (+7),,13,,OUM 20-13 (-7),,"GOOD FT by PATRICK,DREW",1
08:37,"GOOD FT by PATRICK,DREW",21 (+8),,13,,OUM 21-13 (-8),,"GOOD FT by PATRICK,DREW",1
08:37,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
08:37,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
08:25,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
08:11,"GOOD LAYUP by DAVIS,ALEX(in the paint)",23 (+10),,13,,OUM 23-13 (-10),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
--,"ASSIST  by WARDLAW,CHASE",,,,,,,"ASSIST  by WARDLAW,CHASE",1
07:56,,,,,"MISS LAYUP by HARDIMAN,BEN",,,"MISS LAYUP by HARDIMAN,BEN",1
07:56,"BLOCK  by LAWRENCE,CHRIS",,,,,,,"BLOCK  by LAWRENCE,CHRIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:56,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
07:56,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
07:56,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
07:56,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
07:56,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",1
07:56,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
07:47,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
07:47,,23 (+9),,14,"GOOD FT by THOMAS,LARRY",BSC 23-14 (-9),,"GOOD FT by THOMAS,LARRY",1
07:47,,23 (+8),,15,"GOOD FT by THOMAS,LARRY",BSC 23-15 (-8),,"GOOD FT by THOMAS,LARRY",1
07:47,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
07:47,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
07:36,"MISS JUMPER by DAVIS,ALEX",,,,,,,"MISS JUMPER by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
07:20,,23 (+6),,17,"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 23-17 (-6),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
06:58,"TURNOVER  by SMITH,CONNOR",,,,,,,"TURNOVER  by SMITH,CONNOR",1
06:57,,,,,"STEAL  by LEWIS,EVAN",,,"STEAL  by LEWIS,EVAN",1
06:49,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",1
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",1
06:46,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:45,"FOUL  by WARDLAW,CHASE",,,,,,,"FOUL  by WARDLAW,CHASE",1
06:45,,23 (+5),,18,"GOOD FT by HARDIMAN,BEN",BSC 23-18 (-5),,"GOOD FT by HARDIMAN,BEN",1
06:45,,,,,"MISS FT by HARDIMAN,BEN",,,"MISS FT by HARDIMAN,BEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:45,"SUB IN by KINNEY,JORDAN",,,,,,,"SUB IN by KINNEY,JORDAN",1
06:45,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",1
06:20,"GOOD 3PTR by SMITH,CONNOR",26 (+8),,18,,OUM 26-18 (-8),,"GOOD 3PTR by SMITH,CONNOR",1
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",1
05:59,,26 (+6),,20,"GOOD LAYUP by THOM,IAN(in the paint)",BSC 26-20 (-6),,"GOOD LAYUP by THOM,IAN(in the paint)",1
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",1
05:43,"FOUL  by DAVIS,ALEX",,,,,,,"FOUL  by DAVIS,ALEX",1
05:43,"TURNOVER  by DAVIS,ALEX",,,,,,,"TURNOVER  by DAVIS,ALEX",1
05:43,"SUB IN by PATRICK,DREW",,,,,,,"SUB IN by PATRICK,DREW",1
05:43,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
05:30,"FOUL  by PATRICK,DREW",,,,,,,"FOUL  by PATRICK,DREW",1
05:30,,,,,"MISS FT by LEWIS,EVAN",,,"MISS FT by LEWIS,EVAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:30,,26 (+5),,21,"GOOD FT by LEWIS,EVAN",BSC 26-21 (-5),,"GOOD FT by LEWIS,EVAN",1
05:30,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
05:30,"SUB OUT by PATRICK,DREW",,,,,,,"SUB OUT by PATRICK,DREW",1
05:30,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
05:30,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
05:19,"TURNOVER  by BATES,ROMELLO",,,,,,,"TURNOVER  by BATES,ROMELLO",1
05:09,"FOUL  by ANDINO,GEORGE",,,,,,,"FOUL  by ANDINO,GEORGE",1
05:09,,26 (+4),,22,"GOOD FT by MCLEAN,JAMES",BSC 26-22 (-4),,"GOOD FT by MCLEAN,JAMES",1
05:09,,26 (+3),,23,"GOOD FT by MCLEAN,JAMES",BSC 26-23 (-3),,"GOOD FT by MCLEAN,JAMES",1
04:50,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",28 (+5),,23,,OUM 28-23 (-5),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
04:40,"FOUL  by BATES,ROMELLO",,,,,,,"FOUL  by BATES,ROMELLO",1
04:40,,28 (+4),,24,"GOOD FT by WELCH,ROSS",BSC 28-24 (-4),,"GOOD FT by WELCH,ROSS",1
04:40,,28 (+3),,25,"GOOD FT by WELCH,ROSS",BSC 28-25 (-3),,"GOOD FT by WELCH,ROSS",1
04:40,"SUB IN by DAVIS,ALEX",,,,,,,"SUB IN by DAVIS,ALEX",1
04:40,"SUB OUT by BATES,ROMELLO",,,,,,,"SUB OUT by BATES,ROMELLO",1
04:40,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",1
04:40,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
04:22,,,,,"FOUL  by BARRON,MAC",,,"FOUL  by BARRON,MAC",1
04:22,"GOOD FT by KINNEY,JORDAN",29 (+4),,25,,OUM 29-25 (-4),,"GOOD FT by KINNEY,JORDAN",1
04:22,"GOOD FT by KINNEY,JORDAN",30 (+5),,25,,OUM 30-25 (-5),,"GOOD FT by KINNEY,JORDAN",1
04:05,,30 (+3),,27,"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 30-27 (-3),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
03:52,"GOOD 3PTR by LAWRENCE,CHRIS",33 (+6),,27,,OUM 33-27 (-6),,"GOOD 3PTR by LAWRENCE,CHRIS",1
--,"ASSIST  by DAVIS,ALEX",,,,,,,"ASSIST  by DAVIS,ALEX",1
03:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:27,,,,,"TURNOVER  by DENEKA,HARRISON",,,"TURNOVER  by DENEKA,HARRISON",1
03:25,"STEAL  by LAWRENCE,CHRIS",,,,,,,"STEAL  by LAWRENCE,CHRIS",1
03:24,"GOOD LAYUP by LAWRENCE,CHRIS(fastbreak)(in the paint)",35 (+8),,27,,OUM 35-27 (-8),,"GOOD LAYUP by LAWRENCE,CHRIS(fastbreak)(in the paint)",1
02:55,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND OFF by LEWIS,EVAN",,,"REBOUND OFF by LEWIS,EVAN",1
02:52,,35 (+6),,29,"GOOD LAYUP by LEWIS,EVAN(in the paint)",BSC 35-29 (-6),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
02:32,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",37 (+8),,29,,OUM 37-29 (-8),,"GOOD LAYUP by KINNEY,JORDAN(in the paint)",1
--,"ASSIST  by LAWRENCE,CHRIS",,,,,,,"ASSIST  by LAWRENCE,CHRIS",1
02:17,,37 (+5),,32,"GOOD 3PTR by WELCH,ROSS",BSC 37-32 (-5),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by DENEKA,HARRISON",,,"ASSIST  by DENEKA,HARRISON",1
02:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
02:09,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
02:09,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
02:09,,,,,"SUB IN by HARDIMAN,BEN",,,"SUB IN by HARDIMAN,BEN",1
02:09,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",1
02:09,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
02:09,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
01:53,"MISS JUMPER by KINNEY,JORDAN",,,,,,,"MISS JUMPER by KINNEY,JORDAN",1
--,"REBOUND OFF by DAVIS,ALEX",,,,,,,"REBOUND OFF by DAVIS,ALEX",1
01:52,"GOOD LAYUP by DAVIS,ALEX(in the paint)",39 (+7),,32,,OUM 39-32 (-7),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
01:29,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
01:28,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",1
01:22,"GOOD 3PTR by LAWRENCE,CHRIS",42 (+10),,32,,OUM 42-32 (-10),,"GOOD 3PTR by LAWRENCE,CHRIS",1
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",1
01:11,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by DAVIS,ALEX",,,,,,,"REBOUND DEF by DAVIS,ALEX",1
01:03,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",44 (+12),,32,,OUM 44-32 (-12),,"GOOD LAYUP by LAWRENCE,CHRIS(in the paint)",1
--,"ASSIST  by ANDINO,GEORGE",,,,,,,"ASSIST  by ANDINO,GEORGE",1
00:38,,,,,"MISS LAYUP by LEWIS,EVAN",,,"MISS LAYUP by LEWIS,EVAN",1
--,"REBOUND DEF by LAWRENCE,CHRIS",,,,,,,"REBOUND DEF by LAWRENCE,CHRIS",1
