Time Remaining,WESM1415,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
15:02,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
15:02,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
15:02,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
14:38,,,,,"MISS 3PTR by HOLLE,MASON",,,"MISS 3PTR by HOLLE,MASON",1
--,"REBOUND DEF by MACKEY,JACK",,,,,,,"REBOUND DEF by MACKEY,JACK",1
14:27,"MISS 3PTR by RAFFERTY,HARRY",,,,,,,"MISS 3PTR by RAFFERTY,HARRY",1
--,"REBOUND OFF by EPPS,RASHID",,,,,,,"REBOUND OFF by EPPS,RASHID",1
14:22,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
14:22,"SUB IN by SEARS,JORDAN",,,,,,,"SUB IN by SEARS,JORDAN",1
14:22,"SUB OUT by MACKEY,JACK",,,,,,,"SUB OUT by MACKEY,JACK",1
14:19,"MISS LAYUP by TUGMAN,CHRIS",,,,,,,"MISS LAYUP by TUGMAN,CHRIS",1
--,,,,,"REBOUND DEF by CRAIN,JOHN",,,"REBOUND DEF by CRAIN,JOHN",1
14:09,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",1
13:56,,,,,"FOUL  by HARDIMAN,BEN",,,"FOUL  by HARDIMAN,BEN",1
13:56,"MISS FT by TUGMAN,CHRIS",,,,,,,"MISS FT by TUGMAN,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:56,"GOOD FT by TUGMAN,CHRIS",13 (+9),,4,,WESM1415 13-4 (-9),,"GOOD FT by TUGMAN,CHRIS",1
13:56,"SUB IN by DAVIS,BJ",,,,,,,"SUB IN by DAVIS,BJ",1
13:56,"SUB IN by KUO,JOSEPH",,,,,,,"SUB IN by KUO,JOSEPH",1
13:56,"SUB OUT by RAFFERTY,HARRY",,,,,,,"SUB OUT by RAFFERTY,HARRY",1
13:56,"SUB OUT by EPPS,RASHID",,,,,,,"SUB OUT by EPPS,RASHID",1
13:46,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
13:46,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
13:28,,,,,"FOUL  by LEWIS,EVAN",,,"FOUL  by LEWIS,EVAN",1
13:26,"GOOD JUMPER by EDMONDS,JOE",15 (+11),,4,,WESM1415 15-4 (-11),,"GOOD JUMPER by EDMONDS,JOE",1
--,"ASSIST  by KUO,JOSEPH",,,,,,,"ASSIST  by KUO,JOSEPH",1
13:19,,,,,"MISS 3PTR by MCLEAN,JAMES",,,"MISS 3PTR by MCLEAN,JAMES",1
--,"REBOUND DEF by DAVIS,BJ",,,,,,,"REBOUND DEF by DAVIS,BJ",1
13:05,"MISS JUMPER by KUO,JOSEPH",,,,,,,"MISS JUMPER by KUO,JOSEPH",1
--,,,,,"REBOUND DEF by MCLEAN,JAMES",,,"REBOUND DEF by MCLEAN,JAMES",1
12:40,,15 (+9),,6,"GOOD LAYUP by CRAIN,JOHN(fastbreak)(in the paint)",BSC 15-6 (-9),,"GOOD LAYUP by CRAIN,JOHN(fastbreak)(in the paint)",1
12:27,"SUB IN by GALLIVAN,TIM",,,,,,,"SUB IN by GALLIVAN,TIM",1
12:27,"SUB IN by MACKEY,JACK",,,,,,,"SUB IN by MACKEY,JACK",1
12:27,"SUB OUT by TUGMAN,CHRIS",,,,,,,"SUB OUT by TUGMAN,CHRIS",1
12:27,"SUB OUT by SEARS,JORDAN",,,,,,,"SUB OUT by SEARS,JORDAN",1
12:27,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
12:27,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
12:27,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
12:27,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
12:27,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
12:27,,,,,"SUB OUT by HARDIMAN,BEN",,,"SUB OUT by HARDIMAN,BEN",1
12:27,,,,,"SUB OUT by CRAIN,JOHN",,,"SUB OUT by CRAIN,JOHN",1
12:27,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
12:27,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
12:27,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
12:19,"MISS LAYUP by GALLIVAN,TIM",,,,,,,"MISS LAYUP by GALLIVAN,TIM",1
--,"REBOUND OFF by KUO,JOSEPH",,,,,,,"REBOUND OFF by KUO,JOSEPH",1
12:15,"MISS LAYUP by KUO,JOSEPH",,,,,,,"MISS LAYUP by KUO,JOSEPH",1
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",1
11:57,"FOUL  by KUO,JOSEPH",,,,,,,"FOUL  by KUO,JOSEPH",1
11:57,,15 (+8),,7,"GOOD FT by AVERY,ALEX",BSC 15-7 (-8),,"GOOD FT by AVERY,ALEX",1
11:57,,15 (+7),,8,"GOOD FT by AVERY,ALEX",BSC 15-8 (-7),,"GOOD FT by AVERY,ALEX",1
11:44,"GOOD 3PTR by MACKEY,JACK",18 (+10),,8,,WESM1415 18-8 (-10),,"GOOD 3PTR by MACKEY,JACK",1
--,"ASSIST  by EDMONDS,JOE",,,,,,,"ASSIST  by EDMONDS,JOE",1
11:23,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
11:23,"SUB IN by RAFFERTY,HARRY",,,,,,,"SUB IN by RAFFERTY,HARRY",1
11:23,"SUB IN by EPPS,RASHID",,,,,,,"SUB IN by EPPS,RASHID",1
11:23,"SUB OUT by GALLIVAN,TIM",,,,,,,"SUB OUT by GALLIVAN,TIM",1
11:23,"SUB OUT by EDMONDS,JOE",,,,,,,"SUB OUT by EDMONDS,JOE",1
10:57,"MISS 3PTR by DAVIS,BJ",,,,,,,"MISS 3PTR by DAVIS,BJ",1
--,,,,,"REBOUND DEF by GALFSKY,ANDER",,,"REBOUND DEF by GALFSKY,ANDER",1
10:46,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
10:43,"FOUL  by KUO,JOSEPH",,,,,,,"FOUL  by KUO,JOSEPH",1
10:43,,18 (+9),,9,"GOOD FT by THOMAS,LARRY",BSC 18-9 (-9),,"GOOD FT by THOMAS,LARRY",1
10:43,,,,,"MISS FT by THOMAS,LARRY",,,"MISS FT by THOMAS,LARRY",1
--,"REBOUND DEF by MACKEY,JACK",,,,,,,"REBOUND DEF by MACKEY,JACK",1
10:43,"SUB IN by TUGMAN,CHRIS",,,,,,,"SUB IN by TUGMAN,CHRIS",1
10:43,"SUB OUT by KUO,JOSEPH",,,,,,,"SUB OUT by KUO,JOSEPH",1
10:28,"MISS JUMPER by EPPS,RASHID",,,,,,,"MISS JUMPER by EPPS,RASHID",1
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",1
10:21,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",1
10:13,"GOOD LAYUP by DAVIS,BJ(in the paint)",20 (+11),,9,,WESM1415 20-9 (-11),,"GOOD LAYUP by DAVIS,BJ(in the paint)",1
--,"ASSIST  by MACKEY,JACK",,,,,,,"ASSIST  by MACKEY,JACK",1
09:59,"FOUL  by TUGMAN,CHRIS",,,,,,,"FOUL  by TUGMAN,CHRIS",1
09:48,,20 (+9),,11,"GOOD JUMPER by THOMAS,LARRY",BSC 20-11 (-9),,"GOOD JUMPER by THOMAS,LARRY",1
09:26,"GOOD LAYUP by TUGMAN,CHRIS(in the paint)",22 (+11),,11,,WESM1415 22-11 (-11),,"GOOD LAYUP by TUGMAN,CHRIS(in the paint)",1
--,"ASSIST  by MACKEY,JACK",,,,,,,"ASSIST  by MACKEY,JACK",1
09:14,,22 (+9),,13,"GOOD JUMPER by THOMAS,LARRY",BSC 22-13 (-9),,"GOOD JUMPER by THOMAS,LARRY",1
--,,,,,"ASSIST  by GALFSKY,ANDER",,,"ASSIST  by GALFSKY,ANDER",1
08:49,"MISS LAYUP by EPPS,RASHID",,,,,,,"MISS LAYUP by EPPS,RASHID",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
08:38,,22 (+6),,16,"GOOD 3PTR by GALFSKY,ANDER",BSC 22-16 (-6),,"GOOD 3PTR by GALFSKY,ANDER",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
08:34,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
08:34,"SUB IN by GALLIVAN,TIM",,,,,,,"SUB IN by GALLIVAN,TIM",1
08:34,"SUB IN by EDMONDS,JOE",,,,,,,"SUB IN by EDMONDS,JOE",1
08:34,"SUB OUT by TUGMAN,CHRIS",,,,,,,"SUB OUT by TUGMAN,CHRIS",1
08:34,"SUB OUT by DAVIS,BJ",,,,,,,"SUB OUT by DAVIS,BJ",1
08:27,"GOOD LAYUP by EPPS,RASHID(in the paint)",24 (+8),,16,,WESM1415 24-16 (-8),,"GOOD LAYUP by EPPS,RASHID(in the paint)",1
--,"ASSIST  by MACKEY,JACK",,,,,,,"ASSIST  by MACKEY,JACK",1
08:09,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",1
08:00,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
07:54,"GOOD FT by GALLIVAN,TIM",25 (+9),,16,,WESM1415 25-16 (-9),,"GOOD FT by GALLIVAN,TIM",1
07:54,"GOOD FT by GALLIVAN,TIM",26 (+10),,16,,WESM1415 26-16 (-10),,"GOOD FT by GALLIVAN,TIM",1
07:40,,26 (+8),,18,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 26-18 (-8),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
07:37,"FOUL  by GALLIVAN,TIM",,,,,,,"FOUL  by GALLIVAN,TIM",1
07:37,,,,,"MISS FT by AVERY,ALEX",,,"MISS FT by AVERY,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:31,,,,,"MISS LAYUP by MCLEAN,JAMES",,,"MISS LAYUP by MCLEAN,JAMES",1
07:31,"BLOCK  by MACKEY,JACK",,,,,,,"BLOCK  by MACKEY,JACK",1
--,"REBOUND DEF by MACKEY,JACK",,,,,,,"REBOUND DEF by MACKEY,JACK",1
07:19,,26 (+5),,21,"GOOD 3PTR by WELCH,ROSS",BSC 26-21 (-5),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by THOM,IAN",,,"ASSIST  by THOM,IAN",1
07:05,"GOOD LAYUP by GALLIVAN,TIM(in the paint)",28 (+7),,21,,WESM1415 28-21 (-7),,"GOOD LAYUP by GALLIVAN,TIM(in the paint)",1
06:39,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by EDMONDS,JOE",,,,,,,"REBOUND DEF by EDMONDS,JOE",1
06:24,"MISS 3PTR by RAFFERTY,HARRY",,,,,,,"MISS 3PTR by RAFFERTY,HARRY",1
--,"REBOUND OFF by MACKEY,JACK",,,,,,,"REBOUND OFF by MACKEY,JACK",1
06:12,"GOOD 3PTR by RAFFERTY,HARRY",31 (+10),,21,,WESM1415 31-21 (-10),,"GOOD 3PTR by RAFFERTY,HARRY",1
--,"ASSIST  by MACKEY,JACK",,,,,,,"ASSIST  by MACKEY,JACK",1
05:51,,,,,"MISS LAYUP by WELCH,ROSS",,,"MISS LAYUP by WELCH,ROSS",1
--,"REBOUND DEF by GALLIVAN,TIM",,,,,,,"REBOUND DEF by GALLIVAN,TIM",1
05:36,"GOOD LAYUP by EPPS,RASHID(in the paint)",33 (+12),,21,,WESM1415 33-21 (-12),,"GOOD LAYUP by EPPS,RASHID(in the paint)",1
--,"ASSIST  by RAFFERTY,HARRY",,,,,,,"ASSIST  by RAFFERTY,HARRY",1
05:33,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
05:33,"SUB IN by TUGMAN,CHRIS",,,,,,,"SUB IN by TUGMAN,CHRIS",1
05:33,"SUB IN by SEARS,JORDAN",,,,,,,"SUB IN by SEARS,JORDAN",1
05:33,"SUB IN by DAVIS,BJ",,,,,,,"SUB IN by DAVIS,BJ",1
05:33,"SUB OUT by EDMONDS,JOE",,,,,,,"SUB OUT by EDMONDS,JOE",1
05:33,"SUB OUT by MACKEY,JACK",,,,,,,"SUB OUT by MACKEY,JACK",1
05:33,"SUB OUT by RAFFERTY,HARRY",,,,,,,"SUB OUT by RAFFERTY,HARRY",1
05:33,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
05:33,,,,,"SUB IN by HOLLE,MASON",,,"SUB IN by HOLLE,MASON",1
05:33,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
05:33,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
05:33,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
05:33,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
05:25,,,,,"MISS JUMPER by BARRON,MAC",,,"MISS JUMPER by BARRON,MAC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:19,"GOOD LAYUP by DAVIS,BJ(in the paint)",35 (+14),,21,,WESM1415 35-21 (-14),,"GOOD LAYUP by DAVIS,BJ(in the paint)",1
--,"ASSIST  by EDMONDS,JOE",,,,,,,"ASSIST  by EDMONDS,JOE",1
05:08,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
05:00,,,,,"SUB IN by BARRON,MAC",,,"SUB IN by BARRON,MAC",1
04:48,,,,,"MISS 3PTR by HOLLE,MASON",,,"MISS 3PTR by HOLLE,MASON",1
--,"REBOUND DEF by DAVIS,BJ",,,,,,,"REBOUND DEF by DAVIS,BJ",1
04:39,"MISS 3PTR by SEARS,JORDAN",,,,,,,"MISS 3PTR by SEARS,JORDAN",1
04:39,,,,,"BLOCK  by HOLLE,MASON",,,"BLOCK  by HOLLE,MASON",1
--,"REBOUND OFF by EPPS,RASHID",,,,,,,"REBOUND OFF by EPPS,RASHID",1
04:28,,,,,"FOUL  by BARRON,MAC",,,"FOUL  by BARRON,MAC",1
04:28,"GOOD FT by SEARS,JORDAN",36 (+15),,21,,WESM1415 36-21 (-15),,"GOOD FT by SEARS,JORDAN",1
04:28,"GOOD FT by SEARS,JORDAN",37 (+16),,21,,WESM1415 37-21 (-16),,"GOOD FT by SEARS,JORDAN",1
04:16,,,,,"TURNOVER  by LEWIS,EVAN",,,"TURNOVER  by LEWIS,EVAN",1
04:16,"SUB IN by EDMONDS,JOE",,,,,,,"SUB IN by EDMONDS,JOE",1
04:16,"SUB OUT by GALLIVAN,TIM",,,,,,,"SUB OUT by GALLIVAN,TIM",1
04:10,"GOOD LAYUP by SEARS,JORDAN(in the paint)",39 (+18),,21,,WESM1415 39-21 (-18),,"GOOD LAYUP by SEARS,JORDAN(in the paint)",1
03:50,,39 (+15),,24,"GOOD 3PTR by HOLLE,MASON",BSC 39-24 (-15),,"GOOD 3PTR by HOLLE,MASON",1
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",1
03:37,,,,,"FOUL  by HOLLE,MASON",,,"FOUL  by HOLLE,MASON",1
03:37,"GOOD FT by DAVIS,BJ",40 (+16),,24,,WESM1415 40-24 (-16),,"GOOD FT by DAVIS,BJ",1
03:37,"GOOD FT by DAVIS,BJ",41 (+17),,24,,WESM1415 41-24 (-17),,"GOOD FT by DAVIS,BJ",1
03:37,"SUB IN by MACKEY,JACK",,,,,,,"SUB IN by MACKEY,JACK",1
03:37,"SUB IN by RAFFERTY,HARRY",,,,,,,"SUB IN by RAFFERTY,HARRY",1
03:37,"SUB OUT by EDMONDS,JOE",,,,,,,"SUB OUT by EDMONDS,JOE",1
03:37,"SUB OUT by SEARS,JORDAN",,,,,,,"SUB OUT by SEARS,JORDAN",1
03:37,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
03:37,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
03:37,,,,,"SUB IN by CRAIN,JOHN",,,"SUB IN by CRAIN,JOHN",1
03:37,,,,,"SUB IN by GALFSKY,ANDER",,,"SUB IN by GALFSKY,ANDER",1
03:37,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
03:37,,,,,"SUB OUT by BARRON,MAC",,,"SUB OUT by BARRON,MAC",1
03:37,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
03:37,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
03:37,,,,,"SUB OUT by HOLLE,MASON",,,"SUB OUT by HOLLE,MASON",1
03:37,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
03:28,,41 (+14),,27,"GOOD 3PTR by THOMAS,LARRY",BSC 41-27 (-14),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
03:05,"MISS LAYUP by EPPS,RASHID",,,,,,,"MISS LAYUP by EPPS,RASHID",1
--,,,,,"REBOUND DEF by AVERY,ALEX",,,"REBOUND DEF by AVERY,ALEX",1
02:51,,41 (+12),,29,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 41-29 (-12),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
02:29,"MISS 3PTR by RAFFERTY,HARRY",,,,,,,"MISS 3PTR by RAFFERTY,HARRY",1
--,,,,,"REBOUND DEF by GALFSKY,ANDER",,,"REBOUND DEF by GALFSKY,ANDER",1
02:11,"FOUL  by TUGMAN,CHRIS",,,,,,,"FOUL  by TUGMAN,CHRIS",1
02:11,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
02:11,"SUB IN by GALLIVAN,TIM",,,,,,,"SUB IN by GALLIVAN,TIM",1
02:11,"SUB OUT by TUGMAN,CHRIS",,,,,,,"SUB OUT by TUGMAN,CHRIS",1
02:06,,41 (+10),,31,"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 41-31 (-10),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,,,,,"ASSIST  by WELCH,ROSS",,,"ASSIST  by WELCH,ROSS",1
01:45,"TURNOVER  by MACKEY,JACK",,,,,,,"TURNOVER  by MACKEY,JACK",1
01:43,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
01:29,"FOUL  by GALLIVAN,TIM",,,,,,,"FOUL  by GALLIVAN,TIM",1
01:29,,41 (+9),,32,"GOOD FT by AVERY,ALEX",BSC 41-32 (-9),,"GOOD FT by AVERY,ALEX",1
01:29,,,,,"MISS FT by AVERY,ALEX",,,"MISS FT by AVERY,ALEX",1
--,"REBOUND DEF by MACKEY,JACK",,,,,,,"REBOUND DEF by MACKEY,JACK",1
01:29,"SUB IN by TUGMAN,CHRIS",,,,,,,"SUB IN by TUGMAN,CHRIS",1
01:29,"SUB OUT by GALLIVAN,TIM",,,,,,,"SUB OUT by GALLIVAN,TIM",1
01:29,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
01:29,,,,,"SUB OUT by GALFSKY,ANDER",,,"SUB OUT by GALFSKY,ANDER",1
01:22,"GOOD LAYUP by EPPS,RASHID(in the paint)",43 (+11),,32,,WESM1415 43-32 (-11),,"GOOD LAYUP by EPPS,RASHID(in the paint)",1
01:07,,,,,"MISS 3PTR by CRAIN,JOHN",,,"MISS 3PTR by CRAIN,JOHN",1
--,"REBOUND DEF by MACKEY,JACK",,,,,,,"REBOUND DEF by MACKEY,JACK",1
01:00,"MISS LAYUP by RAFFERTY,HARRY",,,,,,,"MISS LAYUP by RAFFERTY,HARRY",1
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1
00:52,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND DEF by RAFFERTY,HARRY",,,,,,,"REBOUND DEF by RAFFERTY,HARRY",1
00:37,"MISS LAYUP by TUGMAN,CHRIS",,,,,,,"MISS LAYUP by TUGMAN,CHRIS",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
00:29,,43 (+8),,35,"GOOD 3PTR by WELCH,ROSS",BSC 43-35 (-8),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
00:01,"GOOD JUMPER by MACKEY,JACK",45 (+10),,35,,WESM1415 45-35 (-10),,"GOOD JUMPER by MACKEY,JACK",1
--,"ASSIST  by TUGMAN,CHRIS",,,,,,,"ASSIST  by TUGMAN,CHRIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:39,"GOOD 3PTR by MACKEY,JACK",48 (+13),,35,,WESM1415 48-35 (-13),,"GOOD 3PTR by MACKEY,JACK",2
--,"ASSIST  by RAFFERTY,HARRY",,,,,,,"ASSIST  by RAFFERTY,HARRY",2
19:18,,,,,"MISS JUMPER by WELCH,ROSS",,,"MISS JUMPER by WELCH,ROSS",2
--,"REBOUND DEF by EPPS,RASHID",,,,,,,"REBOUND DEF by EPPS,RASHID",2
18:58,"MISS 3PTR by DAVIS,BJ",,,,,,,"MISS 3PTR by DAVIS,BJ",2
--,"REBOUND OFF by EPPS,RASHID",,,,,,,"REBOUND OFF by EPPS,RASHID",2
18:53,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",2
18:37,"MISS JUMPER by KUO,JOSEPH",,,,,,,"MISS JUMPER by KUO,JOSEPH",2
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",2
