Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",1
16:28,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
16:27,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",1
16:18,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
16:03,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:02,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
16:02,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
15:48,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
15:47,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
15:41,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
15:41,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
15:41,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
15:31,,,,,"MISS 3PTR by COLLINS,LUKE",,,"MISS 3PTR by COLLINS,LUKE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
15:03,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND OFF by LEWIS,EVAN",,,,,,,"REBOUND OFF by LEWIS,EVAN",1
14:51,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",1
14:51,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
14:51,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
14:51,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",1
14:51,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
14:51,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
14:51,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
14:29,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
14:29,"BLOCK  by THOMAS,LARRY",,,,,,,"BLOCK  by THOMAS,LARRY",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
14:24,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
14:24,,,,,"STEAL  by COLLINS,LUKE",,,"STEAL  by COLLINS,LUKE",1
14:24,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
14:24,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
14:05,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
13:52,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",1
--,,,,,"REBOUND OFF by MILLER,DREW",,,"REBOUND OFF by MILLER,DREW",1
13:31,,,,,"MISS JUMPER by LIVSEY,GEOFF",,,"MISS JUMPER by LIVSEY,GEOFF",1
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",1
13:14,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",1
--,,,,,"REBOUND DEF by COLLINS,LUKE",,,"REBOUND DEF by COLLINS,LUKE",1
13:08,,6,,10 (+4),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 6-10 (-4),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
12:42,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
12:18,,,,,"TURNOVER  by MILLER,DREW",,,"TURNOVER  by MILLER,DREW",1
12:18,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
12:18,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
12:18,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
12:18,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
12:18,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
12:18,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
12:18,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
12:18,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
11:58,"TURNOVER  by LEWIS,EVAN",,,,,,,"TURNOVER  by LEWIS,EVAN",1
11:57,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
11:40,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by HARDIMAN,BEN",,,,,,,"REBOUND DEF by HARDIMAN,BEN",1
11:16,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",1
11:16,"FOUL  by HOLLE,MASON",,,,,,,"FOUL  by HOLLE,MASON",1
11:16,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
11:16,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
11:16,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
11:16,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
11:16,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
11:16,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
11:16,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
11:16,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
11:16,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
11:16,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
11:03,,6,,12 (+6),"GOOD LAYUP by WEIR,JJ(in the paint)",RHODES 6-12 (-6),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
10:49,,,,,"SUB IN by MUHAMMAD,AQUIL",,,"SUB IN by MUHAMMAD,AQUIL",1
10:49,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
10:46,,,,,"FOUL  by WAGNER,MATT",,,"FOUL  by WAGNER,MATT",1
10:41,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
10:25,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
10:25,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:25,,,,,"MISS FT by BUTTS,KEYSHAWN",,,"MISS FT by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND OFF by WAGNER,MATT",,,"REBOUND OFF by WAGNER,MATT",1
10:25,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
10:25,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
09:57,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
09:50,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
09:50,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
09:43,,,,,"FOUL  by MUHAMMAD,AQUIL",,,"FOUL  by MUHAMMAD,AQUIL",1
09:43,"GOOD FT by WELCH,ROSS",7,,12 (+5),,BSCM 7-12 (-5),,"GOOD FT by WELCH,ROSS",1
09:43,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",1
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",1
09:15,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
09:15,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
09:15,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
09:15,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
09:15,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",1
09:15,,,,,"SUB OUT by WAGNER,MATT",,,"SUB OUT by WAGNER,MATT",1
09:15,,,,,"SUB OUT by MUHAMMAD,AQUIL",,,"SUB OUT by MUHAMMAD,AQUIL",1
09:15,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
09:15,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
09:06,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
08:50,"GOOD 3PTR by WELCH,ROSS",10,,12 (+2),,BSCM 10-12 (-2),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",1
08:33,,,,,"TURNOVER  by HOECK,RYAN VAN",,,"TURNOVER  by HOECK,RYAN VAN",1
08:33,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
08:33,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
08:17,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
07:48,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1
07:36,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
07:04,"TURNOVER  by MCLEAN,JAMES",,,,,,,"TURNOVER  by MCLEAN,JAMES",1
07:04,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1
07:04,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
07:04,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
06:42,,10,,14 (+4),"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",RHODES 10-14 (-4),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",1
--,,,,,"ASSIST  by MILLER,DREW",,,"ASSIST  by MILLER,DREW",1
06:32,"GOOD 3PTR by WELCH,ROSS",13,,14 (+1),,BSCM 13-14 (-1),,"GOOD 3PTR by WELCH,ROSS",1
--,"ASSIST  by CRAIN,JOHN",,,,,,,"ASSIST  by CRAIN,JOHN",1
06:10,,13,,16 (+3),"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHODES 13-16 (-3),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
05:59,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
05:59,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
05:59,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
05:50,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
05:42,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:11,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
04:55,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
04:39,"MISS JUMPER by THOM,IAN",,,,,,,"MISS JUMPER by THOM,IAN",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
04:32,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",1
04:32,,,,,"MISS FT by COLLINS,LUKE",,,"MISS FT by COLLINS,LUKE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:32,,13,,17 (+4),"GOOD FT by COLLINS,LUKE",RHODES 13-17 (-4),,"GOOD FT by COLLINS,LUKE",1
04:32,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",1
04:32,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
04:32,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
04:32,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
04:16,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
04:10,"FOUL  by HOLLE,MASON",,,,,,,"FOUL  by HOLLE,MASON",1
04:10,,13,,18 (+5),"GOOD FT by SULLIVAN,BRENNAN",RHODES 13-18 (-5),,"GOOD FT by SULLIVAN,BRENNAN",1
04:10,,13,,19 (+6),"GOOD FT by SULLIVAN,BRENNAN",RHODES 13-19 (-6),,"GOOD FT by SULLIVAN,BRENNAN",1
04:10,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
04:10,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:42,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
03:42,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
03:42,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
03:42,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
03:42,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
03:42,,,,,"SUB IN by HOECK,RYAN VAN",,,"SUB IN by HOECK,RYAN VAN",1
03:42,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
03:40,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:40,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",1
03:34,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",1
03:34,,,,,"SUB IN by MUHAMMAD,AQUIL",,,"SUB IN by MUHAMMAD,AQUIL",1
03:34,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",1
03:19,,,,,"FOUL  by MUHAMMAD,AQUIL",,,"FOUL  by MUHAMMAD,AQUIL",1
03:19,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
03:19,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
03:19,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
03:01,,13,,21 (+8),"GOOD LAYUP by MILLER,DREW(in the paint)",RHODES 13-21 (-8),,"GOOD LAYUP by MILLER,DREW(in the paint)",1
02:48,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
02:48,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
02:48,,,,,"SUB IN by COLLINS,LUKE",,,"SUB IN by COLLINS,LUKE",1
02:48,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
02:48,,,,,"SUB OUT by MILLER,DREW",,,"SUB OUT by MILLER,DREW",1
02:48,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
02:38,,,,,"FOUL  by MUHAMMAD,AQUIL",,,"FOUL  by MUHAMMAD,AQUIL",1
02:38,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
02:38,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",1
02:38,,,,,"SUB OUT by MUHAMMAD,AQUIL",,,"SUB OUT by MUHAMMAD,AQUIL",1
02:24,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by LIVSEY,GEOFF",,,"REBOUND DEF by LIVSEY,GEOFF",1
02:19,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
02:01,"GOOD 3PTR by DENEKA,HARRISON",16,,21 (+5),,BSCM 16-21 (-5),,"GOOD 3PTR by DENEKA,HARRISON",1
--,"ASSIST  by THOM,IAN",,,,,,,"ASSIST  by THOM,IAN",1
01:40,,16,,23 (+7),"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHODES 16-23 (-7),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
01:23,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",1
01:00,,16,,26 (+10),"GOOD 3PTR by LIVSEY,GEOFF",RHODES 16-26 (-10),,"GOOD 3PTR by LIVSEY,GEOFF",1
--,,,,,"ASSIST  by COLLINS,LUKE",,,"ASSIST  by COLLINS,LUKE",1
00:59,,,,,"SUB IN by MILLER,DREW",,,"SUB IN by MILLER,DREW",1
00:59,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
00:59,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
00:59,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",1
00:58,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
00:58,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
00:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:56,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
00:47,"GOOD LAYUP by AVERY,ALEX(in the paint)",18,,26 (+8),,BSCM 18-26 (-8),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
00:13,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:41,,,,,"MISS LAYUP by HOECK,RYAN VAN",,,"MISS LAYUP by HOECK,RYAN VAN",2
--,,,,,"REBOUND OFF by HOECK,RYAN VAN",,,"REBOUND OFF by HOECK,RYAN VAN",2
19:17,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
18:47,,,,,"MISS 3PTR by MILLER,DREW",,,"MISS 3PTR by MILLER,DREW",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
18:35,"GOOD 3PTR by THOM,IAN",21,,26 (+5),,BSCM 21-26 (-5),,"GOOD 3PTR by THOM,IAN",2
18:23,,,,,"MISS LAYUP by COLLINS,LUKE",,,"MISS LAYUP by COLLINS,LUKE",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
18:00,"GOOD LAYUP by AVERY,ALEX(in the paint)",23,,26 (+3),,BSCM 23-26 (-3),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
18:00,,,,,"FOUL  by MILLER,DREW",,,"FOUL  by MILLER,DREW",2
18:00,"GOOD FT by AVERY,ALEX",24,,26 (+2),,BSCM 24-26 (-2),,"GOOD FT by AVERY,ALEX",2
17:44,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",2
17:44,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
17:44,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
17:32,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",2
17:32,,24,,27 (+3),"GOOD FT by LIVSEY,GEOFF",RHODES 24-27 (-3),,"GOOD FT by LIVSEY,GEOFF",2
17:32,,24,,28 (+4),"GOOD FT by LIVSEY,GEOFF",RHODES 24-28 (-4),,"GOOD FT by LIVSEY,GEOFF",2
17:19,,,,,"FOUL  by COLLINS,LUKE",,,"FOUL  by COLLINS,LUKE",2
17:02,"MISS LAYUP by LEWIS,EVAN",,,,,,,"MISS LAYUP by LEWIS,EVAN",2
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",2
16:59,"GOOD LAYUP by AVERY,ALEX(in the paint)",26,,28 (+2),,BSCM 26-28 (-2),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
16:45,,,,,"MISS LAYUP by MILLER,DREW",,,"MISS LAYUP by MILLER,DREW",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
16:41,,26,,30 (+4),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RHODES 26-30 (-4),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
16:39,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:39,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",2
16:39,,,,,"SUB OUT by COLLINS,LUKE",,,"SUB OUT by COLLINS,LUKE",2
16:26,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
16:06,"MISS 3PTR by DENEKA,HARRISON",,,,,,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:48,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
15:39,,26,,32 (+6),"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",RHODES 26-32 (-6),,"GOOD LAYUP by HOECK,RYAN VAN(in the paint)",2
15:39,"FOUL  by AVERY,ALEX",,,,,,,"FOUL  by AVERY,ALEX",2
15:39,,,,,"MISS FT by HOECK,RYAN VAN",,,"MISS FT by HOECK,RYAN VAN",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
15:12,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
15:12,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:12,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
14:53,,,,,"FOUL  by HOECK,RYAN VAN",,,"FOUL  by HOECK,RYAN VAN",2
14:53,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
14:53,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
14:53,,,,,"SUB IN by WAGNER,MATT",,,"SUB IN by WAGNER,MATT",2
14:53,,,,,"SUB OUT by HOECK,RYAN VAN",,,"SUB OUT by HOECK,RYAN VAN",2
14:37,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
