Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SUMB14,Game Score,Team Indicator,Play,Period
19:44,,,,,"MISS JUMPER by GOEING,BRANDON",,,"MISS JUMPER by GOEING,BRANDON",1
--,,,,,"REBOUND OFF by ABRAMS,JAMES",,,"REBOUND OFF by ABRAMS,JAMES",1
19:23,,,,,"MISS JUMPER by GABRIEL,BRANDON",,,"MISS JUMPER by GABRIEL,BRANDON",1
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",1
19:09,,0,,2 (+2),"GOOD LAYUP by MOORE,RENALDO(in the paint)",SUMB14 0-2 (-2),,"GOOD LAYUP by MOORE,RENALDO(in the paint)",1
19:02,"TURNOVER  by GALFSKY,ANDER",,,,,,,"TURNOVER  by GALFSKY,ANDER",1
19:00,,,,,"STEAL  by GOEING,BRANDON",,,"STEAL  by GOEING,BRANDON",1
--,,,,,"REBOUND OFF by MOORE,RENALDO",,,"REBOUND OFF by MOORE,RENALDO",1
--,,,,,"REBOUND OFF by GOEING,BRANDON",,,"REBOUND OFF by GOEING,BRANDON",1
18:54,,0,,4 (+4),"GOOD JUMPER by MOORE,RENALDO",SUMB14 0-4 (-4),,"GOOD JUMPER by MOORE,RENALDO",1
18:33,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
18:22,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
18:11,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by GABRIEL,BRANDON",,,"REBOUND DEF by GABRIEL,BRANDON",1
17:50,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",1
17:50,,0,,5 (+5),"GOOD FT by ABRAMS,JAMES",SUMB14 0-5 (-5),,"GOOD FT by ABRAMS,JAMES",1
17:50,,0,,6 (+6),"GOOD FT by ABRAMS,JAMES",SUMB14 0-6 (-6),,"GOOD FT by ABRAMS,JAMES",1
