Time Remaining,LAG,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:51,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
19:15,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",1
19:00,"TURNOVER  by WHITE,MIKE",,,,,,,"TURNOVER  by WHITE,MIKE",1
18:59,,,,,"STEAL  by GALFSKY,ANDER",,,"STEAL  by GALFSKY,ANDER",1
18:47,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
18:47,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
18:32,"GOOD 3PTR by WAGNER,MARK",3 (+3),,0,,LAG 3-0 (-3),,"GOOD 3PTR by WAGNER,MARK",1
--,"ASSIST  by FORD,BRAXTON",,,,,,,"ASSIST  by FORD,BRAXTON",1
18:04,,,,,"MISS LAYUP by AVERY,ALEX",,,"MISS LAYUP by AVERY,ALEX",1
18:04,"BLOCK  by WHITE,MIKE",,,,,,,"BLOCK  by WHITE,MIKE",1
--,"REBOUND DEF by WHITE,MIKE",,,,,,,"REBOUND DEF by WHITE,MIKE",1
17:57,,,,,"FOUL  by GALFSKY,ANDER",,,"FOUL  by GALFSKY,ANDER",1
17:57,"GOOD FT by MITCHELL,NICK",4 (+4),,0,,LAG 4-0 (-4),,"GOOD FT by MITCHELL,NICK",1
17:57,"GOOD FT by MITCHELL,NICK",5 (+5),,0,,LAG 5-0 (-5),,"GOOD FT by MITCHELL,NICK",1
17:44,"FOUL  by MITCHELL,NICK",,,,,,,"FOUL  by MITCHELL,NICK",1
17:33,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
17:33,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
17:12,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,"REBOUND OFF by MITCHELL,NICK",,,,,,,"REBOUND OFF by MITCHELL,NICK",1
17:07,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",1
17:06,,,,,"STEAL  by THOM,IAN",,,"STEAL  by THOM,IAN",1
16:56,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,"REBOUND DEF by FORD,BRAXTON",,,,,,,"REBOUND DEF by FORD,BRAXTON",1
