Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
19:43,,,,,"TURNOVER  by DAVIS,JEROME",,,"TURNOVER  by DAVIS,JEROME",1
19:41,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
19:25,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by BERRY,RAHEEM",,,"REBOUND DEF by BERRY,RAHEEM",1
19:18,,,,,"TURNOVER  by BERRY,RAHEEM",,,"TURNOVER  by BERRY,RAHEEM",1
19:17,"STEAL  by DENEKA,HARRISON",,,,,,,"STEAL  by DENEKA,HARRISON",1
19:15,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",2 (+2),,0,,BSC 2-0 (+2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
19:02,,,,,"MISS 3PTR by JONES,RJ",,,"MISS 3PTR by JONES,RJ",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
18:59,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
18:59,,2,,2,"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",HCM 2-2 (0),,"GOOD LAYUP by JOHNSON,CHARLIE(in the paint)",1
--,,,,,"ASSIST  by JONES,RJ",,,"ASSIST  by JONES,RJ",1
18:59,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
18:57,,,,,"FOUL  by DAVIS,JEROME",,,"FOUL  by DAVIS,JEROME",1
18:42,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:36,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,,,,,"REBOUND DEF by JOHNSON,CHARLIE",,,"REBOUND DEF by JOHNSON,CHARLIE",1
18:31,,2,,5 (+3),"GOOD 3PTR by DAVIS,JEROME",HCM 2-5 (-3),,"GOOD 3PTR by DAVIS,JEROME",1
18:23,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by JONES,RJ",,,"REBOUND DEF by JONES,RJ",1
17:59,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
17:59,,2,,6 (+4),"GOOD FT by ASHLEY,ANDRE",HCM 2-6 (-4),,"GOOD FT by ASHLEY,ANDRE",1
