Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,BATM15,Game Score,Team Indicator,Play,Period
14:59,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
14:59,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
14:59,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
14:59,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
14:59,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
14:59,,,,,"SUB IN by PHILPOTT,ADAM",,,"SUB IN by PHILPOTT,ADAM",1
14:59,,,,,"SUB OUT by BOORNAZIAN,MIKE",,,"SUB OUT by BOORNAZIAN,MIKE",1
14:45,"GOOD 3PTR by CRAIN,JOHN",11 (+5),,6,,BSC 11-6 (+5),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by HARDIMAN,BEN",,,,,,,"ASSIST  by HARDIMAN,BEN",1
14:20,,,,,"MISS JUMPER by DELPECHE,MALCOLM",,,"MISS JUMPER by DELPECHE,MALCOLM",1
--,,,,,"REBOUND OFF by NEWTON,MIKE",,,"REBOUND OFF by NEWTON,MIKE",1
14:20,"FOUL  by HOLLE,MASON",,,,,,,"FOUL  by HOLLE,MASON",1
14:09,,,,,"MISS 3PTR by SAFFORD,GRAHAM",,,"MISS 3PTR by SAFFORD,GRAHAM",1
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",1
13:42,"MISS 3PTR by HOLLE,MASON",,,,,,,"MISS 3PTR by HOLLE,MASON",1
--,,,,,"REBOUND DEF by SAFFORD,GRAHAM",,,"REBOUND DEF by SAFFORD,GRAHAM",1
13:36,,11 (+3),,8,"GOOD LAYUP by NEWTON,MIKE(in the paint)",BATM15 11-8 (+3),,"GOOD LAYUP by NEWTON,MIKE(in the paint)",1
--,,,,,"ASSIST  by SAFFORD,GRAHAM",,,"ASSIST  by SAFFORD,GRAHAM",1
13:29,"GOOD 3PTR by MCLEAN,JAMES",14 (+6),,8,,BSC 14-8 (+6),,"GOOD 3PTR by MCLEAN,JAMES",1
--,"ASSIST  by HOLLE,MASON",,,,,,,"ASSIST  by HOLLE,MASON",1
13:21,,,,,"SUB IN by EATON,MAX",,,"SUB IN by EATON,MAX",1
13:21,,,,,"SUB IN by ZUKOWSKI,JUSTIN",,,"SUB IN by ZUKOWSKI,JUSTIN",1
13:21,,,,,"SUB OUT by DELPECHE,MALCOLM",,,"SUB OUT by DELPECHE,MALCOLM",1
13:21,,,,,"SUB OUT by SELMON,BILLY",,,"SUB OUT by SELMON,BILLY",1
13:15,,14 (+4),,10,"GOOD LAYUP by EATON,MAX(in the paint)",BATM15 14-10 (+4),,"GOOD LAYUP by EATON,MAX(in the paint)",1
--,,,,,"ASSIST  by NEWTON,MIKE",,,"ASSIST  by NEWTON,MIKE",1
13:03,"GOOD LAYUP by LEWIS,EVAN(in the paint)",16 (+6),,10,,BSC 16-10 (+6),,"GOOD LAYUP by LEWIS,EVAN(in the paint)",1
12:52,,,,,"MISS LAYUP by ZUKOWSKI,JUSTIN",,,"MISS LAYUP by ZUKOWSKI,JUSTIN",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
12:44,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",1
12:42,,,,,"STEAL  by SAFFORD,GRAHAM",,,"STEAL  by SAFFORD,GRAHAM",1
12:39,,16 (+4),,12,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",BATM15 16-12 (+4),,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",1
--,,,,,"ASSIST  by SAFFORD,GRAHAM",,,"ASSIST  by SAFFORD,GRAHAM",1
12:21,"GOOD 3PTR by CRAIN,JOHN",19 (+7),,12,,BSC 19-12 (+7),,"GOOD 3PTR by CRAIN,JOHN",1
--,"ASSIST  by HARDIMAN,BEN",,,,,,,"ASSIST  by HARDIMAN,BEN",1
11:45,"FOUL  by MCLEAN,JAMES",,,,,,,"FOUL  by MCLEAN,JAMES",1
11:45,"SUB IN by MCKINLEY,CONNER",,,,,,,"SUB IN by MCKINLEY,CONNER",1
11:45,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",1
11:45,,,,,"SUB IN by BRITTEN,JOSH",,,"SUB IN by BRITTEN,JOSH",1
11:45,,,,,"SUB OUT by SAFFORD,GRAHAM",,,"SUB OUT by SAFFORD,GRAHAM",1
11:41,,19 (+5),,14,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",BATM15 19-14 (+5),,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",1
--,,,,,"ASSIST  by NEWTON,MIKE",,,"ASSIST  by NEWTON,MIKE",1
11:23,,,,,"FOUL  by EATON,MAX",,,"FOUL  by EATON,MAX",1
11:23,"MISS FT by HARDIMAN,BEN",,,,,,,"MISS FT by HARDIMAN,BEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:23,"GOOD FT by HARDIMAN,BEN",20 (+6),,14,,BSC 20-14 (+6),,"GOOD FT by HARDIMAN,BEN",1
11:14,,20 (+3),,17,"GOOD 3PTR by ZUKOWSKI,JUSTIN",BATM15 20-17 (+3),,"GOOD 3PTR by ZUKOWSKI,JUSTIN",1
--,,,,,"ASSIST  by BRITTEN,JOSH",,,"ASSIST  by BRITTEN,JOSH",1
10:56,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",22 (+5),,17,,BSC 22-17 (+5),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
10:56,,,,,"FOUL  by ZUKOWSKI,JUSTIN",,,"FOUL  by ZUKOWSKI,JUSTIN",1
10:56,"GOOD FT by MCLEAN,JAMES",23 (+6),,17,,BSC 23-17 (+6),,"GOOD FT by MCLEAN,JAMES",1
10:56,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
10:56,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",1
10:56,,,,,"SUB IN by SAFFORD,GRAHAM",,,"SUB IN by SAFFORD,GRAHAM",1
10:56,,,,,"SUB OUT by ZUKOWSKI,JUSTIN",,,"SUB OUT by ZUKOWSKI,JUSTIN",1
10:50,,23 (+4),,19,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",BATM15 23-19 (+4),,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",1
--,,,,,"ASSIST  by EATON,MAX",,,"ASSIST  by EATON,MAX",1
10:37,,,,,"FOUL  by EATON,MAX",,,"FOUL  by EATON,MAX",1
10:37,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
10:37,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
10:37,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",1
10:37,"SUB IN by PERKINS,ALEX",,,,,,,"SUB IN by PERKINS,ALEX",1
10:37,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",1
10:37,"SUB OUT by MCKINLEY,CONNER",,,,,,,"SUB OUT by MCKINLEY,CONNER",1
10:37,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
10:37,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
10:37,,,,,"SUB IN by DELPECHE,MALCOLM",,,"SUB IN by DELPECHE,MALCOLM",1
10:37,,,,,"SUB IN by BOORNAZIAN,MIKE",,,"SUB IN by BOORNAZIAN,MIKE",1
10:37,,,,,"SUB OUT by EATON,MAX",,,"SUB OUT by EATON,MAX",1
10:37,,,,,"SUB OUT by PHILPOTT,ADAM",,,"SUB OUT by PHILPOTT,ADAM",1
10:29,"MISS JUMPER by PERKINS,ALEX",,,,,,,"MISS JUMPER by PERKINS,ALEX",1
--,,,,,"REBOUND DEF by NEWTON,MIKE",,,"REBOUND DEF by NEWTON,MIKE",1
10:19,,,,,"MISS 3PTR by BRITTEN,JOSH",,,"MISS 3PTR by BRITTEN,JOSH",1
--,"REBOUND DEF by PERKINS,ALEX",,,,,,,"REBOUND DEF by PERKINS,ALEX",1
10:04,"TURNOVER  by HAYES,CONNER",,,,,,,"TURNOVER  by HAYES,CONNER",1
10:03,,,,,"STEAL  by NEWTON,MIKE",,,"STEAL  by NEWTON,MIKE",1
09:52,,23 (+1),,22,"GOOD 3PTR by BOORNAZIAN,MIKE",BATM15 23-22 (+1),,"GOOD 3PTR by BOORNAZIAN,MIKE",1
--,,,,,"ASSIST  by SAFFORD,GRAHAM",,,"ASSIST  by SAFFORD,GRAHAM",1
09:33,"GOOD LAYUP by BARRON,MAC(in the paint)",25 (+3),,22,,BSC 25-22 (+3),,"GOOD LAYUP by BARRON,MAC(in the paint)",1
--,"ASSIST  by DENEKA,HARRISON",,,,,,,"ASSIST  by DENEKA,HARRISON",1
09:08,,25,,25,"GOOD 3PTR by BOORNAZIAN,MIKE",BATM15 25-25 (0),,"GOOD 3PTR by BOORNAZIAN,MIKE",1
--,,,,,"ASSIST  by SAFFORD,GRAHAM",,,"ASSIST  by SAFFORD,GRAHAM",1
08:50,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,"REBOUND OFF by DENEKA,HARRISON",,,,,,,"REBOUND OFF by DENEKA,HARRISON",1
08:46,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",27 (+2),,25,,BSC 27-25 (+2),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
08:24,,,,,"MISS 3PTR by NEWTON,MIKE",,,"MISS 3PTR by NEWTON,MIKE",1
--,,,,,"REBOUND OFF by BRITTEN,JOSH",,,"REBOUND OFF by BRITTEN,JOSH",1
08:21,"FOUL  by PERKINS,ALEX",,,,,,,"FOUL  by PERKINS,ALEX",1
08:21,,,,,"SUB IN by SELMON,BILLY",,,"SUB IN by SELMON,BILLY",1
08:21,,,,,"SUB IN by DELPECHE,MARCUS",,,"SUB IN by DELPECHE,MARCUS",1
08:21,,,,,"SUB OUT by BRITTEN,JOSH",,,"SUB OUT by BRITTEN,JOSH",1
08:21,,,,,"SUB OUT by NEWTON,MIKE",,,"SUB OUT by NEWTON,MIKE",1
08:17,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",1
08:17,,,,,"MISS FT by DELPECHE,MALCOLM",,,"MISS FT by DELPECHE,MALCOLM",1
--,"REBOUND DEF by DENEKA,HARRISON",,,,,,,"REBOUND DEF by DENEKA,HARRISON",1
08:02,,,,,"FOUL  by SELMON,BILLY",,,"FOUL  by SELMON,BILLY",1
08:02,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
08:02,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
08:02,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
08:02,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
08:02,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",1
08:02,"SUB OUT by PERKINS,ALEX",,,,,,,"SUB OUT by PERKINS,ALEX",1
07:56,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",1
--,,,,,"REBOUND DEF by BOORNAZIAN,MIKE",,,"REBOUND DEF by BOORNAZIAN,MIKE",1
07:34,,,,,"MISS JUMPER by DELPECHE,MARCUS",,,"MISS JUMPER by DELPECHE,MARCUS",1
--,,,,,"REBOUND OFF by BOORNAZIAN,MIKE",,,"REBOUND OFF by BOORNAZIAN,MIKE",1
07:25,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
07:25,,27 (+1),,26,"GOOD FT by BOORNAZIAN,MIKE",BATM15 27-26 (+1),,"GOOD FT by BOORNAZIAN,MIKE",1
07:25,,27,,27,"GOOD FT by BOORNAZIAN,MIKE",BATM15 27-27 (0),,"GOOD FT by BOORNAZIAN,MIKE",1
07:25,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",1
07:25,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
07:25,,,,,"SUB IN by NEWTON,MIKE",,,"SUB IN by NEWTON,MIKE",1
07:25,,,,,"SUB OUT by DELPECHE,MALCOLM",,,"SUB OUT by DELPECHE,MALCOLM",1
07:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:13,"TURNOVER  by GALFSKY,ANDER",,,,,,,"TURNOVER  by GALFSKY,ANDER",1
06:57,,,,,"TURNOVER  by DELPECHE,MARCUS",,,"TURNOVER  by DELPECHE,MARCUS",1
06:37,,,,,"FOUL  by NEWTON,MIKE",,,"FOUL  by NEWTON,MIKE",1
06:37,"GOOD FT by AVERY,ALEX",28 (+1),,27,,BSC 28-27 (+1),,"GOOD FT by AVERY,ALEX",1
06:37,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,,,,,"REBOUND DEF by SELMON,BILLY",,,"REBOUND DEF by SELMON,BILLY",1
06:29,,,,,"MISS 3PTR by SELMON,BILLY",,,"MISS 3PTR by SELMON,BILLY",1
--,,,,,"REBOUND OFF by SELMON,BILLY",,,"REBOUND OFF by SELMON,BILLY",1
06:23,,,,,"MISS LAYUP by SELMON,BILLY",,,"MISS LAYUP by SELMON,BILLY",1
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",1
06:15,"MISS LAYUP by THOM,IAN",,,,,,,"MISS LAYUP by THOM,IAN",1
--,,,,,"REBOUND DEF by BOORNAZIAN,MIKE",,,"REBOUND DEF by BOORNAZIAN,MIKE",1
06:10,,,,,"TURNOVER  by BOORNAZIAN,MIKE",,,"TURNOVER  by BOORNAZIAN,MIKE",1
06:10,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",1
06:10,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",1
06:10,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",1
06:10,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",1
06:10,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
06:10,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",1
06:10,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
06:10,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",1
05:47,"GOOD JUMPER by BARRON,MAC",30 (+3),,27,,BSC 30-27 (+3),,"GOOD JUMPER by BARRON,MAC",1
05:21,,30,,30,"GOOD 3PTR by BOORNAZIAN,MIKE",BATM15 30-30 (0),,"GOOD 3PTR by BOORNAZIAN,MIKE",1
--,,,,,"ASSIST  by SELMON,BILLY",,,"ASSIST  by SELMON,BILLY",1
05:07,,,,,"SUB IN by PHILPOTT,ADAM",,,"SUB IN by PHILPOTT,ADAM",1
05:07,,,,,"SUB OUT by SELMON,BILLY",,,"SUB OUT by SELMON,BILLY",1
04:47,,,,,"FOUL  by NEWTON,MIKE",,,"FOUL  by NEWTON,MIKE",1
04:47,"MISS FT by LEWIS,EVAN",,,,,,,"MISS FT by LEWIS,EVAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:47,"GOOD FT by LEWIS,EVAN",31 (+1),,30,,BSC 31-30 (+1),,"GOOD FT by LEWIS,EVAN",1
04:47,,,,,"SUB IN by ZUKOWSKI,JUSTIN",,,"SUB IN by ZUKOWSKI,JUSTIN",1
04:47,,,,,"SUB OUT by NEWTON,MIKE",,,"SUB OUT by NEWTON,MIKE",1
04:37,,,,,"TURNOVER  by BOORNAZIAN,MIKE",,,"TURNOVER  by BOORNAZIAN,MIKE",1
04:35,"STEAL  by BARRON,MAC",,,,,,,"STEAL  by BARRON,MAC",1
04:13,,,,,"FOUL  by BOORNAZIAN,MIKE",,,"FOUL  by BOORNAZIAN,MIKE",1
04:13,"GOOD FT by MCLEAN,JAMES",32 (+2),,30,,BSC 32-30 (+2),,"GOOD FT by MCLEAN,JAMES",1
04:13,"GOOD FT by MCLEAN,JAMES",33 (+3),,30,,BSC 33-30 (+3),,"GOOD FT by MCLEAN,JAMES",1
04:13,,,,,"SUB IN by BRITTEN,JOSH",,,"SUB IN by BRITTEN,JOSH",1
04:13,,,,,"SUB OUT by BOORNAZIAN,MIKE",,,"SUB OUT by BOORNAZIAN,MIKE",1
03:53,,,,,"MISS 3PTR by SAFFORD,GRAHAM",,,"MISS 3PTR by SAFFORD,GRAHAM",1
--,,,,,"REBOUND OFF by BRITTEN,JOSH",,,"REBOUND OFF by BRITTEN,JOSH",1
03:46,,,,,"MISS 3PTR by PHILPOTT,ADAM",,,"MISS 3PTR by PHILPOTT,ADAM",1
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",1
03:36,,,,,"FOUL  by BRITTEN,JOSH",,,"FOUL  by BRITTEN,JOSH",1
03:36,"MISS FT by BARRON,MAC",,,,,,,"MISS FT by BARRON,MAC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:36,"GOOD FT by BARRON,MAC",34 (+4),,30,,BSC 34-30 (+4),,"GOOD FT by BARRON,MAC",1
03:36,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
03:36,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",1
03:28,,34 (+2),,32,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",BATM15 34-32 (+2),,"GOOD LAYUP by PHILPOTT,ADAM(in the paint)",1
--,,,,,"ASSIST  by ZUKOWSKI,JUSTIN",,,"ASSIST  by ZUKOWSKI,JUSTIN",1
03:18,"MISS LAYUP by BARRON,MAC",,,,,,,"MISS LAYUP by BARRON,MAC",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
03:14,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
03:14,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",1
03:14,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",1
03:14,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",1
03:14,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",1
03:14,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
03:14,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",1
03:14,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",1
03:01,"TURNOVER  by AVERY,ALEX",,,,,,,"TURNOVER  by AVERY,ALEX",1
02:47,"FOUL  by THOM,IAN",,,,,,,"FOUL  by THOM,IAN",1
02:47,,,,,"MISS FT by DELPECHE,MARCUS",,,"MISS FT by DELPECHE,MARCUS",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
02:47,,,,,"FOUL  by BRITTEN,JOSH",,,"FOUL  by BRITTEN,JOSH",1
02:47,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:47,"GOOD FT by AVERY,ALEX",35 (+3),,32,,BSC 35-32 (+3),,"GOOD FT by AVERY,ALEX",1
02:47,,,,,"SUB IN by SELMON,BILLY",,,"SUB IN by SELMON,BILLY",1
02:47,,,,,"SUB OUT by BRITTEN,JOSH",,,"SUB OUT by BRITTEN,JOSH",1
02:42,,35 (+1),,34,"GOOD DUNK by DELPECHE,MARCUS(in the paint)",BATM15 35-34 (+1),,"GOOD DUNK by DELPECHE,MARCUS(in the paint)",1
--,,,,,"ASSIST  by SELMON,BILLY",,,"ASSIST  by SELMON,BILLY",1
02:18,"MISS LAYUP by AVERY,ALEX",,,,,,,"MISS LAYUP by AVERY,ALEX",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
02:15,"GOOD LAYUP by AVERY,ALEX(in the paint)",37 (+3),,34,,BSC 37-34 (+3),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
01:53,,,,,"TURNOVER  by ZUKOWSKI,JUSTIN",,,"TURNOVER  by ZUKOWSKI,JUSTIN",1
01:39,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:28,,,,,"FOUL  by PHILPOTT,ADAM",,,"FOUL  by PHILPOTT,ADAM",1
01:28,"GOOD FT by AVERY,ALEX",38 (+4),,34,,BSC 38-34 (+4),,"GOOD FT by AVERY,ALEX",1
01:28,"GOOD FT by AVERY,ALEX",39 (+5),,34,,BSC 39-34 (+5),,"GOOD FT by AVERY,ALEX",1
01:28,,,,,"SUB IN by DARLING,JEROME",,,"SUB IN by DARLING,JEROME",1
01:28,,,,,"SUB OUT by PHILPOTT,ADAM",,,"SUB OUT by PHILPOTT,ADAM",1
01:12,,,,,"FOUL  by DELPECHE,MARCUS",,,"FOUL  by DELPECHE,MARCUS",1
01:12,,,,,"TURNOVER  by DELPECHE,MARCUS",,,"TURNOVER  by DELPECHE,MARCUS",1
01:00,,,,,"FOUL  by DELPECHE,MARCUS",,,"FOUL  by DELPECHE,MARCUS",1
01:00,"GOOD FT by AVERY,ALEX",40 (+6),,34,,BSC 40-34 (+6),,"GOOD FT by AVERY,ALEX",1
01:00,"GOOD FT by AVERY,ALEX",41 (+7),,34,,BSC 41-34 (+7),,"GOOD FT by AVERY,ALEX",1
