Time Remaining,UNIONM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:44,"MISS LAYUP by HYTHON,WILLIAM",,,,,,,"MISS LAYUP by HYTHON,WILLIAM",1
--,,,,,"REBOUND DEF by THOM,IAN",,,"REBOUND DEF by THOM,IAN",1
19:39,"FOUL  by WECKWORTH,KEVIN",,,,,,,"FOUL  by WECKWORTH,KEVIN",1
19:39,,0,,1 (+1),"GOOD FT by THOM,IAN",BSC 0-1 (+1),,"GOOD FT by THOM,IAN",1
19:39,,0,,2 (+2),"GOOD FT by THOM,IAN",BSC 0-2 (+2),,"GOOD FT by THOM,IAN",1
19:25,"GOOD JUMPER by BURGESS,DESHON(in the paint)",2,,2,,UNIONM 2-2 (0),,"GOOD JUMPER by BURGESS,DESHON(in the paint)",1
18:57,,2,,4 (+2),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 2-4 (+2),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
18:48,"GOOD JUMPER by BURGESS,DESHON(in the paint)",4,,4,,UNIONM 4-4 (0),,"GOOD JUMPER by BURGESS,DESHON(in the paint)",1
18:32,,4,,6 (+2),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 4-6 (+2),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
18:16,"GOOD LAYUP by WHELPLEY,RYAN(in the paint)",6,,6,,UNIONM 6-6 (0),,"GOOD LAYUP by WHELPLEY,RYAN(in the paint)",1
18:03,"FOUL  by WINNEY,TERELL",,,,,,,"FOUL  by WINNEY,TERELL",1
18:03,,,,,"MISS FT by WELCH,ROSS",,,"MISS FT by WELCH,ROSS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:03,,6,,7 (+1),"GOOD FT by WELCH,ROSS",BSC 6-7 (+1),,"GOOD FT by WELCH,ROSS",1
17:50,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
17:50,"GOOD FT by BURGESS,DESHON",7,,7,,UNIONM 7-7 (0),,"GOOD FT by BURGESS,DESHON",1
17:50,"GOOD FT by BURGESS,DESHON",8 (+1),,7,,UNIONM 8-7 (-1),,"GOOD FT by BURGESS,DESHON",1
17:41,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
17:41,,,,,"TURNOVER  by THOM,IAN",,,"TURNOVER  by THOM,IAN",1
17:28,"TURNOVER  by HYTHON,WILLIAM",,,,,,,"TURNOVER  by HYTHON,WILLIAM",1
17:27,,,,,"STEAL  by AVERY,ALEX",,,"STEAL  by AVERY,ALEX",1
17:14,,,,,"TURNOVER  by AVERY,ALEX",,,"TURNOVER  by AVERY,ALEX",1
17:14,"SUB IN by MCNAMARA,WADE",,,,,,,"SUB IN by MCNAMARA,WADE",1
17:14,"SUB OUT by HYTHON,WILLIAM",,,,,,,"SUB OUT by HYTHON,WILLIAM",1
16:58,"TURNOVER  by WECKWORTH,KEVIN",,,,,,,"TURNOVER  by WECKWORTH,KEVIN",1
