Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:39,"GOOD LAYUP by FERGUSON,TERON(in the paint)",2 (+2),,0,,CCM 2-0 (-2),,"GOOD LAYUP by FERGUSON,TERON(in the paint)",1
--,"ASSIST  by BOYD,CHRIS",,,,,,,"ASSIST  by BOYD,CHRIS",1
19:39,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
19:39,"GOOD FT by FERGUSON,TERON",3 (+3),,0,,CCM 3-0 (-3),,"GOOD FT by FERGUSON,TERON",1
19:27,,,,,"TURNOVER  by GALFSKY,ANDER",,,"TURNOVER  by GALFSKY,ANDER",1
19:25,"STEAL  by FERGUSON,TERON",,,,,,,"STEAL  by FERGUSON,TERON",1
19:18,"MISS LAYUP by GARRETT,DANIEL",,,,,,,"MISS LAYUP by GARRETT,DANIEL",1
--,"REBOUND OFF by GARRETT,DANIEL",,,,,,,"REBOUND OFF by GARRETT,DANIEL",1
19:11,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by GALFSKY,ANDER",,,"REBOUND DEF by GALFSKY,ANDER",1
19:00,,,,,"MISS JUMPER by GALFSKY,ANDER",,,"MISS JUMPER by GALFSKY,ANDER",1
--,,,,,"REBOUND OFF by THOMAS,LARRY",,,"REBOUND OFF by THOMAS,LARRY",1
18:55,,3 (+1),,2,"GOOD JUMPER by THOMAS,LARRY",BSC 3-2 (-1),,"GOOD JUMPER by THOMAS,LARRY",1
18:25,"TURNOVER  by FERGUSON,TERON",,,,,,,"TURNOVER  by FERGUSON,TERON",1
18:12,,3,,5 (+2),"GOOD 3PTR by THOMAS,LARRY",BSC 3-5 (+2),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",1
17:46,"GOOD JUMPER by BOYD,CHRIS",5,,5,,CCM 5-5 (0),,"GOOD JUMPER by BOYD,CHRIS",1
--,"ASSIST  by FERGUSON,TERON",,,,,,,"ASSIST  by FERGUSON,TERON",1
