Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MVCM,Game Score,Team Indicator,Play,Period
17:54,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",26,,34 (+8),,BSC 26-34 (-8),,"GOOD LAYUP by GALFSKY,ANDER(in the paint)",2
17:35,,,,,"MISS 3PTR by TORRES,TANNER",,,"MISS 3PTR by TORRES,TANNER",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
17:12,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:03,"GOOD LAYUP by THOM,IAN(in the paint)",28,,34 (+6),,BSC 28-34 (-6),,"GOOD LAYUP by THOM,IAN(in the paint)",2
16:48,,,,,"MISS 3PTR by BOWYER,JAYLEN",,,"MISS 3PTR by BOWYER,JAYLEN",2
--,,,,,"REBOUND OFF by BYRD,JAUMONEE",,,"REBOUND OFF by BYRD,JAUMONEE",2
16:43,,,,,"MISS JUMPER by BYRD,JAUMONEE",,,"MISS JUMPER by BYRD,JAUMONEE",2
--,,,,,"REBOUND OFF by BUTLER,OSCAR",,,"REBOUND OFF by BUTLER,OSCAR",2
16:40,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
16:40,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
16:40,,,,,"SUB IN by FORD,CHRISTIAN",,,"SUB IN by FORD,CHRISTIAN",2
16:40,,,,,"SUB OUT by BOWYER,JAYLEN",,,"SUB OUT by BOWYER,JAYLEN",2
16:38,"FOUL  by HARDIMAN,BEN",,,,,,,"FOUL  by HARDIMAN,BEN",2
16:38,,28,,35 (+7),"GOOD FT by BYRD,JAUMONEE",MVCM 28-35 (-7),,"GOOD FT by BYRD,JAUMONEE",2
--,,,,,"ASSIST  by FORD,CHRISTIAN",,,"ASSIST  by FORD,CHRISTIAN",2
16:38,,28,,36 (+8),"GOOD FT by BYRD,JAUMONEE",MVCM 28-36 (-8),,"GOOD FT by BYRD,JAUMONEE",2
16:38,,,,,"SUB IN by BREWER,LOGAN",,,"SUB IN by BREWER,LOGAN",2
16:38,,,,,"SUB OUT by BYRD,JAUMONEE",,,"SUB OUT by BYRD,JAUMONEE",2
16:14,"TURNOVER  by THOM,IAN",,,,,,,"TURNOVER  by THOM,IAN",2
16:13,,,,,"STEAL  by SHOFFNER,SPENCER",,,"STEAL  by SHOFFNER,SPENCER",2
16:11,,28,,38 (+10),"GOOD LAYUP by SHOFFNER,SPENCER(fastbreak)(in the paint)",MVCM 28-38 (-10),,"GOOD LAYUP by SHOFFNER,SPENCER(fastbreak)(in the paint)",2
15:52,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",2
15:51,,,,,"STEAL  by FORD,CHRISTIAN",,,"STEAL  by FORD,CHRISTIAN",2
15:47,,,,,"MISS 3PTR by BUTLER,OSCAR",,,"MISS 3PTR by BUTLER,OSCAR",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
15:40,,,,,"FOUL  by TORRES,TANNER",,,"FOUL  by TORRES,TANNER",2
15:40,"GOOD FT by THOMAS,LARRY",29,,38 (+9),,BSC 29-38 (-9),,"GOOD FT by THOMAS,LARRY",2
15:40,"GOOD FT by THOMAS,LARRY",30,,38 (+8),,BSC 30-38 (-8),,"GOOD FT by THOMAS,LARRY",2
15:40,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
15:40,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
15:40,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",2
15:40,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
15:40,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
15:40,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
15:40,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
15:40,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
15:40,,,,,"SUB IN by SONGSTER,CALVIN",,,"SUB IN by SONGSTER,CALVIN",2
15:40,,,,,"SUB OUT by TORRES,TANNER",,,"SUB OUT by TORRES,TANNER",2
15:28,,30,,40 (+10),"GOOD JUMPER by BUTLER,OSCAR(in the paint)",MVCM 30-40 (-10),,"GOOD JUMPER by BUTLER,OSCAR(in the paint)",2
15:15,"GOOD 3PTR by CRAIN,JOHN",33,,40 (+7),,BSC 33-40 (-7),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by HOLLE,MASON",,,,,,,"ASSIST  by HOLLE,MASON",2
14:49,,,,,"MISS JUMPER by SHOFFNER,SPENCER",,,"MISS JUMPER by SHOFFNER,SPENCER",2
--,"REBOUND DEF by HARDIMAN,BEN",,,,,,,"REBOUND DEF by HARDIMAN,BEN",2
14:32,,,,,"FOUL  by FORD,CHRISTIAN",,,"FOUL  by FORD,CHRISTIAN",2
14:32,,,,,"SUB IN by GREENE,SAM",,,"SUB IN by GREENE,SAM",2
14:32,,,,,"SUB IN by BOWYER,JAYLEN",,,"SUB IN by BOWYER,JAYLEN",2
14:32,,,,,"SUB OUT by BUTLER,OSCAR",,,"SUB OUT by BUTLER,OSCAR",2
14:32,,,,,"SUB OUT by FORD,CHRISTIAN",,,"SUB OUT by FORD,CHRISTIAN",2
14:09,"MISS 3PTR by MCLEAN,JAMES",,,,,,,"MISS 3PTR by MCLEAN,JAMES",2
--,,,,,"REBOUND DEF by SONGSTER,CALVIN",,,"REBOUND DEF by SONGSTER,CALVIN",2
14:00,,,,,"MISS JUMPER by GREENE,SAM",,,"MISS JUMPER by GREENE,SAM",2
--,"REBOUND DEF by LEWIS,EVAN",,,,,,,"REBOUND DEF by LEWIS,EVAN",2
13:53,"GOOD 3PTR by MCLEAN,JAMES(fastbreak)",36,,40 (+4),,BSC 36-40 (-4),,"GOOD 3PTR by MCLEAN,JAMES(fastbreak)",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
13:38,,,,,"MISS 3PTR by SONGSTER,CALVIN",,,"MISS 3PTR by SONGSTER,CALVIN",2
--,"REBOUND DEF by CRAIN,JOHN",,,,,,,"REBOUND DEF by CRAIN,JOHN",2
13:27,"TURNOVER  by CRAIN,JOHN",,,,,,,"TURNOVER  by CRAIN,JOHN",2
13:26,,,,,"STEAL  by BOWYER,JAYLEN",,,"STEAL  by BOWYER,JAYLEN",2
13:20,,,,,"MISS 3PTR by SHOFFNER,SPENCER",,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,,,,,"REBOUND OFF by GREENE,SAM",,,"REBOUND OFF by GREENE,SAM",2
13:16,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
13:16,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",2
13:16,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
13:16,,,,,"SUB IN by TORRES,TANNER",,,"SUB IN by TORRES,TANNER",2
13:16,,,,,"SUB IN by BYRD,JAUMONEE",,,"SUB IN by BYRD,JAUMONEE",2
13:16,,,,,"SUB OUT by BREWER,LOGAN",,,"SUB OUT by BREWER,LOGAN",2
13:16,,,,,"SUB OUT by SHOFFNER,SPENCER",,,"SUB OUT by SHOFFNER,SPENCER",2
13:07,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",2
13:07,,,,,"MISS FT by BYRD,JAUMONEE",,,"MISS FT by BYRD,JAUMONEE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:07,,36,,41 (+5),"GOOD FT by BYRD,JAUMONEE",MVCM 36-41 (-5),,"GOOD FT by BYRD,JAUMONEE",2
12:52,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",2
--,,,,,"REBOUND DEF by BYRD,JAUMONEE",,,"REBOUND DEF by BYRD,JAUMONEE",2
12:18,,,,,"MISS 3PTR by GREENE,SAM",,,"MISS 3PTR by GREENE,SAM",2
--,"REBOUND DEF by HOLLE,MASON",,,,,,,"REBOUND DEF by HOLLE,MASON",2
12:06,"SUB IN by MARTIN,SAM",,,,,,,"SUB IN by MARTIN,SAM",2
12:06,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
12:06,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
12:06,"SUB IN by HAYES,CONNER",,,,,,,"SUB IN by HAYES,CONNER",2
12:06,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
12:06,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",2
12:06,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
12:06,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
12:06,,,,,"SUB IN by SHOFFNER,SPENCER",,,"SUB IN by SHOFFNER,SPENCER",2
12:06,,,,,"SUB IN by BUTLER,OSCAR",,,"SUB IN by BUTLER,OSCAR",2
12:06,,,,,"SUB OUT by GREENE,SAM",,,"SUB OUT by GREENE,SAM",2
12:06,,,,,"SUB OUT by SONGSTER,CALVIN",,,"SUB OUT by SONGSTER,CALVIN",2
12:04,"MISS 3PTR by MARTIN,SAM",,,,,,,"MISS 3PTR by MARTIN,SAM",2
--,"REBOUND OFF by BARRON,MAC",,,,,,,"REBOUND OFF by BARRON,MAC",2
12:00,,,,,"FOUL  by BUTLER,OSCAR",,,"FOUL  by BUTLER,OSCAR",2
12:00,"MISS FT by BARRON,MAC",,,,,,,"MISS FT by BARRON,MAC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:00,"GOOD FT by BARRON,MAC",37,,41 (+4),,BSC 37-41 (-4),,"GOOD FT by BARRON,MAC",2
12:00,,,,,"SUB IN by FORD,CHRISTIAN",,,"SUB IN by FORD,CHRISTIAN",2
12:00,,,,,"SUB OUT by BOWYER,JAYLEN",,,"SUB OUT by BOWYER,JAYLEN",2
11:38,"FOUL  by BARRON,MAC",,,,,,,"FOUL  by BARRON,MAC",2
11:38,,37,,42 (+5),"GOOD FT by SHOFFNER,SPENCER",MVCM 37-42 (-5),,"GOOD FT by SHOFFNER,SPENCER",2
11:38,,37,,43 (+6),"GOOD FT by SHOFFNER,SPENCER",MVCM 37-43 (-6),,"GOOD FT by SHOFFNER,SPENCER",2
11:27,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by TORRES,TANNER",,,"REBOUND DEF by TORRES,TANNER",2
11:16,,37,,45 (+8),"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",MVCM 37-45 (-8),,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",2
--,,,,,"ASSIST  by FORD,CHRISTIAN",,,"ASSIST  by FORD,CHRISTIAN",2
11:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:03,"TURNOVER  by MARTIN,SAM",,,,,,,"TURNOVER  by MARTIN,SAM",2
11:03,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
11:03,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
11:03,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
11:03,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
11:03,"SUB OUT by BARRON,MAC",,,,,,,"SUB OUT by BARRON,MAC",2
11:03,"SUB OUT by MARTIN,SAM",,,,,,,"SUB OUT by MARTIN,SAM",2
11:03,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
11:03,"SUB OUT by HAYES,CONNER",,,,,,,"SUB OUT by HAYES,CONNER",2
10:36,,,,,"MISS 3PTR by BUTLER,OSCAR",,,"MISS 3PTR by BUTLER,OSCAR",2
--,,,,,"REBOUND OFF by SHOFFNER,SPENCER",,,"REBOUND OFF by SHOFFNER,SPENCER",2
10:15,,,,,"MISS 3PTR by FORD,CHRISTIAN",,,"MISS 3PTR by FORD,CHRISTIAN",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
10:07,"GOOD LAYUP by AVERY,ALEX(fastbreak)(in the paint)",39,,45 (+6),,BSC 39-45 (-6),,"GOOD LAYUP by AVERY,ALEX(fastbreak)(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
09:52,,39,,47 (+8),"GOOD JUMPER by FORD,CHRISTIAN(in the paint)",MVCM 39-47 (-8),,"GOOD JUMPER by FORD,CHRISTIAN(in the paint)",2
09:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
09:47,,,,,"SUB IN by BREWER,LOGAN",,,"SUB IN by BREWER,LOGAN",2
09:47,,,,,"SUB OUT by BYRD,JAUMONEE",,,"SUB OUT by BYRD,JAUMONEE",2
09:26,"GOOD LAYUP by WELCH,ROSS(in the paint)",41,,47 (+6),,BSC 41-47 (-6),,"GOOD LAYUP by WELCH,ROSS(in the paint)",2
09:08,,41,,49 (+8),"GOOD JUMPER by BUTLER,OSCAR(in the paint)",MVCM 41-49 (-8),,"GOOD JUMPER by BUTLER,OSCAR(in the paint)",2
08:46,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,"REBOUND OFF by GALFSKY,ANDER",,,,,,,"REBOUND OFF by GALFSKY,ANDER",2
08:43,,,,,"FOUL  by BREWER,LOGAN",,,"FOUL  by BREWER,LOGAN",2
08:43,,,,,"SUB IN by BOWYER,JAYLEN",,,"SUB IN by BOWYER,JAYLEN",2
08:43,,,,,"SUB OUT by TORRES,TANNER",,,"SUB OUT by TORRES,TANNER",2
08:33,"GOOD JUMPER by THOM,IAN(in the paint)",43,,49 (+6),,BSC 43-49 (-6),,"GOOD JUMPER by THOM,IAN(in the paint)",2
08:07,,,,,"MISS 3PTR by BOWYER,JAYLEN",,,"MISS 3PTR by BOWYER,JAYLEN",2
--,"REBOUND DEF by GALFSKY,ANDER",,,,,,,"REBOUND DEF by GALFSKY,ANDER",2
07:49,"GOOD JUMPER by THOM,IAN(in the paint)",45,,49 (+4),,BSC 45-49 (-4),,"GOOD JUMPER by THOM,IAN(in the paint)",2
07:31,,,,,"MISS LAYUP by SHOFFNER,SPENCER",,,"MISS LAYUP by SHOFFNER,SPENCER",2
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",2
07:23,"GOOD 3PTR by WELCH,ROSS(fastbreak)",48,,49 (+1),,BSC 48-49 (-1),,"GOOD 3PTR by WELCH,ROSS(fastbreak)",2
--,"ASSIST  by AVERY,ALEX",,,,,,,"ASSIST  by AVERY,ALEX",2
07:17,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:17,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
07:17,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
06:52,,,,,"MISS LAYUP by BOWYER,JAYLEN",,,"MISS LAYUP by BOWYER,JAYLEN",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
06:44,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,,,,,"REBOUND DEF by BREWER,LOGAN",,,"REBOUND DEF by BREWER,LOGAN",2
06:21,,48,,51 (+3),"GOOD JUMPER by FORD,CHRISTIAN(in the paint)",MVCM 48-51 (-3),,"GOOD JUMPER by FORD,CHRISTIAN(in the paint)",2
06:03,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",2
05:55,"MISS 3PTR by THOM,IAN",,,,,,,"MISS 3PTR by THOM,IAN",2
--,,,,,"REBOUND DEF by BREWER,LOGAN",,,"REBOUND DEF by BREWER,LOGAN",2
05:21,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",2
05:21,,,,,"MISS FT by BUTLER,OSCAR",,,"MISS FT by BUTLER,OSCAR",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:21,,48,,52 (+4),"GOOD FT by BUTLER,OSCAR",MVCM 48-52 (-4),,"GOOD FT by BUTLER,OSCAR",2
05:21,"SUB IN by HARDIMAN,BEN",,,,,,,"SUB IN by HARDIMAN,BEN",2
05:21,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
05:21,"SUB IN by HOLLE,MASON",,,,,,,"SUB IN by HOLLE,MASON",2
05:21,"SUB IN by MCLEAN,JAMES",,,,,,,"SUB IN by MCLEAN,JAMES",2
05:21,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
05:21,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
05:21,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
05:21,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
05:21,,,,,"SUB IN by GREENE,SAM",,,"SUB IN by GREENE,SAM",2
05:21,,,,,"SUB IN by TORRES,TANNER",,,"SUB IN by TORRES,TANNER",2
05:21,,,,,"SUB IN by BYRD,JAUMONEE",,,"SUB IN by BYRD,JAUMONEE",2
05:21,,,,,"SUB OUT by BUTLER,OSCAR",,,"SUB OUT by BUTLER,OSCAR",2
05:21,,,,,"SUB OUT by BREWER,LOGAN",,,"SUB OUT by BREWER,LOGAN",2
05:21,,,,,"SUB OUT by BOWYER,JAYLEN",,,"SUB OUT by BOWYER,JAYLEN",2
05:04,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",50,,52 (+2),,BSC 50-52 (-2),,"GOOD LAYUP by HARDIMAN,BEN(in the paint)",2
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",2
04:43,,,,,"MISS 3PTR by SHOFFNER,SPENCER",,,"MISS 3PTR by SHOFFNER,SPENCER",2
--,"REBOUND DEF by HARDIMAN,BEN",,,,,,,"REBOUND DEF by HARDIMAN,BEN",2
04:19,"GOOD 3PTR by CRAIN,JOHN",53 (+1),,52,,BSC 53-52 (+1),,"GOOD 3PTR by CRAIN,JOHN",2
--,"ASSIST  by HOLLE,MASON",,,,,,,"ASSIST  by HOLLE,MASON",2
03:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:54,"SUB IN by GALFSKY,ANDER",,,,,,,"SUB IN by GALFSKY,ANDER",2
03:54,"SUB OUT by LEWIS,EVAN",,,,,,,"SUB OUT by LEWIS,EVAN",2
03:54,,,,,"SUB IN by BUTLER,OSCAR",,,"SUB IN by BUTLER,OSCAR",2
03:54,,,,,"SUB OUT by GREENE,SAM",,,"SUB OUT by GREENE,SAM",2
03:42,,,,,"MISS JUMPER by BYRD,JAUMONEE",,,"MISS JUMPER by BYRD,JAUMONEE",2
03:42,"BLOCK  by GALFSKY,ANDER",,,,,,,"BLOCK  by GALFSKY,ANDER",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:39,,,,,"TURNOVER  by BYRD,JAUMONEE",,,"TURNOVER  by BYRD,JAUMONEE",2
03:25,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",2
--,,,,,"REBOUND DEF by SHOFFNER,SPENCER",,,"REBOUND DEF by SHOFFNER,SPENCER",2
03:08,,53,,54 (+1),"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",MVCM 53-54 (-1),,"GOOD JUMPER by BYRD,JAUMONEE(in the paint)",2
--,,,,,"ASSIST  by TORRES,TANNER",,,"ASSIST  by TORRES,TANNER",2
03:03,"TURNOVER  by HOLLE,MASON",,,,,,,"TURNOVER  by HOLLE,MASON",2
03:01,,,,,"STEAL  by TORRES,TANNER",,,"STEAL  by TORRES,TANNER",2
02:59,"FOUL  by GALFSKY,ANDER",,,,,,,"FOUL  by GALFSKY,ANDER",2
02:59,,53,,55 (+2),"GOOD FT by TORRES,TANNER",MVCM 53-55 (-2),,"GOOD FT by TORRES,TANNER",2
02:59,,53,,56 (+3),"GOOD FT by TORRES,TANNER",MVCM 53-56 (-3),,"GOOD FT by TORRES,TANNER",2
02:59,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
02:59,"SUB IN by AVERY,ALEX",,,,,,,"SUB IN by AVERY,ALEX",2
02:59,"SUB IN by THOM,IAN",,,,,,,"SUB IN by THOM,IAN",2
02:59,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",2
02:59,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
02:59,"SUB OUT by HARDIMAN,BEN",,,,,,,"SUB OUT by HARDIMAN,BEN",2
02:59,"SUB OUT by CRAIN,JOHN",,,,,,,"SUB OUT by CRAIN,JOHN",2
02:59,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",2
02:59,"SUB OUT by HOLLE,MASON",,,,,,,"SUB OUT by HOLLE,MASON",2
02:59,"SUB OUT by MCLEAN,JAMES",,,,,,,"SUB OUT by MCLEAN,JAMES",2
02:34,"GOOD JUMPER by AVERY,ALEX(in the paint)",55,,56 (+1),,BSC 55-56 (-1),,"GOOD JUMPER by AVERY,ALEX(in the paint)",2
02:09,,,,,"FOUL  by BYRD,JAUMONEE",,,"FOUL  by BYRD,JAUMONEE",2
02:09,,,,,"TURNOVER  by BYRD,JAUMONEE",,,"TURNOVER  by BYRD,JAUMONEE",2
02:09,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",2
01:50,"GOOD LAYUP by AVERY,ALEX(in the paint)",57 (+1),,56,,BSC 57-56 (+1),,"GOOD LAYUP by AVERY,ALEX(in the paint)",2
--,"ASSIST  by WELCH,ROSS",,,,,,,"ASSIST  by WELCH,ROSS",2
01:31,,,,,"MISS 3PTR by BUTLER,OSCAR",,,"MISS 3PTR by BUTLER,OSCAR",2
--,,,,,"REBOUND OFF by SHOFFNER,SPENCER",,,"REBOUND OFF by SHOFFNER,SPENCER",2
01:23,,,,,"TURNOVER  by SHOFFNER,SPENCER",,,"TURNOVER  by SHOFFNER,SPENCER",2
01:23,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
01:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:00,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:49,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by FORD,CHRISTIAN",,,"REBOUND DEF by FORD,CHRISTIAN",2
00:21,,57,,59 (+2),"GOOD 3PTR by BUTLER,OSCAR",MVCM 57-59 (-2),,"GOOD 3PTR by BUTLER,OSCAR",2
--,,,,,"ASSIST  by TORRES,TANNER",,,"ASSIST  by TORRES,TANNER",2
00:18,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:18,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
00:18,"SUB OUT by THOM,IAN",,,,,,,"SUB OUT by THOM,IAN",2
00:08,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:02,"GOOD JUMPER by THOMAS,LARRY",59,,59,,BSC 59-59 (0),,"GOOD JUMPER by THOMAS,LARRY",2
00:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:01,"SUB IN by BARRON,MAC",,,,,,,"SUB IN by BARRON,MAC",2
00:01,"SUB OUT by AVERY,ALEX",,,,,,,"SUB OUT by AVERY,ALEX",2
05:00,"SUB IN by LEWIS,EVAN",,,,,,,"SUB IN by LEWIS,EVAN",3
05:00,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",3
05:00,,,,,"SUB IN by FORD,CHRISTIAN",,,"SUB IN by FORD,CHRISTIAN",3
05:00,,,,,"SUB OUT by BOWYER,JAYLEN",,,"SUB OUT by BOWYER,JAYLEN",3
04:41,,,,,"MISS JUMPER by BYRD,JAUMONEE",,,"MISS JUMPER by BYRD,JAUMONEE",3
--,"REBOUND DEF by THOM,IAN",,,,,,,"REBOUND DEF by THOM,IAN",3
04:26,"GOOD LAYUP by AVERY,ALEX(in the paint)",61 (+2),,59,,BSC 61-59 (+2),,"GOOD LAYUP by AVERY,ALEX(in the paint)",3
03:58,"FOUL  by LEWIS,EVAN",,,,,,,"FOUL  by LEWIS,EVAN",3
03:58,,61 (+1),,60,"GOOD FT by BUTLER,OSCAR",MVCM 61-60 (+1),,"GOOD FT by BUTLER,OSCAR",3
--,,,,,"ASSIST  by BYRD,JAUMONEE",,,"ASSIST  by BYRD,JAUMONEE",3
03:58,,61,,61,"GOOD FT by BUTLER,OSCAR",MVCM 61-61 (0),,"GOOD FT by BUTLER,OSCAR",3
03:29,"MISS JUMPER by WELCH,ROSS",,,,,,,"MISS JUMPER by WELCH,ROSS",3
03:29,,,,,"BLOCK  by FORD,CHRISTIAN",,,"BLOCK  by FORD,CHRISTIAN",3
--,"REBOUND OFF by WELCH,ROSS",,,,,,,"REBOUND OFF by WELCH,ROSS",3
03:25,,,,,"FOUL  by BYRD,JAUMONEE",,,"FOUL  by BYRD,JAUMONEE",3
03:25,"GOOD FT by AVERY,ALEX",62 (+1),,61,,BSC 62-61 (+1),,"GOOD FT by AVERY,ALEX",3
03:25,"MISS FT by AVERY,ALEX",,,,,,,"MISS FT by AVERY,ALEX",3
--,,,,,"REBOUND DEF by BUTLER,OSCAR",,,"REBOUND DEF by BUTLER,OSCAR",3
03:25,,,,,"SUB IN by BREWER,LOGAN",,,"SUB IN by BREWER,LOGAN",3
03:25,,,,,"SUB OUT by BYRD,JAUMONEE",,,"SUB OUT by BYRD,JAUMONEE",3
03:01,,,,,"TURNOVER  by BUTLER,OSCAR",,,"TURNOVER  by BUTLER,OSCAR",3
03:00,"STEAL  by AVERY,ALEX",,,,,,,"STEAL  by AVERY,ALEX",3
02:37,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",3
02:36,,,,,"STEAL  by FORD,CHRISTIAN",,,"STEAL  by FORD,CHRISTIAN",3
02:35,,,,,"TURNOVER  by FORD,CHRISTIAN",,,"TURNOVER  by FORD,CHRISTIAN",3
02:34,"STEAL  by LEWIS,EVAN",,,,,,,"STEAL  by LEWIS,EVAN",3
02:32,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",64 (+3),,61,,BSC 64-61 (+3),,"GOOD LAYUP by THOMAS,LARRY(fastbreak)(in the paint)",3
--,"ASSIST  by LEWIS,EVAN",,,,,,,"ASSIST  by LEWIS,EVAN",3
