Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,OU,Game Score,Team Indicator,Play,Period
19:40,"GOOD DUNK by VAN PELT,JUSTIN",2 (+2),,0,,MIL 2-0 (+2),,"GOOD DUNK by VAN PELT,JUSTIN",1
--,"ASSIST ASSIST by BLANZ,BUCK",,,,,,,"ASSIST ASSIST by BLANZ,BUCK",1
19:18,,,,,"MISS JUMPER by INUNGU,TOM",,,"MISS JUMPER by INUNGU,TOM",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
19:07,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
18:57,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
18:41,"MISS JUMPER by MCLAURIN,RYAN",,,,,,,"MISS JUMPER by MCLAURIN,RYAN",1
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",1
18:35,"MISS TIPIN by VAN PELT,JUSTIN",,,,,,,"MISS TIPIN by VAN PELT,JUSTIN",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
18:28,,2,,2,"GOOD JUMPER by KOCH,WILL(in the paint)",OU 2-2 (0),,"GOOD JUMPER by KOCH,WILL(in the paint)",1
18:14,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",1
18:13,"FOUL  by MCLAURIN,RYAN",,,,,,,"FOUL  by MCLAURIN,RYAN",1
17:58,,,,,"MISS LAYUP by PERRY,WILL",,,"MISS LAYUP by PERRY,WILL",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
17:47,"GOOD LAYUP by TURNER,JAMES(in the paint)",4 (+2),,2,,MIL 4-2 (+2),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
17:31,,,,,"MISS 3PTR by KOCH,WILL",,,"MISS 3PTR by KOCH,WILL",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
17:21,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",1
17:21,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",1
17:21,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",1
17:21,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
17:14,,,,,"MISS LAYUP by FOSTER,LANE",,,"MISS LAYUP by FOSTER,LANE",1
--,,,,,"REBOUND OFF by INUNGU,TOM",,,"REBOUND OFF by INUNGU,TOM",1
17:09,,,,,"MISS LAYUP by INUNGU,TOM",,,"MISS LAYUP by INUNGU,TOM",1
--,"REBOUND DEF by TULLOS,ZACHARY",,,,,,,"REBOUND DEF by TULLOS,ZACHARY",1
16:57,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",1
16:40,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
16:34,"GOOD LAYUP by TURNER,JAMES(fastbreak)(in the paint)",6 (+4),,2,,MIL 6-2 (+4),,"GOOD LAYUP by TURNER,JAMES(fastbreak)(in the paint)",1
16:14,,,,,"MISS 3PTR by SONE,CARLOS",,,"MISS 3PTR by SONE,CARLOS",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
15:44,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
15:35,,6 (+2),,4,"GOOD LAYUP by PERRY,WILL(in the paint)",OU 6-4 (+2),,"GOOD LAYUP by PERRY,WILL(in the paint)",1
15:09,"GOOD JUMPER by SULLIVAN,MICHAEL",8 (+4),,4,,MIL 8-4 (+4),,"GOOD JUMPER by SULLIVAN,MICHAEL",1
14:50,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
14:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
14:48,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
14:48,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
14:48,"SUB IN by SAVAGE,CHAS",,,,,,,"SUB IN by SAVAGE,CHAS",1
14:48,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
14:48,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
14:48,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
14:41,,8 (+2),,6,"GOOD JUMPER by KOCH,WILL(in the paint)",OU 8-6 (+2),,"GOOD JUMPER by KOCH,WILL(in the paint)",1
14:12,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by KOCH,WILL",,,"REBOUND DEF by KOCH,WILL",1
14:00,,,,,"MISS 3PTR by PERRY,WILL",,,"MISS 3PTR by PERRY,WILL",1
--,"REBOUND DEF by SAVAGE,CHAS",,,,,,,"REBOUND DEF by SAVAGE,CHAS",1
13:36,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND DEF by INUNGU,TOM",,,"REBOUND DEF by INUNGU,TOM",1
13:16,"FOUL  by SAVAGE,CHAS",,,,,,,"FOUL  by SAVAGE,CHAS",1
13:16,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
13:16,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
13:16,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
13:16,"SUB OUT by SAVAGE,CHAS",,,,,,,"SUB OUT by SAVAGE,CHAS",1
13:16,,,,,"SUB IN by JENEI,RYAN",,,"SUB IN by JENEI,RYAN",1
13:16,,,,,"SUB IN by BREATHWAITE,ZACH",,,"SUB IN by BREATHWAITE,ZACH",1
13:16,,,,,"SUB OUT by SONE,CARLOS",,,"SUB OUT by SONE,CARLOS",1
13:16,,,,,"SUB OUT by INUNGU,TOM",,,"SUB OUT by INUNGU,TOM",1
13:14,,,,,"TURNOVER  by JENEI,RYAN",,,"TURNOVER  by JENEI,RYAN",1
12:52,"GOOD LAYUP by BURNETT,DREW(in the paint)",10 (+4),,6,,MIL 10-6 (+4),,"GOOD LAYUP by BURNETT,DREW(in the paint)",1
--,"ASSIST ASSIST by TULLOS,ZACHARY",,,,,,,"ASSIST ASSIST by TULLOS,ZACHARY",1
12:35,,,,,"FOUL  by KOCH,WILL",,,"FOUL  by KOCH,WILL",1
12:35,,,,,"TURNOVER  by KOCH,WILL",,,"TURNOVER  by KOCH,WILL",1
12:18,"MISS LAYUP by TULLOS,ZACHARY",,,,,,,"MISS LAYUP by TULLOS,ZACHARY",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
12:13,"MISS LAYUP by TULLOS,ZACHARY",,,,,,,"MISS LAYUP by TULLOS,ZACHARY",1
--,,,,,"REBOUND DEF by FOSTER,LANE",,,"REBOUND DEF by FOSTER,LANE",1
12:06,,10 (+2),,8,"GOOD DUNK by BREATHWAITE,ZACH",OU 10-8 (+2),,"GOOD DUNK by BREATHWAITE,ZACH",1
--,,,,,"ASSIST ASSIST by PERRY,WILL",,,"ASSIST ASSIST by PERRY,WILL",1
11:44,"MISS JUMPER by TULLOS,ZACHARY",,,,,,,"MISS JUMPER by TULLOS,ZACHARY",1
--,,,,,"REBOUND DEF by PERRY,WILL",,,"REBOUND DEF by PERRY,WILL",1
11:32,,10,,11 (+1),"GOOD 3PTR by JENEI,RYAN",OU 10-11 (-1),,"GOOD 3PTR by JENEI,RYAN",1
--,,,,,"ASSIST ASSIST by KOCH,WILL",,,"ASSIST ASSIST by KOCH,WILL",1
11:17,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
