Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,HENDRIX,Game Score,Team Indicator,Play,Period
19:47,"MISS 3PTR by CARVELLI,CAMERON",,,,,,,"MISS 3PTR by CARVELLI,CAMERON",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
19:25,,0,,2 (+2),"GOOD JUMPER by COMAN,SEAN",HENDRIX 0-2 (-2),,"GOOD JUMPER by COMAN,SEAN",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
19:04,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2,,2,,MIL 2-2 (0),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",1
18:51,,2,,5 (+3),"GOOD 3PTR by STANLEY,SETH",HENDRIX 2-5 (-3),,"GOOD 3PTR by STANLEY,SETH",1
--,,,,,"ASSIST  by SMITH,PRESTON",,,"ASSIST  by SMITH,PRESTON",1
18:43,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
18:43,,,,,"MISS FT by STANLEY,SETH",,,"MISS FT by STANLEY,SETH",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
18:43,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",1
18:29,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",1
18:29,,2,,6 (+4),"GOOD FT by FITCH,CARL",HENDRIX 2-6 (-4),,"GOOD FT by FITCH,CARL",1
18:29,,2,,7 (+5),"GOOD FT by FITCH,CARL",HENDRIX 2-7 (-5),,"GOOD FT by FITCH,CARL",1
18:23,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",4,,7 (+3),,MIL 4-7 (-3),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
18:07,,4,,9 (+5),"GOOD LAYUP by FITCH,CARL(in the paint)",HENDRIX 4-9 (-5),,"GOOD LAYUP by FITCH,CARL(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
17:51,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",6,,9 (+3),,MIL 6-9 (-3),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
17:21,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",1
17:21,,6,,10 (+4),"GOOD FT by COMAN,SEAN",HENDRIX 6-10 (-4),,"GOOD FT by COMAN,SEAN",1
17:21,,6,,11 (+5),"GOOD FT by COMAN,SEAN",HENDRIX 6-11 (-5),,"GOOD FT by COMAN,SEAN",1
17:16,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",1
17:06,"GOOD 3PTR by CARVELLI,CAMERON",9,,11 (+2),,MIL 9-11 (-2),,"GOOD 3PTR by CARVELLI,CAMERON",1
--,"ASSIST  by VAN PELT,JUSTIN",,,,,,,"ASSIST  by VAN PELT,JUSTIN",1
16:59,,9,,14 (+5),"GOOD 3PTR by SMITH,PRESTON",HENDRIX 9-14 (-5),,"GOOD 3PTR by SMITH,PRESTON",1
--,,,,,"ASSIST  by FITCH,CARL",,,"ASSIST  by FITCH,CARL",1
16:37,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
16:32,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",11,,14 (+3),,MIL 11-14 (-3),,"GOOD JUMPER by TULLOS,ZACHARY(in the paint)",1
16:19,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:11,,,,,"SUB IN by CONRAD,ALEX",,,"SUB IN by CONRAD,ALEX",1
16:11,,,,,"SUB OUT by FITCH,CARL",,,"SUB OUT by FITCH,CARL",1
16:06,"MISS JUMPER by GILLIHAN,NEWLON",,,,,,,"MISS JUMPER by GILLIHAN,NEWLON",1
16:06,,,,,"BLOCK  by CONRAD,ALEX",,,"BLOCK  by CONRAD,ALEX",1
--,,,,,"REBOUND DEF by COMAN,SEAN",,,"REBOUND DEF by COMAN,SEAN",1
15:57,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
15:56,"STEAL  by CARVELLI,CAMERON",,,,,,,"STEAL  by CARVELLI,CAMERON",1
15:51,"MISS 3PTR by CARVELLI,CAMERON",,,,,,,"MISS 3PTR by CARVELLI,CAMERON",1
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",1
15:44,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",13,,14 (+1),,MIL 13-14 (-1),,"GOOD LAYUP by GILLIHAN,NEWLON(in the paint)",1
15:27,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:22,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",1
15:13,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",1
15:13,"TURNOVER  by TULLOS,ZACHARY",,,,,,,"TURNOVER  by TULLOS,ZACHARY",1
15:13,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
15:13,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
15:13,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
15:13,,,,,"SUB OUT by COMAN,SEAN",,,"SUB OUT by COMAN,SEAN",1
15:01,,,,,"MISS 3PTR by STANLEY,SETH",,,"MISS 3PTR by STANLEY,SETH",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
14:52,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by STANLEY,SETH",,,"REBOUND DEF by STANLEY,SETH",1
14:27,,,,,"MISS JUMPER by STANLEY,SETH",,,"MISS JUMPER by STANLEY,SETH",1
14:27,"BLOCK  by VAN PELT,JUSTIN",,,,,,,"BLOCK  by VAN PELT,JUSTIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:27,,,,,"TURNOVER  by BRASFIELD,KAM",,,"TURNOVER  by BRASFIELD,KAM",1
14:24,"MISS JUMPER by OWENS,MATT",,,,,,,"MISS JUMPER by OWENS,MATT",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
14:03,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by CONRAD,ALEX",,,"REBOUND DEF by CONRAD,ALEX",1
14:03,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
13:59,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
13:52,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
13:37,,,,,"TURNOVER  by RIDING,JAKE",,,"TURNOVER  by RIDING,JAKE",1
12:49,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
12:43,,,,,"MISS LAYUP by ROUSE,TREY",,,"MISS LAYUP by ROUSE,TREY",1
--,,,,,"REBOUND OFF by CONRAD,ALEX",,,"REBOUND OFF by CONRAD,ALEX",1
12:37,,13,,15 (+2),"GOOD FT by CONRAD,ALEX",HENDRIX 13-15 (-2),,"GOOD FT by CONRAD,ALEX",1
12:37,,13,,16 (+3),"GOOD FT by CONRAD,ALEX",HENDRIX 13-16 (-3),,"GOOD FT by CONRAD,ALEX",1
12:15,"MISS JUMPER by BLANZ,BUCK",,,,,,,"MISS JUMPER by BLANZ,BUCK",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:03,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
12:03,"SUB IN by BUESCHER,STORM",,,,,,,"SUB IN by BUESCHER,STORM",1
12:03,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
12:03,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
12:03,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
12:03,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
12:03,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
12:03,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
12:03,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
12:01,,13,,19 (+6),"GOOD 3PTR by ROUSE,TREY",HENDRIX 13-19 (-6),,"GOOD 3PTR by ROUSE,TREY",1
--,,,,,"ASSIST  by EATON,JACK",,,"ASSIST  by EATON,JACK",1
11:42,"GOOD 3PTR by BECKER,SAXTON",16,,19 (+3),,MIL 16-19 (-3),,"GOOD 3PTR by BECKER,SAXTON",1
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",1
11:19,,16,,22 (+6),"GOOD 3PTR by RIDING,JAKE",HENDRIX 16-22 (-6),,"GOOD 3PTR by RIDING,JAKE",1
--,,,,,"ASSIST  by CONRAD,ALEX",,,"ASSIST  by CONRAD,ALEX",1
11:06,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",1
10:59,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND OFF by SULLIVAN,MICHAEL",,,,,,,"REBOUND OFF by SULLIVAN,MICHAEL",1
10:45,"MISS LAYUP by SPIKES,KALVIN",,,,,,,"MISS LAYUP by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
10:40,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
10:40,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:40,,16,,23 (+7),"GOOD FT by EATON,JACK",HENDRIX 16-23 (-7),,"GOOD FT by EATON,JACK",1
10:40,,16,,24 (+8),"GOOD FT by EATON,JACK",HENDRIX 16-24 (-8),,"GOOD FT by EATON,JACK",1
10:39,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",18,,24 (+6),,MIL 18-24 (-6),,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",1
10:39,,,,,"FOUL  by FITCH,CARL",,,"FOUL  by FITCH,CARL",1
10:39,"MISS FT by SPIKES,KALVIN",,,,,,,"MISS FT by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by EATON,JACK",,,"REBOUND DEF by EATON,JACK",1
10:23,,,,,"TURNOVER  by FITCH,CARL",,,"TURNOVER  by FITCH,CARL",1
10:23,,,,,"SUB IN by FITCH,CARL",,,"SUB IN by FITCH,CARL",1
10:23,,,,,"SUB OUT by STANLEY,SETH",,,"SUB OUT by STANLEY,SETH",1
10:01,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
