Time Remaining,M-2741,Away Team Score,Play Team Indicator,Home Team Score,M-426,Game Score,Team Indicator,Play,Period
19:57,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by JONES,JAVARIS",,,,,,,"REBOUND DEF by JONES,JAVARIS",1
19:57,,,,,TIMEOUT  by TEAM,,,TIMEOUT  by TEAM,1
19:57,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
19:57,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
19:57,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
19:57,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
19:57,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
19:57,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
19:57,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
19:57,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
19:57,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
19:57,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
19:57,"SUB OUT by COLE,SHADD",,,,,,,"SUB OUT by COLE,SHADD",1
19:57,"SUB IN by BENE',COLE",,,,,,,"SUB IN by BENE',COLE",1
19:57,"SUB OUT by DAVIS,TALEN",,,,,,,"SUB OUT by DAVIS,TALEN",1
19:57,"SUB IN by GREEN,MASON",,,,,,,"SUB IN by GREEN,MASON",1
19:57,"SUB OUT by JONES,JAVARIS",,,,,,,"SUB OUT by JONES,JAVARIS",1
19:57,"SUB IN by OTTS,COLTON",,,,,,,"SUB IN by OTTS,COLTON",1
