Time Remaining,BEL,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
19:30,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
19:01,"TURNOVER  by JONES,JOSEPH",,,,,,,"TURNOVER  by JONES,JOSEPH",1
18:40,,,,,"TURNOVER  by GILLIHAN,NEWLON",,,"TURNOVER  by GILLIHAN,NEWLON",1
18:17,"MISS JUMPER by JONES,JOSEPH",,,,,,,"MISS JUMPER by JONES,JOSEPH",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
18:00,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
18:00,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",1
17:46,"MISS JUMPER by ROBERTS,JOSHUA",,,,,,,"MISS JUMPER by ROBERTS,JOSHUA",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
17:42,,,,,"TURNOVER  by VAN PELT,JUSTIN",,,"TURNOVER  by VAN PELT,JUSTIN",1
17:37,"FOUL  by COOKS,BROSNAN",,,,,,,"FOUL  by COOKS,BROSNAN",1
17:37,"TURNOVER  by COOKS,BROSNAN",,,,,,,"TURNOVER  by COOKS,BROSNAN",1
17:37,"SUB IN by PRUITT,KELVIN",,,,,,,"SUB IN by PRUITT,KELVIN",1
17:37,"SUB OUT by JONES,JUSTIN",,,,,,,"SUB OUT by JONES,JUSTIN",1
17:23,,0,,2 (+2),"GOOD JUMPER by TURNER,JAMES",MIL 0-2 (+2),,"GOOD JUMPER by TURNER,JAMES",1
17:17,"TURNOVER  by JONES,JOSEPH",,,,,,,"TURNOVER  by JONES,JOSEPH",1
17:17,,,,,"STEAL  by MILLER,JOSHUA",,,"STEAL  by MILLER,JOSHUA",1
17:14,"FOUL  by ROBERTS,JOSHUA",,,,,,,"FOUL  by ROBERTS,JOSHUA",1
16:55,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by COOKS,BROSNAN",,,,,,,"REBOUND DEF by COOKS,BROSNAN",1
16:37,"MISS JUMPER by ROBERTS,JOSHUA",,,,,,,"MISS JUMPER by ROBERTS,JOSHUA",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
16:36,"FOUL  by COOKS,BROSNAN",,,,,,,"FOUL  by COOKS,BROSNAN",1
16:36,"SUB IN by HODUM,RICK",,,,,,,"SUB IN by HODUM,RICK",1
16:36,"SUB IN by DORRAH,CHRIS",,,,,,,"SUB IN by DORRAH,CHRIS",1
16:36,"SUB OUT by JONES,JOSEPH",,,,,,,"SUB OUT by JONES,JOSEPH",1
16:36,"SUB OUT by COOKS,BROSNAN",,,,,,,"SUB OUT by COOKS,BROSNAN",1
16:18,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,"REBOUND OFF by GILLIHAN,NEWLON",,,"REBOUND OFF by GILLIHAN,NEWLON",1
16:13,,,,,"MISS JUMPER by GILLIHAN,NEWLON",,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",1
16:13,"FOUL  by PRUITT,KELVIN",,,,,,,"FOUL  by PRUITT,KELVIN",1
16:13,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
16:13,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
16:13,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
16:13,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
16:13,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
16:13,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
16:12,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",1
--,"REBOUND DEF by PRUITT,KELVIN",,,,,,,"REBOUND DEF by PRUITT,KELVIN",1
16:04,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",1
16:04,"MISS FT by MCCOY,TOMMY",,,,,,,"MISS FT by MCCOY,TOMMY",1
