Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
19:37,,0,,2 (+2),"GOOD JUMPER by JOHNSON,CORY",BCM 0-2 (-2),,"GOOD JUMPER by JOHNSON,CORY",1
19:13,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:10,,,,,"TURNOVER  by JOHNSON,CORY",,,"TURNOVER  by JOHNSON,CORY",1
19:10,"STEAL  by TULLOS,ZACHARY",,,,,,,"STEAL  by TULLOS,ZACHARY",1
18:54,"MISS JUMPER by TURNER,JAMES(in the paint)",,,,,,,"MISS JUMPER by TURNER,JAMES(in the paint)",1
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",1
18:38,,,,,"TURNOVER  by HIRSH,ELIJAH",,,"TURNOVER  by HIRSH,ELIJAH",1
18:38,"STEAL  by MILLER,JOSHUA",,,,,,,"STEAL  by MILLER,JOSHUA",1
18:31,"MISS JUMPER by MILLER,JOSHUA",,,,,,,"MISS JUMPER by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",1
18:21,,0,,4 (+4),"GOOD LAYUP by HAYNES,CALEB",BCM 0-4 (-4),,"GOOD LAYUP by HAYNES,CALEB",1
18:12,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
17:48,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",1
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",1
17:42,,0,,6 (+6),"GOOD LAYUP by HAYNES,CALEB(in the paint)",BCM 0-6 (-6),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",1
17:16,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",1
--,,,,,"REBOUND DEF by MOORE,MYLES",,,"REBOUND DEF by MOORE,MYLES",1
17:02,,,,,"MISS  by HIRSH,ELIJAH(in the paint)",,,"MISS  by HIRSH,ELIJAH(in the paint)",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
16:54,,,,,"FOUL  by CLARK,ETHAN(in the paint)",,,"FOUL  by CLARK,ETHAN(in the paint)",1
16:54,"MISS FT by MILLER,JOSHUA(fastbreak)",,,,,,,"MISS FT by MILLER,JOSHUA(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:54,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",1
16:54,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",1
16:54,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
16:54,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
16:54,"MISS FT by MILLER,JOSHUA(fastbreak)",,,,,,,"MISS FT by MILLER,JOSHUA(fastbreak)",1
--,,,,,"REBOUND DEF by MOORE,MYLES",,,"REBOUND DEF by MOORE,MYLES",1
16:50,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
16:41,"MISS LAYUP by TULLOS,ZACHARY",,,,,,,"MISS LAYUP by TULLOS,ZACHARY",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
16:34,"GOOD LAYUP by TULLOS,ZACHARY",2,,6 (+4),,MCM 2-6 (-4),,"GOOD LAYUP by TULLOS,ZACHARY",1
16:22,,2,,8 (+6),"GOOD LAYUP by MOORE,MYLES",BCM 2-8 (-6),,"GOOD LAYUP by MOORE,MYLES",1
15:46,"MISS LAYUP by MILLER,JOSHUA(in the paint)",,,,,,,"MISS LAYUP by MILLER,JOSHUA(in the paint)",1
--,,,,,"REBOUND DEF by CLARK,ETHAN",,,"REBOUND DEF by CLARK,ETHAN",1
15:40,"FOUL  by SULLIVAN,MICHAEL(in the paint)",,,,,,,"FOUL  by SULLIVAN,MICHAEL(in the paint)",1
15:40,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
15:40,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
15:40,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
15:40,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
15:40,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",1
15:40,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",1
15:40,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
15:40,,2,,9 (+7),"GOOD FT by JOHNSON,CORY",BCM 2-9 (-7),,"GOOD FT by JOHNSON,CORY",1
15:40,,2,,10 (+8),"GOOD FT by JOHNSON,CORY",BCM 2-10 (-8),,"GOOD FT by JOHNSON,CORY",1
15:40,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",1
15:40,,,,,"SUB IN by WEHUNT,DAWSON",,,"SUB IN by WEHUNT,DAWSON",1
15:18,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"REBOUND OFF by BECKER,SAXTON",,,,,,,"REBOUND OFF by BECKER,SAXTON",1
15:11,"MISS LAYUP by BECKER,SAXTON",,,,,,,"MISS LAYUP by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",1
14:57,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
14:29,,,,,"MISS LAYUP by ATKINSON,QUINN(in the paint)",,,"MISS LAYUP by ATKINSON,QUINN(in the paint)",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
14:14,"MISS LAYUP by BECKER,SAXTON(in the paint)",,,,,,,"MISS LAYUP by BECKER,SAXTON(in the paint)",1
--,,,,,"REBOUND DEF by WEHUNT,DAWSON",,,"REBOUND DEF by WEHUNT,DAWSON",1
13:52,,2,,12 (+10),"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",BCM 2-12 (-10),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
--,,,,,"ASSIST  by MOORE,MYLES",,,"ASSIST  by MOORE,MYLES",1
13:36,"MISS 3PTR by GILLIHAN,NEWLON",,,,,,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:29,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
13:29,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
13:29,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",1
13:29,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
13:29,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
13:29,,,,,"MISS 3PTR by MOORE,MYLES",,,"MISS 3PTR by MOORE,MYLES",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:25,,,,,"FOUL  by HIRSH,ELIJAH",,,"FOUL  by HIRSH,ELIJAH",1
13:25,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",1
13:25,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",1
13:17,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",1
13:17,,,,,"SUB IN by HASLAM,ETHAN",,,"SUB IN by HASLAM,ETHAN",1
13:17,,2,,14 (+12),"GOOD LAYUP by ATKINSON,QUINN",BCM 2-14 (-12),,"GOOD LAYUP by ATKINSON,QUINN",1
13:17,"TURNOVER  by CARVELLI,CAMERON",,,,,,,"TURNOVER  by CARVELLI,CAMERON",1
13:17,,,,,"STEAL  by ATKINSON,QUINN",,,"STEAL  by ATKINSON,QUINN",1
13:17,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND DEF by CARVELLI,CAMERON",,,,,,,"REBOUND DEF by CARVELLI,CAMERON",1
13:17,"GOOD LAYUP by VAN PELT,JUSTIN",4,,14 (+10),,MCM 4-14 (-10),,"GOOD LAYUP by VAN PELT,JUSTIN",1
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",1
13:17,,,,,"MISS 3PTR by WEHUNT,DAWSON",,,"MISS 3PTR by WEHUNT,DAWSON",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
13:17,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",1
13:17,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",1
13:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
13:17,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
13:17,,,,,"SUB IN by SOMMERVILLE,MARK",,,"SUB IN by SOMMERVILLE,MARK",1
13:17,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",1
13:17,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
13:17,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",1
13:17,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
13:17,,,,,"TURNOVER  by ATKINSON,QUINN",,,"TURNOVER  by ATKINSON,QUINN",1
13:17,"STEAL  by CARVELLI,CAMERON",,,,,,,"STEAL  by CARVELLI,CAMERON",1
13:15,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",1
11:09,"GOOD JUMPER by MCLAURIN,RYAN",6,,14 (+8),,MCM 6-14 (-8),,"GOOD JUMPER by MCLAURIN,RYAN",1
10:32,,,,,"MISS JUMPER by SOMMERVILLE,MARK",,,"MISS JUMPER by SOMMERVILLE,MARK",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
10:24,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",1
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",1
10:11,,6,,16 (+10),"GOOD LAYUP by HASLAM,ETHAN",BCM 6-16 (-10),,"GOOD LAYUP by HASLAM,ETHAN",1
10:11,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",1
10:11,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
10:11,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",1
10:11,,,,,"SUB OUT by WEHUNT,DAWSON",,,"SUB OUT by WEHUNT,DAWSON",1
10:11,,,,,"SUB IN by HIRSH,ELIJAH",,,"SUB IN by HIRSH,ELIJAH",1
10:11,,,,,"MISS FT by HASLAM,ETHAN",,,"MISS FT by HASLAM,ETHAN",1
--,,,,,"REBOUND OFF by HIRSH,ELIJAH",,,"REBOUND OFF by HIRSH,ELIJAH",1
10:05,,,,,"MISS LAYUP by HASLAM,ETHAN",,,"MISS LAYUP by HASLAM,ETHAN",1
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",1
09:59,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",1
09:59,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",1
09:59,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
09:59,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
09:59,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
09:59,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
09:30,,6,,18 (+12),"GOOD LAYUP by HAYNES,CALEB",BCM 6-18 (-12),,"GOOD LAYUP by HAYNES,CALEB",1
--,,,,,"ASSIST  by HASLAM,ETHAN",,,"ASSIST  by HASLAM,ETHAN",1
08:50,"GOOD 3PTR by COLEMAN,DANIEL",9,,18 (+9),,MCM 9-18 (-9),,"GOOD 3PTR by COLEMAN,DANIEL",1
--,"ASSIST  by GILLIHAN,NEWLON",,,,,,,"ASSIST  by GILLIHAN,NEWLON",1
08:50,"GOOD FT by MCLAURIN,RYAN(fastbreak)",10,,18 (+8),,MCM 10-18 (-8),,"GOOD FT by MCLAURIN,RYAN(fastbreak)",1
08:50,"GOOD FT by MCLAURIN,RYAN(fastbreak)",11,,18 (+7),,MCM 11-18 (-7),,"GOOD FT by MCLAURIN,RYAN(fastbreak)",1
08:44,,,,,"MISS 3PTR by HASLAM,ETHAN",,,"MISS 3PTR by HASLAM,ETHAN",1
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",1
08:31,"GOOD 3PTR by GILLIHAN,NEWLON",14,,18 (+4),,MCM 14-18 (-4),,"GOOD 3PTR by GILLIHAN,NEWLON",1
--,"ASSIST  by COLEMAN,DANIEL",,,,,,,"ASSIST  by COLEMAN,DANIEL",1
08:07,,,,,"MISS 3PTR by SOMMERVILLE,MARK",,,"MISS 3PTR by SOMMERVILLE,MARK",1
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",1
07:57,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
07:57,,,,,"STEAL  by SOMMERVILLE,MARK",,,"STEAL  by SOMMERVILLE,MARK",1
07:35,,,,,"MISS 3PTR by HIRSH,ELIJAH",,,"MISS 3PTR by HIRSH,ELIJAH",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
07:21,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
07:21,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
07:12,"TURNOVER  by GILLIHAN,NEWLON",,,,,,,"TURNOVER  by GILLIHAN,NEWLON",1
