Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
19:46,,0,,2 (+2),"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",BU 0-2 (-2),,"GOOD LAYUP by ROBERTS,JOSHUA(in the paint)",1
19:29,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",2,,2,,MIL 2-2 (0),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
19:00,,,,,"MISS 3PTR by JONES,JOSEPH",,,"MISS 3PTR by JONES,JOSEPH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
18:33,,,,,"MISS JUMPER by WORKS,JOHN",,,"MISS JUMPER by WORKS,JOHN",1
18:33,"BLOCK  by MILLER,JOSHUA",,,,,,,"BLOCK  by MILLER,JOSHUA",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
18:08,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by COOKS,BROSNAN",,,"REBOUND DEF by COOKS,BROSNAN",1
18:02,,,,,"MISS 3PTR by ROBERTS,JOSHUA",,,"MISS 3PTR by ROBERTS,JOSHUA",1
--,,,,,"REBOUND OFF by COOKS,BROSNAN",,,"REBOUND OFF by COOKS,BROSNAN",1
17:54,,,,,"MISS LAYUP by COOKS,BROSNAN",,,"MISS LAYUP by COOKS,BROSNAN",1
--,"REBOUND DEF by GILLIHAN,NEWLON",,,,,,,"REBOUND DEF by GILLIHAN,NEWLON",1
17:43,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
17:14,,2,,4 (+2),"GOOD JUMPER by JONES,JUSTIN(in the paint)",BU 2-4 (-2),,"GOOD JUMPER by JONES,JUSTIN(in the paint)",1
--,,,,,"ASSIST  by COOKS,BROSNAN",,,"ASSIST  by COOKS,BROSNAN",1
16:56,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",4,,4,,MIL 4-4 (0),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
16:42,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",1
16:42,,,,,"MISS FT by JONES,JOSEPH",,,"MISS FT by JONES,JOSEPH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
