Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
16:00,"GOOD LAYUP by ROLAND,DEVIN(fastbreak)(in the paint)",9 (+4),,5,,ACM 9-5 (-4),,"GOOD LAYUP by ROLAND,DEVIN(fastbreak)(in the paint)",1
15:56,"SUB OUT by FEIDER,JP",,,,,,,"SUB OUT by FEIDER,JP",1
15:46,"FOUL  by BERRYMAN,JACE",,,,,,,"FOUL  by BERRYMAN,JACE",1
15:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
15:46,,9 (+3),,6,"GOOD FT by BECKER,SAXTON",MIL 9-6 (-3),,"GOOD FT by BECKER,SAXTON",1
15:46,,9 (+2),,7,"GOOD FT by BECKER,SAXTON",MIL 9-7 (-2),,"GOOD FT by BECKER,SAXTON",1
15:46,,9 (+1),,8,"GOOD FT by BECKER,SAXTON",MIL 9-8 (-1),,"GOOD FT by BECKER,SAXTON",1
15:46,,,,,"FOUL  by BURNETT,DREW",,,"FOUL  by BURNETT,DREW",1
15:46,"GOOD FT by ROLAND,DEVIN",10 (+2),,8,,ACM 10-8 (-2),,"GOOD FT by ROLAND,DEVIN",1
15:46,"GOOD FT by ROLAND,DEVIN",11 (+3),,8,,ACM 11-8 (-3),,"GOOD FT by ROLAND,DEVIN",1
15:46,,,,,"TURNOVER  by GRANT,SHE'CHEM",,,"TURNOVER  by GRANT,SHE'CHEM",1
15:46,"STEAL  by HOGAN,KAM",,,,,,,"STEAL  by HOGAN,KAM",1
15:44,"TURNOVER  by HILL,KAMERON",,,,,,,"TURNOVER  by HILL,KAMERON",1
15:43,,,,,"STEAL  by OWENS,MATT",,,"STEAL  by OWENS,MATT",1
15:35,"FOUL  by HILL,KAMERON",,,,,,,"FOUL  by HILL,KAMERON",1
15:19,"FOUL  by BERRYMAN,JACE",,,,,,,"FOUL  by BERRYMAN,JACE",1
15:19,,,,,"MISS FT by OWENS,MATT",,,"MISS FT by OWENS,MATT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:04,,11 (+2),,9,"GOOD FT by OWENS,MATT",MIL 11-9 (-2),,"GOOD FT by OWENS,MATT",1
14:37,"MISS 3PTR by MERCADEL,JUSTICE",,,,,,,"MISS 3PTR by MERCADEL,JUSTICE",1
--,,,,,"REBOUND DEF by MCLAURIN,RYAN",,,"REBOUND DEF by MCLAURIN,RYAN",1
14:26,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,,,,,"REBOUND OFF by BURNETT,DREW",,,"REBOUND OFF by BURNETT,DREW",1
14:21,"FOUL  by BERRYMAN,JACE",,,,,,,"FOUL  by BERRYMAN,JACE",1
14:19,,11 (+1),,10,"GOOD FT by OWENS,MATT",MIL 11-10 (-1),,"GOOD FT by OWENS,MATT",1
14:19,,11,,11,"GOOD FT by OWENS,MATT",MIL 11-11 (0),,"GOOD FT by OWENS,MATT",1
14:19,"FOUL  by HOLLAND,MICHAEL",,,,,,,"FOUL  by HOLLAND,MICHAEL",1
14:19,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:19,,11,,12 (+1),"GOOD FT by GRANT,SHE'CHEM",MIL 11-12 (+1),,"GOOD FT by GRANT,SHE'CHEM",1
14:19,"MISS LAYUP by HOLLAND,MICHAEL",,,,,,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
14:19,"SUB IN by HILL,KAMERON",,,,,,,"SUB IN by HILL,KAMERON",1
14:19,"SUB IN by FEIDER,JP",,,,,,,"SUB IN by FEIDER,JP",1
14:19,"SUB OUT by HOGAN,KAM",,,,,,,"SUB OUT by HOGAN,KAM",1
14:19,"SUB OUT by BERRYMAN,JACE",,,,,,,"SUB OUT by BERRYMAN,JACE",1
14:19,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
14:19,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
14:19,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
14:19,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
14:19,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
14:19,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
14:10,"GOOD JUMPER by MERCADEL,JUSTICE",13 (+1),,12,,ACM 13-12 (-1),,"GOOD JUMPER by MERCADEL,JUSTICE",1
13:56,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",1
--,,,,,"REBOUND OFF by BURNETT,DREW",,,"REBOUND OFF by BURNETT,DREW",1
13:52,,,,,"MISS LAYUP by BURNETT,DREW",,,"MISS LAYUP by BURNETT,DREW",1
--,"REBOUND DEF by ROLAND,DEVIN",,,,,,,"REBOUND DEF by ROLAND,DEVIN",1
13:47,"TURNOVER  by ROLAND,DEVIN",,,,,,,"TURNOVER  by ROLAND,DEVIN",1
13:38,,,,,"FOUL  by MCLAURIN,RYAN",,,"FOUL  by MCLAURIN,RYAN",1
13:25,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
13:23,"MISS LAYUP by MERCADEL,JUSTICE",,,,,,,"MISS LAYUP by MERCADEL,JUSTICE",1
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",1
13:12,,13,,15 (+2),"GOOD 3PTR by BECKER,SAXTON",MIL 13-15 (+2),,"GOOD 3PTR by BECKER,SAXTON",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
13:00,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
13:00,"TURNOVER  by FEIDER,JP",,,,,,,"TURNOVER  by FEIDER,JP",1
13:00,,,,,"STEAL  by MCLAURIN,RYAN",,,"STEAL  by MCLAURIN,RYAN",1
13:00,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
12:57,"MISS FT by ROLAND,DEVIN",,,,,,,"MISS FT by ROLAND,DEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:57,"MISS FT by ROLAND,DEVIN",,,,,,,"MISS FT by ROLAND,DEVIN",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
12:57,,,,,"TURNOVER  by BURNETT,DREW",,,"TURNOVER  by BURNETT,DREW",1
12:57,"STEAL  by HOLLAND,MICHAEL",,,,,,,"STEAL  by HOLLAND,MICHAEL",1
12:57,"MISS LAYUP by HOLLAND,MICHAEL",,,,,,,"MISS LAYUP by HOLLAND,MICHAEL",1
--,"REBOUND OFF by MERCADEL,JUSTICE",,,,,,,"REBOUND OFF by MERCADEL,JUSTICE",1
12:57,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",1
12:57,,,,,"STEAL  by MCLAURIN,RYAN",,,"STEAL  by MCLAURIN,RYAN",1
12:57,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
12:51,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",1
12:51,"SUB IN by HOGAN,KAM",,,,,,,"SUB IN by HOGAN,KAM",1
12:51,"SUB OUT by ROLAND,DEVIN",,,,,,,"SUB OUT by ROLAND,DEVIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:39,"FOUL  by MERCADEL,JUSTICE",,,,,,,"FOUL  by MERCADEL,JUSTICE",1
12:39,,13,,16 (+3),"GOOD FT by GRANT,SHE'CHEM",MIL 13-16 (+3),,"GOOD FT by GRANT,SHE'CHEM",1
12:39,,13,,17 (+4),"GOOD FT by GRANT,SHE'CHEM",MIL 13-17 (+4),,"GOOD FT by GRANT,SHE'CHEM",1
12:39,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
12:39,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
12:31,"TURNOVER  by HILL,KAMERON",,,,,,,"TURNOVER  by HILL,KAMERON",1
12:23,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by HOGAN,KAM",,,,,,,"REBOUND DEF by HOGAN,KAM",1
12:18,"MISS 3PTR by HILL,KAMERON",,,,,,,"MISS 3PTR by HILL,KAMERON",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
12:06,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",,,"MISS LAYUP by SULLIVAN,MICHAEL",1
12:06,"BLOCK  by MERCADEL,JUSTICE",,,,,,,"BLOCK  by MERCADEL,JUSTICE",1
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",1
12:01,"GOOD LAYUP by HOGAN,KAM(fastbreak)(in the paint)",15,,17 (+2),,ACM 15-17 (+2),,"GOOD LAYUP by HOGAN,KAM(fastbreak)(in the paint)",1
11:40,,,,,"MISS LAYUP by BECKER,SAXTON",,,"MISS LAYUP by BECKER,SAXTON",1
--,,,,,"REBOUND OFF by SPIKES,KALVIN",,,"REBOUND OFF by SPIKES,KALVIN",1
11:29,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
11:29,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",1
11:29,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
11:19,"MISS FT by FEIDER,JP",,,,,,,"MISS FT by FEIDER,JP",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
11:19,"SUB IN by ROLAND,DEVIN",,,,,,,"SUB IN by ROLAND,DEVIN",1
11:19,"SUB IN by LOCKMAN,DEREK",,,,,,,"SUB IN by LOCKMAN,DEREK",1
11:19,"SUB OUT by HOLLAND,MICHAEL",,,,,,,"SUB OUT by HOLLAND,MICHAEL",1
11:19,"SUB OUT by HILL,KAMERON",,,,,,,"SUB OUT by HILL,KAMERON",1
11:19,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
11:19,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
11:19,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",1
11:19,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",1
10:59,,,,,"TURNOVER  by MCLAURIN,RYAN",,,"TURNOVER  by MCLAURIN,RYAN",1
10:57,"STEAL  by HOGAN,KAM",,,,,,,"STEAL  by HOGAN,KAM",1
10:55,"GOOD LAYUP by HOGAN,KAM(fastbreak)(in the paint)",17,,17,,ACM 17-17 (0),,"GOOD LAYUP by HOGAN,KAM(fastbreak)(in the paint)",1
10:55,,,,,"FOUL  by SULLIVAN,MICHAEL",,,"FOUL  by SULLIVAN,MICHAEL",1
10:55,"GOOD FT by HOGAN,KAM",18 (+1),,17,,ACM 18-17 (-1),,"GOOD FT by HOGAN,KAM",1
10:42,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
10:22,"TURNOVER  by MERCADEL,JUSTICE",,,,,,,"TURNOVER  by MERCADEL,JUSTICE",1
10:03,,18,,20 (+2),"GOOD 3PTR by BLANZ,BUCK",MIL 18-20 (+2),,"GOOD 3PTR by BLANZ,BUCK",1
--,,,,,"ASSIST  by CARVELLI,CAMERON",,,"ASSIST  by CARVELLI,CAMERON",1
09:52,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",1
09:52,"MISS FT by MERCADEL,JUSTICE",,,,,,,"MISS FT by MERCADEL,JUSTICE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:52,,,,,"SUB IN by VAN PELT,JUSTIN",,,"SUB IN by VAN PELT,JUSTIN",1
09:52,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
09:42,,,,,"MISS LAYUP by GRANT,SHE'CHEM",,,"MISS LAYUP by GRANT,SHE'CHEM",1
09:42,"BLOCK  by FEIDER,JP",,,,,,,"BLOCK  by FEIDER,JP",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
09:34,,18,,22 (+4),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 18-22 (+4),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
09:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:21,"TURNOVER  by ROLAND,DEVIN",,,,,,,"TURNOVER  by ROLAND,DEVIN",1
09:15,,18,,24 (+6),"GOOD JUMPER by BLANZ,BUCK(in the paint)",MIL 18-24 (+6),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",1
08:53,"MISS 3PTR by ROLAND,DEVIN",,,,,,,"MISS 3PTR by ROLAND,DEVIN",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
08:41,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
08:36,"GOOD 3PTR by LOCKMAN,DEREK",21,,24 (+3),,ACM 21-24 (+3),,"GOOD 3PTR by LOCKMAN,DEREK",1
--,"ASSIST  by ROLAND,DEVIN",,,,,,,"ASSIST  by ROLAND,DEVIN",1
08:19,,,,,"MISS LAYUP by GRANT,SHE'CHEM",,,"MISS LAYUP by GRANT,SHE'CHEM",1
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",1
08:15,,21,,26 (+5),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 21-26 (+5),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
08:01,,,,,"FOUL  by CARVELLI,CAMERON",,,"FOUL  by CARVELLI,CAMERON",1
07:57,"MISS FT by MERCADEL,JUSTICE",,,,,,,"MISS FT by MERCADEL,JUSTICE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:57,"GOOD FT by MERCADEL,JUSTICE",22,,26 (+4),,ACM 22-26 (+4),,"GOOD FT by MERCADEL,JUSTICE",1
07:57,,,,,"SUB IN by GILLIHAN,NEWLON",,,"SUB IN by GILLIHAN,NEWLON",1
07:57,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
07:57,,,,,"SUB IN by BUESCHER,STORM",,,"SUB IN by BUESCHER,STORM",1
07:57,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
07:57,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
07:57,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
07:57,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
07:57,,,,,"SUB OUT by MCLAURIN,RYAN",,,"SUB OUT by MCLAURIN,RYAN",1
07:57,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
07:50,,,,,"MISS LAYUP by VAN PELT,JUSTIN",,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
07:45,,22,,28 (+6),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 22-28 (+6),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
07:43,"FOUL  by FEIDER,JP",,,,,,,"FOUL  by FEIDER,JP",1
07:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:43,,22,,29 (+7),"GOOD FT by VAN PELT,JUSTIN",MIL 22-29 (+7),,"GOOD FT by VAN PELT,JUSTIN",1
07:30,"MISS LAYUP by HOGAN,KAM",,,,,,,"MISS LAYUP by HOGAN,KAM",1
07:30,,,,,"BLOCK  by VAN PELT,JUSTIN",,,"BLOCK  by VAN PELT,JUSTIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
07:16,"MISS 3PTR by LOCKMAN,DEREK",,,,,,,"MISS 3PTR by LOCKMAN,DEREK",1
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",1
07:06,,,,,"MISS JUMPER by COLEMAN,DANIEL",,,"MISS JUMPER by COLEMAN,DANIEL",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
07:02,,,,,"MISS JUMPER by VAN PELT,JUSTIN",,,"MISS JUMPER by VAN PELT,JUSTIN",1
--,"REBOUND DEF by ROLAND,DEVIN",,,,,,,"REBOUND DEF by ROLAND,DEVIN",1
06:49,"GOOD 3PTR by HOLLAND,MICHAEL",25,,29 (+4),,ACM 25-29 (+4),,"GOOD 3PTR by HOLLAND,MICHAEL",1
--,"ASSIST  by HOGAN,KAM",,,,,,,"ASSIST  by HOGAN,KAM",1
06:27,,,,,"MISS JUMPER by GILLIHAN,NEWLON",,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:22,,,,,"SUB IN by TULLOS,ZACHARY",,,"SUB IN by TULLOS,ZACHARY",1
06:22,,,,,"SUB OUT by VAN PELT,JUSTIN",,,"SUB OUT by VAN PELT,JUSTIN",1
06:13,"MISS 3PTR by LOCKMAN,DEREK",,,,,,,"MISS 3PTR by LOCKMAN,DEREK",1
--,,,,,"REBOUND DEF by GRANT,SHE'CHEM",,,"REBOUND DEF by GRANT,SHE'CHEM",1
06:02,,,,,"TURNOVER  by GRANT,SHE'CHEM",,,"TURNOVER  by GRANT,SHE'CHEM",1
06:00,"STEAL  by MERCADEL,JUSTICE",,,,,,,"STEAL  by MERCADEL,JUSTICE",1
05:59,"GOOD LAYUP by MERCADEL,JUSTICE(fastbreak)(in the paint)",27,,29 (+2),,ACM 27-29 (+2),,"GOOD LAYUP by MERCADEL,JUSTICE(fastbreak)(in the paint)",1
05:42,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
05:32,"MISS 3PTR by ROLAND,DEVIN",,,,,,,"MISS 3PTR by ROLAND,DEVIN",1
--,,,,,"REBOUND DEF by COLEMAN,DANIEL",,,"REBOUND DEF by COLEMAN,DANIEL",1
05:22,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,"REBOUND DEF by ROLAND,DEVIN",,,,,,,"REBOUND DEF by ROLAND,DEVIN",1
05:07,"GOOD 3PTR by HOLLAND,MICHAEL",30 (+1),,29,,ACM 30-29 (-1),,"GOOD 3PTR by HOLLAND,MICHAEL",1
--,"ASSIST  by ROLAND,DEVIN",,,,,,,"ASSIST  by ROLAND,DEVIN",1
05:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
05:02,"SUB IN by HILL,KAMERON",,,,,,,"SUB IN by HILL,KAMERON",1
05:02,"SUB IN by HOLLAND,MICHAEL",,,,,,,"SUB IN by HOLLAND,MICHAEL",1
05:02,"SUB OUT by MERCADEL,JUSTICE",,,,,,,"SUB OUT by MERCADEL,JUSTICE",1
05:02,"SUB OUT by LOCKMAN,DEREK",,,,,,,"SUB OUT by LOCKMAN,DEREK",1
05:02,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
05:02,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
05:02,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
05:02,,,,,"SUB IN by MCLAURIN,RYAN",,,"SUB IN by MCLAURIN,RYAN",1
05:02,,,,,"SUB OUT by GILLIHAN,NEWLON",,,"SUB OUT by GILLIHAN,NEWLON",1
05:02,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
05:02,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
05:02,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
04:51,,,,,"MISS 3PTR by CARVELLI,CAMERON",,,"MISS 3PTR by CARVELLI,CAMERON",1
--,,,,,"REBOUND OFF by TULLOS,ZACHARY",,,"REBOUND OFF by TULLOS,ZACHARY",1
04:48,,30,,31 (+1),"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",MIL 30-31 (+1),,"GOOD LAYUP by TULLOS,ZACHARY(in the paint)",1
04:29,"GOOD LAYUP by HILL,KAMERON(in the paint)",32 (+1),,31,,ACM 32-31 (-1),,"GOOD LAYUP by HILL,KAMERON(in the paint)",1
04:16,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
04:08,"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",34 (+3),,31,,ACM 34-31 (-3),,"GOOD JUMPER by HOGAN,KAM(fastbreak)(in the paint)",1
03:54,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by FEIDER,JP",,,,,,,"REBOUND DEF by FEIDER,JP",1
03:31,"MISS 3PTR by HOLLAND,MICHAEL",,,,,,,"MISS 3PTR by HOLLAND,MICHAEL",1
--,"REBOUND OFF by ROLAND,DEVIN",,,,,,,"REBOUND OFF by ROLAND,DEVIN",1
03:25,"MISS LAYUP by ROLAND,DEVIN",,,,,,,"MISS LAYUP by ROLAND,DEVIN",1
