Time Remaining,ACM,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
19:41,"TURNOVER  by FEIDER,JP",,,,,,,"TURNOVER  by FEIDER,JP",1
19:37,,0,,2 (+2),"GOOD LAYUP by SULLIVAN,MICHAEL(fastbreak)(in the paint)",MIL 0-2 (+2),,"GOOD LAYUP by SULLIVAN,MICHAEL(fastbreak)(in the paint)",1
19:28,"MISS JUMPER by HOGAN,KAM",,,,,,,"MISS JUMPER by HOGAN,KAM",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
19:16,,,,,"MISS LAYUP by VAN PELT,JUSTIN",,,"MISS LAYUP by VAN PELT,JUSTIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:14,"GOOD JUMPER by HOLLAND,MICHAEL",2,,2,,ACM 2-2 (0),,"GOOD JUMPER by HOLLAND,MICHAEL",1
19:14,,2,,4 (+2),"GOOD LAYUP by TURNER,JAMES(in the paint)",MIL 2-4 (+2),,"GOOD LAYUP by TURNER,JAMES(in the paint)",1
19:06,,,,,"FOUL  by GILLIHAN,NEWLON",,,"FOUL  by GILLIHAN,NEWLON",1
18:36,,,,,"FOUL  by VAN PELT,JUSTIN",,,"FOUL  by VAN PELT,JUSTIN",1
18:36,"MISS FT by FEIDER,JP",,,,,,,"MISS FT by FEIDER,JP",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
18:33,"GOOD FT by FEIDER,JP",3,,4 (+1),,ACM 3-4 (+1),,"GOOD FT by FEIDER,JP",1
18:05,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",,,"MISS JUMPER by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by HOLLAND,MICHAEL",,,,,,,"REBOUND DEF by HOLLAND,MICHAEL",1
17:59,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",1
17:27,"MISS LAYUP by MERCADEL,JUSTICE",,,,,,,"MISS LAYUP by MERCADEL,JUSTICE",1
--,,,,,"REBOUND DEF by MILLER,JOSHUA",,,"REBOUND DEF by MILLER,JOSHUA",1
17:06,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",1
17:05,"STEAL  by MERCADEL,JUSTICE",,,,,,,"STEAL  by MERCADEL,JUSTICE",1
17:03,"GOOD DUNK by MERCADEL,JUSTICE(fastbreak)(in the paint)",5 (+1),,4,,ACM 5-4 (-1),,"GOOD DUNK by MERCADEL,JUSTICE(fastbreak)(in the paint)",1
16:36,,,,,"MISS LAYUP by MILLER,JOSHUA",,,"MISS LAYUP by MILLER,JOSHUA",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
16:36,"FOUL  by ROLAND,DEVIN",,,,,,,"FOUL  by ROLAND,DEVIN",1
16:36,,5,,5,"GOOD FT by VAN PELT,JUSTIN",MIL 5-5 (0),,"GOOD FT by VAN PELT,JUSTIN",1
16:36,"SUB IN by BERRYMAN,JACE",,,,,,,"SUB IN by BERRYMAN,JACE",1
16:36,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
16:36,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
16:36,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
16:36,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
16:26,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND OFF by MCLAURIN,RYAN",,,"REBOUND OFF by MCLAURIN,RYAN",1
16:18,,,,,"MISS 3PTR by MCLAURIN,RYAN",,,"MISS 3PTR by MCLAURIN,RYAN",1
--,"REBOUND DEF by CLEAMONS,JAYLYN",,,,,,,"REBOUND DEF by CLEAMONS,JAYLYN",1
16:03,,,,,"TURNOVER  by TURNER,JAMES",,,"TURNOVER  by TURNER,JAMES",1
16:03,"STEAL  by ROLAND,DEVIN",,,,,,,"STEAL  by ROLAND,DEVIN",1
16:03,"GOOD LAYUP by ROLAND,DEVIN(fastbreak)(in the paint)",7 (+2),,5,,ACM 7-5 (-2),,"GOOD LAYUP by ROLAND,DEVIN(fastbreak)(in the paint)",1
--,"ASSIST  by MERCADEL,JUSTICE",,,,,,,"ASSIST  by MERCADEL,JUSTICE",1
16:03,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by MERCADEL,JUSTICE",,,,,,,"REBOUND DEF by MERCADEL,JUSTICE",1
