Time Remaining,CENTMB,Away Team Score,Play Team Indicator,Home Team Score,MIL,Game Score,Team Indicator,Play,Period
19:46,,,,,"MISS JUMPER by GILLIHAN,NEWLON",,,"MISS JUMPER by GILLIHAN,NEWLON",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
19:42,,0,,3 (+3),"GOOD 3PTR by SULLIVAN,MICHAEL",MIL 0-3 (+3),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"ASSIST  by MILLER,JOSHUA",,,"ASSIST  by MILLER,JOSHUA",1
19:23,"MISS JUMPER by MATTHEWS,TREYLAN",,,,,,,"MISS JUMPER by MATTHEWS,TREYLAN",1
--,"REBOUND OFF by SMITH,DAKOTA",,,,,,,"REBOUND OFF by SMITH,DAKOTA",1
19:19,"GOOD TIPIN by SMITH,DAKOTA(in the paint)",2,,3 (+1),,CENTMB 2-3 (+1),,"GOOD TIPIN by SMITH,DAKOTA(in the paint)",1
19:06,,2,,6 (+4),"GOOD 3PTR by SULLIVAN,MICHAEL",MIL 2-6 (+4),,"GOOD 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"ASSIST  by SULLIVAN,MICHAEL",,,"ASSIST  by SULLIVAN,MICHAEL",1
18:36,"MISS 3PTR by RAY,RICKY",,,,,,,"MISS 3PTR by RAY,RICKY",1
--,,,,,"REBOUND DEF by VAN PELT,JUSTIN",,,"REBOUND DEF by VAN PELT,JUSTIN",1
18:25,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
18:06,"FOUL  by SMITH,DAKOTA",,,,,,,"FOUL  by SMITH,DAKOTA",1
17:56,,,,,"MISS 3PTR by GILLIHAN,NEWLON",,,"MISS 3PTR by GILLIHAN,NEWLON",1
--,,,,,"REBOUND OFF by VAN PELT,JUSTIN",,,"REBOUND OFF by VAN PELT,JUSTIN",1
17:51,,2,,8 (+6),"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",MIL 2-8 (+6),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",1
17:38,"MISS JUMPER by SMITH,DAKOTA",,,,,,,"MISS JUMPER by SMITH,DAKOTA",1
