Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
17:46,,,,,"MISS 3PTR by HASLAM,ETHAN",,,"MISS 3PTR by HASLAM,ETHAN",2
--,,,,,"REBOUND OFF by HIRSH,ELIJAH",,,"REBOUND OFF by HIRSH,ELIJAH",2
17:42,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",2
17:42,,41,,42 (+1),"GOOD FT by HIRSH,ELIJAH",BCM 41-42 (-1),,"GOOD FT by HIRSH,ELIJAH",2
17:42,,41,,43 (+2),"GOOD FT by HIRSH,ELIJAH",BCM 41-43 (-2),,"GOOD FT by HIRSH,ELIJAH",2
17:30,,,,,"FOUL  by HIRSH,ELIJAH",,,"FOUL  by HIRSH,ELIJAH",2
17:27,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",2
17:22,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",43,,43,,MIL 43-43 (0),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",2
17:09,"FOUL  by TULLOS,ZACHARY",,,,,,,"FOUL  by TULLOS,ZACHARY",2
17:09,,43,,44 (+1),"GOOD FT by HIRSH,ELIJAH",BCM 43-44 (-1),,"GOOD FT by HIRSH,ELIJAH",2
17:09,,43,,45 (+2),"GOOD FT by HIRSH,ELIJAH",BCM 43-45 (-2),,"GOOD FT by HIRSH,ELIJAH",2
17:09,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
17:09,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
17:09,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
17:09,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",2
16:49,"MISS LAYUP by GILLIHAN,NEWLON",,,,,,,"MISS LAYUP by GILLIHAN,NEWLON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:46,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",2
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",2
16:28,,,,,"MISS JUMPER by JOHNSON,CORY",,,"MISS JUMPER by JOHNSON,CORY",2
--,"REBOUND DEF by MCLAURIN,RYAN",,,,,,,"REBOUND DEF by MCLAURIN,RYAN",2
16:13,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",45,,45,,MIL 45-45 (0),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
--,"ASSIST  by MCLAURIN,RYAN",,,,,,,"ASSIST  by MCLAURIN,RYAN",2
16:13,,,,,"FOUL  by JOHNSON,CORY",,,"FOUL  by JOHNSON,CORY",2
16:13,"GOOD FT by SULLIVAN,MICHAEL",46 (+1),,45,,MIL 46-45 (+1),,"GOOD FT by SULLIVAN,MICHAEL",2
16:13,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
16:13,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
16:13,,,,,"SUB IN by DYER,JACOB",,,"SUB IN by DYER,JACOB",2
16:13,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",2
16:13,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",2
16:13,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",2
16:10,,,,,"MISS 3PTR by HASLAM,ETHAN",,,"MISS 3PTR by HASLAM,ETHAN",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
15:48,"TURNOVER  by VAN PELT,JUSTIN",,,,,,,"TURNOVER  by VAN PELT,JUSTIN",2
15:47,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
15:01,,,,,"MISS JUMPER by ATKINSON,QUINN",,,"MISS JUMPER by ATKINSON,QUINN",2
--,"REBOUND DEF by OWENS,MATT",,,,,,,"REBOUND DEF by OWENS,MATT",2
14:51,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",2
--,"REBOUND OFF by OWENS,MATT",,,,,,,"REBOUND OFF by OWENS,MATT",2
14:47,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",2
14:38,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",2
14:38,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",2
14:30,,,,,"MISS LAYUP by MOORE,MYLES",,,"MISS LAYUP by MOORE,MYLES",2
--,,,,,"REBOUND OFF by DYER,JACOB",,,"REBOUND OFF by DYER,JACOB",2
14:25,,,,,"MISS LAYUP by DYER,JACOB",,,"MISS LAYUP by DYER,JACOB",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
14:20,"MISS 3PTR by MCLAURIN,RYAN",,,,,,,"MISS 3PTR by MCLAURIN,RYAN",2
--,,,,,"REBOUND DEF by MOORE,MYLES",,,"REBOUND DEF by MOORE,MYLES",2
14:14,,,,,"TURNOVER  by MOORE,MYLES",,,"TURNOVER  by MOORE,MYLES",2
14:13,"STEAL  by SULLIVAN,MICHAEL",,,,,,,"STEAL  by SULLIVAN,MICHAEL",2
13:47,,,,,"FOUL  by HASLAM,ETHAN",,,"FOUL  by HASLAM,ETHAN",2
13:47,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",2
13:47,,,,,"SUB IN by HIRSH,ELIJAH",,,"SUB IN by HIRSH,ELIJAH",2
13:47,,,,,"SUB IN by CUMMINGS,DREW",,,"SUB IN by CUMMINGS,DREW",2
13:47,,,,,"SUB OUT by DYER,JACOB",,,"SUB OUT by DYER,JACOB",2
13:47,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",2
13:47,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",2
13:37,"MISS LAYUP by OWENS,MATT",,,,,,,"MISS LAYUP by OWENS,MATT",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:24,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",48 (+3),,45,,MIL 48-45 (+3),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
13:07,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
13:07,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
13:07,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",2
13:07,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",2
13:07,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
12:57,,,,,"MISS LAYUP by HIRSH,ELIJAH",,,"MISS LAYUP by HIRSH,ELIJAH",2
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",2
12:48,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",50 (+5),,45,,MIL 50-45 (+5),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
12:30,,,,,"MISS LAYUP by HIRSH,ELIJAH",,,"MISS LAYUP by HIRSH,ELIJAH",2
12:30,"BLOCK  by VAN PELT,JUSTIN",,,,,,,"BLOCK  by VAN PELT,JUSTIN",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
12:22,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
12:20,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",2
12:20,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
12:20,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",2
12:20,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",2
12:20,,,,,"SUB OUT by CUMMINGS,DREW",,,"SUB OUT by CUMMINGS,DREW",2
12:03,,,,,"MISS 3PTR by CLARK,ETHAN",,,"MISS 3PTR by CLARK,ETHAN",2
--,,,,,"REBOUND OFF by MOORE,MYLES",,,"REBOUND OFF by MOORE,MYLES",2
11:41,,,,,"MISS LAYUP by CLARK,ETHAN",,,"MISS LAYUP by CLARK,ETHAN",2
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",2
11:37,,50 (+3),,47,"GOOD LAYUP by HAYNES,CALEB(in the paint)",BCM 50-47 (+3),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",2
11:25,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
11:16,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,2
11:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
10:59,,,,,"MISS JUMPER by HIRSH,ELIJAH",,,"MISS JUMPER by HIRSH,ELIJAH",2
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",2
10:49,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",2
10:48,,,,,"STEAL  by MOORE,MYLES",,,"STEAL  by MOORE,MYLES",2
10:35,,50 (+1),,49,"GOOD LAYUP by HAYNES,CALEB(in the paint)",BCM 50-49 (+1),,"GOOD LAYUP by HAYNES,CALEB(in the paint)",2
--,,,,,"ASSIST  by MOORE,MYLES",,,"ASSIST  by MOORE,MYLES",2
10:35,"FOUL  by GILLIHAN,NEWLON",,,,,,,"FOUL  by GILLIHAN,NEWLON",2
10:35,,50,,50,"GOOD FT by HAYNES,CALEB",BCM 50-50 (0),,"GOOD FT by HAYNES,CALEB",2
10:35,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
10:35,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",2
10:04,"MISS LAYUP by GILLIHAN,NEWLON",,,,,,,"MISS LAYUP by GILLIHAN,NEWLON",2
10:04,,,,,"BLOCK  by HIRSH,ELIJAH",,,"BLOCK  by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by HASLAM,ETHAN",,,"REBOUND DEF by HASLAM,ETHAN",2
09:35,,,,,"MISS 3PTR by CLARK,ETHAN",,,"MISS 3PTR by CLARK,ETHAN",2
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",2
09:07,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",2
09:07,,,,,"BLOCK  by HIRSH,ELIJAH",,,"BLOCK  by HIRSH,ELIJAH",2
--,,,,,"REBOUND DEF by HASLAM,ETHAN",,,"REBOUND DEF by HASLAM,ETHAN",2
08:52,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",2
08:52,,50,,51 (+1),"GOOD FT by CLARK,ETHAN",BCM 50-51 (-1),,"GOOD FT by CLARK,ETHAN",2
08:52,,50,,52 (+2),"GOOD FT by CLARK,ETHAN",BCM 50-52 (-2),,"GOOD FT by CLARK,ETHAN",2
08:52,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
08:52,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
08:52,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",2
08:52,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",2
08:52,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
08:52,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
08:52,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",2
08:52,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",2
08:30,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",2
08:30,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",2
08:30,,,,,"SUB IN by DYER,JACOB",,,"SUB IN by DYER,JACOB",2
08:30,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",2
08:04,,50,,54 (+4),"GOOD LAYUP by MOORE,MYLES(in the paint)",BCM 50-54 (-4),,"GOOD LAYUP by MOORE,MYLES(in the paint)",2
07:50,,,,,"FOUL  by HASLAM,ETHAN",,,"FOUL  by HASLAM,ETHAN",2
07:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
07:50,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",2
07:50,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
07:46,"MISS LAYUP by TURNER,JAMES",,,,,,,"MISS LAYUP by TURNER,JAMES",2
--,,,,,"REBOUND DEF by HASLAM,ETHAN",,,"REBOUND DEF by HASLAM,ETHAN",2
07:21,,,,,"MISS JUMPER by DYER,JACOB",,,"MISS JUMPER by DYER,JACOB",2
--,,,,,"REBOUND OFF by HIRSH,ELIJAH",,,"REBOUND OFF by HIRSH,ELIJAH",2
07:16,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",2
07:04,,50,,55 (+5),"GOOD FT by HIRSH,ELIJAH",BCM 50-55 (-5),,"GOOD FT by HIRSH,ELIJAH",2
07:04,,50,,56 (+6),"GOOD FT by HIRSH,ELIJAH",BCM 50-56 (-6),,"GOOD FT by HIRSH,ELIJAH",2
07:04,,,,,"SUB IN by CLARK,ETHAN",,,"SUB IN by CLARK,ETHAN",2
07:04,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",2
07:04,,,,,"SUB OUT by DYER,JACOB",,,"SUB OUT by DYER,JACOB",2
07:04,,,,,"SUB OUT by HASLAM,ETHAN",,,"SUB OUT by HASLAM,ETHAN",2
06:34,,,,,"FOUL  by HIRSH,ELIJAH",,,"FOUL  by HIRSH,ELIJAH",2
06:34,"SUB IN by GILLIHAN,NEWLON",,,,,,,"SUB IN by GILLIHAN,NEWLON",2
06:34,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
06:25,,,,,"FOUL  by HIRSH,ELIJAH",,,"FOUL  by HIRSH,ELIJAH",2
06:25,"GOOD FT by VAN PELT,JUSTIN",51,,56 (+5),,MIL 51-56 (-5),,"GOOD FT by VAN PELT,JUSTIN",2
06:25,"MISS FT by VAN PELT,JUSTIN",,,,,,,"MISS FT by VAN PELT,JUSTIN",2
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",2
06:12,"FOUL  by VAN PELT,JUSTIN",,,,,,,"FOUL  by VAN PELT,JUSTIN",2
06:12,,51,,57 (+6),"GOOD FT by HAYNES,CALEB",BCM 51-57 (-6),,"GOOD FT by HAYNES,CALEB",2
06:12,,,,,"MISS FT by HAYNES,CALEB",,,"MISS FT by HAYNES,CALEB",2
--,"REBOUND DEF by VAN PELT,JUSTIN",,,,,,,"REBOUND DEF by VAN PELT,JUSTIN",2
05:59,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND DEF by HAYNES,CALEB",,,"REBOUND DEF by HAYNES,CALEB",2
05:59,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
05:59,"SUB OUT by VAN PELT,JUSTIN",,,,,,,"SUB OUT by VAN PELT,JUSTIN",2
05:45,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",2
05:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:40,,51,,58 (+7),"GOOD FT by CLARK,ETHAN",BCM 51-58 (-7),,"GOOD FT by CLARK,ETHAN",2
05:40,,51,,59 (+8),"GOOD FT by CLARK,ETHAN",BCM 51-59 (-8),,"GOOD FT by CLARK,ETHAN",2
05:39,,,,,"SUB IN by DYER,JACOB",,,"SUB IN by DYER,JACOB",2
05:39,,,,,"SUB OUT by HIRSH,ELIJAH",,,"SUB OUT by HIRSH,ELIJAH",2
05:17,"MISS LAYUP by MILLER,JOSHUA",,,,,,,"MISS LAYUP by MILLER,JOSHUA",2
--,,,,,"REBOUND DEF by JOHNSON,CORY",,,"REBOUND DEF by JOHNSON,CORY",2
04:49,,,,,"MISS 3PTR by HAYNES,CALEB",,,"MISS 3PTR by HAYNES,CALEB",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
04:40,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",2
04:39,,,,,"STEAL  by MOORE,MYLES",,,"STEAL  by MOORE,MYLES",2
04:38,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
04:38,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
04:38,,,,,"SUB IN by HIRSH,ELIJAH",,,"SUB IN by HIRSH,ELIJAH",2
04:38,,,,,"SUB OUT by DYER,JACOB",,,"SUB OUT by DYER,JACOB",2
04:25,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
04:19,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",53,,59 (+6),,MIL 53-59 (-6),,"GOOD LAYUP by MCLAURIN,RYAN(fastbreak)(in the paint)",2
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",2
03:59,,,,,"MISS 3PTR by HIRSH,ELIJAH",,,"MISS 3PTR by HIRSH,ELIJAH",2
--,,,,,"REBOUND OFF by HAYNES,CALEB",,,"REBOUND OFF by HAYNES,CALEB",2
03:55,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:55,"SUB IN by VAN PELT,JUSTIN",,,,,,,"SUB IN by VAN PELT,JUSTIN",2
03:55,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
03:55,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
03:55,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
03:33,,53,,61 (+8),"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",BCM 53-61 (-8),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",2
03:17,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",2
03:13,"MISS LAYUP by VAN PELT,JUSTIN",,,,,,,"MISS LAYUP by VAN PELT,JUSTIN",2
--,"REBOUND OFF by GILLIHAN,NEWLON",,,,,,,"REBOUND OFF by GILLIHAN,NEWLON",2
03:13,,,,,"FOUL  by JOHNSON,CORY",,,"FOUL  by JOHNSON,CORY",2
03:13,"GOOD FT by GILLIHAN,NEWLON",54,,61 (+7),,MIL 54-61 (-7),,"GOOD FT by GILLIHAN,NEWLON",2
03:13,"GOOD FT by GILLIHAN,NEWLON",55,,61 (+6),,MIL 55-61 (-6),,"GOOD FT by GILLIHAN,NEWLON",2
03:13,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
03:13,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
03:13,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",2
03:13,"SUB OUT by GILLIHAN,NEWLON",,,,,,,"SUB OUT by GILLIHAN,NEWLON",2
02:55,,,,,"TURNOVER  by MOORE,MYLES",,,"TURNOVER  by MOORE,MYLES",2
02:52,"STEAL  by TULLOS,ZACHARY",,,,,,,"STEAL  by TULLOS,ZACHARY",2
02:42,"MISS LAYUP by GRANT,SHE'CHEM",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",2
02:28,,,,,"TURNOVER  by HIRSH,ELIJAH",,,"TURNOVER  by HIRSH,ELIJAH",2
02:26,"STEAL  by TULLOS,ZACHARY",,,,,,,"STEAL  by TULLOS,ZACHARY",2
02:25,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
02:25,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
02:22,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",2
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",2
02:17,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:15,,,,,"FOUL  by HIRSH,ELIJAH",,,"FOUL  by HIRSH,ELIJAH",2
02:15,"MISS FT by VAN PELT,JUSTIN",,,,,,,"MISS FT by VAN PELT,JUSTIN",2
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",2
02:03,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
02:00,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
02:00,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
01:57,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",2
--,,,,,"REBOUND OFF by CLARK,ETHAN",,,"REBOUND OFF by CLARK,ETHAN",2
01:53,,,,,"MISS LAYUP by CLARK,ETHAN",,,"MISS LAYUP by CLARK,ETHAN",2
01:53,"BLOCK  by VAN PELT,JUSTIN",,,,,,,"BLOCK  by VAN PELT,JUSTIN",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
01:44,"GOOD 3PTR by GRANT,SHE'CHEM",58,,61 (+3),,MIL 58-61 (-3),,"GOOD 3PTR by GRANT,SHE'CHEM",2
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",2
01:27,,,,,"TURNOVER  by JOHNSON,CORY",,,"TURNOVER  by JOHNSON,CORY",2
01:26,"STEAL  by GRANT,SHE'CHEM",,,,,,,"STEAL  by GRANT,SHE'CHEM",2
01:17,,,,,"SUB IN by HASLAM,ETHAN",,,"SUB IN by HASLAM,ETHAN",2
01:17,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",2
01:08,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by HIRSH,ELIJAH",,,"REBOUND DEF by HIRSH,ELIJAH",2
00:50,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
00:50,,,,,"MISS FT by MOORE,MYLES",,,"MISS FT by MOORE,MYLES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:50,,,,,"MISS FT by MOORE,MYLES",,,"MISS FT by MOORE,MYLES",2
--,"REBOUND DEF by MCLAURIN,RYAN",,,,,,,"REBOUND DEF by MCLAURIN,RYAN",2
00:50,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
00:50,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
00:50,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
00:50,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
00:35,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,"REBOUND OFF by VAN PELT,JUSTIN",,,,,,,"REBOUND OFF by VAN PELT,JUSTIN",2
00:33,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",60,,61 (+1),,MIL 60-61 (-1),,"GOOD LAYUP by VAN PELT,JUSTIN(in the paint)",2
00:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:33,"SUB IN by TULLOS,ZACHARY",,,,,,,"SUB IN by TULLOS,ZACHARY",2
00:33,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
00:33,"SUB OUT by MCLAURIN,RYAN",,,,,,,"SUB OUT by MCLAURIN,RYAN",2
00:33,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
00:33,,,,,"SUB IN by JOHNSON,CORY",,,"SUB IN by JOHNSON,CORY",2
00:33,,,,,"SUB OUT by HAYNES,CALEB",,,"SUB OUT by HAYNES,CALEB",2
00:16,,,,,"TURNOVER  by JOHNSON,CORY",,,"TURNOVER  by JOHNSON,CORY",2
00:15,"STEAL  by GRANT,SHE'CHEM",,,,,,,"STEAL  by GRANT,SHE'CHEM",2
00:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:14,"SUB IN by MCLAURIN,RYAN",,,,,,,"SUB IN by MCLAURIN,RYAN",2
00:14,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
00:14,"SUB OUT by TULLOS,ZACHARY",,,,,,,"SUB OUT by TULLOS,ZACHARY",2
00:14,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
00:14,,,,,"SUB IN by HAYNES,CALEB",,,"SUB IN by HAYNES,CALEB",2
00:14,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",2
00:05,,,,,"FOUL  by HASLAM,ETHAN",,,"FOUL  by HASLAM,ETHAN",2
00:05,"MISS FT by SULLIVAN,MICHAEL",,,,,,,"MISS FT by SULLIVAN,MICHAEL",2
