Time Remaining,HCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:34,,0,,2 (+2),"GOOD JUMPER by THOM,IAN(in the paint)",BSC 0-2 (+2),,"GOOD JUMPER by THOM,IAN(in the paint)",1
19:18,"MISS LAYUP by MCLEAN,BRANDON",,,,,,,"MISS LAYUP by MCLEAN,BRANDON",1
--,"REBOUND OFF by BERRY,RAHEEM",,,,,,,"REBOUND OFF by BERRY,RAHEEM",1
19:15,"GOOD 3PTR by JONES,RJ",3 (+1),,2,,HCM 3-2 (-1),,"GOOD 3PTR by JONES,RJ",1
--,"ASSIST  by BERRY,RAHEEM",,,,,,,"ASSIST  by BERRY,RAHEEM",1
19:01,,,,,"MISS 3PTR by THOM,IAN",,,"MISS 3PTR by THOM,IAN",1
--,"REBOUND DEF by BERRY,RAHEEM",,,,,,,"REBOUND DEF by BERRY,RAHEEM",1
18:52,"GOOD 3PTR by JONES,RJ",6 (+4),,2,,HCM 6-2 (-4),,"GOOD 3PTR by JONES,RJ",1
--,"ASSIST  by ASHLEY,ANDRE",,,,,,,"ASSIST  by ASHLEY,ANDRE",1
18:22,,,,,"MISS LAYUP by WELCH,ROSS",,,"MISS LAYUP by WELCH,ROSS",1
--,,,,,"REBOUND OFF by AVERY,ALEX",,,"REBOUND OFF by AVERY,ALEX",1
18:20,,6 (+2),,4,"GOOD TIPIN by AVERY,ALEX(in the paint)",BSC 6-4 (-2),,"GOOD TIPIN by AVERY,ALEX(in the paint)",1
18:10,"TURNOVER  by PETTUS,JERROD",,,,,,,"TURNOVER  by PETTUS,JERROD",1
18:02,,6,,7 (+1),"GOOD 3PTR by WELCH,ROSS",BSC 6-7 (+1),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
17:47,"GOOD 3PTR by BERRY,RAHEEM",9 (+2),,7,,HCM 9-7 (-2),,"GOOD 3PTR by BERRY,RAHEEM",1
--,"ASSIST  by ASHLEY,ANDRE",,,,,,,"ASSIST  by ASHLEY,ANDRE",1
17:29,"FOUL  by JONES,RJ",,,,,,,"FOUL  by JONES,RJ",1
17:29,"SUB IN by WHITE,ANTHONY",,,,,,,"SUB IN by WHITE,ANTHONY",1
17:29,"SUB OUT by PETTUS,JERROD",,,,,,,"SUB OUT by PETTUS,JERROD",1
17:19,,9,,9,"GOOD LAYUP by THOM,IAN(in the paint)",BSC 9-9 (0),,"GOOD LAYUP by THOM,IAN(in the paint)",1
--,,,,,"ASSIST  by AVERY,ALEX",,,"ASSIST  by AVERY,ALEX",1
17:01,"MISS 3PTR by WHITE,ANTHONY",,,,,,,"MISS 3PTR by WHITE,ANTHONY",1
--,"REBOUND OFF by MCLEAN,BRANDON",,,,,,,"REBOUND OFF by MCLEAN,BRANDON",1
16:56,"MISS LAYUP by MCLEAN,BRANDON",,,,,,,"MISS LAYUP by MCLEAN,BRANDON",1
--,"REBOUND OFF by ASHLEY,ANDRE",,,,,,,"REBOUND OFF by ASHLEY,ANDRE",1
16:53,"GOOD TIPIN by ASHLEY,ANDRE(in the paint)",11 (+2),,9,,HCM 11-9 (-2),,"GOOD TIPIN by ASHLEY,ANDRE(in the paint)",1
16:53,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:53,"SUB IN by WASHINGTON,DANTAVIUS",,,,,,,"SUB IN by WASHINGTON,DANTAVIUS",1
16:53,"SUB OUT by ASHLEY,ANDRE",,,,,,,"SUB OUT by ASHLEY,ANDRE",1
16:35,,11,,12 (+1),"GOOD 3PTR by WELCH,ROSS",BSC 11-12 (+1),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
16:16,"MISS JUMPER by WASHINGTON,DANTAVIUS",,,,,,,"MISS JUMPER by WASHINGTON,DANTAVIUS",1
16:16,,,,,"BLOCK  by DENEKA,HARRISON",,,"BLOCK  by DENEKA,HARRISON",1
--,,,,,"REBOUND DEF by DENEKA,HARRISON",,,"REBOUND DEF by DENEKA,HARRISON",1
16:12,"FOUL  by WHITE,ANTHONY",,,,,,,"FOUL  by WHITE,ANTHONY",1
16:12,"SUB IN by POPOVICH,WYATT",,,,,,,"SUB IN by POPOVICH,WYATT",1
16:12,"SUB IN by ASHLEY,ANDRE",,,,,,,"SUB IN by ASHLEY,ANDRE",1
16:12,"SUB OUT by BERRY,RAHEEM",,,,,,,"SUB OUT by BERRY,RAHEEM",1
16:12,"SUB OUT by JONES,RJ",,,,,,,"SUB OUT by JONES,RJ",1
16:12,,,,,"SUB IN by MURPHY,JUWAN",,,"SUB IN by MURPHY,JUWAN",1
16:12,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
16:00,,,,,"MISS 3PTR by LEWIS,EVAN",,,"MISS 3PTR by LEWIS,EVAN",1
--,"REBOUND DEF by MCLEAN,BRANDON",,,,,,,"REBOUND DEF by MCLEAN,BRANDON",1
15:48,"GOOD JUMPER by WASHINGTON,DANTAVIUS",13 (+1),,12,,HCM 13-12 (-1),,"GOOD JUMPER by WASHINGTON,DANTAVIUS",1
15:28,,13,,14 (+1),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 13-14 (+1),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
15:14,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",15 (+1),,14,,HCM 15-14 (-1),,"GOOD LAYUP by MCLEAN,BRANDON(in the paint)",1
